note,velocity,position,duration,anomalies
63,80,10,505,1
43,68,10,566,0
50,75,546,613,1
53,76,1431,474,1
59,113,1559,479,2
43,25,1492,540,2
48,78,2069,479,0
50,54,2709,1172,3
50,38,3084,903,3
43,84,3189,535,2
50,48,3589,1403,2
42,112,4100,511,2
52,75,4642,477,0
43,43,4642,1294,2
53,99,4799,474,3
51,36,5655,479,2
55,78,6165,479,0
32,115,6165,479,2
50,113,6675,838,2
53,98,7553,474,2
39,44,7487,393,4
52,75,7793,476,1
47,80,8196,511,1
32,58,8329,511,3
50,75,8738,1440,1
66,76,9526,474,2
51,75,9751,479,0
44,55,9751,479,1
48,101,10261,1267,2
45,75,10771,474,1
44,76,11276,474,0
44,64,11276,474,0
50,46,11460,476,2
62,80,11837,511,2
38,47,13253,785,4
44,63,12834,538,0
57,76,13708,1133,3
44,99,13847,557,3
47,47,14231,479,3
51,70,14612,479,1
55,84,14357,509,0
44,78,14357,479,0
50,108,15104,1390,3
42,68,15372,939,2
61,82,15372,1011,1
59,109,15022,1650,4
55,117,16388,1147,2
43,36,16388,1539,2
50,47,16930,477,1
53,101,17438,474,1
65,104,18415,747,4
43,63,18407,732,2
51,78,18453,1111,2
37,75,18963,474,1
68,110,19468,474,2
43,31,19553,535,2
50,75,19973,476,0
39,80,20484,511,1
58,43,21026,704,3
43,63,21177,538,1
48,110,21193,1187,3
50,75,22039,479,0
45,78,22549,1237,2
54,114,22697,668,4
60,75,23059,474,1
53,76,23264,474,1
43,42,23564,474,1
52,75,24567,476,1
43,47,24580,511,2
44,80,24580,511,0
50,75,25616,1150,2
53,76,25538,1223,2
59,101,26135,1068,3
45,75,25743,479,2
42,50,26645,479,2
52,54,27461,474,3
44,76,27660,474,0
44,24,27266,474,2
50,75,28165,476,0
53,54,28676,1511,2
51,75,29096,477,1
55,25,29218,538,2
48,76,29726,474,0
60,95,30231,479,2
48,70,30343,1459,2
51,105,30741,479,1
55,84,30741,509,0
44,58,30741,479,1
50,68,31756,1011,0
64,68,31756,1011,1
70,82,31928,1011,2
46,76,31433,1113,2
47,105,32778,505,2
47,95,32778,566,2
39,75,33196,1439,3
48,76,33903,474,2
59,75,34785,479,2
47,100,34327,1456,3
48,55,34837,479,1
61,103,35347,1431,3
49,115,35963,1186,4
44,95,35852,535,2
50,75,36357,476,0
40,80,37170,511,2
53,75,37905,1384,3
39,84,37410,1118,3
48,76,37918,474,0
43,75,38423,1475,2
55,78,39387,1266,2
38,54,38513,557,4
50,75,39337,1190,2
53,76,39948,474,0
33,76,39948,1087,2
52,75,40505,476,1
44,80,40964,643,1
41,80,40964,1429,2
50,55,41506,572,2
53,55,41898,1394,3
51,113,42519,479,1
44,46,42519,479,1
35,78,42667,1359,3
50,43,43379,778,3
50,76,44044,474,1
44,64,44044,474,0
54,105,44729,526,4
53,52,44562,511,2
57,75,45754,477,2
44,63,45602,538,0
48,76,46110,1458,1
36,75,46552,479,2
48,70,47125,479,0
59,70,46925,479,2
55,84,47125,812,1
44,78,47125,479,0
50,68,48140,1011,0
43,68,48140,1011,1
70,82,48220,1011,2
46,76,48140,1011,0
55,80,49156,511,0
52,39,49156,1322,3
50,75,49698,477,0
53,109,50206,474,1
39,95,50711,1475,3
57,25,51202,540,3
48,78,51221,479,0
50,108,51867,723,3
55,39,52319,562,3
43,88,52236,535,1
50,75,52664,476,1
53,80,53252,511,0
52,75,53794,477,0
43,63,53672,1496,2
48,76,54671,1472,2
61,100,54807,479,2
55,42,55317,479,1
45,44,55317,479,2
50,75,55375,474,1
53,76,56332,474,0
48,76,56332,474,1
56,106,57088,733,4
44,80,56954,511,1
44,44,57811,511,2
55,45,57890,477,2
53,41,58172,662,3
51,75,58903,876,1
44,100,58586,479,2
48,78,59413,479,0
50,75,59923,474,0
43,56,60007,474,3
44,64,60428,474,0
50,75,60933,476,0
53,80,61776,511,1
51,75,61986,477,0
44,63,61986,538,0
39,37,62683,474,3
50,75,62999,479,0
48,106,63509,1043,2
51,70,63509,479,0
57,84,63509,1054,2
54,78,63509,479,1
50,91,64524,1670,2
66,34,64524,1011,2
43,45,64211,1011,3
57,76,64786,1011,2
51,86,65540,3303,2
58,77,65540,2574,2
58,121,66033,3054,2
36,91,65540,1554,0
48,88,67095,1524,0
51,88,68115,975,1
55,66,68620,811,2
51,89,68620,1101,2
70,88,69004,1472,3
53,107,69636,2574,0
57,107,69636,2574,0
65,78,69196,2574,3
32,92,70003,2469,3
54,55,71276,1524,3
53,66,72211,474,1
57,89,72716,1360,1
50,89,72716,1427,2
60,88,73046,1086,2
51,107,73732,2574,0
68,80,74156,2519,4
58,117,73732,2574,0
36,91,73732,1554,0
48,88,75055,1757,2
51,62,76307,1474,2
55,89,76812,474,0
43,111,76812,1011,1
62,88,76865,970,2
53,71,77828,1965,2
57,127,77828,1367,2
61,121,77828,1142,2
41,112,77828,1554,2
54,122,78878,785,3
53,80,79383,989,0
57,80,79383,1019,0
60,90,79383,1019,0
50,88,79383,1524,0
66,124,80403,885,3
57,89,80908,474,0
47,89,80908,1750,2
60,88,81413,476,0
51,127,81924,3567,2
55,127,81675,2574,2
52,89,81642,3287,4
36,91,81924,2112,1
44,57,83417,1524,3
64,113,84007,724,4
55,89,85004,474,0
39,50,85226,1190,4
62,88,85509,476,0
53,107,86020,2574,0
57,107,86020,2574,0
56,117,86128,3481,3
50,127,86020,1770,3
64,88,87575,2468,2
53,127,88595,820,2
70,89,89100,1299,2
45,89,89100,1011,0
60,88,89171,476,1
52,107,90116,3249,1
45,68,90116,2544,2
58,117,89706,2954,2
37,125,90116,1049,1
61,89,90994,403,3
39,87,91766,989,2
49,88,92691,474,0
49,88,92304,474,1
42,89,92852,409,3
24,88,93397,1711,3
58,67,94014,506,2
50,76,94212,511,1
55,71,94212,1069,2
51,127,94212,1526,3
33,73,94212,1295,3
57,102,95767,2536,1
54,127,95767,2835,2
57,127,95523,2845,3
38,97,95767,2536,0
55,43,98314,505,1
43,68,98549,657,2
50,112,98850,477,1
41,76,99166,474,2
62,43,99863,479,2
43,39,99469,1503,3
48,78,100373,479,0
50,75,100883,474,0
58,76,101228,474,2
56,64,101388,440,2
50,47,101893,1432,2
53,105,102404,511,1
65,75,102600,927,3
43,63,102946,538,0
59,76,103454,474,1
48,75,103959,479,1
54,108,104469,548,3
43,78,104312,479,1
53,75,104720,419,3
53,76,105484,1068,1
49,76,105689,474,2
52,75,105989,476,0
44,80,106929,1157,2
44,53,106500,1347,2
50,114,107042,477,1
53,54,107244,655,3
51,108,108055,1280,2
44,75,108055,479,0
48,108,108565,905,2
63,48,109164,474,3
44,76,109580,474,0
44,39,109580,636,2
50,75,110085,476,0
53,80,110596,511,0
51,75,111138,477,0
44,85,111138,1078,2
47,109,111646,1233,3
55,42,112400,479,3
38,95,112238,479,3
51,103,112865,628,3
46,84,112788,686,3
44,112,112661,573,2
58,42,113379,1011,3
44,68,114101,1323,3
57,82,113676,1011,0
46,36,113676,1616,2
63,80,114297,1453,3
43,102,114882,572,2
50,104,115234,477,1
53,39,115742,474,1
57,47,115942,586,4
43,63,115762,1199,2
48,78,116757,479,0
50,44,117149,474,2
55,102,117772,474,1
50,104,117363,535,3
50,75,118577,950,2
