note,velocity,position,duration,anomalies
66,93,10,2671,1
44,93,10,1043,0
43,106,1506,474,3
56,127,784,504,2
44,88,1789,479,1
78,127,1907,2157,3
44,88,2579,474,0
38,81,2809,1737,3
56,95,2612,1011,1
73,88,4100,3079,0
32,115,4100,1049,2
52,81,4788,1261,2
55,125,5150,662,2
43,88,5655,479,0
43,88,6675,474,0
44,81,6952,1548,3
55,95,6764,1011,1
62,93,7788,2064,2
42,93,8585,1049,1
43,81,9246,474,1
54,117,8782,504,2
32,88,9669,717,3
78,91,10261,1014,0
42,121,10771,591,2
80,89,11276,474,0
51,81,11135,1769,2
43,95,11705,1011,2
78,88,11781,995,1
46,93,12213,1876,3
75,88,12834,477,0
54,110,13342,1253,3
53,127,13342,504,1
73,119,13847,1394,2
41,109,13745,837,3
75,53,15217,277,2
41,88,14867,474,0
73,114,15523,888,3
71,83,14933,1011,1
42,46,15140,1011,3
42,127,15080,1011,3
71,93,16313,435,1
40,117,16388,994,2
71,116,17828,1321,3
47,103,17359,474,2
55,127,17079,1064,4
73,88,17943,479,0
40,109,17610,479,2
75,91,18453,1014,0
31,87,19189,1449,3
71,89,19468,1011,0
33,105,19651,1434,4
52,95,19468,1011,0
75,93,20484,1009,2
30,127,20556,1681,4
73,69,21747,474,2
47,81,21534,474,0
50,95,21675,504,2
75,52,22339,1234,3
39,87,22039,479,0
65,91,22676,1378,3
75,88,23059,1057,1
27,87,23059,1215,2
73,88,23307,286,0
71,103,23262,1167,3
40,81,23564,918,2
45,95,23216,1011,2
74,65,24580,1936,2
46,112,24645,2012,4
73,89,25516,1014,1
45,49,25262,474,2
50,95,25630,504,0
38,87,26135,479,0
69,59,26645,1014,1
78,121,27134,1277,3
38,88,27155,474,0
70,45,27660,1011,2
78,62,27660,1011,2
32,84,27660,1011,1
63,98,27660,1305,2
71,57,28676,2064,1
85,104,28428,2064,2
37,89,28676,2805,1
44,90,28676,2308,1
56,82,28676,2064,2
73,127,31081,2129,3
85,115,31202,1882,1
42,101,30741,2026,0
49,62,30741,2090,2
58,89,30741,2409,3
66,69,32778,2058,1
44,93,32778,1043,0
51,118,33822,474,1
61,95,33822,1427,2
44,59,34481,919,3
78,126,35244,2026,2
44,114,35347,474,1
51,81,35519,1123,2
42,67,35604,1011,3
73,88,36868,3079,0
43,93,36868,1049,0
52,81,37918,474,0
67,95,37473,414,3
36,88,38423,882,2
30,88,39443,616,2
40,81,39583,1597,3
55,124,39948,1011,1
76,93,40964,2064,1
45,68,41268,1403,4
51,81,42014,474,0
54,95,42014,504,0
42,88,42519,1240,1
78,91,43029,1014,0
42,88,43539,474,0
80,89,44044,402,1
43,61,44044,1011,2
54,57,44044,1011,1
70,115,44549,737,3
41,93,45387,1049,1
75,50,45602,1106,2
37,43,45925,775,4
53,95,46110,504,0
73,127,46615,989,1
41,117,46615,1170,2
86,88,47723,277,2
43,112,47905,654,4
73,61,47883,286,1
71,83,48140,1011,0
51,54,48140,1204,3
55,95,48140,1011,1
71,93,49156,435,0
40,92,49353,1049,1
82,89,50073,474,2
47,81,49855,474,1
52,95,50067,504,1
83,127,50711,479,2
40,87,50711,479,0
65,66,51221,1014,2
51,87,51473,812,3
65,89,51865,1011,2
47,45,52639,1206,3
54,56,52103,1011,3
79,127,52861,925,4
48,60,53252,1049,2
77,89,54302,474,1
47,112,54302,725,2
51,95,54302,504,0
75,88,54807,479,0
39,119,55194,1329,3
61,64,55388,479,3
74,88,55594,277,2
39,114,55827,474,1
73,114,55627,236,3
71,46,55909,1088,3
47,81,56332,1011,0
51,95,56332,1196,1
74,93,57749,1258,2
38,92,57348,1049,0
73,89,58841,1014,1
44,57,58805,474,3
63,74,58398,1263,3
43,120,58903,1225,3
69,121,59051,1873,3
78,117,59413,1014,1
38,48,59923,474,1
70,63,60688,1011,3
77,60,60039,1627,4
45,84,60428,1011,0
50,98,60428,1831,1
71,90,61444,2064,0
70,104,61444,2064,1
23,115,61444,2706,3
38,55,61444,2188,3
44,104,61369,2127,3
73,101,63760,2681,2
90,78,63142,1882,3
44,101,63509,2026,1
45,101,64001,2444,3
54,115,63185,2975,2
44,93,65591,1049,1
66,88,66082,568,0
71,88,66590,565,0
50,81,66590,474,1
48,127,66200,1259,4
64,83,66845,289,2
52,58,67095,1081,3
66,109,68115,737,2
44,88,68115,474,0
71,109,68620,1458,2
51,81,68620,1011,0
56,95,68620,1011,0
73,108,69125,679,2
43,93,69636,1049,0
76,88,70384,568,2
71,88,70686,565,0
52,81,71045,474,1
45,95,70229,1210,3
73,116,71191,289,1
43,88,71270,918,2
79,88,72404,1153,3
31,88,72211,474,1
71,110,72787,761,3
45,55,72458,1011,3
55,63,72439,1011,2
73,119,73059,567,2
80,105,74181,1566,2
54,93,73551,1570,3
75,116,74782,1014,1
51,81,74656,1319,2
54,63,74782,1168,2
51,126,75287,479,2
77,61,75797,479,2
76,120,76307,962,3
52,121,76188,474,3
52,81,76617,1011,2
65,95,76812,1642,2
73,58,77054,1835,3
41,93,77828,1049,0
75,53,78370,913,2
69,127,78619,288,2
71,83,78878,574,0
49,81,78878,474,0
53,95,78878,504,0
41,88,79383,479,0
66,91,79893,1014,0
41,88,80403,474,0
68,89,80908,1011,0
49,81,80908,1011,0
53,95,80908,1011,0
71,55,81924,435,1
40,92,81924,1049,0
75,89,82974,1131,2
35,81,82974,474,1
52,95,82974,504,0
73,88,83479,479,0
48,87,83479,479,1
75,65,83989,1491,2
36,87,84605,388,3
71,89,85004,1011,0
58,115,85232,1011,3
61,59,85384,1011,3
73,93,86020,435,0
39,57,85737,1049,2
73,89,87070,474,0
60,43,87070,474,2
51,95,87491,504,1
72,51,87825,479,3
39,87,87575,479,0
73,91,88085,479,0
75,88,88595,277,0
39,122,89024,474,2
73,88,88843,286,0
69,43,89100,858,3
47,81,89100,1011,0
51,95,89100,1011,0
74,93,90116,1049,0
38,121,90116,1049,1
67,119,91166,1014,2
45,81,91166,474,0
50,95,91311,893,2
35,87,91671,479,1
64,110,92653,1122,4
82,127,92181,1614,3
38,88,92691,474,0
73,109,93196,1129,2
79,127,93644,1781,4
45,122,92764,1109,3
50,98,93196,1011,0
71,90,94212,3030,1
83,76,94461,2542,3
29,69,93726,2064,3
44,66,94212,2064,1
49,104,94212,2064,0
78,101,96532,2828,3
85,127,96277,1882,1
41,101,96492,1882,2
