note,velocity,position,duration,anomalies
61,22,218,512,2
87,50,439,1424,2
66,30,546,584,2
79,59,987,76,4
72,40,546,200,0
75,43,1093,277,1
65,7,1559,202,1
63,30,1151,1128,3
72,6,1559,292,2
80,60,1415,218,2
64,83,2048,720,3
82,46,2069,362,1
86,43,2579,1055,2
63,30,2579,544,1
67,30,2579,167,0
70,23,2855,197,2
82,44,2732,115,1
70,19,3313,115,3
82,38,3278,1057,1
77,77,3589,944,3
63,54,3589,955,2
61,50,3589,939,3
82,5,3589,199,2
72,64,3711,743,4
82,86,4100,1101,3
61,50,4477,391,3
65,30,4642,170,0
65,44,4177,757,3
80,23,4987,197,2
96,43,5982,1032,3
61,0,5655,202,1
65,30,5655,172,0
68,81,6108,330,3
54,64,6214,922,4
75,22,5707,1519,2
60,30,6863,197,1
50,4,6976,1105,4
67,44,6675,197,0
67,31,7180,197,0
70,45,7180,197,0
60,30,7922,304,2
63,30,7685,169,0
68,44,8084,199,1
61,65,8192,512,1
95,78,7914,1049,3
65,70,8738,523,2
65,0,8683,479,4
72,44,8738,200,0
75,43,9751,277,0
65,30,9751,969,1
68,70,10216,279,3
72,44,9751,202,0
80,38,10082,1168,2
52,43,10240,512,1
82,9,10135,1175,3
84,43,10771,197,0
75,30,10771,197,1
67,30,10771,167,0
70,44,10771,197,0
72,44,11264,115,1
84,43,11367,115,0
80,73,11330,306,3
68,43,11781,628,2
63,30,11781,199,0
65,30,12107,169,2
70,6,11347,199,2
58,43,12288,512,0
79,48,12292,1049,0
61,30,12834,576,1
65,30,12834,170,0
67,73,13014,1079,3
80,84,13437,197,2
82,72,13847,513,2
54,30,13847,202,1
65,30,13847,674,1
68,7,13847,202,1
52,43,14336,512,1
82,46,14357,2026,1
68,0,14867,197,1
69,66,14867,197,2
75,31,15148,854,2
66,45,14960,197,2
72,63,15877,559,2
85,44,16127,199,2
61,43,16526,1007,2
87,50,16394,1043,0
54,50,17391,200,3
66,6,16786,170,3
74,40,16930,1035,2
83,77,17943,883,3
65,0,17542,889,3
66,30,17943,172,1
72,44,17943,202,0
72,38,17841,531,3
71,10,18432,512,2
82,80,18453,593,2
84,43,18963,197,0
63,30,18963,197,0
67,62,19165,167,2
79,44,18963,820,2
82,44,19872,710,2
86,43,19946,242,3
79,13,19547,306,3
80,78,20119,199,2
63,30,19973,199,0
73,30,19973,546,2
70,44,19973,199,0
58,43,20480,512,0
79,48,20484,1049,0
74,30,21026,200,1
58,70,21026,488,3
67,73,21026,200,1
80,80,21534,840,2
84,43,22354,202,2
61,30,22477,705,2
65,0,22333,172,2
68,24,22521,1088,3
56,6,22442,982,3
62,21,22632,2244,4
54,0,23238,1124,4
56,30,23059,167,1
67,44,23522,955,2
67,31,23564,197,0
70,45,23112,530,2
60,30,24069,199,0
70,9,24069,497,3
68,44,24069,977,1
68,43,24673,1293,3
87,50,24580,1049,0
