note,velocity,position,duration,anomalies
40,101,970,1004,4
39,62,543,563,0
50,17,1479,1204,3
38,57,1046,454,0
52,90,2421,667,4
37,62,2069,552,0
48,57,2561,452,0
36,57,2561,452,0
51,62,3615,563,0
39,39,3615,563,1
50,57,4118,454,0
38,57,4383,994,2
49,62,5141,552,0
37,62,5141,552,0
51,57,5294,452,2
36,57,5633,452,0
51,62,6687,563,0
39,62,6687,563,0
50,57,7190,454,0
38,57,7190,454,0
49,62,8213,552,0
37,29,8581,751,3
48,23,8899,452,2
36,57,8705,452,0
46,62,9687,2624,2
39,62,9220,2061,0
47,67,12292,509,0
39,105,12292,1548,2
58,62,12385,475,2
44,63,13338,478,0
32,63,13338,1015,0
42,62,13847,476,0
44,65,14354,470,0
40,44,14354,1005,2
51,24,14855,474,2
41,67,15364,1045,0
35,40,15364,1045,2
37,62,16410,1015,0
34,93,16469,1015,2
37,65,17426,470,1
39,65,17426,1005,0
46,89,17927,474,1
47,67,18436,1045,0
40,67,18436,1045,0
49,63,19423,1015,1
42,63,19482,1015,0
54,65,20498,1005,0
37,87,20498,1005,1
51,62,21849,3067,1
39,38,21207,3067,2
43,94,24231,763,4
25,67,24580,1045,1
32,62,25357,1129,3
41,88,25626,928,3
32,63,25974,1015,1
42,62,26135,476,0
44,100,26749,600,3
35,65,26642,1005,0
48,61,27577,565,3
41,67,27652,1045,0
37,67,27652,1045,0
37,29,28957,1015,2
34,63,28698,1015,0
48,45,29714,1352,3
39,65,29714,1005,0
46,41,30215,474,1
47,67,30724,1045,0
34,28,30724,1045,2
46,27,31977,1015,2
42,63,31770,1015,0
42,65,32786,1005,0
37,65,32786,1005,0
57,90,33585,3067,3
39,62,33796,3067,0
51,62,37407,563,0
39,62,37407,563,0
50,57,37910,454,0
38,57,37910,454,0
49,62,38933,552,0
37,62,38933,552,0
48,57,39425,452,0
36,27,39425,1137,2
51,62,40479,563,0
26,62,39991,563,2
50,57,40982,454,0
38,57,40982,454,0
49,62,42005,552,0
37,62,42005,552,0
48,57,42497,452,0
36,28,42497,640,2
51,62,43551,563,0
39,62,43551,563,0
50,32,44160,454,2
38,57,44201,1141,2
49,62,45077,552,0
30,62,45536,1082,3
48,57,45569,452,0
36,57,45569,452,0
46,62,46084,2061,0
39,62,46084,2061,0
47,67,49156,509,0
39,67,49156,1045,0
46,90,49429,721,3
44,63,50202,478,0
32,63,50202,1015,0
52,102,50505,1302,4
44,65,51218,470,0
35,65,51218,1005,0
50,61,51719,966,2
41,67,52228,1045,0
37,34,52438,1883,3
37,62,53274,1015,0
47,63,53274,1015,1
44,65,54290,470,0
39,96,54290,1005,1
58,35,54298,1273,4
47,46,55300,1045,1
40,67,55300,1045,0
49,63,56346,1015,0
42,63,56346,1015,0
63,100,57362,1659,3
37,65,57362,1005,0
51,62,58372,3067,0
31,40,58372,3067,2
47,67,61444,509,0
41,92,61322,1045,3
46,62,61984,475,0
44,63,62490,777,1
32,63,62490,1015,0
52,62,63481,1263,3
44,25,63686,535,3
35,65,63506,1005,0
39,61,64007,474,0
41,92,64516,1956,2
37,67,64516,1045,0
37,62,65562,1015,0
34,63,65562,1015,0
44,28,67030,470,2
39,65,66578,1005,0
46,86,67079,474,1
47,67,67588,1045,0
40,67,67588,1045,0
46,63,68634,1015,0
37,84,68744,1015,3
42,65,69650,1005,0
37,65,69997,1005,1
44,62,71026,3067,1
39,62,70660,3067,0
