note,velocity,position,duration,anomalies
87,80,10,429,0
80,76,1054,400,0
82,78,2069,400,0
80,75,3589,232,0
81,41,4087,243,3
84,80,4100,234,0
80,75,4642,200,0
75,76,5150,197,0
67,67,5655,989,0
72,77,5655,1019,0
73,75,6675,197,0
68,68,7180,1011,0
75,122,7180,1633,2
87,80,8196,435,0
80,76,9246,400,0
82,40,10100,400,2
80,75,11781,232,0
82,75,12029,243,0
84,80,12292,234,0
85,75,12834,200,0
84,76,13342,197,0
82,75,13847,989,0
84,63,14867,197,0
75,49,15372,1011,0
80,29,15577,1011,2
89,43,16040,429,3
80,76,17438,400,0
82,78,18453,400,0
80,75,19973,232,0
82,46,20221,243,1
78,111,20883,234,3
80,75,21026,200,0
75,76,21534,197,0
67,67,22039,989,0
71,77,22039,1442,2
73,75,22727,729,2
68,68,23564,1011,0
75,82,23564,1011,0
87,80,24580,435,0
80,76,25630,400,0
81,78,26595,400,2
80,106,28664,232,2
82,75,28413,243,0
84,80,28676,234,0
85,75,29218,200,0
84,76,29726,197,0
82,75,30231,2029,0
87,80,32772,1049,0
80,75,34402,232,2
80,75,34575,246,0
82,78,34837,202,0
84,75,35347,197,0
82,76,35840,152,0
84,75,35976,152,0
82,75,36112,268,0
80,75,36357,476,0
87,80,36868,1049,0
75,75,38423,232,0
80,75,38671,246,0
82,78,38933,202,0
84,75,39443,197,0
73,76,39936,150,1
84,75,40070,150,0
82,75,40204,273,0
80,75,40580,1374,2
80,72,40964,1049,0
84,82,40964,1049,0
80,90,42519,202,1
84,81,42519,202,0
82,70,43029,202,0
85,84,43029,202,0
80,67,43539,197,0
84,81,43539,197,0
82,68,44044,197,0
85,82,44044,197,0
82,67,44549,199,0
89,81,44549,199,0
84,67,45060,3079,0
87,81,45060,3079,0
87,80,49156,1049,0
75,75,50711,232,0
80,75,50959,246,0
82,78,51221,202,0
84,75,51731,197,0
82,76,52224,152,0
84,75,52360,152,0
82,75,52496,268,0
80,75,52741,476,0
87,80,53252,1049,0
75,75,54807,232,0
82,97,55432,246,3
81,78,55415,1163,3
84,75,55827,197,0
82,76,56320,150,0
84,75,56454,150,0
91,109,56923,273,3
80,75,56837,506,0
80,72,57348,1049,0
84,82,57348,1049,0
80,67,58903,202,0
84,81,58903,202,0
82,70,59413,202,0
85,84,59413,202,0
80,67,59923,197,0
84,81,59923,197,0
79,68,60428,197,0
82,82,60428,197,0
75,67,61181,104,0
80,81,61181,104,0
75,67,61444,3079,0
80,77,61444,3079,0
87,44,65383,1049,2
75,75,67095,232,0
88,41,67560,246,3
82,78,67605,202,0
84,75,68115,197,0
82,76,68608,146,0
80,75,69126,146,2
80,98,68476,280,3
80,75,69125,476,0
87,80,69636,1049,0
75,75,71191,232,0
80,75,71439,246,0
82,78,71701,202,0
84,75,72211,197,0
82,76,72704,150,0
84,75,72838,150,0
82,75,72972,273,0
80,75,73221,506,0
68,72,73341,1049,2
84,82,73732,1049,0
80,67,75287,202,0
84,81,75287,202,0
82,70,75797,202,0
85,84,75797,202,0
66,40,75994,973,4
84,81,76307,197,0
82,68,76812,197,0
85,82,76812,197,0
85,67,77317,199,0
89,81,77317,199,0
84,72,77828,2064,0
87,86,77828,2064,0
75,75,80403,197,0
72,76,80908,197,0
70,113,81744,468,3
87,80,81924,1049,0
75,75,83479,232,0
80,75,83727,246,0
82,78,83989,202,0
84,75,84499,197,0
82,76,84992,148,0
84,75,85125,148,0
82,75,85258,275,0
80,75,85509,476,0
87,80,86020,1049,0
75,75,87575,232,0
80,75,87823,246,0
82,78,88085,202,0
84,75,88595,197,0
82,76,89088,152,0
84,101,89224,1016,2
82,75,89360,268,0
93,75,89605,506,1
80,72,90116,1686,1
84,82,90116,1049,0
80,67,91671,202,0
84,81,91671,202,0
82,70,92181,202,0
85,84,91983,202,1
80,67,92691,197,0
84,81,92691,197,0
86,48,92783,517,4
82,82,93196,197,0
75,67,93949,104,0
80,81,93949,104,0
75,67,94212,3079,0
80,81,94212,3079,0
80,80,98850,200,0
87,94,98850,200,0
80,81,99358,197,0
87,91,99358,197,0
80,80,99863,202,0
78,122,99863,202,2
80,80,100373,570,0
87,94,100373,509,0
75,47,101137,1462,3
85,94,100883,504,0
72,80,101388,565,0
84,94,101388,504,0
79,106,101690,630,4
85,89,101893,506,0
80,59,102874,1708,3
87,94,102404,1049,0
84,80,103454,1054,0
92,94,103454,1014,0
80,75,104469,976,0
87,51,104469,976,1
92,80,107042,200,0
99,94,107042,200,0
92,81,107550,197,0
99,91,107550,197,0
92,80,108055,202,0
99,90,108055,202,0
92,80,108565,570,0
99,94,108565,509,0
87,80,109075,565,0
97,94,109075,504,0
84,80,109580,565,0
96,94,109580,504,0
87,75,110085,438,0
97,89,110085,506,0
80,106,110596,414,3
99,99,110596,234,0
94,88,111138,477,0
91,89,111646,474,0
84,80,112151,2536,0
75,80,111855,2536,2
92,90,112151,2536,0
80,80,115234,200,0
87,94,115234,200,0
80,81,115742,197,0
87,115,115953,648,3
80,80,116247,202,0
93,68,116088,969,4
80,80,116757,570,0
87,94,116757,509,0
75,80,117267,565,0
85,94,117267,504,0
72,80,117772,565,0
84,94,117430,1189,2
75,75,118277,438,0
85,89,118277,506,0
80,80,118788,1089,0
87,94,118788,1049,0
84,77,119838,1054,0
92,91,119838,1014,0
80,68,120853,976,0
87,82,120853,1014,0
80,75,122687,684,2
82,75,122621,243,0
84,80,122884,234,0
73,75,122884,3079,0
84,40,123426,200,1
84,76,123934,197,0
84,75,124439,202,0
84,78,124949,202,0
82,75,125459,197,0
84,76,125964,197,0
89,75,126469,199,0
87,75,126980,4091,0
87,80,131082,429,0
76,38,132040,502,4
88,78,132932,1094,3
80,75,134661,232,0
82,75,134909,243,0
84,80,135172,234,0
80,75,135714,200,0
75,76,136222,197,0
67,67,136727,989,0
72,77,136727,1019,0
73,75,137747,197,0
68,68,138252,1011,0
75,82,138252,1011,0
87,80,139268,435,0
80,76,140318,400,0
82,78,141333,400,0
80,75,142853,232,0
82,75,143101,243,0
84,80,143364,234,0
85,75,143906,200,0
84,76,144414,197,0
82,75,144919,2029,0
87,80,147460,1049,0
75,75,149015,232,0
80,75,149263,246,0
82,78,149525,202,0
86,39,149769,197,3
70,76,150528,152,1
71,75,150664,152,1
82,75,150800,268,0
80,75,151045,476,0
87,80,151556,1049,0
75,75,153111,232,0
80,75,153359,246,0
82,78,153621,202,0
84,75,154131,197,0
82,99,154346,150,2
84,75,154758,150,0
82,75,154892,273,0
80,75,155141,506,0
80,72,155652,1049,0
84,82,155652,1049,0
86,100,157013,573,4
84,81,157207,202,0
82,70,157717,202,0
85,84,158149,202,1
80,67,158227,197,0
84,81,158227,197,0
82,68,158732,197,0
85,82,158732,197,0
82,67,159237,199,0
89,81,159237,199,0
84,67,159748,3079,0
87,81,159748,3079,0
87,80,163844,1049,0
75,75,165399,232,0
80,75,165647,246,0
82,78,165909,202,0
84,75,166419,197,0
82,76,166912,152,0
84,108,167048,152,1
82,75,167184,268,0
80,75,167429,476,0
87,80,167940,1049,0
75,75,169495,232,0
80,98,169912,246,2
82,78,170005,202,0
84,75,170515,197,0
82,76,171008,150,0
84,75,171142,150,0
82,75,171276,273,0
66,75,171967,506,2
80,72,172036,1049,0
84,82,172036,1049,0
80,67,173591,202,0
84,81,173591,202,0
72,47,174101,202,2
85,84,174101,202,0
80,67,174611,197,0
84,81,174611,197,0
79,68,175116,197,0
82,82,175116,197,0
75,67,175869,104,0
80,81,175869,104,0
75,67,176132,3079,0
80,77,176132,3079,0
87,80,180228,1049,0
75,75,181783,232,0
80,75,182031,246,0
82,78,182293,202,0
84,75,182803,197,0
82,76,183296,146,0
84,75,183427,146,0
91,75,183558,280,1
80,75,183813,476,0
87,80,184324,1049,0
75,75,185879,232,0
80,75,186127,246,0
82,78,186389,202,0
86,75,186899,197,1
85,112,187217,150,3
84,75,187526,150,0
82,75,187660,273,0
80,51,187743,743,3
80,72,188420,1049,0
84,82,188420,1049,0
80,67,189975,202,0
84,81,189975,202,0
82,39,190485,536,2
85,84,190485,202,0
80,67,190995,197,0
84,81,190995,197,0
82,68,191500,197,0
85,82,191500,197,0
85,67,192005,199,0
89,81,192005,199,0
84,72,192516,2064,0
87,86,192516,2064,0
75,100,194860,99,3
72,76,195596,197,0
70,75,196101,199,0
74,80,196368,1753,3
75,75,198167,232,0
80,75,198415,246,0
82,78,198677,202,0
84,75,199187,197,0
89,114,199476,148,3
84,75,199813,148,0
82,40,199692,275,2
80,75,200197,476,0
87,80,200708,1049,0
75,75,202263,232,0
80,75,202511,246,0
82,78,202773,202,0
84,75,203283,197,0
82,76,203776,152,0
84,53,203805,80,3
82,75,204048,268,0
80,75,204293,506,0
80,72,204804,1049,0
84,82,204804,1049,0
80,67,206359,202,0
98,81,206359,618,2
82,70,206869,202,0
85,84,206869,202,0
80,67,207379,197,0
84,81,207379,197,0
79,68,207884,197,0
82,82,207884,197,0
75,67,208637,104,0
80,81,208637,104,0
75,67,208900,3079,0
80,81,208900,3079,0
80,80,213538,200,0
87,94,213538,200,0
80,81,214046,197,0
87,91,214046,197,0
80,80,214551,202,0
87,90,214551,202,0
80,80,215061,570,0
87,94,215061,509,0
75,80,215571,565,0
85,94,215571,504,0
72,80,216076,565,0
84,94,216076,504,0
75,75,216581,438,0
85,89,216581,506,0
80,80,217092,1089,0
87,56,217092,1049,1
84,80,218142,1054,0
92,94,218142,1014,0
80,75,219157,976,0
87,89,219157,976,0
92,80,221730,200,0
99,94,221730,200,0
92,81,222238,197,0
99,118,222238,197,1
92,80,222743,202,0
99,90,222743,202,0
92,80,223253,570,0
99,94,223253,509,0
87,80,223763,565,0
97,94,223763,504,0
84,80,224268,565,0
96,94,224268,504,0
87,75,224773,438,0
83,50,224773,506,2
91,85,225284,234,0
99,99,225284,234,0
94,88,225826,477,0
91,89,226334,474,0
96,80,226839,3407,2
87,80,226839,2536,0
92,90,226839,2536,0
80,80,229922,200,0
87,94,229922,200,0
80,81,230430,197,0
87,91,230430,197,0
80,80,230935,202,0
87,90,230935,202,0
80,80,231445,570,0
87,94,231445,509,0
69,43,232025,565,3
85,94,231955,504,0
72,80,232460,565,0
84,94,232460,504,0
87,42,232965,565,3
85,52,233169,1337,3
80,80,233476,1089,0
87,94,233476,1049,0
84,77,234526,1054,0
83,91,234526,1881,2
80,68,235541,1171,1
87,82,235541,1014,0
80,75,237061,232,0
82,75,237309,243,0
84,80,237572,234,0
73,75,237572,3079,0
84,75,238114,200,0
84,76,238622,197,0
84,75,239127,202,0
84,78,239637,202,0
82,75,240147,197,0
84,76,240652,197,0
89,75,241157,199,0
87,75,241668,4091,0
61,69,10,228,0
73,56,546,200,0
75,70,546,200,0
68,65,1054,197,0
77,92,1559,202,2
75,70,1559,202,0
60,67,2069,202,0
58,69,4100,234,0
68,64,4642,200,0
72,65,5150,197,0
56,56,5655,1524,0
60,56,5655,1524,0
63,66,5655,1524,0
58,57,7180,1011,0
61,57,7180,1011,0
65,71,7180,1011,0
61,69,8196,234,0
73,93,8738,1170,2
75,70,8738,200,0
68,65,9246,197,0
73,56,9751,202,0
75,70,9751,202,0
60,67,10261,202,0
58,69,12292,234,0
68,64,12834,200,0
72,65,13342,197,0
63,56,13847,1524,0
67,56,13847,1524,0
70,66,13847,1524,0
65,57,15372,1011,0
68,57,15807,1011,1
72,71,15372,1011,0
61,69,16394,228,0
73,56,16930,200,0
75,70,16930,200,0
68,65,17438,197,0
73,56,17943,202,0
75,70,17943,202,0
60,67,18453,202,0
64,69,20484,672,2
68,64,21026,200,0
72,65,21113,197,1
56,56,22039,1524,0
60,56,22039,1524,0
63,66,22039,1524,0
58,57,23564,1011,0
61,57,23564,1011,0
65,71,23564,1011,0
61,69,24580,234,0
60,92,25122,200,2
75,70,25122,200,0
68,101,25234,605,3
73,56,26135,202,0
75,70,26135,202,0
63,67,26991,202,2
58,69,28676,1094,1
68,64,29218,200,0
72,65,29726,197,0
63,56,30231,2029,0
67,56,30231,2029,0
