note,velocity,position,duration,anomalies
96,67,10,1548,1
60,55,10,429,0
77,43,724,400,2
82,85,1054,801,3
71,34,1880,390,4
79,62,1807,1194,1
81,65,1963,202,1
59,73,2069,400,2
79,62,2579,474,1
81,63,2787,975,2
69,43,3306,397,1
83,77,2981,397,3
83,23,3144,80,1
86,34,3553,346,3
79,33,3589,476,1
86,67,4100,1554,0
48,31,4100,1194,3
67,3,5061,629,3
67,21,5150,1059,3
74,62,5307,691,2
79,62,5903,246,0
81,88,6165,839,2
60,53,5888,973,2
94,62,6526,681,3
81,63,7168,79,0
77,43,7180,841,2
71,94,7096,1050,3
87,41,7301,9,4
81,57,7310,348,0
65,82,7572,476,3
85,31,8196,1855,2
59,55,8196,435,0
55,81,9542,400,3
69,35,9246,400,1
64,62,9938,1143,3
85,100,9999,1108,3
75,27,10544,202,3
59,88,10261,400,1
75,62,10361,451,3
88,88,11469,826,4
67,6,11276,969,3
79,57,11276,397,1
83,62,11336,806,1
81,57,11408,587,0
86,62,12029,917,1
95,31,12292,4391,3
73,55,12194,435,2
64,63,13749,1309,4
69,89,13342,400,1
48,53,14432,519,3
67,43,15835,397,1
69,19,15372,1277,2
86,67,16394,1548,0
67,55,16394,834,2
67,65,17750,400,2
71,57,16944,400,1
72,36,17943,621,3
79,62,17876,246,1
71,91,17978,130,4
56,80,18453,400,2
85,62,18963,1090,2
94,63,19774,80,2
69,4,19468,1033,2
78,57,19468,1223,2
94,62,19641,80,2
81,57,19519,346,1
79,62,19672,476,1
86,67,20216,2199,2
71,55,20484,435,1
67,18,21445,315,3
73,57,21534,755,2
74,22,22039,232,1
79,28,22287,165,2
81,27,22438,299,3
58,91,22295,836,4
83,100,23059,1260,2
81,103,23552,633,2
69,43,23952,397,1
78,57,23879,513,3
83,85,23623,79,1
81,18,23694,1024,2
69,38,24069,476,2
82,44,24580,1666,3
46,55,25028,825,3
66,43,25630,400,0
69,57,25630,400,0
76,97,26386,232,2
78,62,26505,831,2
84,88,26645,202,2
59,75,26277,400,2
83,62,27094,197,1
88,63,27977,241,1
64,43,28057,608,2
71,57,27325,397,2
74,62,27859,465,2
82,62,27931,243,2
81,40,28676,4091,1
59,55,28676,516,1
66,67,29941,400,2
78,57,29283,943,3
59,53,30741,400,0
67,43,31756,397,0
69,57,31756,547,1
80,59,32772,1818,2
86,35,32772,1554,1
64,55,32772,435,1
67,17,34142,530,3
72,57,33822,400,1
58,54,34615,232,2
74,28,34327,247,1
76,74,34575,246,1
91,32,34910,261,3
78,95,34837,554,2
81,98,34421,202,2
60,53,35005,400,1
79,54,35518,703,2
83,88,35347,474,1
68,54,35840,1065,2
81,20,36079,80,2
69,43,35472,397,1
69,77,35852,1370,3
90,44,35912,858,3
87,49,35984,458,2
76,93,36357,860,2
79,86,36237,506,2
91,33,36868,2024,3
75,59,36507,1554,2
68,55,36868,1435,2
67,68,37918,766,2
71,94,37918,400,1
79,68,38423,766,2
74,28,38423,417,2
82,68,38671,246,1
79,25,39135,261,2
78,51,38820,202,2
81,57,38933,202,0
60,75,39110,400,2
79,68,39806,474,1
83,54,39443,376,1
70,68,39866,512,2
81,69,39643,976,2
76,10,40174,397,3
81,26,39948,397,2
88,90,40241,448,4
81,87,40078,348,1
76,54,40453,476,0
79,46,40152,506,2
81,26,41425,2427,4
90,95,40964,1493,3
59,35,40964,844,2
60,21,42014,1304,3
60,57,41829,691,3
73,62,42519,232,0
76,62,42767,246,0
86,65,43029,202,1
55,27,43029,1102,3
78,62,43539,197,1
78,30,44277,167,4
64,17,44044,1271,2
69,57,44044,1219,1
87,89,43787,628,4
80,57,44176,587,1
86,62,45273,849,2
71,54,45060,4820,2
83,92,45060,4956,2
46,55,45060,435,1
66,43,45875,400,1
69,57,46110,1380,1
45,83,47055,400,3
62,43,48140,541,2
79,57,48555,397,2
79,92,48707,1554,2
71,86,49156,1554,2
86,73,49156,1554,0
60,19,49156,878,2
67,43,50206,400,0
71,85,50206,400,1
60,77,50711,232,2
72,21,50711,1241,3
74,68,50514,247,1
71,16,51160,246,2
81,15,50959,261,2
73,68,51246,763,3
79,57,50951,202,2
78,57,51221,895,1
81,94,50873,202,2
59,93,50933,886,4
81,15,51350,1047,4
79,89,51731,405,2
82,68,51731,1340,2
73,28,52224,1097,2
81,55,51873,748,2
78,55,52236,474,0
69,43,52330,397,1
76,30,52236,397,2
85,77,52294,934,3
81,42,52364,350,1
71,54,52741,476,0
76,54,52999,476,1
71,68,52690,978,3
87,59,53252,1824,2
84,59,53252,1554,1
84,52,53252,2031,3
63,20,53355,435,3
61,6,53898,665,4
81,57,54598,1292,3
75,74,54807,247,2
60,74,54807,737,3
74,68,54807,162,1
67,54,54791,603,2
74,54,55055,467,1
78,93,54972,261,3
74,24,55317,661,2
90,82,55514,94,4
77,71,55317,202,1
