note,velocity,position,duration,anomalies
67,127,10,784,1
74,117,10,784,0
93,127,10,1627,3
31,84,198,780,2
43,127,10,780,0
74,96,795,196,0
77,96,1299,244,0
76,96,1559,125,1
72,96,2069,184,0
81,96,2177,571,3
61,127,3222,794,3
62,117,3072,794,1
79,127,3072,794,0
41,115,3414,738,3
60,127,3364,790,2
84,96,4270,1094,3
77,68,4620,244,2
76,96,4631,202,0
72,56,5541,581,3
74,96,5633,510,0
67,117,6144,794,0
74,117,6144,794,0
65,127,6144,1710,2
31,87,6144,1532,2
32,127,6464,790,3
74,57,6939,1082,2
77,96,7443,244,0
87,58,7703,202,2
66,96,8213,613,2
72,96,8705,480,0
70,68,8990,603,2
75,82,9216,1361,3
29,116,9216,790,1
51,103,9550,790,2
65,108,9759,563,2
72,102,9759,502,0
67,88,10262,573,0
71,74,10159,512,3
65,88,10775,570,0
69,102,10775,509,0
38,111,10775,744,0
50,126,10775,744,0
53,88,11285,1084,2
74,102,10798,491,1
69,83,11899,432,1
77,97,11777,510,0
53,117,12147,784,2
74,117,12298,784,0
79,127,12180,784,1
31,82,12088,780,2
43,127,12298,1210,1
74,58,12589,458,3
77,96,13587,244,0
76,96,13847,202,0
62,116,14242,184,3
74,96,14712,1408,2
67,117,15360,794,0
74,117,15574,794,2
79,127,15360,794,0
36,91,15360,790,1
38,99,15360,790,2
83,96,15724,196,2
78,96,16659,244,1
77,59,17298,202,3
82,96,17429,184,1
74,96,17921,510,0
67,127,18432,794,1
74,117,18432,794,0
79,127,18168,1164,3
31,114,18432,1429,1
29,127,18432,790,2
74,96,19227,196,0
77,96,19731,244,0
85,96,19991,920,2
74,96,20501,1082,1
72,96,20993,480,0
84,88,21504,603,1
74,102,21504,1132,1
39,127,21242,1765,3
51,127,21605,790,1
79,63,22047,1507,3
72,102,22304,1071,2
55,88,22550,573,1
70,63,22550,512,1
65,88,23063,570,0
69,102,23403,509,1
32,111,23063,744,1
53,91,22904,1049,4
67,88,23573,552,0
82,122,23369,575,4
69,121,24065,432,1
77,127,24065,510,1
73,97,24576,794,2
62,117,24210,1227,3
79,127,24576,794,0
42,82,24670,542,3
53,127,24239,1026,3
31,60,25119,236,1
74,122,25371,274,2
43,96,25560,556,2
83,69,25875,704,3
39,127,25875,1020,3
76,96,26135,1071,1
54,96,26135,509,1
80,56,26295,697,4
56,65,26645,1182,3
74,96,27254,427,2
31,96,27137,480,0
67,81,27157,1141,3
72,85,27715,1738,3
73,127,27648,794,1
24,127,27648,542,1
48,127,27375,1227,4
24,94,28191,236,0
74,72,28693,196,2
36,96,28443,473,0
71,96,28947,244,1
24,94,28947,244,0
76,70,29559,1078,3
31,127,29207,509,2
72,96,29717,184,0
36,60,29717,461,1
74,124,30135,1507,3
24,66,30022,480,2
67,83,30361,1624,3
74,117,30720,794,0
84,127,30720,794,1
31,127,30720,1045,2
43,127,30720,664,1
31,96,31472,236,1
82,127,31515,196,2
43,96,31515,473,0
77,96,32019,244,0
17,96,32226,244,2
79,126,32279,202,2
43,96,32279,509,0
