note,velocity,position,duration,anomalies
73,103,1054,474,0
80,91,645,504,2
75,105,2069,479,0
82,82,2069,1106,2
77,81,3853,511,2
84,88,4349,511,2
66,127,6096,479,3
85,127,5655,1287,2
80,72,7180,1452,2
87,117,7180,504,0
72,127,7423,476,3
78,116,7400,622,3
73,81,9246,913,2
80,95,9246,439,2
75,105,10261,479,0
82,119,10261,479,0
65,114,12014,995,3
70,94,11781,1067,1
68,120,12029,924,2
84,120,12408,1082,4
70,80,12292,1045,1
73,70,12497,541,2
71,118,12834,568,2
70,56,13068,507,3
65,49,13342,565,1
70,126,13342,504,1
63,71,13847,1143,2
60,111,13847,509,1
85,103,17438,423,2
80,84,17357,504,2
70,105,18453,479,1
82,119,18760,1108,2
77,107,20484,1057,1
85,94,20484,511,2
78,66,22039,1344,2
85,76,22354,1201,3
80,103,23564,474,0
84,127,23726,623,4
82,126,23777,476,2
102,116,24259,1070,3
73,103,25476,474,1
80,117,25226,504,1
75,105,26645,479,0
82,119,26645,479,0
65,105,28165,277,1
70,71,28394,707,3
59,60,28725,288,3
80,94,28413,258,1
73,108,28676,1057,3
73,94,28676,541,0
68,80,29218,568,0
72,94,29218,507,0
63,80,29726,1319,2
64,64,29726,791,3
63,97,30437,775,2
68,111,30231,414,0
89,56,33822,197,2
77,64,34837,844,3
74,58,36003,93,3
80,124,36605,722,2
82,88,36868,602,0
80,88,37410,568,0
77,109,37918,625,2
65,56,38813,289,3
73,88,39117,397,2
75,88,39756,565,1
80,83,40453,830,2
58,89,42078,197,2
65,59,43029,202,1
57,88,44962,950,3
69,88,44797,12,2
65,88,45060,602,0
70,117,45505,568,2
60,65,46110,1279,3
63,111,46615,289,1
81,110,47466,592,4
72,60,48140,1271,2
77,89,50206,197,0
80,91,51221,202,0
77,88,52741,93,0
80,88,52989,104,0
82,88,53252,897,1
71,88,53794,730,2
77,62,54302,1173,2
71,60,54807,767,3
61,88,55827,474,0
63,116,56448,884,3
65,88,56837,476,0
66,57,57033,1046,3
83,62,57890,477,2
64,89,57930,1021,3
75,110,58706,479,2
80,49,60010,1195,3
82,88,60864,1176,2
84,88,61986,278,0
82,88,62733,1030,2
66,75,62147,1636,3
80,49,62111,1117,3
77,122,63509,2916,2
82,97,63509,2979,1
62,81,66590,197,1
89,60,66706,847,4
75,107,68005,998,3
89,76,67605,172,2
73,80,69125,513,1
64,66,69015,93,3
75,107,69188,1076,3
90,71,69373,966,3
77,103,69636,1198,2
71,94,69331,541,2
75,52,69792,1147,3
80,120,70178,1072,2
69,80,70778,565,2
81,94,70767,504,2
70,75,71191,1129,1
81,121,71486,202,3
