note,velocity,position,duration,anomalies
59,86,10,8181,0
71,96,10,8181,0
45,105,0,2978,3
54,78,2069,2026,0
52,80,4100,2064,0
45,80,4100,2064,0
47,78,6165,2026,0
71,86,8196,8187,0
90,100,7946,8457,3
51,75,8196,3079,0
45,80,8196,2064,0
48,76,11276,3080,1
54,110,12123,2519,4
52,78,14357,2026,0
66,86,16388,8187,0
78,100,16486,8091,2
45,80,16388,2064,0
47,78,18453,2026,0
52,114,20484,2805,2
53,42,20133,2064,3
47,112,22482,2026,2
82,75,24580,2456,2
51,75,24580,3079,0
45,51,24355,2817,3
92,75,26645,2107,0
51,76,27660,3080,0
90,75,28676,2145,0
45,80,28466,2064,1
88,70,30741,2026,0
52,78,30741,2026,0
64,57,32772,8526,2
76,96,32772,8187,0
44,80,32772,2064,0
54,104,35150,3018,3
52,80,36868,2064,0
44,80,36868,2064,0
47,49,39372,2394,3
71,50,40964,8187,1
80,127,41359,8922,4
51,44,40964,3079,1
44,80,40964,2064,0
51,76,44044,4045,1
44,80,44882,2875,2
52,78,47125,2026,0
59,86,49156,8187,0
71,100,49281,8758,2
44,80,49156,2064,0
47,78,51221,2026,0
52,80,53252,2064,0
41,42,52787,2636,4
58,78,55317,2026,1
75,75,57348,2145,0
55,75,57348,3351,2
44,110,57840,2064,2
76,38,58976,2107,2
52,76,60428,3080,0
80,75,61444,2145,0
44,48,61283,2064,2
85,70,63509,2017,0
60,78,63858,2090,3
85,86,65144,8187,2
83,127,65953,8187,2
45,102,65540,2064,1
54,78,67605,2026,0
52,113,69390,2064,2
45,108,69636,2064,1
47,78,71701,2026,0
75,86,73732,8187,0
90,100,73732,8187,0
42,75,73732,3977,2
45,80,73732,2064,0
51,76,76812,3080,0
45,80,77828,2064,0
61,78,79893,2556,2
94,86,81924,8350,2
88,100,82369,8187,1
39,111,81924,2064,2
47,78,83989,2026,0
52,49,86020,2064,1
56,80,86020,2654,2
47,78,88085,2026,0
88,106,90607,2420,3
51,112,90200,3615,3
45,80,90116,2064,0
87,75,92181,2107,0
51,76,93196,3080,0
88,104,94423,2894,3
45,103,94212,2787,2
92,70,96452,1949,3
52,78,96277,2026,0
83,86,98772,8522,2
92,96,97870,8718,2
53,80,97911,2064,2
54,78,100373,2026,0
40,108,102404,2621,3
47,80,102404,2064,0
47,78,104469,2026,0
90,66,106500,6160,1
78,75,106500,8187,0
53,75,106759,3255,3
61,53,106591,2175,4
51,47,109580,3080,1
47,80,110596,2064,0
88,78,112849,2026,1
52,78,112661,2026,0
76,86,114692,4091,0
88,100,114692,4091,0
49,75,114692,4091,0
