note,velocity,position,duration,anomalies
66,69,10,498,0
68,64,539,477,0
74,67,1047,469,0
70,69,2048,273,0
74,64,2337,234,0
72,64,2836,243,0
70,67,3095,241,0
72,64,3352,227,0
68,64,3595,227,0
72,64,3838,242,0
74,69,4096,347,1
72,64,4259,118,0
66,69,6154,498,0
68,64,6683,477,0
74,67,7191,469,0
70,69,8192,273,0
74,64,8481,234,0
72,64,8980,243,0
70,67,9239,241,0
72,64,9496,227,0
68,64,9739,227,0
72,64,9982,242,0
74,69,10240,155,0
72,64,10403,118,0
66,69,12298,498,0
68,64,12827,477,0
68,103,13252,627,4
70,69,14336,273,0
74,64,14625,234,0
72,64,15124,243,0
70,67,15383,241,0
72,64,15640,227,0
68,64,15883,227,0
72,64,16126,242,0
62,69,16714,155,2
72,64,16547,118,0
66,69,18442,498,0
68,64,18971,477,0
74,67,19479,469,0
70,69,20480,273,0
74,64,20769,234,0
72,64,21268,243,0
70,67,21527,241,0
72,64,21784,227,0
68,64,22027,227,0
72,64,22270,242,0
74,69,22528,155,0
72,64,22691,118,0
42,57,10,559,0
29,63,1942,531,2
42,75,2587,233,0
48,75,4385,234,0
44,75,4635,94,0
42,75,4884,243,0
50,78,5053,241,1
52,75,5400,227,0
46,75,5643,227,0
42,68,6154,559,0
56,37,7623,531,3
38,43,8731,233,2
48,75,10529,234,0
44,75,10779,94,0
42,75,11028,243,0
50,78,11287,241,0
52,75,11544,227,0
46,75,11787,227,0
42,68,12298,559,0
42,63,13835,531,0
42,75,14875,233,0
48,75,16673,234,0
44,75,16923,94,0
42,115,17172,809,2
50,78,17431,241,0
52,99,17688,227,1
32,53,17931,1122,3
42,68,18442,559,0
38,63,19979,531,1
42,75,21019,233,0
48,75,22817,234,0
38,75,22812,775,3
42,75,23316,243,0
50,78,23575,241,0
52,75,23832,227,0
46,75,24075,227,0
