note,velocity,position,duration,anomalies
73,80,10,1043,0
38,79,10,1548,0
75,76,744,474,2
65,75,1559,585,2
38,74,1559,232,0
77,78,2537,1014,2
64,76,3084,791,1
80,75,3673,604,3
61,80,4100,1487,1
59,76,5150,474,0
61,100,6091,1235,3
54,78,6165,1014,0
38,77,6165,247,0
38,74,6675,1516,0
52,76,7180,474,0
44,113,7685,1308,3
38,79,8196,1554,0
38,74,9751,232,0
38,77,14357,247,0
32,74,15082,1516,2
73,80,16394,1043,0
38,79,16394,1548,0
73,76,17438,474,1
65,40,17943,1286,3
38,74,17943,232,0
66,78,18453,1014,0
78,76,19468,1285,2
66,75,19973,476,0
61,80,20484,1049,0
59,76,21534,474,0
61,101,22039,1097,2
54,78,22549,1278,1
38,77,22549,247,0
33,35,23462,1516,3
52,76,23564,474,0
50,75,24455,752,3
49,79,24580,2084,2
38,74,26365,232,1
40,106,30741,247,2
39,74,30936,1516,2
71,50,33233,1049,2
36,42,32772,1626,2
69,76,33822,474,0
78,75,34327,479,1
41,99,34327,827,3
64,78,34837,1014,0
64,42,35852,474,2
62,103,36357,476,2
59,80,37162,1983,2
57,76,37918,474,0
66,114,38423,479,2
52,107,38933,1014,1
30,39,38933,247,2
34,73,39883,1516,2
50,76,39948,474,0
52,75,40453,476,0
36,46,40647,1554,2
36,38,42519,1158,2
36,76,47125,897,1
36,73,47635,1516,0
71,80,49156,1049,0
36,78,49156,1554,0
69,76,50206,474,0
71,75,50711,479,0
36,73,50711,232,0
53,50,51221,1251,3
62,76,52236,474,0
64,75,52741,476,0
59,80,53252,1049,0
55,76,54430,474,2
59,75,54807,479,0
52,78,55317,1014,0
36,76,55317,247,0
36,73,55827,1516,0
50,76,56332,474,0
41,75,56837,476,1
36,78,57348,1554,0
28,52,58508,640,4
40,76,63509,247,1
36,94,64218,1516,2
