note,velocity,position,duration,anomalies
86,62,10,596,0
63,54,10,4085,0
67,54,10,4085,0
70,54,10,4059,0
74,68,10,2629,0
84,62,546,278,0
86,62,795,288,0
79,62,1054,565,0
77,62,1559,277,0
79,62,1807,291,0
74,62,2069,570,0
72,62,2579,277,0
74,62,2827,286,0
77,36,2825,1749,4
72,62,4100,602,0
58,54,4100,4091,0
62,54,4100,4091,0
65,54,4100,4091,0
69,68,4100,4091,0
81,62,4642,182,2
72,62,4891,288,0
77,57,5150,1983,1
72,62,6165,570,0
70,62,6675,277,0
74,85,6479,286,3
82,57,7180,985,0
87,62,8196,602,0
60,54,8196,4091,0
63,54,8196,4091,0
67,54,8196,4091,0
70,68,8196,4065,0
86,62,8738,278,0
96,62,8987,844,2
79,62,9246,565,0
77,62,9751,277,0
79,62,9999,291,0
74,62,10261,990,1
72,62,10771,277,0
74,62,11019,286,0
70,57,11276,985,0
72,62,12292,602,0
58,54,12292,4091,0
62,54,12292,4091,0
65,54,12292,4091,0
69,68,12292,4091,0
70,62,12834,278,0
72,62,13083,288,0
77,57,13342,988,0
72,62,14357,570,0
65,65,14357,2026,0
75,62,14867,642,2
72,62,15115,286,0
81,57,15372,985,0
86,62,16313,596,1
63,54,16394,4085,0
67,54,16394,4085,0
70,54,16394,4059,0
74,68,16394,2629,0
84,62,16930,278,0
86,62,17179,288,0
79,62,17438,565,0
73,62,17943,890,2
79,62,18191,291,0
74,62,18453,570,0
72,62,18963,277,0
74,62,19211,286,0
70,57,19468,985,0
72,62,20484,602,0
58,54,20484,4091,0
62,54,20484,4091,0
65,54,20484,4188,1
75,68,20226,4849,3
70,62,21026,278,0
76,98,21587,646,4
77,57,21534,988,0
72,62,22549,570,0
70,62,23059,277,0
72,62,23307,286,0
82,57,23806,1249,2
87,62,24580,602,0
60,54,24580,4091,0
63,54,24580,4091,0
67,54,24580,4091,0
70,68,24580,4065,0
86,62,25224,1231,2
87,62,25371,288,0
79,62,25630,565,0
64,62,26135,1030,2
79,62,26383,291,0
74,30,26645,1379,2
72,62,27155,277,0
74,62,27403,286,0
70,57,27660,985,0
66,40,28823,602,3
58,54,28676,4091,0
62,54,28676,4091,0
65,54,28676,4091,0
69,68,28676,4091,0
70,62,29218,278,0
72,62,29467,288,0
77,57,29726,988,0
72,62,30741,570,0
65,65,30741,2026,0
70,62,31727,1157,2
73,62,31175,1255,3
81,57,31756,985,0
