note,velocity,position,duration,anomalies
40,64,0,128,0
44,69,10,126,1
41,71,10,161,0
70,64,128,79,0
46,57,128,79,0
46,64,128,79,0
70,58,136,71,0
58,112,351,77,2
40,79,213,77,0
41,94,213,82,0
34,109,256,979,3
41,94,256,39,0
58,88,272,18,0
70,88,296,77,0
46,88,296,77,0
58,88,379,29,0
40,79,379,5,0
47,63,308,840,4
46,81,384,128,0
70,104,408,130,1
70,88,462,76,0
46,88,619,484,2
40,88,512,108,0
41,94,512,113,0
60,124,544,780,3
58,88,544,76,0
40,79,544,76,0
44,94,544,713,2
70,88,626,77,0
46,88,626,77,0
46,81,640,63,0
70,82,516,532,2
63,51,709,10,3
40,79,709,77,0
41,94,709,82,0
40,88,768,18,0
33,122,277,23,3
70,88,792,24,0
46,88,792,77,0
71,88,816,752,2
71,88,1210,0,3
40,79,875,21,0
41,118,963,910,3
46,81,896,521,1
70,82,952,91,0
70,88,960,83,0
58,88,960,64,1
50,88,1176,312,3
50,95,1024,209,2
58,88,1049,85,0
42,79,842,865,3
47,58,1049,90,2
58,88,1088,46,0
70,88,1140,78,0
46,60,1320,977,3
46,81,1152,66,0
70,82,1224,136,0
58,88,1224,77,0
40,79,1224,77,0
41,124,1224,1043,2
40,67,1280,220,2
41,94,1077,26,1
70,88,1307,53,0
46,121,828,77,2
58,88,1360,136,0
40,79,1390,18,0
41,94,1390,61,0
46,81,1408,128,0
70,88,1472,76,0
46,88,1472,64,0
70,82,1496,52,0
40,68,1536,93,1
41,94,1536,98,0
57,88,1554,75,1
40,79,1554,75,0
41,94,1554,80,0
52,67,1281,136,3
70,88,1635,76,0
57,88,1635,76,1
46,81,1664,47,0
58,88,1717,51,0
40,79,1717,77,0
41,94,1717,82,0
68,62,2077,109,3
40,88,1792,2,0
41,94,1792,7,0
70,88,1800,77,0
40,88,1800,264,2
58,88,1883,78,0
40,46,1680,37,2
53,94,1883,80,1
70,88,1776,1055,3
46,81,1920,128,0
70,88,1967,87,0
46,88,1967,81,0
70,82,2040,14,0
54,124,2048,102,2
41,97,2048,107,0
58,88,2060,90,0
40,107,1931,880,3
41,127,1926,322,3
70,88,2156,20,0
46,48,2156,78,1
58,88,2176,136,0
46,81,2176,58,0
58,88,2240,72,0
40,79,2240,746,1
41,94,2240,82,0
40,88,2304,13,0
41,94,2304,18,0
74,82,2312,435,2
70,88,2323,77,0
46,88,2323,77,0
67,112,2167,463,4
40,79,2406,26,0
41,94,2324,69,1
46,81,2432,691,1
58,88,2448,766,1
79,68,2411,76,3
36,88,2488,422,2
40,88,2560,214,1
41,115,2560,90,1
63,88,2456,329,3
26,79,2764,75,2
41,94,2977,805,2
66,82,2584,136,1
70,88,2651,69,0
46,88,2651,76,0
46,81,2688,39,0
54,88,2577,257,3
40,79,2733,77,0
41,94,2733,82,0
70,88,2816,77,0
45,120,2816,128,2
41,94,2816,166,0
46,88,2974,245,2
70,82,2856,37,0
58,113,2899,6,2
40,52,2899,107,2
41,94,2899,83,0
46,81,2944,121,0
70,125,2721,802,3
46,88,3337,82,1
48,88,2505,366,3
58,88,3071,57,0
40,79,3297,84,1
41,94,3071,89,0
40,88,3072,83,0
50,62,3072,1063,3
70,82,3128,111,0
70,88,3161,78,0
46,126,3433,779,3
36,81,3200,39,1
58,88,3245,78,0
40,79,3245,78,0
41,94,3245,83,0
58,88,3264,59,0
40,125,3328,722,2
35,94,3658,0,2
70,88,3329,76,0
60,88,3147,326,3
70,82,3400,5,0
58,63,3237,318,3
40,79,3411,45,0
41,94,3411,81,0
46,81,3456,113,0
70,88,3493,43,0
46,88,3493,76,0
58,88,3536,115,0
58,88,3575,764,1
40,79,3575,76,0
54,70,3498,163,4
51,88,3857,67,2
41,94,3584,72,0
70,88,3657,77,0
46,88,3657,77,0
70,82,3778,62,1
46,81,3712,22,0
50,88,3740,76,1
33,79,3315,76,2
48,54,3813,14,3
58,88,3808,8,0
70,88,3822,77,0
38,127,3822,18,2
40,88,3840,128,0
41,94,3840,148,0
67,88,3673,159,3
40,79,3905,63,0
51,114,4384,83,3
70,82,3944,126,0
46,81,3968,102,0
70,88,3989,81,0
46,88,3989,81,0
57,93,4096,128,0
44,57,3628,33,4
40,94,4096,170,0
69,82,4224,79,0
62,88,4224,79,1
45,81,4224,79,0
45,88,4224,604,1
57,88,4309,924,1
39,79,4309,77,0
40,93,4309,82,0
63,88,4352,190,2
39,88,4016,34,1
27,64,4803,39,3
69,48,4392,77,1
45,88,4392,77,0
57,88,4475,5,0
39,110,4475,5,1
40,93,4475,48,0
70,82,4480,366,2
45,81,4480,128,0
69,88,4558,50,0
45,88,4558,50,0
57,88,4608,108,0
39,88,4608,108,0
40,127,4608,113,1
57,88,4640,76,0
39,79,4640,76,0
40,93,4640,81,0
57,122,4331,77,3
45,88,4722,77,0
77,82,4736,558,2
45,81,4736,519,1
57,88,4805,77,0
30,79,5090,234,3
40,93,4805,82,0
43,50,4719,367,4
39,118,4864,792,2
52,93,4864,704,2
76,119,4489,77,3
45,88,4888,77,0
57,88,4971,21,0
39,118,4971,21,1
42,93,5306,568,3
69,82,4992,128,0
45,81,4992,128,0
69,119,5541,498,3
45,88,5056,64,0
57,89,5120,110,0
53,67,4825,110,3
40,58,4912,771,3
66,63,4921,747,4
53,114,5145,898,3
40,93,5145,90,0
69,88,5236,78,0
45,88,5236,78,0
57,61,5248,66,2
45,81,5248,66,0
57,88,5320,77,0
39,79,5320,462,1
40,93,5320,82,0
49,88,5376,21,1
39,88,5376,21,0
40,93,5376,26,0
69,88,5403,77,0
45,110,5403,0,2
57,88,5486,372,1
39,79,5486,824,1
40,93,5486,61,0
69,82,5504,128,0
45,81,5504,128,0
69,88,5568,64,0
45,88,5568,64,0
57,88,5632,93,0
39,50,5359,93,2
34,93,5632,1070,2
57,88,5650,75,0
32,51,6143,690,4
40,93,5650,80,0
69,88,5731,76,0
45,88,5731,581,1
69,119,5760,47,1
36,52,6047,47,3
57,88,5813,77,0
39,118,5813,167,2
40,93,5813,82,0
57,116,5476,493,3
39,88,5888,2,0
40,93,5888,7,0
69,88,5896,77,0
52,56,6344,813,4
57,88,5979,37,0
39,79,5979,37,0
40,93,5979,80,0
82,82,6016,128,1
45,81,6016,128,0
65,88,6063,891,2
45,88,6063,81,0
57,91,6144,102,0
39,65,6144,102,1
40,96,6144,107,0
57,88,6156,90,0
34,79,6156,223,2
40,93,6156,95,0
69,88,6252,78,0
45,123,6485,78,2
69,82,6272,58,0
45,81,6272,58,0
67,88,6336,77,1
39,79,6336,77,0
40,93,6336,82,0
57,88,6400,13,0
39,88,6400,13,0
30,70,6788,18,3
69,88,6419,77,0
45,88,6419,77,0
57,88,6828,553,2
39,79,6502,26,0
40,93,6502,69,0
70,121,6528,128,2
39,115,6790,128,3
69,88,6483,122,2
42,64,7076,72,3
57,88,6656,85,0
39,88,6656,595,1
40,93,6656,90,0
57,88,6666,75,0
39,51,6758,75,2
40,93,6666,80,0
79,53,6747,76,2
45,67,6747,494,2
76,120,6439,815,4
45,81,6784,39,0
57,127,6398,77,2
39,79,6829,77,0
40,127,7259,82,2
57,88,6912,128,0
69,88,6912,77,0
39,88,6912,128,0
40,93,6912,166,0
45,88,6912,77,0
68,88,6687,45,2
39,79,6995,45,0
54,127,6995,83,2
65,82,7040,528,2
45,81,7040,121,0
69,88,7079,82,0
45,51,7429,28,3
57,88,7167,84,0
42,79,6755,883,3
40,93,7167,89,0
57,110,7168,83,1
39,88,7168,83,0
40,94,7168,88,0
69,88,7092,78,1
45,124,7067,0,3
70,112,6998,39,3
45,81,7296,39,0
