note,velocity,position,duration,anomalies
93,67,10,1393,3
74,74,0,2058,3
81,37,546,538,0
77,38,848,535,1
81,37,1559,1147,1
88,40,2489,1481,2
60,77,1641,2026,2
72,37,2579,1534,2
77,38,3084,535,0
87,66,3366,537,3
86,42,4538,572,1
47,80,4100,2352,3
81,60,4709,538,2
74,38,5150,1031,1
89,37,5655,540,1
84,40,6165,540,0
57,52,6165,2026,0
83,37,6376,535,2
79,38,7180,535,1
79,3,8104,1466,3
86,42,8196,572,0
55,80,8472,2064,2
74,12,9053,538,3
87,14,9174,535,3
77,37,9751,540,0
91,40,10261,1328,2
57,52,10261,2026,0
79,64,10905,535,2
68,61,11276,535,2
73,73,11570,1525,4
86,42,11920,572,1
58,94,12292,2769,2
74,37,12834,1080,1
77,77,13342,535,2
69,37,14059,1169,3
88,40,14357,679,1
56,52,14357,2026,1
84,37,14867,535,0
79,2,15372,535,1
76,63,15487,537,2
66,33,15904,572,3
50,99,16886,511,2
69,50,16930,538,0
57,62,16930,1149,1
65,15,17223,535,2
62,33,17925,1669,3
82,50,17943,540,1
77,20,18453,540,2
48,65,18453,479,0
69,50,18963,535,0
55,83,18963,573,2
64,51,19703,1276,2
55,86,19760,1433,4
69,50,19890,537,1
74,55,20354,1044,2
46,32,20294,511,2
69,50,21026,538,0
53,62,20876,1181,2
62,51,21534,535,0
52,63,21903,1014,2
69,50,22191,540,1
72,53,22549,540,0
45,65,22549,1125,1
67,70,22694,535,2
52,62,23471,474,1
56,51,23931,535,2
55,63,23564,1011,0
78,13,24069,640,3
73,55,24580,572,1
43,67,24580,511,0
65,50,25122,538,0
62,32,25295,477,3
62,22,25630,535,1
63,63,26016,1096,3
69,50,26135,1307,2
67,53,26832,540,1
45,30,26789,1302,3
56,14,27155,474,2
45,99,27155,1190,3
59,21,27660,535,2
47,30,27660,1059,3
64,50,28165,537,0
62,67,28676,1531,1
50,67,28676,511,0
57,92,29218,1296,2
69,101,29726,1171,3
67,41,30024,727,4
80,91,30231,479,2
62,57,30741,2026,0
66,102,30450,2469,3
30,84,31223,2735,4
50,67,30741,3024,1
64,59,32772,1180,2
65,51,32772,541,1
38,58,33081,1081,2
50,69,32772,541,0
64,62,33486,1293,3
57,62,33314,477,0
65,55,33822,1494,0
74,65,33822,2347,2
62,63,33822,474,0
57,62,34327,479,0
48,104,34837,479,1
81,62,35347,541,2
55,62,35347,474,0
79,63,35373,474,2
60,36,35852,1011,1
69,31,36067,476,2
69,84,36977,1482,4
67,96,37102,541,2
46,67,36425,1110,2
80,38,37119,1012,3
41,62,37686,902,3
69,83,37918,1014,2
65,97,38903,1404,3
60,57,39063,479,1
67,92,39246,1052,3
53,65,39184,596,3
69,97,39443,1774,2
53,62,39443,474,0
57,63,39948,1011,0
60,62,40453,232,1
51,93,40701,243,2
61,59,40964,1049,1
52,73,40964,1113,2
43,101,40526,851,3
50,102,41506,392,2
64,63,42014,474,0
55,63,42014,1014,0
70,25,42827,479,3
60,57,43029,1519,0
67,71,43029,1519,0
45,65,42917,479,1
52,22,43539,970,2
57,26,43566,1818,3
65,62,44549,746,1
62,59,45387,2484,2
60,73,45060,1554,1
47,67,45060,511,0
54,62,45602,477,0
53,63,46110,1272,2
69,62,46615,509,0
53,57,47125,2026,1
69,37,47125,2282,2
49,65,47125,999,1
56,62,47823,474,1
61,63,48140,1011,0
62,59,49156,511,0
65,73,49156,541,0
50,88,49156,870,2
64,17,49882,843,3
68,34,49698,1339,3
50,84,49698,618,3
75,25,50206,2065,3
67,99,50206,2245,3
62,63,50206,1014,0
57,65,51357,479,2
72,26,52201,1367,4
53,82,51650,1075,4
63,29,52236,474,2
54,89,52236,932,3
69,84,52741,476,1
62,59,53252,832,1
67,102,53328,541,2
39,92,53252,732,3
69,62,53794,1012,0
53,62,53794,994,1
58,63,54302,1014,0
69,35,54807,479,2
60,57,55087,479,1
53,71,55797,1202,3
45,65,54942,777,2
69,62,55827,1856,1
53,29,55827,474,1
70,63,56332,1580,2
62,82,57162,1184,3
64,62,56790,188,2
58,34,57805,1406,3
65,110,57348,1162,2
43,67,57348,511,0
52,97,57890,1308,3
64,63,58398,474,0
55,63,58322,1014,1
65,26,59241,479,2
64,65,59413,1519,0
45,27,59413,479,1
52,62,59861,474,1
57,97,60492,1011,2
65,62,60933,232,0
64,62,60960,243,1
62,91,61444,1554,1
50,45,61444,707,2
52,62,61986,477,1
62,63,62971,1340,2
67,62,62999,764,1
66,116,63318,2026,2
66,63,64019,985,2
44,64,64524,535,1
48,28,65029,1253,3
74,72,65540,511,0
77,121,65540,541,1
38,22,65316,572,2
50,74,65540,541,0
79,99,66082,541,2
57,63,66082,538,0
77,91,67002,1561,3
81,50,66590,2324,2
62,44,66590,535,1
57,89,66628,540,2
48,66,67605,540,0
89,75,68115,474,0
55,63,68115,535,0
88,76,68814,616,2
78,76,68620,1233,2
84,112,69125,476,2
80,72,69636,732,2
79,86,69636,541,0
53,116,69636,511,2
81,75,70178,1012,0
45,75,69830,477,2
69,96,70686,1732,3
89,75,70818,602,3
72,70,71701,479,0
79,84,71701,509,0
40,78,71701,1062,2
81,54,72211,1170,2
53,103,72211,474,1
57,76,72716,1011,0
61,75,73654,232,2
76,51,73166,243,2
70,34,73401,1049,2
77,52,73523,1514,3
43,80,73732,511,0
50,36,74097,1281,3
76,76,74782,474,0
60,102,74782,1014,2
77,75,75427,479,1
63,70,75648,1832,3
79,105,75598,1519,2
45,78,76198,479,1
52,75,76307,910,1
70,76,76812,1235,2
77,51,77317,770,2
85,72,77510,2275,3
74,39,77602,2510,3
79,58,77452,1554,2
47,80,77828,511,0
54,50,78532,1074,3
59,76,78626,1014,1
81,75,79578,509,1
80,103,79395,2026,3
85,108,80034,2026,3
81,84,79893,2026,0
49,78,79893,479,0
56,41,80403,1043,2
61,109,81252,1125,3
68,72,81924,511,1
77,65,81924,991,2
50,80,81924,511,0
79,75,82466,477,0
57,44,82292,477,2
77,44,82974,1724,2
93,116,82974,1594,3
62,44,83246,778,3
57,75,83479,479,0
40,78,83989,479,1
89,75,84499,474,0
55,75,84209,474,1
77,91,85086,474,2
88,82,85107,1500,2
64,48,85143,1557,3
81,75,85509,476,0
74,112,86020,511,1
79,123,86020,1180,2
44,111,86020,440,3
79,113,86695,1012,3
59,75,86254,477,2
58,76,87070,2013,1
78,102,87575,479,2
72,91,87701,479,2
82,84,88202,509,2
46,78,88085,1159,2
73,40,88595,1706,3
53,75,88595,416,1
57,76,89416,1827,2
74,75,89605,232,0
76,50,89853,243,1
70,72,90116,1049,0
77,86,90116,1049,0
43,80,90207,1245,2
39,75,90806,477,2
62,76,91042,1108,3
55,76,91166,1014,0
77,44,91671,479,1
63,70,92181,1775,2
79,84,92181,1014,0
49,58,92181,718,3
52,43,92691,1176,2
64,76,93325,1011,2
52,76,93693,1484,3
74,55,94339,2479,3
62,80,94212,511,1
57,75,94268,1089,2
53,55,95262,2510,3
67,75,95767,479,0
66,78,96111,2327,2
62,63,96478,535,1
57,64,97577,461,2
50,63,97797,537,0
62,59,98445,1049,1
65,96,98042,1049,2
69,69,98519,1049,1
51,55,98308,1120,2
66,50,99340,1384,3
62,21,99474,1014,2
65,23,99358,1014,1
63,46,99481,1676,4
59,51,99358,535,1
53,50,99698,540,1
60,57,100373,1014,0
65,57,100373,1831,2
67,71,100752,1014,1
44,73,100373,540,2
53,50,100883,535,0
60,55,101388,474,0
67,65,101388,504,0
58,28,101388,1265,2
80,62,101969,476,2
51,50,101449,1298,3
60,59,102404,1049,0
67,59,102404,1385,1
72,34,102600,1049,2
45,55,102404,572,0
53,13,102946,1222,2
60,55,103642,1014,1
67,69,103454,822,0
50,13,103255,535,3
59,19,104254,540,3
69,39,103743,128,2
72,91,104320,128,2
65,65,104456,1027,0
47,53,104469,540,1
54,50,104979,535,1
61,63,105484,474,1
51,16,105736,758,4
69,62,105989,476,0
57,16,105535,716,3
62,59,106500,511,0
73,97,106553,756,4
49,91,106500,644,3
69,39,106819,1336,3
53,50,106629,538,1
67,89,107920,474,3
