note,velocity,position,duration,anomalies
83,64,2837,256,1
84,64,3328,256,0
83,64,3679,256,1
72,98,3840,256,2
79,100,4096,1536,1
60,64,3956,512,1
67,64,4608,512,0
64,29,5120,1074,2
79,64,5521,829,2
73,64,5632,512,1
82,90,6144,512,2
53,64,6370,1119,2
81,37,6537,512,2
60,34,6217,512,2
77,104,7168,512,1
57,64,7168,708,1
90,64,8133,512,2
60,64,7680,820,1
69,64,8554,1536,2
55,64,7712,512,1
64,64,8704,1047,2
59,64,9216,512,0
62,39,9728,512,2
62,64,9370,512,1
45,94,10240,512,2
74,43,10315,1208,3
57,64,10240,512,1
79,99,10752,512,1
62,64,11012,1359,2
80,64,11264,512,1
45,64,11462,1481,3
63,64,11310,1209,3
62,64,11921,1512,2
72,64,12288,1536,0
57,90,12586,756,3
68,28,12478,938,4
52,64,13262,512,2
71,64,13824,866,1
64,101,13824,2525,2
76,64,14080,743,2
42,97,14336,1024,1
74,92,14336,1024,1
83,36,14336,1024,1
54,64,14336,512,0
68,64,15116,512,2
68,64,14972,1024,2
84,64,15411,1122,2
64,35,15113,512,2
60,103,15872,512,1
85,27,16384,2048,2
66,39,16384,2869,3
50,104,16255,512,2
57,64,16736,512,1
70,41,17752,1071,4
57,26,18389,1071,3
71,102,18432,1908,2
55,39,18359,1304,3
58,64,19359,512,2
74,64,19456,256,0
81,28,19098,256,3
46,38,19456,1120,3
76,64,19712,256,0
84,102,19385,348,3
88,64,19785,846,3
91,64,20110,256,2
62,64,20171,455,2
72,86,20337,528,3
81,104,19730,1143,3
71,88,20897,2224,3
79,95,20320,1536,2
60,64,20480,1469,1
67,96,20992,1199,2
72,64,21955,512,2
91,34,21749,1021,4
67,64,22016,512,0
79,42,22528,1440,2
63,44,22895,461,4
77,30,23040,512,2
60,64,22782,731,2
65,64,23552,512,1
46,64,23852,512,2
76,64,24397,994,2
63,25,24064,512,2
74,64,24576,1536,0
55,64,24576,512,0
51,33,25492,512,3
79,100,25088,1881,3
59,64,25145,1271,2
74,64,25631,368,2
62,99,25773,1499,3
50,40,26624,512,2
74,64,26624,1338,1
56,64,26848,870,2
85,36,27136,1463,3
58,64,27348,1126,3
76,64,27648,512,0
59,27,27648,823,2
74,28,28160,512,1
66,64,27826,512,2
74,42,29088,1536,3
57,32,28293,512,2
72,26,29567,643,4
61,64,29696,512,1
71,64,29769,256,1
64,64,30208,512,0
72,64,30763,256,1
76,64,30262,1304,3
75,104,30720,1024,2
54,64,30720,512,0
73,64,30957,512,2
76,42,31744,1775,2
95,89,31744,1253,3
64,64,32194,1451,2
73,26,32256,512,2
72,94,32768,1024,1
72,64,32768,1024,1
50,64,32768,512,0
57,64,33280,512,0
69,64,33792,1024,0
77,64,34179,1700,2
60,44,33444,731,3
55,102,34304,796,3
65,64,34510,1211,2
63,87,34816,1024,2
43,99,34816,512,1
50,64,35674,512,1
71,43,35758,1024,3
74,94,35840,936,2
66,64,35697,1406,3
67,64,36947,3584,1
76,29,36864,4091,2
32,98,36461,512,3
39,35,37376,512,2
59,98,37888,512,1
48,64,38400,1240,2
60,64,39395,2048,1
62,64,40448,512,1
71,64,40772,682,2
29,64,41299,1491,3
63,95,41642,683,2
53,28,41984,1024,1
57,64,41984,1024,0
51,64,41649,1024,2
60,64,42323,1024,2
84,64,42325,2219,0
53,64,43008,2024,1
57,98,42662,1024,2
51,41,43008,1024,2
64,64,43008,1024,0
53,84,44032,1024,1
49,28,44032,1119,3
62,64,44032,1024,1
64,88,44032,1486,2
86,64,44544,1346,1
90,64,45056,682,1
45,38,44896,948,3
79,86,45810,683,2
66,64,46080,1841,2
68,89,46336,1024,3
60,64,46080,1024,0
55,64,45744,1024,2
76,64,46421,5803,0
46,64,47474,1827,3
59,41,46791,1715,3
54,39,47104,1958,3
62,26,47104,1024,2
46,41,48335,1644,4
72,64,47782,1241,3
74,64,48128,1921,2
64,64,48128,1024,0
38,64,49152,1024,0
53,34,50108,1804,3
53,64,50176,1623,2
60,29,50176,1024,1
62,40,50176,1024,2
53,64,51200,1863,1
57,35,51017,1024,2
60,64,50985,1127,2
64,86,51200,1024,1
40,64,52224,1753,2
69,64,51794,1590,3
48,64,52039,1024,2
64,64,52224,1964,1
88,64,52315,950,2
100,100,52972,1606,4
41,31,53441,1519,3
89,39,54244,613,3
46,64,54272,1125,2
45,37,54677,1024,3
71,24,54272,1024,2
77,64,54692,1024,2
81,28,54882,2642,3
46,95,55296,1134,3
57,64,55296,1024,0
60,33,55296,1375,2
64,100,54974,1024,2
40,64,56717,1024,2
71,64,56598,1024,2
60,86,56650,1699,3
76,64,56755,1367,3
81,35,56832,256,1
95,64,57088,256,1
89,104,57742,768,4
42,102,57344,1024,2
85,93,58210,1064,4
66,64,58286,1685,3
59,103,58741,1024,2
62,64,58368,1024,0
79,31,58709,2869,2
55,64,59392,959,1
62,64,59392,1024,1
70,39,59724,1694,4
55,99,60136,1389,3
59,104,60416,1024,1
62,64,60416,1024,0
77,64,60928,1197,1
55,101,61440,1365,1
76,64,61440,682,0
69,93,61440,1344,2
73,64,61226,1344,2
64,87,61440,1365,1
78,64,62365,919,3
84,84,62805,1195,1
55,27,63065,3406,4
59,64,62634,3194,2
60,102,62343,3054,3
64,64,63067,2625,2
87,64,63743,512,2
