note,velocity,position,duration,anomalies
27,32,3841,632,2
38,24,4723,120,3
29,61,4781,108,0
41,71,4528,428,3
29,112,5205,132,1
41,87,4943,108,2
29,103,5633,128,1
41,99,5849,100,1
29,86,5984,212,1
41,73,6532,116,1
29,41,6533,204,1
41,78,6733,589,1
25,79,6977,212,1
46,82,7185,180,1
26,127,7630,244,3
99,113,7596,444,2
84,96,7297,572,1
81,65,7121,1371,3
85,127,7441,492,2
54,88,7689,172,1
29,121,7709,1088,3
46,105,7912,180,3
36,107,8574,188,3
55,93,8549,192,2
34,95,8892,881,4
50,115,8549,932,4
83,78,9051,200,3
33,108,9261,799,2
79,77,9329,59,4
95,108,9442,1125,3
84,67,9467,208,2
29,91,9609,1090,3
17,77,9777,184,2
41,91,9876,152,1
16,117,10265,242,3
41,88,10501,196,0
17,94,11078,192,2
31,127,11337,7940,2
43,115,11439,7921,2
80,123,11345,740,2
100,113,11345,560,1
83,67,11090,620,2
79,94,11353,696,0
84,34,11473,104,0
55,79,12605,280,0
69,67,12825,412,1
52,66,13085,256,1
60,52,13241,256,1
62,100,13950,232,1
63,94,13789,1128,3
65,71,14001,1011,1
58,71,13952,839,3
69,73,14179,324,2
83,69,14709,766,2
72,73,14965,276,0
75,77,15153,752,2
68,108,15654,248,2
88,33,15633,580,3
79,75,15825,300,0
81,95,16017,813,2
83,86,16465,216,1
86,48,16189,936,4
86,96,17055,288,2
82,73,16554,1062,3
88,112,17181,276,2
91,46,17922,284,2
91,48,17605,570,3
95,71,18038,212,1
87,103,17665,260,3
88,55,18555,332,2
100,64,18473,132,0
115,33,18194,264,3
17,127,18897,8936,2
36,76,18909,9000,2
110,103,18913,1025,2
95,110,18734,160,1
103,110,18563,172,1
108,96,20099,152,2
98,116,19781,6,2
91,51,19785,677,2
86,51,20641,807,2
91,127,20161,88,2
95,78,20653,174,1
91,91,21126,76,1
80,127,21497,0,3
86,58,21497,92,1
86,127,21929,876,4
86,68,22341,84,0
70,44,22345,992,3
79,59,23245,84,1
74,122,23249,84,1
89,49,23257,942,3
62,94,24418,76,3
68,47,24149,520,3
77,67,23902,96,1
71,96,24987,644,3
67,89,24722,84,2
87,94,25420,92,3
67,28,26425,2264,2
76,50,26425,1252,1
65,52,26818,1842,3
83,59,30137,3481,2
79,87,30036,3453,3
59,40,30454,1132,2
71,12,30213,764,1
83,45,30309,2824,2
55,59,32041,208,0
69,76,33949,1725,3
50,48,33965,1348,1
60,57,33691,1755,2
52,92,33496,1384,3
94,73,33973,228,1
72,32,34289,284,1
84,79,34689,244,2
76,98,34965,264,2
72,67,35285,1132,1
84,93,35577,316,2
72,36,35921,901,2
75,78,36651,372,2
47,58,36561,1621,2
79,89,36565,292,2
51,97,36565,1588,2
60,64,36116,1524,1
50,61,36597,2374,2
84,31,37311,284,3
70,68,36952,1245,3
93,103,37541,771,2
84,33,38587,1023,3
84,75,39205,276,0
76,71,39213,972,1
74,64,39049,1299,3
65,101,39221,1064,2
72,67,39525,323,1
89,77,40119,324,2
84,88,40189,268,2
72,73,40521,284,0
79,96,40809,300,1
77,70,41161,276,1
84,64,41477,380,1
62,51,41805,200,1
67,75,41556,288,2
83,78,41631,272,2
59,50,42055,264,2
79,44,42125,260,1
72,68,42445,504,1
49,79,42476,284,2
78,127,42954,332,3
50,41,42934,929,3
47,79,43429,184,0
49,47,43673,380,4
52,49,44396,92,3
36,50,44590,104,1
33,117,44381,204,1
45,70,44703,176,2
84,96,44421,264,0
33,34,44717,1088,2
45,88,45022,188,1
82,88,44745,252,1
72,100,45522,640,3
54,102,45065,176,2
33,56,45069,148,0
45,91,45373,160,0
33,71,44897,176,1
90,96,45859,764,3
49,78,45673,237,2
33,42,45681,453,2
62,127,45697,204,2
37,41,45993,176,2
45,78,45993,160,0
79,96,45662,350,2
33,36,46639,1128,4
39,32,46317,152,2
61,74,46333,212,2
45,70,46231,164,2
46,47,46956,156,3
80,72,46649,529,3
72,127,46961,268,1
53,110,46743,176,2
29,113,46969,172,0
54,88,46932,164,2
24,79,47265,176,1
79,91,47297,268,0
49,73,47864,402,3
29,71,47597,192,0
81,94,47186,236,2
29,96,47905,605,1
42,79,47909,730,2
86,120,47674,1190,2
31,86,47948,390,3
28,73,48616,168,2
43,114,48262,278,4
29,121,48054,168,2
25,33,48833,417,3
33,75,48837,136,1
29,78,49157,854,1
35,55,49165,112,2
75,127,49209,208,2
54,127,49544,156,3
36,110,49091,748,2
84,113,49832,260,1
62,64,49797,168,2
36,93,49923,944,3
72,94,50279,719,2
60,94,50121,1146,2
36,98,49913,184,2
84,108,50133,244,0
48,88,50322,407,2
36,77,50453,176,0
70,100,50950,232,2
49,46,50547,160,3
23,50,50769,160,2
83,96,50781,429,2
59,46,51117,104,2
79,94,51117,725,1
24,24,51262,88,3
72,116,51417,108,1
36,58,51200,168,1
55,67,51853,80,2
43,120,51745,144,0
31,127,51385,160,2
79,86,52241,156,2
91,122,51785,76,0
31,127,52299,908,3
79,113,52381,156,0
51,127,52856,547,4
78,113,52397,116,1
57,66,52255,148,3
24,100,52371,148,2
87,127,52697,164,2
87,75,52717,116,2
53,82,52545,160,2
77,123,53033,184,0
33,68,53041,251,2
89,83,53049,840,2
84,127,53893,168,3
37,118,53661,80,2
83,71,53472,72,3
31,127,53661,655,2
37,107,53981,1034,3
31,94,53989,983,1
65,76,54021,920,2
68,94,54193,408,1
69,79,54305,300,0
67,69,54836,224,2
29,79,54593,966,1
72,86,54865,188,1
41,82,54933,224,0
74,115,54933,96,0
45,59,55026,264,2
80,97,55311,343,4
88,100,55372,64,1
36,91,55557,1199,2
74,127,55561,742,2
86,120,55577,264,0
41,78,55873,268,0
53,115,56185,208,0
68,122,56217,148,1
84,82,56237,1004,2
74,89,56285,108,1
48,99,56357,344,2
31,107,57133,120,3
62,96,56861,345,3
84,110,56528,548,2
31,127,57060,991,3
74,122,57209,74,1
100,100,56830,60,2
38,117,57493,208,2
76,123,57509,926,1
96,127,57423,72,3
47,123,58172,280,2
78,84,57992,652,4
77,74,57853,68,2
49,86,58481,224,2
72,122,58495,338,2
81,99,58499,232,3
43,73,58681,661,2
55,83,58777,545,2
72,123,58797,566,1
82,127,58813,996,3
50,73,59089,280,0
65,127,58757,240,2
80,96,59313,1075,2
47,82,59341,104,0
56,45,59019,787,4
69,69,59601,220,1
75,65,59800,489,4
29,91,59551,1282,3
45,94,60049,149,1
61,85,59587,156,3
88,120,60361,152,1
58,45,60361,268,2
88,70,60425,68,0
89,52,60441,104,0
74,125,60665,491,1
60,91,60681,507,2
86,88,60693,228,0
95,107,60986,104,3
76,36,60598,96,1
58,86,60981,552,2
63,81,61667,393,4
66,127,61317,1049,3
84,120,61046,176,1
52,73,61649,360,0
48,75,62164,391,3
82,127,61961,1093,3
75,103,61985,72,1
28,108,62281,60,0
40,127,62281,294,2
74,127,62716,916,3
84,79,62722,64,3
76,120,62330,120,1
85,127,62649,638,3
39,108,62673,264,1
74,120,63046,1141,2
52,67,62957,268,0
86,108,62957,68,0
72,95,63671,248,2
55,49,63261,220,1
80,118,63105,196,2
53,60,63074,284,3
58,127,63485,196,3
72,120,63933,120,0
89,117,64095,72,3
58,82,64229,188,1
65,80,63847,1020,3
39,82,64421,76,1
65,91,64326,505,3
69,45,64553,1036,2
71,68,64648,750,2
72,117,65275,106,3
29,94,64877,276,0
67,120,65201,164,1
41,78,64940,164,1
40,60,65294,564,4
76,127,65896,148,2
88,77,65077,56,2
48,88,65353,196,1
73,96,65545,1194,4
100,127,65833,332,2
39,77,66109,288,1
53,103,66449,286,1
79,127,66481,172,2
78,96,66125,101,4
48,33,66571,300,2
41,56,67057,382,3
63,127,67571,152,3
84,65,67169,68,1
31,127,67413,244,1
74,127,67010,152,2
83,111,67154,64,3
43,66,67398,913,3
76,123,67749,156,0
74,123,67777,911,3
47,78,67782,564,2
74,85,68069,745,2
92,103,68235,362,3
42,78,68373,208,1
71,122,68589,316,2
97,127,68421,220,2
43,77,68673,336,1
58,113,69248,232,2
65,97,69519,1030,4
88,127,69089,957,3
42,67,69418,1158,3
44,54,70130,124,3
72,120,69245,934,2
84,59,69733,68,1
46,110,69993,234,2
33,91,69997,84,0
59,96,70013,144,2
68,110,70049,417,2
43,127,69933,724,3
31,113,70166,672,2
67,103,70090,324,3
86,113,70349,707,2
33,116,70957,670,2
45,80,70905,160,2
83,123,70957,156,1
82,127,70985,76,2
31,113,71692,695,2
43,127,71273,268,2
76,90,70856,164,3
79,123,70882,140,1
44,96,72279,184,2
45,113,71925,168,0
69,123,71925,431,1
88,110,71685,1092,3
38,127,72233,140,2
38,118,72233,700,2
67,127,72233,647,2
79,120,72245,296,1
40,113,73137,140,2
38,103,72570,678,3
69,123,72881,176,0
85,108,72639,80,2
31,113,72751,100,1
43,118,73185,156,0
53,123,73201,176,1
90,118,73078,357,3
45,113,73130,80,1
33,96,73489,455,1
48,100,73412,208,2
36,86,73456,72,1
72,115,73821,160,0
84,117,73865,813,2
50,96,74101,64,0
