note,velocity,position,duration,anomalies
76,100,7680,587,0
79,100,7680,587,0
62,77,7692,508,3
71,100,7839,508,2
71,100,8640,508,0
74,100,8640,450,1
72,100,9120,1107,0
76,100,9551,1107,1
67,100,9789,800,1
71,100,10080,800,0
71,100,11040,572,0
82,127,11040,1484,3
69,100,11520,1503,0
72,100,11520,1503,0
67,100,12960,900,0
71,100,12960,900,0
64,100,13920,400,0
67,100,13920,400,0
57,73,14739,4120,3
69,100,14400,4282,1
67,76,19428,1436,3
79,100,18807,1436,2
76,100,19200,1436,0
93,74,20640,1472,2
81,100,22080,635,0
74,100,22560,3667,0
69,100,22560,3667,0
68,100,22560,3667,1
71,79,26430,318,4
78,68,27190,151,3
74,100,27360,560,0
77,100,27360,560,0
76,127,27610,480,2
70,100,28422,1842,2
74,100,28320,1023,0
76,100,29280,1167,0
72,100,30240,387,0
77,100,31680,284,0
94,66,32089,942,4
84,100,32160,387,0
101,62,32400,284,2
89,100,32640,659,1
88,100,32880,384,0
90,100,33284,444,3
81,100,33260,295,0
77,126,33386,224,2
68,100,33440,380,2
72,100,34329,295,1
69,100,34320,372,1
76,63,34560,1488,1
72,100,34560,1488,0
69,100,34560,1488,0
67,100,35674,1507,2
81,100,37440,595,0
72,100,37920,4254,2
69,100,37920,3840,0
76,100,37920,4595,2
77,127,42240,4529,3
70,100,42240,3968,0
72,127,46558,1047,3
64,72,47040,288,2
81,100,47280,364,0
78,65,47861,355,3
89,100,47760,982,1
84,127,48000,614,3
103,100,48240,468,1
84,127,48480,312,1
81,100,48720,299,0
77,100,48960,184,0
62,100,49440,1168,2
69,100,49680,307,0
62,100,49920,1421,2
74,100,52320,1656,0
57,63,52320,2532,3
77,127,52320,1798,3
74,100,54720,1327,1
65,100,55412,1369,3
71,123,56160,539,1
70,100,56440,577,3
52,80,57120,583,2
88,100,57600,1403,0
68,100,57438,1403,2
86,100,59040,184,0
80,64,59040,654,3
86,100,59520,1996,0
60,121,59520,2979,3
76,100,61440,556,0
67,100,61920,132,1
73,70,62880,159,2
76,100,63840,1512,0
86,100,65280,1516,0
74,127,65280,1516,1
89,127,66720,199,2
72,100,66720,199,0
84,78,67077,2012,2
72,100,66894,2391,2
71,100,69120,531,1
81,100,69600,564,0
84,100,70080,172,0
84,127,70287,1004,2
68,100,71129,520,2
81,100,72000,1648,1
91,100,72960,1284,0
79,100,72960,1284,0
88,100,72960,1284,0
76,100,74400,192,0
77,100,74400,1147,2
84,100,74872,1138,2
76,68,74500,2732,2
72,100,74880,2732,0
84,75,75367,2732,2
76,100,77440,638,2
79,100,78240,940,0
72,72,79200,2158,2
86,100,80640,1528,0
74,100,80640,1874,1
88,100,82080,140,0
