note,velocity,position,duration,anomalies
50,127,2000,250,1
37,96,2108,1133,3
50,96,2141,250,2
55,119,3209,250,2
68,96,3000,250,1
58,56,3250,604,2
60,96,3500,250,0
62,63,4125,250,2
42,62,4108,637,4
58,70,4000,1132,2
49,96,4000,642,2
58,96,4500,975,1
59,96,4897,872,3
63,96,4831,500,1
50,69,4727,1603,4
53,127,6197,1366,4
65,96,7000,1000,0
67,96,8050,1062,2
62,96,8201,1354,2
67,127,7865,1000,3
65,96,9000,1000,0
63,127,10000,1000,1
65,96,11304,1000,1
51,96,12372,500,2
56,96,12000,500,0
60,127,12500,500,1
67,96,12904,500,1
68,96,13219,500,1
67,96,13500,500,0
68,127,14000,898,2
67,57,14500,500,1
68,96,15000,832,1
67,123,15197,1496,3
68,96,16491,1274,2
62,127,16000,500,1
59,96,15631,500,2
70,96,16500,1000,0
65,96,17500,1000,0
63,57,18500,500,1
59,96,19000,500,1
63,66,19787,500,2
46,96,20000,824,2
58,71,20000,1453,2
55,96,20949,500,1
56,127,20782,992,4
46,57,21000,1299,3
63,76,22000,1091,2
65,127,23433,1000,2
67,72,23525,941,3
56,127,24000,1052,3
62,96,23549,1000,1
65,125,25385,1000,2
64,56,26000,1472,3
65,96,27000,1000,0
56,96,28000,500,0
60,96,28000,500,0
67,127,28239,799,3
60,58,28435,500,2
75,96,29000,640,2
68,96,29500,407,2
75,71,30000,1230,3
75,96,30500,1153,2
68,63,31000,1393,2
67,64,31047,500,2
76,96,32000,1113,2
62,127,32395,1000,3
53,73,32000,500,2
77,76,32500,1000,2
65,96,33443,1000,1
60,96,34500,500,1
65,96,35000,500,0
63,96,35500,500,0
63,96,37000,1000,0
82,124,37000,1000,2
78,117,37102,1000,3
67,96,38000,500,0
68,96,38500,500,0
70,96,39255,1391,2
74,64,39500,1422,2
68,96,39713,500,2
72,96,39435,500,2
56,58,40958,1866,4
60,96,40751,1000,2
77,127,40500,1264,3
72,127,41652,1000,2
67,96,42500,1500,0
77,96,42500,2120,2
74,72,42324,1500,2
75,96,44621,1000,1
72,96,45000,1000,0
68,96,45000,1000,0
72,96,46000,500,0
73,75,46325,500,3
83,96,47000,500,1
69,76,47500,845,3
75,116,47500,569,2
78,96,47500,500,0
75,96,48824,1092,2
71,96,48500,1000,0
78,96,48645,1437,2
77,96,49500,1000,0
82,59,49500,1583,3
75,127,50844,1450,3
68,127,51500,500,1
71,127,51551,1246,3
70,96,52216,1000,1
75,70,52106,1787,4
73,120,52916,1000,3
70,96,53000,1000,0
64,96,53000,1797,2
67,96,54000,735,1
68,96,54500,500,0
70,73,54739,500,2
74,96,55500,500,0
71,96,55500,745,1
67,96,55500,500,0
58,96,56500,1770,2
74,60,56797,1374,3
71,96,56891,1411,2
72,96,57500,1071,1
63,122,59000,1500,3
71,73,58500,1500,1
84,73,58500,1666,3
80,96,61266,1000,2
72,96,61000,1000,0
64,96,61408,1995,3
72,96,62000,500,0
74,96,62740,1314,2
75,96,63000,500,0
74,120,63354,500,3
72,126,63738,500,3
75,96,63500,500,0
75,96,64885,1904,3
66,63,64500,1709,3
75,96,64500,1000,0
77,56,65500,1160,2
75,96,66500,1000,0
71,67,67500,500,1
54,76,67500,500,2
66,123,68000,915,3
67,68,67909,1000,2
62,96,69000,1883,2
63,74,70000,1000,1
71,127,71000,1352,3
62,96,72000,1000,0
81,59,72000,1345,3
65,96,73000,1000,0
63,96,73940,1000,1
62,96,75000,1000,0
65,96,75000,1000,0
72,96,76500,500,1
68,96,76667,500,1
67,65,77500,500,1
68,96,78000,500,0
67,96,78609,1297,2
78,72,79265,1089,4
67,96,79500,500,0
68,60,80000,500,1
69,76,80974,1000,3
62,96,80201,1487,3
76,68,81042,1365,4
62,96,81500,1000,0
63,57,82500,927,2
65,96,83000,500,0
49,67,82886,690,4
63,96,83500,500,0
58,96,85000,1000,0
63,96,86000,1000,0
59,125,87000,1948,3
60,96,88000,1797,2
67,96,88000,1000,0
65,96,89000,1000,0
63,119,90000,1000,1
75,96,91000,1985,2
62,96,91000,1000,0
67,96,92500,500,0
76,96,93000,500,1
