note,velocity,position,duration,anomalies
67,110,11674,3120,1
79,110,11520,3120,0
65,110,15360,720,0
60,110,16157,720,1
64,110,16800,1920,0
60,110,18912,240,2
59,110,19133,1013,2
62,110,19200,720,0
61,110,19920,720,0
62,73,20640,960,1
62,110,21600,480,1
66,127,22080,1350,2
62,110,22626,838,2
65,70,22714,720,3
73,127,23999,793,4
66,110,24398,1200,1
64,110,25440,480,0
62,110,25920,960,0
68,127,26417,1379,4
48,127,27970,1396,4
62,110,28320,960,0
67,110,29487,1414,2
66,127,29760,656,2
62,110,30240,480,0
64,110,30720,720,0
81,82,31005,720,3
77,75,31727,1550,4
70,85,33120,720,2
61,82,33498,1565,4
68,87,37920,240,2
62,110,38323,240,1
74,127,38400,1200,1
70,90,38400,1148,3
74,110,39840,240,0
62,110,39597,240,1
49,81,40232,960,3
74,86,40762,720,2
62,110,41760,713,1
74,72,41952,240,2
76,86,42330,1289,4
74,110,42656,936,2
62,110,43200,480,0
79,110,43423,480,2
56,73,43767,720,3
63,81,44567,979,4
71,110,46265,240,2
65,110,46320,1112,1
69,74,46735,423,3
74,127,46800,240,1
77,110,47040,240,0
81,127,47446,240,2
79,110,47459,837,3
89,110,47760,240,0
93,110,48000,240,0
88,110,48029,480,2
93,127,48897,480,2
89,110,48720,240,0
86,86,48960,240,1
81,110,49200,240,0
65,127,49185,771,4
67,86,50163,240,3
50,83,49760,795,4
65,110,50160,240,0
81,70,50400,240,2
74,110,50640,240,0
77,84,50880,240,1
81,110,50634,800,2
74,81,51600,1200,1
74,110,51333,960,2
62,110,52791,1112,2
88,110,53280,399,2
62,110,53760,1200,0
74,110,53438,2041,2
62,127,55200,240,1
74,110,54947,1001,2
62,110,55252,1063,2
66,127,55680,720,2
57,110,57194,240,2
74,110,57120,240,0
62,110,57600,1667,1
74,127,57600,720,1
58,127,58778,480,3
69,110,59037,480,2
62,127,59687,720,2
74,110,59520,480,0
62,110,61541,957,2
73,110,62086,494,3
79,83,62141,1233,4
74,127,62510,240,2
85,110,62400,631,2
84,70,62640,240,2
86,110,62731,959,2
89,78,63120,1117,2
97,87,62931,881,4
98,87,63600,240,1
94,110,63840,1339,2
97,90,64080,186,3
72,77,64320,240,2
82,110,64560,834,2
77,110,64717,630,2
74,70,64747,778,3
61,72,65280,2029,3
86,110,65721,1346,2
74,110,68686,1551,2
79,78,69120,2049,3
77,110,68770,1440,1
74,110,70803,1576,2
62,110,70560,960,0
74,110,72000,240,0
71,110,72000,240,1
74,110,72480,816,1
62,110,72480,480,0
68,127,73144,1440,3
67,127,72960,1671,2
79,110,72960,1440,0
63,127,74796,2172,4
57,110,74400,2178,2
70,110,77530,711,2
65,110,77280,617,1
74,127,77138,240,2
77,110,77280,240,0
70,127,77272,579,3
61,81,77760,624,3
81,127,77760,240,2
81,127,78247,240,3
70,70,78240,926,2
56,110,78240,240,1
74,110,78733,979,2
77,110,78240,1104,1
70,110,78480,480,0
65,110,78689,860,2
74,110,78480,480,0
77,127,78343,1174,3
70,110,79200,480,0
65,110,79200,480,0
74,127,79200,480,1
77,110,79200,1186,1
79,110,79680,480,0
56,110,79680,584,2
77,110,80160,480,0
65,110,80160,480,0
69,110,80640,1836,1
64,127,80445,960,2
73,110,80640,960,0
76,110,80640,960,0
77,110,81600,960,0
61,74,81313,1812,4
84,110,82940,793,3
73,127,82560,1709,3
86,127,83227,1200,3
67,110,83520,1200,0
78,110,84803,1528,2
69,80,84233,1832,4
88,110,85485,480,2
53,110,85920,480,1
62,110,85948,790,3
64,127,86400,176,2
73,87,87085,480,3
64,110,86880,480,0
74,80,87446,998,3
62,110,87782,409,2
76,78,87840,480,1
64,90,87840,998,2
78,110,88141,480,1
65,127,88745,654,4
79,110,88473,480,1
67,110,88689,480,1
90,110,88785,1347,3
59,110,89280,480,1
78,110,89760,480,0
56,110,89760,1330,2
82,71,90563,1920,3
64,110,90240,1920,0
74,110,92160,960,0
62,127,92160,1288,2
78,110,93300,1496,2
66,110,93404,1866,2
74,110,94080,1278,1
62,110,94080,776,1
74,110,95040,240,0
62,110,95040,240,0
73,110,95099,1355,3
62,110,95520,480,0
73,110,96462,1411,2
61,110,96000,480,0
71,110,96480,480,0
59,110,96480,480,0
73,110,96960,761,1
73,127,96617,480,3
76,110,97440,1142,1
64,127,97101,862,3
65,110,97920,480,1
62,79,97603,1480,3
71,110,98400,480,0
49,110,98400,1225,2
79,110,98880,960,0
67,87,98880,1111,2
78,110,99840,1440,0
66,70,100126,1440,2
74,77,101280,480,1
62,110,101280,480,0
63,110,101626,765,3
75,110,101760,615,2
86,83,102240,720,2
56,127,102127,720,3
76,110,103440,480,0
64,110,103440,1250,1
62,110,103680,240,0
74,110,103680,847,2
66,127,104160,240,2
69,110,104160,240,0
62,110,104640,240,0
69,110,104640,240,0
57,80,105397,842,4
69,81,105120,240,1
64,110,105600,720,0
69,78,105818,720,2
68,110,106072,720,2
67,110,106320,650,1
78,110,107090,844,2
66,80,107040,480,1
76,89,107520,960,1
53,110,107520,960,1
78,85,108480,868,2
75,110,108329,1110,3
74,110,108960,1920,0
51,86,109074,2538,4
61,127,111360,240,1
64,76,111600,859,2
60,110,111840,240,1
73,110,112080,240,0
82,110,112320,240,1
81,110,112560,240,0
85,110,112928,240,1
88,110,113040,240,0
93,110,113723,240,1
81,110,114240,960,1
81,127,114714,960,3
84,110,115200,1440,1
70,127,115608,2392,4
86,110,116640,600,2
62,72,116640,480,1
76,110,117197,240,1
64,110,117120,240,0
76,110,117171,480,1
64,127,117997,480,2
74,127,118080,480,1
62,110,118080,480,0
76,110,118560,480,0
64,110,118560,480,0
78,110,119040,480,0
66,110,119040,1134,1
79,110,119520,480,0
67,110,119520,480,0
86,127,119910,1134,4
69,110,120000,1199,1
78,110,120480,480,0
66,110,120184,480,1
76,110,121288,2672,2
64,127,120960,1920,1
81,78,123058,960,3
62,110,122880,960,0
79,88,123932,1843,4
78,110,123594,960,2
74,110,124800,720,0
48,127,124386,1348,4
74,110,125760,240,0
71,110,125850,1072,3
86,77,126608,480,3
58,127,126599,480,3
69,76,126788,480,3
61,127,126720,1154,2
79,127,127080,480,3
59,110,127200,480,0
73,110,127680,480,0
61,110,127605,1334,2
76,110,128160,720,0
64,110,128160,720,0
74,127,128953,480,2
55,110,128640,1054,2
71,110,129120,480,0
