note,velocity,position,duration,anomalies
71,110,3840,267,0
81,110,3840,267,0
74,110,3840,267,0
82,110,4213,1274,3
73,110,4121,1736,3
74,110,4320,868,0
71,110,5280,824,0
69,110,5460,1791,3
74,110,6240,1382,0
71,110,6256,1382,0
69,127,7532,308,2
81,110,7680,308,0
73,110,7680,308,0
69,110,8160,877,0
81,110,8160,877,0
61,89,7849,1808,4
69,110,9120,819,0
76,110,9120,819,0
69,110,10064,1105,0
74,110,10080,1125,0
81,110,11520,288,0
71,110,11520,288,0
74,110,11536,288,0
81,127,12485,1723,3
71,110,11944,898,1
80,110,12285,898,2
80,75,13073,1133,4
70,110,12976,830,1
71,110,12976,830,0
71,110,13920,872,0
87,127,13920,872,2
54,83,14172,872,3
67,110,14880,924,0
76,110,14880,924,0
71,110,14880,924,0
67,110,15840,488,0
74,110,15840,488,0
71,110,16338,488,1
67,110,16320,8,0
76,110,16320,461,0
71,110,16320,8,0
79,110,16800,592,0
71,110,16800,592,0
67,110,16808,592,0
73,110,17280,900,0
78,110,17280,900,0
70,110,17280,900,1
71,127,18240,350,2
78,110,17984,637,2
73,110,18480,280,0
74,110,18720,263,0
71,127,19281,284,3
71,127,19200,1995,1
78,110,19200,1995,0
76,110,21120,484,0
64,110,21842,994,2
69,110,22560,1549,0
73,110,22560,1549,0
76,110,22560,1549,0
78,110,24000,449,0
69,80,24480,449,0
81,110,24960,501,0
69,80,25440,501,0
85,110,25920,507,0
76,57,26054,1103,3
86,110,26880,538,0
78,80,27360,538,0
85,110,27840,541,0
78,80,28320,541,0
81,110,28800,501,0
78,80,29280,501,0
88,110,29760,308,0
76,110,30240,1069,0
88,110,30240,1069,0
83,80,30240,1069,0
86,110,31200,530,0
74,110,31603,1087,3
86,110,32160,1075,0
85,110,33120,539,0
81,110,33600,403,0
78,110,34080,453,0
79,110,34560,1709,0
76,110,34560,1709,0
83,110,34560,1709,0
83,110,36480,603,0
79,110,36488,603,0
85,110,36686,428,1
86,110,37440,514,0
85,110,37920,1106,0
87,110,37920,2016,2
88,110,37920,1106,0
86,110,39254,542,1
85,80,39360,769,2
81,110,39840,708,0
81,110,40800,505,0
71,85,41280,940,3
80,110,41760,966,2
86,110,42240,550,0
85,110,42720,520,0
87,127,43008,470,3
90,110,43680,1050,1
83,110,44640,551,0
81,110,45120,355,0
81,127,45600,963,2
74,110,45600,523,0
71,110,45600,523,0
81,110,46560,838,0
62,110,46790,1817,3
71,110,46560,838,0
83,110,47520,584,0
82,127,47520,584,2
62,90,47601,498,4
78,73,47520,1352,2
83,127,48480,1336,1
71,110,48480,1336,0
74,110,48480,1336,0
78,110,48480,1336,0
93,90,49920,522,0
86,90,50400,574,0
88,90,50880,501,0
80,90,51360,1075,2
93,90,51913,915,1
93,113,53155,940,4
93,90,53760,617,0
85,90,54240,1271,1
86,90,54720,494,0
85,90,55200,950,0
102,113,56160,1014,3
85,90,57120,517,0
93,90,57157,413,2
86,90,58080,503,0
88,90,58560,514,0
86,90,59040,990,0
93,90,60000,883,0
86,90,60960,500,0
79,55,61440,518,2
85,90,61920,444,0
86,122,62041,941,3
85,90,62880,1013,0
94,90,63840,1629,2
95,90,64800,692,0
79,90,65169,450,3
91,90,65760,541,0
90,90,66240,502,0
93,57,66720,575,3
90,90,67200,491,0
86,90,67680,283,0
81,90,68160,551,0
70,127,68640,504,2
74,90,69120,453,0
73,90,69600,461,0
74,90,70080,440,0
69,90,70560,1044,0
74,90,71520,909,0
65,110,72480,535,1
73,110,72960,471,0
71,110,73440,450,0
73,110,73633,859,2
65,110,74400,1769,0
68,110,74400,1769,0
83,77,76320,1132,3
72,127,76800,1393,2
58,127,76800,1393,2
73,110,78240,220,0
70,110,78240,220,0
66,110,77919,274,2
73,110,78720,1666,0
70,110,78720,1666,0
66,110,78729,1666,0
71,110,80640,645,0
74,110,80798,645,1
71,110,81600,596,0
66,75,81216,1267,4
71,110,82560,448,0
74,110,82560,448,0
73,110,83040,502,0
71,127,84020,822,3
74,110,83520,475,0
68,82,84000,1593,3
73,110,84000,917,0
64,110,84960,445,0
74,110,84960,445,0
69,127,84960,445,1
64,110,85440,405,0
73,110,85440,405,0
78,110,85715,405,2
64,110,85920,2417,0
69,110,85920,2417,0
67,110,88320,692,0
71,110,88320,692,0
67,110,89280,612,0
71,110,89280,612,0
67,110,90240,462,0
71,110,90240,462,0
67,127,91149,1034,3
69,110,90720,399,1
75,110,91200,495,1
74,110,91200,495,0
73,110,91680,1010,0
69,110,91680,1010,0
75,110,91193,1010,2
74,110,92640,524,0
69,110,93120,493,0
79,110,93120,493,0
69,110,93600,13,0
78,110,93600,1677,0
73,110,93600,1677,0
90,110,95520,269,0
78,110,95520,269,0
90,110,96000,565,0
78,110,96000,565,0
88,110,96480,481,0
76,110,96480,481,0
86,110,96579,1048,2
74,110,96960,529,0
85,110,97779,1826,1
73,110,97440,1826,0
88,110,99360,839,1
76,110,99360,237,0
88,110,99840,571,0
76,74,99397,732,3
86,110,100320,562,0
74,110,100320,562,0
85,110,100800,459,0
74,127,100800,995,3
81,110,101280,1754,0
69,110,101280,1754,0
66,110,103200,529,0
69,110,103200,529,0
67,110,103680,948,0
71,110,103680,948,0
71,110,104640,905,0
74,127,104640,1447,2
69,110,105600,961,0
73,110,105600,1613,1
64,110,106560,491,0
69,110,106560,1,0
73,110,107040,1020,0
70,127,107516,1940,4
71,110,108000,451,0
64,127,107653,1119,4
73,110,108480,429,0
66,110,108960,1171,0
71,110,108960,1171,0
90,110,111360,927,0
78,110,111360,927,0
90,127,112320,1244,3
71,110,112320,1028,0
88,110,113280,967,0
76,110,113280,967,0
90,110,114240,733,0
78,110,114240,733,0
82,127,114720,1957,3
76,110,114720,981,0
97,110,115680,1441,2
71,127,115605,775,4
85,110,116160,603,0
73,110,116160,603,0
81,110,116640,1841,0
69,110,116640,1841,0
77,89,119040,1094,3
85,110,118824,1165,3
85,110,120000,910,0
73,110,119717,910,1
86,110,120960,1022,0
74,110,120960,1022,0
88,110,121920,235,0
76,110,121920,235,0
88,110,122400,1028,0
76,110,122400,1028,0
86,110,123360,506,0
74,110,123360,506,0
91,86,123459,551,2
79,110,123840,551,0
90,79,124320,2155,1
78,110,124320,2155,0
90,110,126720,1003,0
78,110,126720,1003,0
83,110,127680,1037,0
65,79,127217,1158,4
88,110,128640,916,0
76,110,128640,916,0
90,110,129600,730,0
78,110,129600,730,0
88,110,130080,954,0
76,110,130080,954,0
77,110,131040,780,2
74,110,131040,509,0
85,110,131520,840,0
73,110,131520,840,0
81,85,132000,2408,2
80,127,131535,2412,4
86,110,134400,892,0
74,110,134400,892,0
85,110,135360,894,0
73,110,135360,894,0
86,110,136320,993,0
60,110,136470,993,2
88,127,136983,1092,3
76,110,137280,224,0
88,110,137760,1163,1
76,110,137760,943,0
95,110,138720,1217,2
74,110,138720,573,0
91,110,139200,596,0
79,110,139200,596,0
90,110,139208,1934,2
78,110,139680,1075,0
98,110,140640,569,1
76,110,140640,569,0
86,110,141120,916,0
74,110,141120,916,0
79,110,142080,961,1
78,110,142080,961,0
85,110,143040,999,1
71,110,143040,999,0
88,110,144000,959,0
76,110,144000,959,0
90,110,144960,686,0
78,110,144960,686,0
88,110,145440,1001,0
76,110,145440,1001,0
86,71,146400,1211,2
74,110,146400,537,0
85,127,146880,368,1
73,110,146880,368,0
93,110,147360,1192,0
81,110,147360,1192,0
91,75,148320,542,1
79,110,148320,542,0
90,110,148800,542,0
78,110,148800,542,0
88,110,149280,562,0
76,110,149280,562,0
85,110,149760,1653,0
81,127,149760,2576,3
85,110,151680,582,0
73,110,151680,582,0
86,110,152160,508,0
74,110,152160,508,0
88,110,152640,240,0
76,110,152640,240,0
88,110,153120,1096,0
76,110,152645,1096,1
86,110,153714,578,2
74,110,154080,226,0
86,110,154560,219,0
71,84,154560,219,2
86,110,155040,708,0
85,127,155040,1142,3
86,110,156000,530,0
74,78,155939,530,2
85,110,156480,497,0
73,110,156480,497,0
81,72,156561,875,3
69,110,156960,575,0
83,110,157440,996,0
71,110,157440,996,0
90,110,158400,965,0
78,110,158400,965,0
83,110,159360,473,0
71,110,159360,473,0
90,110,159840,1167,0
78,110,159840,1167,0
88,110,160800,977,0
76,110,160800,977,0
86,110,161760,533,0
74,110,161760,533,0
85,110,162240,392,0
73,110,162240,392,0
89,110,162247,1094,2
81,110,162720,1094,0
91,110,163680,549,0
79,110,163680,549,0
90,110,164160,625,0
78,110,164160,625,0
88,110,164640,544,0
76,110,164640,544,0
86,110,165120,1199,0
74,110,165120,1199,0
86,127,166126,240,2
74,110,166560,240,0
86,110,167040,502,0
74,110,167040,502,0
85,110,167520,473,0
73,110,167520,473,0
86,110,168000,603,0
74,110,168000,603,0
88,110,168480,562,0
76,110,168480,562,0
88,110,169440,996,0
76,110,169440,996,0
91,110,170400,434,0
79,110,170400,434,0
84,110,170880,1001,2
71,110,170579,347,2
82,110,171120,370,0
85,110,171360,197,0
90,110,171600,295,0
112,90,171840,865,3
92,110,172800,558,1
74,110,172800,558,0
85,110,173280,527,0
73,110,173280,527,0
81,110,173760,585,0
82,74,173760,585,2
75,110,174158,2050,2
66,110,174240,2050,0
92,127,176160,1026,2
74,110,176160,1026,0
85,110,177120,578,0
73,110,177120,578,0
81,110,177600,526,0
69,110,177600,526,0
76,110,178080,3229,1
64,110,178080,2379,0
86,110,180480,641,0
74,110,180180,641,1
85,110,180960,547,0
73,110,180960,547,0
81,110,181440,477,0
69,110,181440,477,0
88,110,181920,1109,0
76,110,181920,1109,0
86,110,182880,1073,0
74,110,182880,1073,0
85,110,183840,1035,0
73,110,183840,1035,0
96,110,184530,664,3
71,110,184800,539,0
71,110,185280,479,1
87,127,185719,641,4
86,77,185760,1864,1
74,110,185760,1864,0
73,110,187205,825,3
71,110,187680,245,0
83,110,188403,448,1
60,74,188376,394,4
76,127,188640,523,3
64,86,188784,416,3
83,110,189120,471,0
71,77,189120,471,1
86,110,189600,2000,0
74,110,189600,2000,0
81,110,191520,220,0
69,110,191520,220,0
81,110,192000,531,0
69,127,192000,531,1
78,110,192480,484,0
66,110,192480,484,0
81,80,192960,1117,2
69,110,192960,518,0
86,110,193440,2562,0
