note,velocity,position,duration,anomalies
58,127,0,500,2
61,103,273,606,3
70,103,1000,731,2
71,127,1682,799,3
52,103,2000,500,1
69,78,2264,1433,3
66,127,3000,500,1
59,127,3500,500,2
58,127,4000,422,3
80,127,4902,744,4
61,127,5000,500,2
71,103,5500,500,0
69,103,5562,871,2
71,103,6500,1395,1
86,103,6779,500,2
83,103,7022,944,3
75,127,8215,500,3
76,127,8396,500,2
77,103,8792,991,3
75,103,9500,1129,2
76,103,10000,1183,1
89,103,10500,713,2
83,103,11118,1213,2
76,127,11500,500,1
88,127,12000,124,1
100,123,12124,124,2
85,103,12250,124,0
77,82,12374,452,3
88,103,12500,124,1
87,127,12447,1038,4
83,72,12927,124,3
79,79,12874,124,2
64,80,13000,1942,2
66,108,13229,946,3
72,80,14000,615,2
66,105,14000,500,1
78,48,14500,410,2
66,41,14500,922,2
89,80,15000,1834,2
72,80,15000,908,2
60,80,16000,1000,1
80,80,16000,1277,1
69,120,17000,1000,2
81,80,17347,1214,3
52,105,18000,1000,2
83,60,18000,1000,2
79,53,19000,1000,2
78,80,19067,1000,2
78,80,20000,500,0
65,50,20191,500,3
78,80,20031,1344,2
66,80,20500,1424,1
68,80,20743,1311,2
80,80,20585,1000,1
68,58,22263,1336,3
78,50,22000,1790,3
68,57,23000,1000,1
80,80,23000,1000,0
66,119,24390,1285,3
87,56,24000,1498,3
66,57,25443,1771,3
68,63,26000,1158,2
53,57,27281,3000,3
64,95,26663,3066,3
60,65,31000,1000,2
71,95,32455,1853,2
68,118,33000,2000,1
71,60,33000,2000,1
64,127,33105,2000,2
56,95,36291,2000,2
71,66,35516,2544,3
61,117,38000,1000,2
57,61,39000,3453,3
56,66,42944,500,3
66,118,43500,672,2
78,70,43665,1000,3
64,95,45294,2911,2
68,95,44571,2000,1
55,127,47000,2000,2
79,95,49000,1672,2
55,95,49000,1367,2
68,95,50000,1787,1
64,70,50000,1000,1
68,95,51000,3000,0
64,95,51191,3992,2
68,124,55093,1000,2
68,95,56192,1178,2
77,125,56000,1237,3
68,63,57263,2054,3
71,95,57000,2000,0
64,117,59370,1000,3
67,126,60000,2000,2
58,63,60149,2000,3
52,95,62000,1000,1
63,127,62107,1000,2
80,95,63000,2562,2
63,127,63000,2000,1
68,95,65377,1000,1
64,120,65695,3000,2
56,95,66000,3000,1
68,95,69842,1000,1
59,65,71000,1000,2
68,95,72000,2000,1
59,61,72364,2895,4
73,58,73752,1764,4
82,95,74000,1000,1
77,95,75000,1000,1
62,95,75000,1113,2
71,127,75587,1000,3
66,73,76461,1480,3
72,95,77000,1338,2
62,122,77384,1802,4
54,75,78000,1500,2
68,115,77864,1500,3
64,95,79500,1679,1
59,95,79500,1563,1
52,95,81000,1500,1
65,71,81000,1500,2
59,127,82500,2260,3
55,58,82500,1849,3
71,66,84000,2308,2
53,64,84264,2000,3
71,95,86000,935,1
78,95,86000,1000,1
