note,velocity,position,duration,anomalies
75,90,2119,720,2
79,52,1920,720,0
77,50,2640,240,0
74,50,2640,426,1
80,52,2880,480,0
77,52,2880,480,0
72,79,3706,930,4
74,21,3032,1213,3
74,50,3231,240,2
79,50,3600,240,0
72,52,3840,480,0
75,52,4236,480,1
72,49,4779,480,1
68,69,3821,1388,3
67,47,4561,960,1
70,47,4800,960,0
62,18,5611,1403,4
68,51,5760,960,0
74,56,6240,240,0
77,55,6480,240,0
68,55,6720,960,0
74,20,6338,480,2
70,51,7200,480,0
67,51,7680,960,0
72,51,7680,240,0
74,14,7920,240,1
79,52,8160,240,0
72,81,8400,240,1
59,72,8979,960,3
62,69,8725,1944,4
74,64,9600,720,0
70,64,9600,720,0
69,55,10562,240,2
67,55,10320,240,0
72,51,10560,480,0
69,60,10560,1519,1
78,65,11040,240,0
81,60,11280,240,0
70,57,11520,480,0
79,64,11520,240,0
74,80,11330,240,2
72,58,12000,240,0
69,51,12000,480,0
70,53,12240,240,1
67,47,12480,960,0
74,67,12480,1285,3
83,51,13652,720,2
77,60,13440,720,0
79,23,14160,760,2
69,49,14160,1200,0
75,57,14400,240,0
80,60,14640,240,1
77,64,15279,240,2
81,61,15120,240,0
75,58,15360,240,1
77,69,15360,240,0
68,48,15495,679,2
74,57,15600,240,0
61,61,15840,594,2
57,85,16133,240,3
65,46,16080,1200,0
73,54,16080,240,0
74,59,16320,240,0
72,12,16464,240,2
68,38,16560,480,0
71,46,16800,240,0
80,43,16681,240,2
75,52,17280,720,0
79,52,17280,851,1
74,50,18000,240,0
77,50,17689,359,2
80,80,18240,480,1
71,26,18735,1421,4
77,52,18720,240,0
74,52,18646,240,1
75,50,18960,240,0
79,50,18960,240,0
75,52,19200,480,0
67,87,18751,480,3
80,25,19680,480,2
72,49,19680,480,0
53,14,19736,960,3
70,47,20160,960,0
72,51,20920,480,1
68,51,21120,960,0
74,56,21600,240,0
77,55,21840,240,0
68,55,21629,1817,2
74,55,22080,480,0
70,51,22560,480,0
72,25,23040,240,1
67,51,23040,960,0
74,49,23280,240,0
79,52,23520,240,0
72,50,23760,240,0
58,47,24000,1885,2
67,47,24000,960,0
74,64,24960,720,0
72,34,24960,917,3
70,55,25680,240,0
67,55,25680,240,0
72,78,25920,686,2
69,60,25920,960,0
78,65,26400,240,0
81,60,26640,240,0
79,64,26880,240,0
72,57,27337,480,2
81,79,27120,1120,3
78,24,27360,480,2
72,58,27360,240,0
82,21,27600,240,2
67,47,27840,960,0
70,69,27840,960,1
72,92,28962,480,3
70,58,28800,480,0
72,57,29280,240,0
66,51,29280,240,0
70,55,29520,240,0
75,55,29520,149,1
72,60,29760,240,0
66,54,29760,240,0
70,47,30000,240,0
75,53,30000,240,0
79,94,30724,240,3
72,54,30240,240,0
75,54,30480,622,1
70,48,30635,672,2
57,90,31121,1651,4
