note,velocity,position,duration,anomalies
69,46,0,240,0
77,56,230,240,1
76,17,240,240,2
76,50,240,80,0
77,47,320,80,0
89,27,400,0,3
74,50,480,533,1
58,33,716,240,2
64,87,600,120,2
69,74,474,240,2
77,53,822,120,1
74,49,840,120,0
56,43,960,90,1
73,51,615,457,3
83,38,1200,16,2
72,44,1200,90,0
77,56,1440,240,0
69,46,1440,240,0
69,83,1354,155,3
76,50,1680,80,0
77,47,1760,80,0
64,47,2118,80,2
65,64,1920,533,3
74,27,1497,120,2
76,75,2040,120,1
77,53,2160,120,0
69,33,2160,240,0
74,49,2280,120,0
69,14,2726,90,2
65,91,2400,981,3
72,44,2640,90,0
68,62,2640,770,3
69,43,3325,240,1
74,58,2880,120,0
79,52,2853,120,2
72,54,2986,210,1
69,38,3120,210,0
68,20,3360,240,2
74,58,3360,120,0
76,87,3796,120,2
77,64,3493,210,1
69,45,3600,210,0
81,43,3511,765,3
74,58,3840,738,1
76,82,3960,120,1
72,48,4338,1156,2
69,34,4080,210,0
69,41,4629,240,1
83,35,4041,120,3
76,51,4440,120,0
72,47,4447,210,1
69,2,4560,210,1
69,46,4800,240,0
73,77,4800,120,2
76,82,4920,120,1
80,57,4804,984,3
79,3,5040,240,2
64,25,5160,464,3
69,43,5280,769,1
74,82,5474,994,3
76,54,5400,777,1
72,49,5520,240,0
69,4,5881,240,2
82,76,6092,240,3
81,52,5760,959,1
80,77,5839,922,3
73,43,6000,240,0
81,44,6080,80,0
85,74,6160,80,2
73,8,6240,689,2
90,85,6240,547,3
80,8,6184,807,3
73,36,6480,574,1
83,82,6918,120,3
78,46,6600,120,0
74,80,6261,90,3
73,39,6388,935,2
73,39,6960,90,0
76,46,6960,90,0
73,70,7200,1079,2
81,52,7200,240,0
69,16,7238,762,4
84,83,7440,614,3
81,44,7199,335,2
87,77,7475,319,4
73,37,7680,302,1
78,12,7789,70,3
80,44,7800,120,0
73,36,7920,240,0
70,15,7920,319,3
78,74,7691,120,2
75,87,8394,90,3
73,12,8160,840,2
86,39,8696,152,3
76,46,8400,90,0
73,22,8382,1024,3
78,54,8640,120,0
91,11,8421,1031,4
86,40,9035,210,2
80,50,8880,260,2
73,45,9470,1044,2
76,54,9290,120,2
80,56,9542,120,1
73,47,9360,210,0
91,59,9360,210,1
73,45,9600,911,1
78,54,9600,359,1
75,48,9720,28,2
73,36,9840,210,0
79,10,9660,210,3
86,43,10080,240,1
78,52,10571,120,1
80,47,10200,120,0
63,73,10458,210,3
85,71,10077,210,3
80,17,10560,1049,3
78,23,10560,120,1
91,50,10680,120,1
87,45,10520,240,2
83,89,10552,1082,3
81,47,10920,120,0
78,74,11040,120,1
69,45,11040,240,1
80,50,11160,120,0
73,9,10941,604,3
76,46,11280,240,0
89,84,11520,807,2
82,56,11520,1155,2
76,56,11760,240,0
83,76,11760,80,0
86,46,11840,866,3
83,92,11920,461,2
92,95,12000,120,2
76,61,12000,240,1
83,66,11674,120,1
77,42,12240,240,0
87,76,12337,504,3
81,67,11865,120,1
72,23,12480,90,2
83,77,12166,307,2
77,51,12720,464,1
79,73,12720,90,0
84,84,12960,240,0
76,88,12960,944,2
76,56,13200,240,0
83,76,13200,80,0
84,67,13280,80,0
83,67,13360,80,0
76,41,13440,240,0
81,73,13440,120,0
71,106,13560,30,3
84,77,13680,120,0
64,40,13680,240,1
81,67,13330,54,2
77,51,13920,90,0
83,116,14093,920,3
79,73,14160,90,0
77,51,14160,90,0
60,54,14400,120,0
64,82,13997,120,2
62,51,14650,120,1
72,57,14520,120,1
78,17,14933,240,3
67,62,14640,240,0
64,20,14781,120,2
67,57,14880,120,0
59,28,14644,962,4
65,34,15371,120,2
73,17,15467,352,4
73,48,15120,813,2
62,88,15240,57,2
65,54,15240,120,0
67,55,15360,120,0
64,49,15360,120,0
63,27,15673,120,3
68,57,15480,120,0
67,19,15350,120,2
83,82,15600,120,2
72,60,15720,120,0
59,85,15720,120,2
69,27,15840,120,2
77,81,15691,815,4
73,62,15639,120,1
70,15,16165,1058,3
80,55,16080,120,1
72,62,16080,120,0
76,13,16200,120,2
69,33,15936,999,4
70,60,16320,120,0
67,54,16320,120,0
53,73,16657,998,4
80,57,16440,120,1
65,57,16560,120,0
65,86,16491,715,4
61,45,16680,120,0
57,51,16298,762,3
70,70,16800,433,3
64,55,16800,120,0
65,90,16997,725,3
60,45,16920,120,0
56,47,17040,120,0
61,24,17040,120,1
70,86,17160,739,3
58,45,17644,120,1
76,56,17471,1153,2
84,84,17280,240,0
76,56,17520,578,1
85,76,17271,80,2
81,66,17600,80,1
72,95,17680,174,3
89,63,17760,766,3
81,106,18222,744,3
79,104,17471,120,3
84,75,18000,120,0
77,79,17873,240,2
71,66,18120,120,1
89,51,17876,90,2
83,77,18240,90,0
84,73,18938,441,3
85,86,18705,337,4
76,56,18720,240,0
84,84,18720,805,1
94,76,18891,678,3
73,76,18471,407,4
85,29,18880,948,4
83,67,19120,80,0
76,2,19504,427,3
81,72,19200,120,0
92,68,19320,593,2
77,41,19440,240,0
88,45,19134,1079,4
81,65,19560,120,0
83,77,19680,90,0
68,77,19680,381,3
80,51,19920,90,1
79,93,19920,1011,2
72,25,20651,945,3
76,54,20160,120,0
77,51,19831,120,1
74,11,20624,372,3
82,24,20400,240,2
79,55,20400,240,0
65,51,20773,1079,3
76,45,20640,120,0
77,24,20911,120,2
84,67,21199,120,3
72,43,20880,120,0
76,48,20880,120,0
77,23,21202,120,2
66,43,20529,1031,3
76,44,21120,120,0
79,49,21120,120,0
77,45,21240,120,0
