note,velocity,position,duration,anomalies
74,57,120,140,0
76,57,487,140,1
78,57,360,140,0
69,60,480,120,0
78,57,600,140,0
76,57,720,140,0
74,57,840,140,0
81,62,960,120,0
74,58,1080,140,0
76,58,1200,140,0
78,58,1320,140,0
69,61,1440,120,0
84,57,1560,140,1
76,57,1680,140,0
74,57,1800,140,0
79,60,1920,120,0
76,58,2040,140,0
78,58,2160,140,0
79,58,2280,140,0
71,98,2152,734,3
74,58,2520,140,0
73,58,2640,140,0
71,58,2760,140,0
73,97,2880,120,1
76,58,3000,140,0
78,58,3120,140,0
79,58,3240,140,0
69,60,3360,120,0
79,58,3480,140,0
78,58,3600,140,0
76,58,3720,140,0
78,62,3840,120,0
74,57,3960,140,0
76,56,4080,140,0
70,90,4200,140,2
69,61,4570,120,1
73,56,4440,140,0
71,56,4560,140,0
81,56,4680,140,1
71,62,4800,120,0
74,56,4920,140,0
70,81,4599,334,4
78,56,5160,140,0
71,61,5280,120,0
81,56,5400,140,0
80,56,5520,140,0
78,56,5640,140,0
80,61,5760,120,0
76,56,5880,1051,1
78,56,6000,140,0
80,56,6120,140,0
71,60,6240,120,0
74,56,6360,140,0
73,56,6480,140,0
71,56,6600,140,0
69,60,6720,120,0
73,95,7188,424,3
74,94,7381,411,3
76,56,7080,140,0
66,60,7200,120,0
76,56,7320,140,0
74,56,7495,506,2
73,56,7560,140,0
74,60,7680,120,0
71,56,7800,140,0
73,56,7920,140,0
74,56,8040,140,0
66,60,8160,120,0
69,55,8280,140,0
68,55,8400,140,0
66,54,8520,140,0
68,59,8640,120,0
71,54,8760,140,0
73,54,8880,532,1
74,54,9000,140,0
64,59,9120,120,0
73,53,8972,199,3
73,53,9360,140,0
71,53,9480,140,0
71,96,9600,980,3
69,54,9720,140,0
76,22,9840,140,2
73,54,9960,140,0
64,56,10080,120,0
67,53,10200,140,0
66,53,10320,140,0
61,30,10923,684,4
66,55,10560,120,0
69,53,10680,140,0
71,52,10952,140,1
73,84,11247,140,2
66,55,11040,120,0
76,51,11160,140,0
75,51,11280,140,0
73,51,11400,140,0
75,54,11520,120,0
71,51,11640,140,0
73,51,11760,140,0
75,51,11880,140,0
66,54,12000,120,0
69,52,12120,140,0
67,52,12240,140,0
66,52,12360,140,0
64,55,12480,120,0
67,53,12600,140,0
69,53,12720,140,0
71,53,12840,140,0
61,57,12960,120,0
74,54,13080,140,0
73,27,13548,140,2
71,54,13320,140,0
70,57,13440,120,0
64,55,13560,140,0
66,55,13680,140,0
77,77,13800,971,3
61,59,13920,120,0
67,55,14040,140,0
66,56,14160,140,0
64,56,14280,140,0
62,61,14400,120,0
71,57,14520,140,0
73,25,14261,1135,3
74,57,14760,140,0
66,62,14880,120,0
69,58,15000,140,0
68,58,15120,140,0
66,58,15240,140,0
65,63,15360,120,0
68,58,15480,140,0
69,59,15600,140,0
71,59,15720,140,0
65,63,15840,120,0
78,59,15960,140,1
73,59,16080,140,0
71,60,16200,140,0
80,63,16320,120,0
77,60,16440,140,0
78,60,16560,140,0
80,60,16680,140,0
85,40,16949,120,3
83,61,16920,140,0
81,62,17040,140,0
80,62,17160,140,0
81,67,17280,120,0
78,62,17400,140,0
80,62,17520,140,0
81,62,17640,140,0
73,67,17760,120,0
76,62,17880,140,0
75,62,18000,140,0
63,97,18120,632,3
75,67,18240,120,0
78,62,18360,140,0
79,62,18480,140,0
81,62,18600,140,0
71,67,18720,120,0
81,62,18840,140,0
79,62,18960,140,0
78,62,19080,140,0
79,67,19200,120,0
73,62,19396,394,3
