note,velocity,position,duration,anomalies
65,46,240,60,0
65,50,320,80,0
69,46,0,0,3
77,59,480,80,0
89,66,560,520,0
77,51,720,360,0
89,80,1080,1141,2
77,42,1080,360,0
85,39,2040,360,0
77,47,2375,1228,3
80,39,2040,360,0
77,39,2040,360,0
89,40,3000,360,0
82,34,3000,360,0
77,34,3000,360,0
85,34,3000,360,0
82,32,3960,600,0
78,32,3960,600,0
85,11,3960,844,3
85,32,3960,600,0
73,37,4920,120,0
78,41,5040,120,0
73,36,5160,120,0
78,42,5280,120,0
73,35,5400,120,0
78,42,5520,120,0
70,38,5640,120,0
75,48,5760,960,0
66,35,5880,120,0
71,41,6000,120,0
66,35,6120,120,0
65,43,6300,120,2
66,37,6360,120,0
71,42,6480,120,0
63,39,6600,120,0
75,47,6720,240,0
65,33,6720,120,0
68,32,6840,120,0
73,43,6960,480,0
65,30,6960,120,0
68,37,7080,120,0
65,35,7200,120,0
68,38,7320,120,0
65,28,7440,120,0
77,7,7440,240,2
71,27,7073,120,2
66,38,7680,240,0
70,24,7680,1177,2
69,38,7920,240,0
76,65,7611,240,3
75,45,7920,240,0
65,34,8160,420,0
68,40,8160,420,0
66,29,8580,60,0
70,35,8580,60,0
78,39,8640,240,0
86,47,8295,240,2
70,39,8640,240,0
73,39,8640,240,0
78,34,9240,360,0
70,34,9240,360,0
75,34,9240,360,0
82,41,9240,360,0
78,32,9960,240,0
74,39,9960,890,2
75,32,9960,240,0
66,35,11160,118,0
68,38,11091,910,2
70,41,11400,132,0
71,45,11520,132,0
71,48,11986,132,2
75,52,11760,132,0
76,52,11880,132,0
75,55,12000,132,0
71,52,12120,120,0
78,57,12240,132,0
76,55,12360,132,0
75,53,12480,132,0
73,51,12600,132,0
71,49,12720,132,0
70,87,13106,1056,3
71,47,12960,120,0
78,47,13080,118,0
89,21,13654,132,3
82,49,13320,132,0
83,50,13440,132,0
85,52,13560,132,0
87,53,13680,132,0
77,52,13800,355,2
87,59,13920,132,0
85,47,14040,132,0
83,47,14160,132,0
82,47,14280,132,0
80,54,14400,132,0
78,47,14520,132,0
76,47,14640,132,0
75,47,14760,132,0
73,51,14880,132,0
71,47,15000,132,0
70,47,15120,132,0
68,47,15240,132,0
66,51,15360,120,0
76,17,15480,120,1
75,57,15600,120,0
80,60,15720,120,0
78,60,15840,120,0
83,45,15960,120,0
78,14,16080,120,2
88,49,16200,120,0
76,41,16320,360,0
82,41,16320,360,0
88,49,16320,602,1
83,2,16680,494,2
87,49,16680,360,0
69,41,16680,863,2
75,41,16680,360,0
75,49,17640,240,0
83,49,17640,240,0
87,49,17640,240,0
80,49,17640,240,0
75,37,17880,120,0
68,37,18000,120,0
75,37,18120,120,0
76,46,18240,120,0
75,40,18360,120,0
68,42,18480,120,0
75,45,18600,120,0
76,49,18720,1080,0
70,41,19800,120,0
75,46,19920,120,0
84,12,20040,120,2
63,44,20435,120,2
70,37,20280,120,0
75,43,20400,454,1
73,37,20520,120,0
59,52,20734,480,3
75,46,20760,120,0
72,55,20880,120,0
80,47,21000,120,0
73,60,21120,120,0
80,54,21240,120,0
70,63,21360,1099,2
79,58,21480,1005,2
76,70,21600,480,0
64,53,22080,600,0
61,42,22680,120,0
66,50,22800,120,0
65,37,22920,120,0
66,51,23040,120,0
61,43,23160,828,1
66,51,23672,120,1
64,44,23400,120,0
54,27,23153,240,3
73,60,23821,1318,3
73,52,24240,240,0
71,63,24480,120,0
75,53,24600,120,0
71,62,24720,120,0
75,53,24840,120,0
76,63,24960,120,0
83,63,24960,600,0
75,60,25080,120,0
57,86,24872,912,4
59,30,25618,120,3
76,84,25838,380,3
80,59,25560,120,0
81,65,25680,120,0
85,59,25800,120,0
69,58,25920,240,0
90,42,25920,120,2
81,59,26040,120,0
71,62,26160,240,0
86,44,26160,120,2
80,71,26280,120,0
75,81,26400,120,0
71,69,26400,240,0
70,107,26520,120,2
75,81,26640,120,0
73,38,26640,240,1
79,77,26760,120,0
75,81,26880,120,0
71,69,26880,240,0
93,41,27000,120,2
70,69,27120,240,0
75,81,27120,744,1
82,72,27240,120,0
80,32,27480,600,0
75,32,27480,600,0
71,75,27480,600,2
71,32,27480,600,0
80,56,28440,600,1
83,38,28440,600,0
76,32,28873,600,1
71,32,28440,600,0
85,38,29400,600,0
74,0,29452,600,3
73,32,29400,600,0
80,58,29647,600,2
76,32,30360,600,0
73,32,30360,600,0
85,38,30360,600,0
81,32,30360,600,0
69,37,31200,60,0
69,32,31280,80,0
81,64,30919,9,3
81,46,31440,560,0
93,45,31520,480,0
92,61,32000,320,0
80,51,32000,320,0
88,58,32320,320,0
76,49,32320,320,0
75,46,32640,320,0
87,26,32508,784,3
74,45,32960,320,0
86,53,32960,320,0
83,50,33280,320,0
71,42,33280,320,0
93,51,33600,391,2
76,45,33760,160,0
75,45,33920,160,0
74,45,34080,160,0
71,45,34240,160,0
68,45,34400,160,0
64,48,34560,160,0
63,42,34720,160,0
73,67,34880,160,2
62,21,43200,480,1
59,34,43200,480,0
59,35,43680,45,0
62,42,43680,45,0
59,35,43920,240,0
62,42,43920,240,0
62,43,44160,480,0
49,36,44160,1198,2
67,45,44640,45,0
59,38,44640,45,0
59,38,44880,240,0
67,47,44880,240,0
67,47,45120,480,0
64,40,45120,480,0
61,15,46021,45,3
67,51,45600,45,0
67,51,45840,240,0
64,42,45840,240,0
64,44,46080,480,0
61,53,45911,480,2
64,46,46560,45,0
72,55,46560,45,0
77,52,46800,240,1
72,52,46800,240,0
72,58,47040,480,0
69,48,47040,480,0
72,65,47520,60,0
69,54,47520,60,0
69,57,47299,240,1
72,69,47760,240,0
69,60,48000,480,0
77,73,48000,480,0
69,67,48480,60,0
74,67,48480,60,0
88,82,48010,510,3
74,71,48720,240,0
69,71,48720,240,0
77,86,48720,240,0
68,98,49299,480,3
69,76,48960,480,0
73,76,48960,480,0
81,91,49442,480,1
76,75,49440,60,0
73,75,49440,60,0
69,75,49440,60,0
81,89,49440,60,0
73,74,49680,240,0
69,74,49680,240,0
81,89,49680,240,0
76,74,49680,240,0
69,73,49920,480,0
76,87,49796,611,3
73,73,49920,480,0
76,73,49920,480,0
69,71,50400,60,0
73,71,50400,60,0
76,71,50400,60,0
81,86,50400,60,0
76,71,50640,240,0
73,71,50640,240,0
81,85,50691,240,1
69,71,50640,240,0
73,70,50562,480,1
81,83,50880,480,0
76,37,50880,480,1
79,34,50880,1456,3
69,68,51360,60,0
81,82,51360,60,0
81,81,51600,240,0
81,102,51788,773,4
69,61,52148,480,1
83,39,52275,480,3
65,54,52320,374,2
81,89,52320,60,1
69,51,52560,240,0
81,61,52560,240,0
81,57,52800,480,0
69,47,52800,480,0
81,49,53280,60,0
69,40,53280,60,0
69,37,53520,240,0
75,45,53520,240,1
69,27,53760,480,0
81,32,53760,480,0
81,32,54240,60,0
69,27,53866,794,2
81,32,54480,240,0
69,27,54480,240,0
81,40,54720,80,0
82,36,54800,80,0
81,40,54880,80,0
82,35,54960,80,0
81,40,55040,80,0
82,36,55120,80,0
81,40,55200,80,0
82,36,55280,80,0
81,40,55360,80,0
82,36,55440,80,0
81,40,55520,80,0
82,35,55600,80,0
81,40,55680,80,0
84,8,55760,80,2
81,40,55840,80,0
82,35,56305,763,2
81,40,56000,80,0
82,34,56080,80,0
73,86,56283,678,4
82,43,56240,80,0
81,49,56320,80,0
82,43,56400,80,0
81,50,56480,80,0
82,43,56560,80,0
84,52,56640,80,0
86,47,56720,80,0
84,53,56800,80,0
86,70,56880,80,1
84,54,56960,80,0
86,49,57040,80,0
84,56,57120,80,0
86,50,57200,80,0
84,57,57280,80,0
86,52,57360,80,0
84,58,57440,80,0
86,51,57520,80,0
84,60,57600,80,0
86,54,57680,80,0
77,34,57760,688,3
86,54,57840,80,0
84,62,57920,80,0
86,53,58246,80,1
89,64,58080,80,0
91,57,58160,80,0
97,104,58171,930,4
91,57,58320,80,0
89,66,58400,80,0
91,60,58480,80,0
89,68,58560,80,0
91,61,58640,80,0
89,69,58720,80,0
91,63,58800,80,0
89,70,58880,80,0
100,97,59343,22,4
89,78,59040,120,0
87,77,59160,120,0
86,76,59497,120,1
84,75,59400,120,0
82,73,59520,120,0
81,101,59581,229,3
79,71,59760,120,0
77,73,59880,120,0
66,75,60252,991,3
74,104,60264,120,2
72,78,60240,120,0
77,79,60360,120,0
65,75,60480,240,0
70,89,60480,240,0
58,75,60480,240,0
62,46,60480,1127,2
67,50,61200,144,0
65,43,61320,144,0
63,50,61440,144,0
62,79,61131,1058,3
60,47,61680,144,0
64,70,61800,694,3
57,50,61920,144,0
58,44,62040,144,0
57,44,62160,144,0
55,44,62280,144,0
53,50,62400,120,0
55,44,62520,120,0
53,44,62640,120,0
58,5,62319,120,3
50,50,62880,120,0
51,44,63000,120,0
46,44,62781,120,2
48,44,63240,120,0
46,50,63360,1063,1
58,65,76320,120,0
76,65,76800,80,0
72,59,76880,80,1
76,65,77379,80,1
77,60,77040,80,0
76,65,77120,80,0
77,61,77200,80,0
76,65,77280,80,0
77,65,77360,80,0
86,93,77577,508,4
77,61,77520,60,0
76,65,77580,60,0
74,61,77640,60,0
76,61,77700,60,0
77,69,77760,480,0
77,62,78480,144,0
76,15,78409,144,2
74,52,78720,144,0
72,52,78840,144,0
70,58,78960,144,0
69,51,79080,144,0
74,69,79598,480,1
66,35,79920,144,2
66,52,79838,144,2
70,85,80160,286,2
69,52,80280,144,0
67,58,80400,144,0
65,51,80520,144,0
70,69,80640,480,0
70,66,81360,144,0
69,65,81480,144,0
67,64,81600,144,0
69,63,81720,144,0
68,34,81741,754,4
65,62,81960,144,0
64,66,82080,144,0
65,59,82200,144,0
64,59,82320,144,0
62,59,82440,120,0
60,59,82560,120,0
62,62,82680,144,0
64,57,82800,144,0
65,57,82920,144,0
52,57,83040,144,1
67,57,83160,144,0
69,57,83280,144,0
67,57,83400,120,0
65,60,83520,144,0
67,61,83640,144,0
65,100,83760,375,3
70,62,83880,144,0
71,63,84000,144,0
72,63,84120,144,0
74,64,84240,144,0
72,60,84360,144,0
70,64,84480,144,0
64,63,84600,1073,2
67,62,84720,764,1
65,60,84840,144,0
64,65,84960,144,0
65,56,85080,144,0
64,58,85200,144,0
62,58,85320,120,0
60,62,85440,144,0
62,62,85560,144,0
64,58,85680,144,0
71,34,86165,734,4
66,58,85920,144,0
67,58,86040,144,0
71,58,86160,93,2
65,58,86280,120,0
60,103,86841,472,4
65,62,86628,748,2
72,59,86640,144,0
70,59,86760,120,0
69,62,86880,144,0
