note,velocity,position,duration,anomalies
67,78,960,120,0
64,66,960,120,0
59,66,960,120,0
55,34,960,120,1
55,70,1440,960,0
59,70,1440,960,0
64,70,1440,960,0
67,84,1440,720,0
66,77,2160,240,0
64,68,2400,120,0
55,57,2400,120,0
65,96,2880,612,3
66,70,2880,240,0
69,84,2880,240,0
69,37,3546,952,2
66,31,3840,480,0
74,1,4320,1448,3
69,45,4320,720,0
67,40,5040,240,0
69,11,5280,360,1
66,35,5280,360,0
71,43,5760,360,0
67,36,5760,360,0
71,78,6720,120,0
67,66,6720,120,0
62,66,6720,120,0
59,31,6789,765,3
62,70,7200,960,0
59,70,7070,960,1
67,70,7200,960,0
71,84,7200,720,0
69,77,7920,240,0
67,31,7876,332,3
59,57,8160,120,0
61,70,8640,240,0
70,70,8640,240,0
73,84,8640,240,0
67,0,9600,480,2
70,31,9808,480,1
70,37,10080,720,0
73,45,10080,720,0
71,40,10800,240,0
73,41,11040,360,0
70,35,11040,360,0
61,67,11520,588,3
71,36,11520,360,0
74,70,12480,960,0
79,70,13440,480,0
75,92,13920,781,3
74,66,14400,480,0
72,56,14880,456,0
72,61,15360,960,0
81,61,16320,480,0
72,52,16800,960,0
71,61,17760,456,0
71,55,18240,960,0
67,50,19200,456,0
67,44,19680,960,0
64,43,20640,456,0
64,41,21120,960,0
48,36,22080,1360,2
52,24,22560,480,0
51,24,23040,864,0
59,28,23040,864,0
84,26,23758,1761,4
88,27,24146,2131,3
79,45,25200,240,1
87,53,25200,240,0
75,9,25091,997,4
88,57,25440,480,0
60,51,25920,960,0
64,51,25920,960,0
66,89,25920,960,1
66,66,26880,480,0
64,29,26880,1372,2
61,94,26804,480,2
57,60,27360,1440,0
63,60,27360,1440,0
56,71,27360,1034,2
67,51,27756,240,1
69,56,28320,240,0
67,6,28560,1079,2
66,47,28800,1269,1
64,39,29280,480,0
77,51,29760,2143,2
88,61,29760,1200,0
75,52,30960,240,0
87,61,30960,240,0
76,56,31200,480,0
88,66,31200,480,0
60,51,31680,960,0
64,51,31680,960,0
66,61,31680,960,0
66,52,32640,480,0
64,44,32640,480,0
61,44,32640,480,0
57,46,33120,1440,0
63,46,33120,1440,0
66,55,33120,720,0
69,38,33840,240,0
67,41,34080,240,0
66,32,34320,240,0
55,30,34560,480,0
64,36,34560,480,0
59,30,35520,120,0
71,36,35520,120,0
71,41,36000,960,0
59,34,36000,960,0
64,30,36960,120,0
73,9,37109,120,3
76,42,37440,960,0
64,35,37440,960,0
71,30,38400,120,0
83,36,38336,749,2
83,40,38880,960,0
71,34,38880,960,0
88,36,39840,120,0
76,30,39840,120,0
76,55,40320,960,1
88,41,40320,960,0
77,70,41280,120,0
83,70,41280,120,0
86,70,41280,120,0
89,82,40848,120,1
77,76,41760,720,0
83,76,41760,720,0
86,76,41856,720,1
89,90,41760,720,0
88,70,42480,132,0
86,69,42600,132,0
84,34,43097,132,2
73,95,42840,1018,3
94,29,42960,655,3
79,66,43080,132,0
77,64,43200,132,0
76,64,43320,132,0
74,85,43440,200,2
72,64,43560,132,0
80,28,43940,88,3
69,63,43760,88,0
67,63,43918,88,1
65,63,43920,88,0
64,63,44000,88,0
62,63,44080,88,0
60,63,44160,106,0
59,63,44256,106,0
57,63,44352,106,0
55,62,44448,106,0
54,62,44544,106,0
55,89,44640,240,0
65,40,45600,120,0
62,34,45600,120,0
55,34,45600,120,0
62,45,46425,240,2
60,38,46080,240,0
55,38,46080,240,0
74,76,47040,120,0
80,76,47040,120,0
83,76,47040,120,0
86,90,47040,120,0
74,84,47520,720,0
80,84,47520,720,0
80,108,47365,789,4
86,98,47520,720,0
84,70,48240,132,0
83,36,48819,1028,3
81,68,48480,132,0
80,68,48600,132,0
78,68,48720,132,0
79,66,48343,766,3
79,32,49253,550,4
72,64,49080,132,0
71,64,49200,132,0
69,41,49320,132,1
68,30,49047,148,3
56,27,49329,88,3
64,97,49600,88,1
62,63,49680,88,0
60,40,49479,704,3
59,63,49840,88,0
60,36,49920,738,3
56,63,50016,106,0
54,63,50112,106,0
52,90,50208,226,2
51,62,50304,106,0
52,56,50400,716,2
62,40,51360,120,0
61,34,51360,905,2
52,34,51360,120,0
56,18,51840,240,2
57,38,51840,240,0
52,38,51840,240,0
82,57,52800,450,0
82,60,53280,720,0
87,13,54000,1113,3
79,53,54120,132,0
87,51,54240,751,2
75,26,54757,132,2
87,14,54398,490,4
72,51,54600,132,0
70,51,54720,132,0
69,79,54840,575,2
70,14,54541,638,4
65,49,55080,132,0
63,53,55200,176,0
75,80,55360,510,3
60,44,55520,176,0
58,53,55680,470,0
58,53,56160,2400,0
67,53,58560,432,0
67,59,59040,960,0
57,53,60000,1169,2
73,32,59749,1400,3
73,68,60480,960,0
67,88,60480,1426,2
73,58,61440,432,0
76,58,61440,432,0
79,69,61440,432,0
73,66,61920,2745,1
76,66,61920,2400,0
79,99,62293,960,2
78,80,62880,480,0
77,84,63360,960,0
78,82,64320,432,0
76,69,64320,432,0
73,69,64320,432,0
71,80,64800,1440,0
74,80,64800,1440,0
76,95,64800,1941,2
71,80,66240,1440,0
69,59,66422,2036,4
96,94,66240,1440,1
66,41,67680,120,0
60,28,67680,175,3
72,59,68160,120,0
60,49,68160,120,0
72,56,69120,120,0
71,47,69120,720,2
75,82,69600,939,2
63,49,69600,120,0
75,57,70560,120,0
69,48,70560,120,0
76,63,71040,120,0
64,53,71040,120,0
76,60,72000,120,0
71,50,72000,120,0
77,64,72480,120,0
65,24,72480,61,2
81,39,73653,1024,3
71,39,73440,120,0
76,46,73440,120,0
77,38,73680,120,0
71,32,73680,120,0
68,32,73680,120,0
77,38,73920,120,0
71,32,73920,120,0
68,32,73920,120,0
77,38,74160,120,0
71,32,74160,120,0
68,32,73968,120,1
77,38,74400,120,0
71,32,74400,120,0
68,32,74400,120,0
85,38,74640,120,1
80,32,74640,120,1
68,32,74640,120,0
68,39,74880,608,1
71,39,74880,120,0
77,46,74880,120,0
77,52,75120,120,0
71,44,75220,120,1
68,44,75120,120,0
77,58,75360,120,0
71,48,75360,120,0
68,48,75360,120,0
77,63,75600,120,0
63,53,75343,120,2
68,53,75600,120,0
77,69,75840,120,0
71,59,75840,120,0
60,59,75567,120,2
77,47,76080,472,2
67,24,76080,120,2
68,63,76080,120,0
78,77,76320,120,0
71,53,76320,120,2
85,77,76320,120,0
88,91,76320,120,0
90,91,76320,120,0
79,70,76560,120,0
82,70,76560,120,0
85,70,76560,120,0
88,83,76560,120,0
91,83,76560,120,0
79,70,76800,120,0
82,70,76800,120,0
85,70,76800,120,0
88,83,76800,809,1
91,83,77081,120,1
79,39,77040,120,1
82,70,77040,120,0
71,42,77040,120,2
88,83,77040,120,0
91,83,77040,120,0
79,70,77280,120,0
82,70,77280,120,0
85,70,77280,120,0
88,119,77280,874,2
91,53,77280,426,2
66,107,77771,1096,4
82,70,77777,120,1
85,70,77520,120,0
88,83,77520,120,0
101,83,77059,120,2
79,71,77760,120,0
82,71,77760,120,0
85,71,77760,120,0
88,85,77760,120,0
91,85,78216,120,1
79,65,78000,120,0
82,65,78000,120,0
85,65,78000,120,0
87,117,78302,320,4
91,77,78000,120,0
79,63,78240,120,0
82,63,78240,120,0
85,63,78240,120,0
88,74,78730,233,2
91,74,77902,855,2
71,57,78629,120,2
82,57,78480,120,0
85,57,78480,120,0
88,36,78480,120,1
91,67,78480,120,0
90,51,78720,833,2
82,51,78720,120,0
86,51,78917,1005,3
88,60,78720,120,0
91,96,78720,120,1
79,47,78960,120,0
82,47,78960,120,0
85,47,78960,120,0
88,56,78960,120,0
91,56,78960,120,0
91,56,79200,480,0
65,33,78740,480,3
90,56,79680,1440,0
78,56,79680,1440,0
71,56,81120,1440,0
83,56,81120,1440,0
66,56,82560,1440,0
78,56,82560,1440,0
59,56,84000,960,0
71,35,84219,1440,2
67,63,85440,480,0
66,57,85920,470,0
66,65,86558,960,1
70,98,87360,1223,2
71,56,87840,240,0
79,68,88080,240,0
91,74,88320,720,0
90,56,89040,240,0
90,69,89520,240,0
85,66,89760,720,0
83,51,90480,240,0
83,73,90960,240,0
79,70,91200,720,0
78,87,91920,385,2
78,70,92400,240,0
73,65,92640,720,0
71,56,93360,230,0
71,63,93600,480,0
67,63,94080,480,0
66,96,94676,470,2
66,107,95040,240,1
62,65,95280,240,0
59,71,95520,240,0
60,38,95760,240,2
54,70,96000,240,0
58,76,96240,240,0
59,80,96480,480,0
59,79,97920,1440,0
55,67,97920,1440,0
60,34,99360,960,0
55,28,99360,1440,0
67,39,100320,1440,0
64,27,100800,1440,0
56,27,100739,1440,2
61,27,100800,1440,0
66,33,101760,470,0
66,40,102240,480,0
62,34,102240,480,0
59,34,102240,480,0
59,79,103680,1440,0
63,91,103517,1440,3
60,34,105120,960,0
55,28,105120,1440,0
67,39,106080,1440,0
64,27,106560,1440,0
58,27,106560,1440,0
61,27,106560,1440,0
66,33,107520,470,0
67,39,108987,1440,0
59,24,109440,1440,0
62,24,109440,1440,0
66,8,110913,480,2
76,39,112130,1440,2
61,24,112320,1440,0
64,24,112320,1440,0
70,33,113280,480,0
59,28,113760,480,0
62,28,113760,480,0
71,33,113760,480,0
59,28,115200,480,0
62,28,115200,480,0
71,33,115200,480,0
59,28,116640,480,0
62,28,116640,480,0
71,33,116640,480,0
71,33,118080,1430,0
71,1,119696,1430,2
71,33,120960,950,0
81,42,121920,120,0
75,69,122253,120,3
71,33,122160,120,0
71,0,122400,120,1
81,46,122400,720,0
71,30,122640,120,0
71,30,122880,120,0
71,30,123120,120,0
79,42,123120,240,0
71,30,123360,120,0
78,37,123360,120,0
71,30,123600,120,0
71,34,123840,120,0
83,46,123840,240,0
79,46,123840,240,0
71,30,124080,120,0
71,30,124320,120,0
71,30,124874,873,2
71,30,124800,120,0
83,40,124800,480,0
79,22,124800,480,0
71,30,125040,120,0
66,34,125407,120,2
83,80,125280,1368,2
80,27,125280,720,0
71,30,125520,120,0
71,30,125760,120,0
71,30,126000,120,0
81,40,126000,240,0
71,30,126240,120,0
83,37,126240,240,0
80,24,126240,240,0
64,0,126480,120,2
71,34,126639,1052,3
94,20,126720,784,3
84,25,126720,480,0
86,48,127680,120,1
84,48,127680,120,0
72,54,128160,720,0
84,54,128160,720,0
71,54,128880,240,0
83,54,128880,240,0
67,48,128631,546,3
81,68,129415,480,3
86,101,129169,240,2
74,64,129600,240,0
62,43,130444,325,4
86,31,130481,120,2
82,107,131040,1419,3
86,73,131040,720,0
72,69,131760,240,0
84,69,131760,240,0
74,64,132000,120,0
86,64,132000,120,0
75,81,132480,720,0
87,97,132480,720,0
74,62,133200,240,0
86,74,133200,240,0
87,84,133440,240,0
75,71,133440,240,0
63,89,133920,720,0
62,62,134640,240,0
63,71,134880,240,0
63,75,135360,720,0
66,126,135095,1114,3
65,63,136361,854,2
62,53,136080,486,1
66,73,136320,240,0
63,62,136320,240,0
78,92,136800,720,0
75,78,136800,720,0
77,65,137520,240,0
74,33,137520,408,2
78,75,137760,240,0
75,63,137760,240,0
84,94,138240,720,0
72,79,138240,720,0
83,66,138960,240,0
71,56,138960,240,0
84,77,139200,240,0
72,65,139200,240,0
57,97,139680,720,0
56,44,140651,240,2
57,78,140640,240,0
90,99,141120,720,0
78,82,141120,720,0
89,70,141840,240,0
77,58,141840,240,0
90,114,142080,240,1
71,89,142080,240,2
66,71,142560,720,0
72,85,142560,720,0
69,71,142560,720,0
66,59,143280,240,0
71,71,143280,240,0
69,59,143280,240,0
66,69,143520,240,0
72,81,143520,240,0
69,69,143520,240,0
71,93,144000,480,0
68,80,144000,480,0
65,80,144000,480,0
69,32,144720,120,0
71,32,144720,120,0
77,45,144720,120,0
67,32,144960,120,0
72,32,144960,120,0
76,45,145145,258,2
75,52,145440,480,0
69,37,145440,480,0
66,37,145440,480,0
66,32,146160,120,0
69,32,146160,120,0
75,11,146506,120,2
65,32,146400,120,0
71,32,146400,120,0
74,20,146197,39,3
73,50,146880,480,0
67,35,146880,480,0
64,35,146880,480,0
63,32,147600,120,0
67,32,147600,120,0
72,45,147600,120,0
55,32,147840,249,2
67,32,147840,120,0
71,45,147840,120,0
61,42,148320,120,0
64,42,148320,120,0
70,50,148320,120,0
60,81,148800,661,2
77,19,148539,120,3
69,50,148800,120,0
60,42,149280,120,0
63,42,149280,120,0
68,50,149280,813,1
67,54,149760,120,0
66,55,150240,120,0
65,58,150720,120,0
64,60,151530,120,1
63,60,151680,120,0
62,60,152160,120,0
61,60,152640,120,0
60,64,153120,120,0
59,68,153600,120,0
58,43,154080,120,1
71,50,154560,120,1
56,46,155040,120,0
44,42,155520,1008,2
55,33,155760,240,0
67,43,156000,1910,0
71,43,157993,960,2
72,48,158880,480,0
69,65,159307,1007,3
67,47,159840,480,0
65,43,160320,915,1
65,45,160800,960,0
74,52,161760,480,0
65,46,162240,960,0
64,43,163200,450,0
64,36,163680,120,0
67,31,163800,120,0
72,32,163920,120,0
76,31,164040,120,0
77,8,164160,120,1
60,4,164002,1082,4
72,78,164400,120,2
74,14,164206,506,4
69,52,164640,120,0
72,41,164760,120,0
77,37,164880,120,0
81,35,165000,110,0
70,38,165120,749,2
84,32,164890,925,3
86,35,165027,120,2
86,35,165480,120,0
81,39,165600,120,0
74,34,165720,120,0
68,77,165840,120,2
82,70,165461,1117,3
79,52,166080,120,0
78,14,166200,120,2
79,37,166320,120,0
82,34,166440,120,0
79,38,166560,943,1
59,32,166623,120,2
79,35,166800,120,0
82,35,166920,120,0
79,39,167040,120,0
72,38,167394,333,2
79,40,167280,120,0
82,47,167400,120,0
76,54,167520,120,0
72,47,167640,120,0
76,7,168042,120,2
79,6,167880,110,1
79,38,168000,120,0
76,32,168120,120,0
79,35,168240,120,0
84,35,168360,120,0
79,39,168671,901,2
76,35,168696,120,1
79,36,168720,120,0
84,41,168840,120,0
81,46,168960,120,0
77,32,169080,120,0
81,32,169200,120,0
84,32,169320,120,0
81,38,169440,120,0
77,32,169560,120,0
81,35,169680,120,0
84,35,169800,120,0
81,46,169920,120,0
77,37,170040,120,0
81,38,170160,120,0
86,37,170280,120,0
81,45,170400,120,0
77,38,170520,120,0
87,38,170640,120,1
86,0,170388,816,3
82,45,170880,120,0
77,39,171000,120,0
82,43,171120,120,0
86,43,171240,120,0
83,47,171360,120,0
77,38,171891,707,2
83,39,171600,120,0
86,38,171720,120,0
83,47,171840,120,0
76,39,171960,120,0
83,40,172080,120,0
86,40,172200,120,0
83,17,172320,366,2
76,40,172440,120,0
83,45,172633,255,2
86,7,172680,993,2
79,20,172800,120,2
64,40,172920,245,2
83,42,173040,120,0
85,81,172710,120,3
83,50,173280,120,0
79,16,173313,367,4
83,4,173520,120,1
86,42,173640,120,0
83,50,173760,120,0
76,43,174280,120,1
83,47,174000,120,0
86,48,174120,120,0
83,53,174240,120,0
76,16,174360,281,2
83,51,174480,120,0
84,55,174600,120,0
81,91,175163,642,3
76,50,174840,120,0
81,12,174960,1016,2
84,12,174614,249,3
81,54,175200,120,0
76,45,175320,912,1
85,87,175440,120,2
84,48,175560,120,0
71,56,175680,120,1
74,48,175800,120,0
81,55,176245,120,1
83,56,176040,120,0
80,59,176160,120,0
74,52,176280,120,0
80,51,176400,120,0
83,48,176520,120,0
80,56,176640,120,0
74,48,176760,120,0
73,76,176791,120,3
83,51,177000,120,0
80,88,176689,813,3
72,84,177365,591,3
80,58,177360,120,0
83,60,177480,120,0
87,26,177699,120,3
81,54,177720,120,0
72,50,177840,444,1
81,50,177960,120,0
80,59,178080,120,0
81,50,178200,120,0
72,56,178320,120,0
81,53,178440,110,0
81,62,178560,120,0
71,52,178680,120,0
76,22,178482,35,4
83,55,178920,120,0
81,60,179040,120,0
71,56,179160,120,0
85,88,179280,120,2
83,49,179400,120,0
81,63,179520,120,0
71,53,179640,120,0
81,58,179760,120,0
83,58,179880,120,0
