note,velocity,position,duration,anomalies
65,86,480,1214,3
64,53,1920,960,1
60,58,3437,960,2
79,63,4628,1913,3
67,95,5708,900,2
72,59,6180,941,2
71,69,6180,1020,0
69,98,6017,1199,4
74,74,6960,180,0
60,95,7140,60,2
64,31,6979,432,3
82,103,7200,240,2
71,73,7560,90,0
72,79,7680,240,0
72,66,7593,440,3
74,69,8040,90,0
64,73,8160,879,1
76,81,8160,917,1
62,16,8933,788,4
71,87,8640,240,2
76,17,9257,90,3
72,52,9120,54,1
79,59,9120,120,0
73,98,9600,926,3
85,15,9600,120,2
74,57,10160,60,2
88,91,10080,960,2
71,82,9852,1127,3
60,81,11365,619,4
79,60,11040,541,1
77,62,11460,60,0
81,71,11520,240,0
74,70,11760,953,2
72,75,12000,1053,2
77,67,11504,1823,2
86,67,11989,778,2
84,67,12320,160,0
75,110,12480,729,3
81,88,12720,240,1
82,93,12960,284,3
92,75,12960,961,2
91,88,13320,727,3
76,59,13320,90,0
74,60,13377,480,1
77,67,13440,887,1
86,56,14320,791,3
76,25,13920,480,1
74,66,14400,360,0
71,59,14400,360,0
71,53,14511,90,1
80,60,15131,265,3
91,64,14880,960,1
72,50,15587,980,2
76,56,15360,480,0
69,50,15360,1282,1
72,60,15840,497,1
74,53,15840,360,1
72,20,16200,790,2
69,51,16200,90,0
75,61,15946,1695,3
71,68,16800,480,1
66,89,16306,1445,4
65,60,17700,1020,0
71,69,18131,1689,2
87,78,17760,720,1
80,39,18480,180,2
60,98,19160,60,3
76,79,18720,240,0
64,70,18720,240,0
76,73,18641,555,3
85,79,19200,240,1
70,68,19200,240,1
79,69,19453,578,3
64,37,19680,420,1
76,81,19992,420,1
82,55,19837,431,3
78,59,20160,977,2
78,80,20520,1052,2
79,98,20942,507,3
72,87,20640,120,1
81,61,20978,510,2
72,55,21219,120,1
82,81,21782,60,3
76,58,21265,960,2
83,34,21422,1825,3
79,60,22560,420,0
71,53,22560,420,0
77,63,22980,474,1
89,70,22894,240,2
83,67,23280,176,1
68,67,24019,1194,3
84,75,23520,160,0
88,67,23680,160,1
84,67,23840,160,0
79,72,24000,240,1
81,92,24240,240,1
76,67,24041,467,2
79,75,24480,360,0
87,66,24840,25,2
76,59,24840,90,0
77,67,25225,480,1
74,20,25361,1263,3
72,28,25440,625,2
76,62,25440,480,0
74,66,25920,360,0
71,20,25920,597,2
71,53,26280,90,0
74,60,26280,90,0
73,26,26400,960,2
72,29,26880,480,1
69,50,26880,480,0
75,56,26880,480,1
80,26,26892,1473,4
74,30,26927,808,3
65,51,27360,1116,1
76,56,27840,240,0
79,31,27907,240,3
72,14,27953,480,2
64,12,28212,543,3
67,49,29040,240,0
53,44,29280,404,2
55,44,29280,480,0
67,49,29280,240,0
67,50,29760,480,0
57,45,29760,480,0
46,45,29760,480,1
61,49,30480,1102,2
62,76,30616,1059,4
59,44,30720,480,0
56,49,30720,240,1
56,66,31200,480,2
57,7,31200,619,3
67,50,31200,631,1
67,49,32160,480,0
69,44,32500,747,3
60,44,32160,240,0
64,40,32400,240,0
67,50,32640,480,0
62,45,32640,240,0
68,44,32880,637,2
59,47,33120,440,1
53,52,33382,1412,3
60,81,33043,429,3
69,61,33738,1209,4
58,40,33840,980,1
60,65,33883,240,3
56,74,34742,240,2
93,17,34800,619,3
83,23,35040,480,2
73,44,35040,480,1
79,49,35040,1029,1
69,45,35520,480,0
79,50,36005,828,2
72,45,35520,480,0
79,84,36240,240,1
79,15,36480,240,1
67,70,36480,1139,2
71,44,36978,588,2
75,45,37345,419,3
72,21,36960,480,1
79,50,36960,480,0
69,82,37920,240,1
81,44,37920,240,1
