note,velocity,position,duration,anomalies
70,57,0,480,2
57,50,0,480,2
75,79,0,480,0
79,88,0,480,0
65,28,917,120,2
70,31,480,714,2
68,34,480,120,2
77,70,480,120,0
86,62,593,288,3
67,62,870,1045,2
63,98,720,120,2
86,49,720,255,3
59,79,960,480,1
72,79,960,480,0
80,88,960,687,1
75,101,960,480,1
75,89,1440,1052,2
60,62,1440,858,2
67,62,1440,120,0
81,109,1916,623,4
56,63,1680,120,1
60,63,1680,37,2
72,71,1680,120,1
75,40,1680,675,2
70,75,1920,480,0
67,101,1920,984,2
80,101,2270,1279,4
83,84,1778,1270,3
65,60,2400,120,0
71,68,2400,120,1
68,60,2400,120,0
74,60,2400,620,1
67,57,2640,120,0
49,57,2930,955,3
70,57,2640,120,0
79,63,2521,571,3
63,26,2614,486,4
74,60,3284,120,1
69,96,2880,676,3
73,41,3120,120,2
72,107,3417,480,3
65,95,3360,480,2
75,51,3360,1460,2
63,90,4332,480,2
62,74,3840,480,1
70,67,3840,480,0
70,74,4191,1231,3
68,67,4320,420,0
58,29,4320,420,2
72,67,4142,605,2
75,74,4320,686,1
63,67,4800,480,0
88,114,4889,1164,4
66,67,4450,480,2
70,33,4800,1129,2
62,28,4960,120,2
65,25,4930,120,2
76,32,4815,120,3
74,70,5280,120,0
63,70,5317,120,2
70,62,5520,120,0
63,101,5999,120,2
60,62,5520,620,2
72,72,5760,625,1
74,111,5760,480,2
79,81,5760,480,0
75,72,5760,480,1
77,104,6240,191,2
65,87,6063,1081,3
60,61,6314,207,3
62,61,6425,120,2
63,84,6823,645,3
79,23,6480,120,2
72,61,6480,120,0
75,69,6480,120,0
70,95,6720,480,1
74,49,6903,480,2
62,69,6720,480,0
72,102,6720,480,2
60,64,7200,120,0
63,64,7334,765,2
67,64,7200,120,0
72,93,7521,120,2
70,90,7440,296,2
58,94,7665,803,3
75,62,7188,120,2
67,62,7440,120,0
71,61,7357,1023,3
66,61,7680,120,0
69,69,7680,120,0
48,98,7796,120,3
65,44,8160,480,2
81,75,8359,480,2
55,68,8473,480,1
66,68,8640,810,1
67,75,8640,480,0
55,99,8679,420,2
65,67,9120,420,0
67,74,9120,420,0
67,79,10029,480,1
79,88,9600,480,0
58,79,9600,480,1
87,79,9253,480,2
76,72,9959,65,3
79,103,10080,896,3
66,64,10080,120,1
56,96,10167,120,3
61,64,9949,351,3
70,64,10320,120,0
75,64,10320,120,0
89,72,10814,120,2
88,88,10327,1276,3
68,79,10964,627,2
72,110,10560,480,1
75,102,10426,835,3
67,38,11040,682,2
70,85,11450,120,2
82,70,10873,120,2
79,70,11040,120,0
72,70,11280,120,1
72,83,11280,532,2
77,70,11280,120,0
65,62,11280,794,1
67,77,11520,480,0
70,77,11520,480,0
66,117,11520,480,2
87,65,11520,1211,3
77,33,11793,120,2
65,87,12000,197,2
68,64,12000,120,0
74,64,12000,120,0
63,98,11755,1117,3
67,62,12240,120,0
70,96,12240,120,1
68,92,11948,120,3
77,68,12480,120,0
80,60,12398,209,3
65,60,12291,782,2
80,99,12872,1073,4
58,112,12503,1032,4
75,83,12960,480,0
73,56,13573,1385,3
77,78,13601,480,2
75,62,13440,1083,2
62,107,13441,450,3
63,83,14134,450,1
81,118,13920,450,2
87,101,14400,480,0
84,113,14456,480,3
61,90,14173,480,2
78,90,14400,932,1
78,120,14804,450,3
82,83,14880,240,0
86,93,14880,240,0
74,56,14880,240,1
87,90,15120,240,0
92,80,14732,970,3
78,80,15120,240,0
75,80,15056,240,1
78,85,15360,480,0
83,95,15360,480,0
75,85,15360,480,0
71,85,15360,480,0
82,86,15897,1093,2
82,78,15840,812,2
78,107,16338,450,3
75,78,15840,240,0
74,77,16230,240,2
83,85,16080,240,0
78,77,16080,651,2
66,77,16080,1012,2
80,92,16320,480,0
81,62,16493,792,4
75,82,16320,480,0
71,82,16718,480,1
79,120,16662,625,3
75,74,16800,240,0
59,48,16800,240,2
54,74,17222,731,3
77,53,17347,558,4
71,110,16721,1216,3
80,83,17040,240,0
75,74,17040,240,0
66,56,17280,1317,2
82,102,17150,480,3
85,79,17280,1447,2
78,88,17280,480,0
91,73,17919,120,2
74,96,17880,120,1
70,37,18080,120,2
69,60,18120,120,0
71,71,18240,284,2
70,61,18360,120,0
65,96,18980,553,3
74,101,18354,120,3
70,70,18720,120,0
65,61,18840,53,1
62,87,19046,120,2
60,98,18830,790,3
99,64,22919,120,2
86,23,22244,120,2
82,61,22800,120,0
83,33,22920,335,3
86,103,22944,784,3
82,58,23267,120,1
77,36,22976,120,2
76,58,23400,120,0
93,98,23765,461,4
77,25,23948,120,2
74,29,23760,120,1
71,56,23432,120,2
76,106,24000,480,2
70,38,24140,480,2
67,60,24480,480,0
63,89,24960,480,1
67,71,24863,1271,2
70,71,24960,480,0
72,74,25440,480,0
66,67,25075,480,2
62,67,25509,735,3
56,74,25440,480,1
60,108,25602,1153,3
60,68,25920,1407,2
71,113,25920,1168,3
72,75,25683,480,1
63,34,26400,823,3
77,47,26400,480,1
65,72,26400,480,0
54,100,26118,480,3
62,79,26880,1920,0
68,119,26880,1825,3
81,64,27098,2103,4
64,109,27267,1856,4
86,57,27360,120,0
83,53,27480,120,0
79,54,27600,120,0
81,54,27950,861,3
83,57,27840,120,0
