note,velocity,position,duration,anomalies
70,36,1200,997,1
63,23,1440,480,0
86,61,1440,721,3
74,36,1680,240,0
63,23,1920,240,0
75,23,1920,240,0
72,63,1599,1074,3
63,25,2160,480,0
84,25,2160,480,1
84,70,2323,620,4
63,23,2640,240,0
75,46,2640,240,1
68,33,2934,120,1
67,54,2760,120,1
86,61,2972,480,3
73,72,2957,240,3
63,32,2825,240,1
62,24,3260,240,2
75,36,3360,240,1
63,22,3600,480,0
82,46,3511,1222,4
56,68,3600,1353,3
63,63,4080,240,1
66,23,3780,397,3
66,33,4080,120,1
74,31,4200,120,0
63,23,4320,1458,1
75,40,4320,480,0
62,4,4560,959,3
63,23,4800,240,0
75,23,4800,240,0
72,33,4800,240,0
63,25,5040,480,0
75,25,5040,480,0
68,1,5040,480,2
63,23,5520,240,0
75,23,5520,240,0
68,33,5520,1042,1
67,31,5640,120,0
75,28,6200,480,1
61,8,5760,240,2
61,32,5919,1231,3
67,25,6180,60,0
82,21,6667,240,2
65,60,6437,830,3
63,0,6480,850,2
75,20,6480,480,0
67,0,6840,120,1
70,23,6960,120,0
67,59,6653,829,4
90,26,7200,905,2
68,50,7252,480,2
77,40,7200,240,0
72,30,7440,240,0
74,61,7813,240,2
58,23,7680,845,2
77,0,7680,653,2
67,25,7920,480,0
79,25,7920,480,0
70,37,8094,1166,2
86,0,8618,1110,4
80,23,8851,240,2
78,26,8400,240,1
79,3,8788,942,3
82,55,8520,120,2
80,26,8640,480,0
68,23,8640,480,0
77,40,8640,240,0
72,33,8880,240,0
74,62,9363,240,2
75,0,9120,436,3
77,23,9120,240,0
73,23,9232,480,2
79,59,9742,480,2
75,40,9241,938,2
60,36,9600,240,1
75,64,9645,240,2
75,64,9840,991,3
68,0,9840,1081,3
73,37,9705,911,3
74,43,10080,480,0
65,37,10080,480,0
82,33,10182,480,2
81,45,10981,480,2
70,45,10560,480,0
70,83,11302,1172,4
70,43,11040,240,0
70,42,11280,240,0
77,42,11280,240,0
81,78,11397,684,3
70,41,11829,1121,2
75,41,11520,240,0
79,51,11520,240,0
77,43,11760,240,0
74,36,11760,240,0
69,36,11760,240,0
75,35,12000,120,0
68,50,12369,120,3
61,28,12000,254,2
65,25,12301,75,1
80,25,12545,75,2
74,30,12120,75,0
57,20,12195,809,2
68,24,12210,510,0
86,26,12610,1139,3
69,34,12240,961,2
70,33,12480,240,0
62,28,12480,240,0
72,66,12720,120,1
63,25,12720,120,0
60,2,12891,348,3
70,30,12840,120,0
65,59,12840,120,1
55,25,12840,120,1
63,23,12960,480,0
75,40,12960,1420,1
74,34,13200,240,0
63,23,13440,240,0
75,23,13440,240,0
79,55,13440,240,2
63,25,13680,480,0
62,0,13680,480,2
70,37,13680,480,0
63,23,14160,240,0
75,23,14160,240,0
68,33,14160,120,0
67,31,14280,120,0
75,67,14595,480,2
65,36,14400,240,0
63,32,14852,240,1
62,0,15124,240,3
67,36,14880,240,0
63,22,15120,480,0
75,22,15120,480,0
70,32,15120,751,1
56,1,16036,674,4
85,45,15600,994,3
72,33,15600,120,0
61,71,15720,1028,3
62,23,15840,598,2
75,40,15840,480,0
79,33,16080,352,2
63,23,16320,240,0
75,23,16151,240,1
72,33,16320,240,0
63,64,16560,480,1
75,25,16560,480,0
67,37,16560,1266,2
63,23,17040,240,0
79,60,17466,537,4
81,33,17040,120,1
79,7,17021,579,4
65,23,17280,480,0
75,28,17280,480,0
62,36,17450,431,3
70,32,17520,240,0
65,19,17760,240,0
75,24,17760,240,0
72,36,17760,240,0
71,42,18000,273,2
67,26,18000,1008,2
71,0,17573,360,3
77,26,18000,480,0
76,35,18360,120,1
70,69,18683,240,3
78,29,18259,120,2
58,23,18600,120,1
77,51,18549,716,4
81,14,18720,783,3
86,7,18960,240,1
66,0,18759,1124,4
100,0,19200,480,2
84,33,19200,240,0
74,34,19440,240,0
82,40,19440,240,0
75,23,19457,1290,2
72,30,19680,240,0
80,71,19930,1044,3
70,26,19920,240,0
79,55,19920,240,1
