note,velocity,position,duration,anomalies
79,58,1200,480,0
79,57,1680,480,0
79,64,2160,480,0
78,55,2640,480,0
77,56,3120,480,0
78,62,3600,480,0
83,25,3967,480,2
79,63,4560,480,0
75,78,5463,1107,4
76,57,5520,480,0
73,64,5858,713,3
78,63,6480,480,0
77,57,6960,480,0
78,57,7440,480,0
79,64,7920,480,0
79,63,8400,480,0
80,70,8880,480,0
80,70,9360,480,0
87,105,10320,480,3
76,63,10320,480,0
75,57,10800,480,0
76,57,11280,480,0
79,64,11760,480,0
65,97,12240,821,3
76,57,12720,480,0
75,57,13200,480,0
72,55,13588,120,2
79,58,16560,480,0
79,57,17040,480,0
79,64,17520,480,0
78,55,18000,480,0
77,56,18480,480,0
78,62,18960,480,0
83,64,19440,480,0
79,63,19920,480,0
78,57,20400,480,0
76,57,20880,480,0
79,64,21360,480,0
78,63,21840,480,0
77,57,22320,480,0
78,57,22800,480,0
79,64,23280,480,0
79,42,23416,480,2
80,70,24240,480,0
80,70,24720,480,0
81,70,25200,480,0
76,63,25680,480,0
70,57,26160,639,2
76,57,26170,480,1
79,64,27120,480,0
78,63,27600,480,0
76,57,28080,480,0
75,57,28560,480,0
76,55,29040,120,0
62,45,30960,480,0
67,45,31440,480,0
69,58,31920,480,0
58,57,32149,837,3
71,98,32880,480,1
69,55,33360,480,0
68,23,33840,480,1
69,62,34320,480,0
62,51,34800,480,0
67,54,34818,421,2
69,63,35760,480,0
71,66,36240,480,0
74,69,36720,929,1
73,64,37200,480,0
72,68,37680,480,0
69,64,38160,480,0
71,58,38640,480,0
71,66,39120,480,0
76,72,39600,480,0
71,65,40080,480,0
72,63,40560,480,0
72,69,41040,480,0
79,76,41520,480,0
74,72,42000,480,0
76,71,42480,480,0
76,69,42960,480,0
76,73,43440,480,0
76,66,43920,480,0
75,71,44400,480,0
71,72,44880,480,0
71,78,45360,480,0
77,83,45840,905,2
64,66,45522,701,3
64,66,46020,300,0
67,66,46050,270,0
71,83,46080,240,0
79,58,47280,480,0
79,57,47760,480,0
79,64,48240,480,0
78,55,48720,480,0
77,56,49200,480,0
84,62,49680,1371,2
84,69,50160,480,0
83,66,50640,480,0
79,57,51120,480,0
76,57,51600,480,0
79,64,52080,480,0
78,63,52560,480,0
77,57,53040,480,0
78,57,53520,480,0
79,64,54000,480,0
79,63,54480,480,0
80,70,54960,480,0
80,70,55440,480,0
81,73,55920,480,0
81,39,56400,480,2
88,57,56880,480,1
76,57,57360,480,0
79,64,57840,480,0
78,63,58320,480,0
76,57,58800,480,0
75,57,59280,480,0
76,55,59760,120,0
66,45,61736,1371,3
67,45,62160,480,0
69,58,62640,480,0
71,57,63430,480,1
71,64,63600,480,0
69,55,64080,480,0
68,56,64560,480,0
69,62,65040,480,0
62,51,65520,480,0
67,54,66000,480,0
59,29,66480,480,2
71,61,66666,480,1
74,71,67440,480,0
86,32,67920,901,3
72,68,68400,480,0
69,88,69310,480,2
71,58,69360,480,0
71,66,69840,480,0
76,97,70407,480,2
71,65,70800,480,0
72,63,71280,480,0
72,69,71760,480,0
79,73,72240,480,0
74,66,72720,480,0
76,71,73200,480,0
76,69,73680,480,0
76,73,74160,480,0
76,66,74640,480,0
78,96,75389,480,3
71,72,75600,480,0
71,78,76080,480,0
72,83,76099,240,2
59,66,76710,330,0
64,66,76740,300,0
77,33,76770,549,3
71,83,76800,240,0
79,58,78000,480,0
79,84,78935,414,3
79,64,78960,480,0
78,55,79440,480,0
77,56,79920,480,0
78,62,80400,480,0
98,100,80880,480,2
83,40,80939,480,2
65,57,81840,480,1
76,57,82320,480,0
92,37,82800,740,3
84,27,83280,798,3
77,57,83760,480,0
78,57,84240,480,0
79,64,84720,480,0
79,63,85200,480,0
80,70,85680,480,0
80,70,86160,480,0
81,69,86640,480,0
76,63,87120,480,0
75,57,87600,480,0
83,57,87765,976,3
79,64,88560,480,0
78,63,89040,480,0
76,57,89520,480,0
75,57,90000,480,0
76,55,90480,480,0
76,61,90572,1129,2
76,64,91440,480,0
76,58,91920,480,0
67,31,92333,480,3
76,56,92880,480,0
76,61,93360,480,0
76,57,93840,480,0
76,63,94320,480,0
71,28,94539,480,2
67,70,95280,480,0
64,64,95760,480,0
59,63,96240,480,0
59,65,96720,480,0
55,68,97200,480,0
52,83,97680,873,2
67,70,100800,240,0
85,70,101227,240,2
76,70,100800,240,0
79,88,100800,240,0
52,92,101760,960,0
64,28,0,120,0
67,21,120,120,0
71,64,240,120,1
67,22,360,120,0
64,29,480,120,0
67,22,600,120,0
71,16,720,120,1
58,0,840,1070,3
64,32,960,120,0
67,26,1080,120,0
71,24,1320,120,0
64,37,1440,120,0
75,29,1654,120,2
71,28,1800,120,0
63,36,1920,120,0
69,29,2040,120,0
71,29,2280,120,0
63,37,2400,120,0
69,30,2520,120,0
82,0,2760,120,2
53,16,2664,120,3
69,30,3000,120,0
71,28,3240,120,0
63,37,3360,120,0
69,30,3480,120,0
71,28,3720,120,0
59,1,3840,1026,3
67,29,3960,120,0
71,41,4200,120,0
64,47,4320,120,0
67,40,4440,120,0
71,39,4680,120,0
57,46,4800,120,1
67,38,4920,120,0
71,28,5160,120,0
64,37,5280,120,0
67,30,5400,120,0
71,28,5640,120,0
63,36,5760,120,0
69,29,5880,120,0
71,9,6180,120,2
63,81,6240,120,1
