note,velocity,position,duration,anomalies
50,37,0,616,2
49,8,0,140,2
50,37,360,140,0
53,37,600,140,0
52,33,720,140,0
53,37,1054,140,1
44,8,1080,1121,3
39,53,858,140,3
49,59,1320,140,2
53,37,1261,807,2
58,0,1680,657,3
55,6,1800,257,3
50,36,2040,752,1
62,47,1946,120,1
36,64,2559,992,4
64,14,2400,308,3
50,63,2716,334,3
73,54,2640,120,1
50,9,2760,120,1
62,38,2880,302,2
50,49,2573,120,1
62,59,3052,579,2
61,65,3240,120,2
62,54,3360,281,1
50,60,3175,815,3
62,77,4096,280,3
44,45,3364,120,2
50,75,3960,140,1
49,34,4080,140,0
44,16,4200,366,3
52,64,4440,746,3
61,35,5038,1009,3
53,69,4680,140,1
50,37,4920,140,0
36,34,4906,382,3
50,37,4691,212,2
53,37,5400,140,0
52,33,5520,140,0
53,75,5640,140,1
50,36,5880,120,0
62,24,6000,120,1
50,40,5874,120,1
62,31,6240,288,2
59,42,6360,120,1
62,83,6480,654,2
50,46,6600,120,0
62,61,6720,726,1
62,12,6758,910,4
67,59,6960,734,2
61,16,7080,120,2
60,18,6895,120,3
41,40,6888,242,3
54,71,7440,120,2
50,5,7939,120,2
48,11,7749,901,4
60,15,7699,140,2
57,18,8040,491,3
63,45,8196,140,2
69,26,8866,140,3
57,48,8520,140,0
55,51,8463,443,2
57,32,8561,140,2
55,18,8935,140,2
53,31,9240,682,2
55,58,9360,720,1
39,98,9579,42,4
52,35,9317,140,2
55,61,9362,140,1
57,64,9960,610,1
71,104,10080,446,3
54,63,10504,305,3
67,31,10320,140,2
52,28,10440,120,1
58,68,10560,1948,2
55,21,10751,561,3
57,61,10800,140,0
66,36,10920,140,2
71,79,11040,603,3
55,54,10718,516,3
57,52,11280,140,0
55,51,11710,120,1
53,58,11640,120,0
62,55,11399,120,1
53,49,11880,120,0
41,93,12120,461,3
71,36,12406,120,3
57,82,12478,120,3
53,70,12971,120,2
62,66,12370,120,1
45,40,12840,902,3
56,74,13080,120,0
62,89,13108,462,3
56,61,13320,120,0
57,36,13560,867,2
72,43,13186,658,4
59,97,13946,120,3
69,70,13920,120,0
65,68,14040,355,1
56,30,14160,884,3
74,44,14280,1043,3
71,60,14400,140,1
56,59,14520,615,2
49,56,14914,974,3
58,55,14760,140,0
49,74,14880,140,2
59,49,15000,662,2
67,49,15120,140,1
66,48,15240,140,1
39,0,15211,240,4
49,32,16086,140,1
50,37,15720,140,0
65,61,15960,140,2
49,33,16253,140,2
58,14,16601,140,3
50,68,16369,140,2
49,64,16560,1079,2
57,37,16871,881,3
52,10,16920,1047,3
52,32,17040,140,0
53,34,17160,140,0
56,74,17849,471,4
65,47,17520,120,1
51,40,17811,120,2
62,52,17760,120,0
50,42,17880,338,1
62,29,18000,1013,2
58,46,18600,120,2
49,61,18152,964,3
60,49,18010,225,3
62,59,18480,120,0
47,8,18600,679,3
62,54,18720,120,0
50,4,18462,120,2
62,87,18960,543,2
50,45,18987,365,2
45,37,19136,140,2
39,60,19308,140,3
51,16,19428,140,3
53,65,19800,140,1
63,35,19687,1090,3
60,14,19963,780,4
49,37,20280,435,2
49,34,20400,140,0
39,37,20131,770,3
53,7,21098,140,2
52,72,20775,1034,3
44,37,20515,1108,3
52,14,21240,120,2
54,13,21360,120,2
50,40,21480,120,0
75,15,21600,952,3
63,42,21720,120,1
66,15,21747,120,3
50,46,21960,120,0
55,61,22080,120,1
50,49,22557,236,2
62,59,22320,120,0
50,3,21957,958,3
73,54,23049,1093,3
50,75,23147,231,3
72,50,22800,446,2
63,45,22451,120,2
68,40,23271,140,2
52,78,23775,140,3
58,21,23400,140,1
57,45,23439,359,2
65,14,24154,140,3
45,25,23629,140,3
55,30,24120,324,2
57,52,23860,1016,2
55,54,24360,140,0
53,77,24758,140,2
55,58,24620,977,2
53,59,24840,140,0
40,96,25080,274,3
45,96,25200,140,2
47,64,25320,140,1
64,67,25440,140,1
57,63,25560,140,0
55,43,25680,140,1
52,89,26063,843,3
77,103,26131,960,3
57,99,25867,140,3
64,95,25852,140,3
58,100,26084,1002,3
57,89,26400,552,2
58,28,26520,1053,2
69,83,26640,509,3
60,51,26760,485,2
53,34,27000,637,2
60,55,27120,302,2
53,23,27240,120,1
48,65,27480,259,2
62,28,27600,966,2
48,57,27720,120,1
42,110,28448,120,3
70,101,28383,722,4
55,60,28200,120,0
56,74,28440,120,0
68,94,28430,120,3
56,96,28680,120,1
55,98,28675,120,3
52,65,29040,120,1
65,37,29629,519,3
72,70,29547,120,2
65,103,29400,509,2
62,66,29520,120,0
59,64,29640,722,2
57,90,29880,120,1
63,104,30000,120,2
71,68,30180,580,3
62,71,30240,1020,2
57,41,30240,120,3
61,32,30480,325,2
57,100,30937,120,2
67,52,30411,629,4
60,75,30960,201,1
71,39,30840,120,3
69,115,31200,480,1
60,94,31320,403,3
62,108,31520,1085,4
60,73,32040,120,0
72,56,31850,1360,3
63,105,32760,60,3
52,71,32937,243,3
65,93,33000,1029,2
79,76,33293,890,3
65,53,33240,120,1
62,35,33360,503,3
57,38,33724,120,2
59,100,33720,120,2
69,67,33840,1012,2
64,35,33473,535,3
80,112,34080,1255,3
64,104,34200,1024,2
60,89,33947,643,3
55,66,34440,120,0
58,106,34680,494,2
48,98,34800,442,3
64,73,34644,379,3
70,76,35040,480,0
61,70,35640,25,2
64,74,35810,120,1
57,34,35490,120,2
69,77,36289,480,1
50,92,36600,120,2
61,37,36720,870,2
57,73,36840,719,1
67,109,37241,1589,3
63,25,36852,120,3
61,103,37200,120,1
57,36,36999,120,2
57,73,37560,120,0
52,51,37549,221,4
43,76,38163,375,3
67,80,37920,1076,2
59,40,38431,120,3
