note,velocity,position,duration,anomalies
76,42,0,120,0
77,70,0,882,3
79,39,0,70,1
81,40,240,70,0
69,70,300,3,3
84,41,35,70,1
86,77,487,70,2
96,15,480,30,2
88,42,374,633,2
89,42,600,70,0
91,44,460,70,1
105,73,475,304,4
84,13,419,304,4
96,48,840,70,0
98,49,900,165,1
100,51,960,70,0
76,42,1200,240,0
79,9,1440,1003,2
81,13,1560,70,1
83,65,1822,726,3
84,40,1680,70,0
86,66,1740,70,1
88,41,1800,70,0
89,42,1860,70,0
91,49,1920,30,0
91,41,1980,70,0
107,69,2040,70,2
95,42,1957,240,2
100,71,2160,128,3
98,45,2220,70,0
100,48,2280,70,0
100,24,2610,70,3
103,51,2645,381,2
78,81,2417,977,4
74,10,2880,699,2
64,9,2617,70,3
80,39,2906,70,2
76,40,3120,70,1
81,40,3180,70,0
69,41,3510,1057,3
84,42,3300,70,0
86,87,3106,578,3
86,42,3420,70,0
74,44,3480,70,1
89,45,3540,589,1
91,46,4008,1027,2
93,25,4006,70,2
95,24,3963,70,2
96,50,3780,407,1
98,51,3840,70,0
76,42,4080,240,0
78,42,4320,120,1
74,39,4440,70,0
76,17,4500,70,1
77,40,4560,70,0
79,40,4620,70,0
81,41,4680,70,0
71,64,5164,736,4
84,45,4800,30,0
84,39,4860,70,0
86,40,4920,70,0
81,7,4980,70,2
82,41,5040,70,1
91,42,5100,70,0
93,42,5160,70,0
82,82,5220,70,2
96,22,4878,70,2
78,59,5170,240,2
69,60,5760,120,0
71,56,5880,70,0
72,19,6135,687,3
74,58,6000,621,1
82,27,6520,70,3
77,59,6120,70,0
65,25,5779,70,3
79,64,6077,232,3
81,56,6300,70,0
83,58,6360,70,0
84,58,6420,70,0
86,59,6480,70,0
88,60,6540,70,0
89,61,6600,295,1
85,99,6660,672,3
80,37,7047,70,3
72,56,6960,240,0
67,27,7582,367,3
69,49,7320,70,0
71,25,7086,323,3
72,50,7440,70,0
74,50,7500,70,0
76,51,7560,70,0
77,55,7620,129,1
79,58,7680,30,0
79,49,7740,70,0
81,10,7800,292,2
83,50,7860,70,0
84,51,7920,70,0
88,28,7980,70,2
93,85,8279,70,3
89,94,7898,70,2
91,59,8160,70,0
60,82,8400,639,3
74,50,8640,120,0
76,46,8760,70,0
77,46,8820,70,0
79,83,8880,274,2
81,47,8940,70,0
77,24,9339,70,3
86,51,8872,1064,3
86,59,9120,921,1
86,51,9180,70,0
88,53,9240,70,0
89,55,9300,70,0
91,30,9211,70,2
93,58,9420,70,0
95,59,9480,70,0
96,59,9540,70,0
98,60,9600,70,0
76,10,9840,759,2
72,49,9834,407,2
77,12,10200,0,3
76,66,10483,730,3
77,46,10320,163,1
73,19,10380,733,3
81,47,10440,70,0
82,22,10500,350,3
84,51,10560,30,0
84,69,11090,70,2
86,46,10680,70,0
88,46,10740,70,0
89,81,10949,70,2
91,49,10860,70,0
82,16,10568,70,3
95,50,10980,70,0
107,14,11115,577,4
76,42,11520,120,0
77,39,11640,70,0
79,39,11700,70,0
67,15,11760,739,3
83,66,12026,247,3
84,41,11880,70,0
86,42,11940,70,0
88,49,12000,30,0
88,82,11921,70,2
89,42,12120,70,0
91,9,12392,529,3
93,45,12401,70,1
95,46,12300,70,0
82,9,12360,1,3
99,49,12420,0,2
100,51,12373,70,1
66,9,12720,240,2
79,13,13365,748,3
81,39,13080,70,0
83,39,13140,70,0
84,40,13347,496,2
86,40,13260,70,0
88,41,13455,603,2
89,42,13380,70,0
91,49,13440,30,0
91,81,13041,167,3
93,42,13428,70,1
95,42,13620,833,1
87,15,13502,605,4
98,45,13740,70,0
88,19,13800,185,3
101,49,13860,70,0
110,51,13988,695,3
66,42,14160,522,2
66,42,14400,1018,2
76,7,14730,70,2
77,39,14580,70,0
79,40,14640,70,0
81,40,14700,70,0
83,41,14760,70,0
92,81,14907,70,3
88,19,14556,30,3
86,42,14940,70,0
88,44,15000,70,0
89,45,15060,70,0
92,8,15441,655,4
93,48,15180,70,0
95,49,15602,865,2
96,50,15300,70,0
98,51,15360,70,0
76,42,15600,240,0
72,42,15840,120,0
64,72,16244,200,4
76,39,16020,70,0
77,40,16080,70,0
79,40,16140,70,0
81,41,16112,70,1
83,42,16260,70,0
76,74,16320,788,3
84,39,16380,70,0
86,40,16440,70,0
88,40,16500,70,0
89,41,16560,70,0
91,42,16532,70,1
84,2,17133,309,4
105,64,16740,989,3
96,46,16800,70,0
72,61,17040,240,0
59,20,17078,120,3
71,93,17400,612,2
72,56,17460,70,0
74,58,17520,70,0
76,58,17580,70,0
77,59,17640,70,0
76,61,18146,1017,3
88,64,17272,960,3
81,56,17820,70,0
83,58,17880,70,0
84,58,17940,70,0
86,85,18000,70,1
88,60,18060,70,0
89,84,17895,573,3
91,62,18180,70,0
86,67,18553,70,2
77,58,18030,420,3
67,20,19136,301,3
69,49,18840,70,0
71,49,18900,70,0
75,79,18960,736,3
74,50,19020,70,0
76,12,19080,70,1
89,55,18710,601,3
79,21,19200,811,2
79,86,19260,751,2
81,50,19320,70,0
93,50,19298,70,2
84,51,19440,70,0
77,90,19078,70,3
87,18,19613,70,3
89,56,19620,70,0
