note,velocity,position,duration,anomalies
69,50,1440,360,0
78,42,1800,120,1
69,89,1920,1265,2
74,71,2462,886,3
78,68,2080,523,2
79,15,2160,872,2
74,77,2103,940,4
74,38,2320,198,1
69,30,2872,1294,3
80,37,2585,80,2
78,37,2560,709,1
79,49,3053,282,2
78,41,2658,80,1
74,41,2855,80,1
71,55,2880,470,0
74,45,2960,80,0
79,45,3040,0,1
81,77,3305,712,3
79,42,3200,80,0
63,64,3344,376,4
71,55,3360,480,0
74,45,3882,906,2
82,80,3520,740,3
68,88,3277,80,3
80,42,3680,959,2
80,42,3366,80,2
64,11,3628,1448,4
72,10,3672,786,4
86,6,4403,577,4
85,48,4195,460,3
78,75,3981,80,2
80,19,4240,80,2
74,85,4320,1429,2
77,18,4400,327,3
81,14,4480,80,1
83,48,4560,80,0
81,39,4640,610,1
78,39,4336,80,1
78,48,4314,131,2
79,42,4743,80,1
81,42,5276,80,1
92,55,4915,737,3
85,8,4720,80,2
78,48,5660,1059,3
88,62,5280,80,0
84,12,5132,0,4
91,51,5440,80,0
106,67,5520,788,2
90,97,5600,80,2
104,53,5680,80,1
91,97,5760,232,2
93,84,5840,308,2
91,91,5920,326,2
90,34,5906,22,3
85,82,6080,180,3
90,58,6160,80,0
88,89,6534,717,3
90,100,6320,80,1
88,59,6157,443,2
77,95,6239,80,3
88,58,6489,738,2
80,58,6233,505,3
80,88,6720,80,2
86,56,6866,251,2
85,28,6983,80,2
79,105,6528,80,3
76,15,7286,1046,4
86,80,7120,1026,3
81,102,6716,80,2
81,95,7106,19,4
90,16,7848,80,3
79,64,7440,80,0
93,54,7174,749,3
79,80,7600,80,1
78,70,8163,388,2
88,55,7760,653,2
78,91,7840,822,2
76,87,8391,734,3
78,21,7593,511,3
76,50,7922,80,1
74,97,8329,132,3
63,49,8522,815,3
71,14,8320,371,3
72,60,8400,80,1
82,47,8262,305,3
64,47,8560,725,2
71,55,8640,80,0
73,86,8720,933,2
71,46,8800,703,1
74,54,8447,678,3
60,18,8960,29,3
69,20,8934,290,3
68,47,9120,80,0
71,63,9502,80,2
73,36,9770,859,2
74,46,9360,80,0
71,37,9440,80,0
68,37,9520,1020,1
69,82,9600,712,2
87,38,9680,80,1
78,38,9760,80,0
79,47,9789,80,1
78,61,9674,80,2
82,70,10151,261,4
69,17,10080,480,1
74,9,10478,80,2
84,37,10240,80,1
79,27,10320,80,1
78,72,10769,1049,3
73,20,10824,80,3
71,55,10560,917,1
74,45,10640,80,0
76,5,10720,13,3
81,88,10800,80,1
79,13,10880,760,2
74,42,10960,80,0
71,55,10956,480,1
74,45,11120,1001,1
82,17,11576,80,3
81,76,11529,187,3
79,20,11481,80,2
74,42,11440,80,0
67,50,11520,480,1
74,41,11600,80,0
78,41,11680,404,1
79,48,11760,80,0
78,39,11668,1035,2
74,70,11920,80,1
74,50,12000,665,1
78,41,12080,80,0
81,41,12160,80,0
84,48,12240,80,1
81,12,12320,80,1
78,39,12400,923,1
78,74,12480,80,1
79,42,12560,80,0
81,42,13030,80,1
83,55,13035,918,2
85,71,12800,80,1
97,73,12880,80,2
75,62,13094,80,2
90,50,13182,366,2
91,89,13120,281,2
87,67,13149,80,2
95,59,12841,880,2
93,53,13827,494,2
86,77,13440,80,0
98,73,13520,80,0
