note,velocity,position,duration,anomalies
64,41,1,635,2
57,29,480,691,1
58,31,404,80,1
61,33,532,80,1
65,37,720,120,0
57,0,1200,975,2
48,71,900,80,3
61,32,898,1046,2
65,37,1440,120,0
69,64,3074,120,3
97,122,3776,1376,4
82,98,3600,1440,1
98,127,3600,2041,3
75,51,4562,360,1
97,61,5040,360,1
87,61,4914,1187,2
90,107,5400,807,3
77,57,5400,791,1
103,68,5400,120,1
90,40,5520,240,1
78,60,5520,240,0
84,71,5735,1183,2
85,68,5760,240,0
77,89,5368,240,2
89,68,5760,240,0
57,0,6526,80,2
44,29,6578,80,2
55,68,6593,80,3
65,35,6424,369,2
57,27,6696,80,1
71,29,6588,80,2
61,0,7120,80,1
65,35,7200,120,0
56,100,8717,120,1
98,66,9601,2011,4
82,115,9360,1440,2
80,45,9360,1440,1
84,85,10800,360,1
72,31,11030,584,4
98,60,10800,360,1
80,32,11160,120,2
89,34,11331,120,2
77,30,11160,120,1
88,37,11280,240,2
99,70,11280,240,1
78,59,11637,240,1
77,56,11520,620,1
85,45,11308,240,2
91,99,11237,240,3
76,120,12437,480,3
69,81,12240,480,0
57,106,13266,480,2
64,81,12489,480,2
57,27,17567,207,2
53,0,17616,30,4
70,30,18031,355,3
65,34,18000,120,0
57,0,18138,705,3
54,30,18560,186,2
55,8,18440,635,4
52,58,18720,120,2
71,124,20160,120,2
91,58,20421,1080,3
80,59,20952,1080,3
82,105,20880,1542,2
87,58,22350,512,2
84,58,21960,120,0
75,49,21960,120,0
84,82,21885,240,2
63,49,22280,240,2
78,83,22080,977,3
80,51,22108,360,2
84,31,22320,904,2
87,23,22037,360,2
89,42,22578,120,2
79,68,22822,120,2
77,57,22680,120,0
74,71,22800,593,2
90,71,22884,304,2
78,60,22800,240,0
85,89,23509,636,3
89,46,22985,977,3
77,57,23437,1032,2
57,29,23520,80,0
58,30,23600,80,0
72,32,23680,80,1
63,37,23558,172,3
71,49,24240,168,3
47,30,24320,80,1
58,32,24400,80,1
77,37,24480,975,2
48,127,25920,875,2
83,64,26640,1440,1
84,70,26640,1440,2
96,90,26640,2381,1
88,60,28080,360,0
79,43,28080,360,0
77,60,27848,360,2
80,46,28440,120,0
88,32,28262,60,3
83,85,28440,969,3
88,39,28720,240,2
90,50,28285,490,3
82,34,28560,240,2
79,79,28399,240,3
92,67,28800,240,0
94,67,28892,240,2
80,81,29520,639,1
70,68,30011,480,2
66,68,29520,480,1
74,81,29869,480,2
68,118,30619,820,3
56,68,30608,808,2
50,31,30240,1127,3
65,41,29794,480,2
101,97,34560,960,0
99,68,35520,120,0
97,62,35640,120,0
92,86,35760,120,1
92,59,35880,120,1
94,32,36000,120,2
85,87,36444,1026,3
86,32,36561,507,4
77,79,36695,120,2
72,85,36480,120,2
73,51,36938,120,1
59,23,36720,1210,3
84,55,37440,120,1
77,30,37443,837,4
75,18,37680,1097,2
91,23,37800,491,3
71,76,37522,976,4
84,22,38411,874,4
81,74,38553,366,3
84,14,38435,374,4
88,49,39000,120,1
79,47,39199,120,1
78,46,39240,120,0
77,44,39360,989,1
84,42,39480,385,2
75,73,39600,120,1
101,97,40320,960,0
104,68,41584,830,3
97,36,41507,379,3
78,98,41178,120,3
89,58,41640,120,0
87,62,41760,120,0
85,57,41880,120,0
78,88,41766,120,3
77,53,42120,120,0
75,91,42028,120,2
73,49,42360,120,0
68,81,42697,240,2
72,42,43200,120,0
73,41,43320,120,0
74,41,43440,120,1
77,65,43560,197,2
78,39,43375,906,2
80,38,43793,120,0
81,37,43920,120,0
81,16,44414,907,3
80,41,44760,120,0
79,80,44991,237,3
90,39,44506,354,3
77,37,45120,857,1
76,36,45240,120,0
75,35,45618,120,1
71,38,46299,1440,1
