note,velocity,position,duration,anomalies
60,49,160,80,0
58,53,240,160,1
64,33,240,80,0
60,43,320,80,0
80,43,179,700,3
62,51,640,80,0
67,59,720,160,0
65,71,720,80,1
62,47,800,80,0
69,77,880,80,1
60,59,1120,80,0
67,67,1200,160,0
64,46,1200,80,0
60,61,1280,80,0
69,65,1360,80,0
64,70,1600,80,0
71,75,1213,482,2
67,52,1680,80,0
66,95,2250,822,4
72,78,1840,80,0
64,79,2000,320,0
69,75,2080,80,0
76,80,2160,160,0
72,58,2160,80,0
69,75,2240,80,0
62,80,2320,80,0
79,58,2320,80,2
64,86,2480,320,0
69,82,2560,80,0
76,88,2640,160,0
72,61,2640,80,0
69,82,2720,80,0
65,84,3162,80,2
69,84,2800,14,2
64,86,2960,320,0
67,82,3040,80,0
76,88,3120,160,0
71,55,3120,80,0
67,74,3200,80,0
62,67,3280,80,0
74,82,3280,80,0
62,56,3520,80,0
71,59,3600,160,0
61,76,3852,80,3
62,50,3680,80,0
69,47,3760,80,0
60,53,4000,80,0
67,60,4080,160,0
64,36,4080,80,0
66,20,4488,593,4
69,45,4240,80,0
62,58,4480,80,0
67,61,4560,160,0
59,45,4179,80,2
62,58,4640,80,0
69,51,4720,80,0
60,64,4960,80,0
67,72,5040,160,0
64,70,5222,80,2
60,66,4739,80,1
56,62,5200,981,2
64,70,5440,80,0
76,75,5344,160,2
67,52,5520,80,0
55,97,5421,80,3
72,46,6178,0,3
61,69,5840,320,0
65,75,5920,80,0
73,80,6000,160,0
69,55,6000,80,0
65,101,6244,80,2
62,58,6160,80,0
74,73,6160,80,0
63,72,6320,320,0
67,78,6400,80,0
73,117,6480,160,2
72,57,6480,80,0
78,78,6560,215,2
76,78,6640,80,0
64,28,6640,260,2
67,75,6800,320,0
69,80,6880,80,0
79,86,6960,160,0
72,60,6960,80,0
69,75,7040,80,0
65,33,7120,80,1
81,45,7120,375,3
63,91,7280,320,0
67,82,7033,1049,2
75,91,7440,160,0
72,61,7440,80,0
67,79,7520,80,0
64,66,7600,80,0
76,86,7600,80,0
64,92,7760,320,0
69,86,7840,80,0
76,96,7920,160,0
72,63,7920,80,0
69,61,8000,80,1
65,85,8080,80,0
66,85,8345,538,3
66,97,8160,400,0
71,81,7817,120,1
78,51,8400,428,2
74,70,8400,718,1
60,120,8705,23,4
61,23,8069,80,3
79,81,8560,80,0
68,99,8640,400,0
72,82,8760,120,0
80,91,8880,160,0
76,72,8880,80,0
72,82,8960,432,1
69,64,9040,80,0
81,85,9040,80,0
70,100,9120,400,0
74,82,9240,120,0
82,100,9360,160,0
79,61,9360,80,0
74,97,9440,80,0
71,67,9520,80,0
83,127,9074,499,3
74,103,9680,320,0
76,97,9760,80,0
86,108,9840,160,0
79,82,9840,80,0
76,73,9920,80,0
72,54,10000,80,0
84,75,10000,80,0
74,66,9812,1008,3
72,67,10240,80,0
83,72,10320,160,0
75,49,10320,80,0
72,63,10400,80,0
69,50,10480,80,0
81,62,10480,80,0
57,61,10657,638,3
72,59,10680,120,0
81,31,10513,433,3
76,41,10800,80,0
72,61,10880,80,0
67,47,10960,80,0
79,60,10960,80,0
64,56,11120,320,0
67,55,11200,933,1
89,23,10857,946,4
69,0,11280,429,3
67,49,11360,80,0
62,49,11440,80,0
74,49,11440,80,0
60,51,11640,120,0
67,56,11760,160,0
64,35,11760,80,0
60,48,11840,80,0
69,48,11920,80,0
64,41,12000,400,0
67,55,12120,120,0
76,61,12240,160,0
58,38,12240,745,2
67,48,12320,80,0
62,41,12400,80,0
76,80,12123,80,3
60,51,12640,80,0
67,56,12720,160,0
64,35,12720,80,0
60,48,12800,80,0
69,48,12758,678,2
64,41,13040,320,0
67,55,13120,80,0
76,61,13200,160,0
71,38,13200,80,0
67,48,12827,80,1
62,41,13360,80,0
74,48,13360,80,0
60,41,13520,160,0
65,51,13600,80,0
72,56,13680,480,0
69,35,13680,80,0
65,45,13760,80,0
64,41,13840,80,0
67,41,13840,80,0
60,42,14000,160,0
65,56,14080,80,0
72,64,14160,480,0
69,39,14160,80,0
65,66,14240,782,2
64,41,14320,80,0
67,41,14320,80,0
60,40,14480,160,0
65,49,14560,80,0
72,52,14640,480,0
69,33,14640,80,0
65,41,14720,80,0
64,38,14800,913,1
67,38,14800,80,0
60,37,14960,160,0
58,22,15040,80,2
72,46,15120,240,0
69,29,15120,80,0
65,36,15200,80,0
64,33,15280,80,0
67,33,15280,80,0
60,33,15760,560,0
64,33,15840,480,0
36,46,1,79,0
55,36,0,320,1
43,30,80,80,0
52,36,388,80,1
57,27,400,80,0
35,51,480,80,0
56,47,560,1223,2
43,38,560,80,0
53,70,318,80,2
57,33,880,80,0
36,78,960,251,2
55,56,1040,320,0
43,47,1040,80,0
52,47,1120,80,0
57,52,1360,80,0
40,79,1440,80,0
59,66,1520,320,0
52,55,1520,80,0
55,56,1600,80,0
60,62,1840,80,0
41,84,1920,80,0
52,68,2000,80,0
57,59,2080,80,0
42,91,2400,80,0
50,75,2480,80,0
60,64,2560,80,0
43,97,2880,80,0
53,79,2550,80,1
59,36,2553,80,2
31,58,3360,80,0
63,50,3440,742,2
43,42,3440,80,0
53,38,3520,80,0
57,39,3760,80,0
36,51,3840,80,0
55,44,3920,320,0
43,37,3920,80,0
52,39,4000,80,0
53,67,4053,619,4
46,16,4320,80,2
