note,velocity,position,duration,anomalies
78,37,7800,120,1
69,41,7920,652,1
73,64,7968,120,3
67,3,8160,438,2
68,40,8280,120,0
73,42,8400,120,0
85,20,8460,360,4
75,45,8640,120,0
79,43,8760,985,2
66,76,8573,1099,4
87,69,8699,120,3
72,44,9120,120,0
73,46,8934,120,1
76,85,9858,120,2
80,47,9480,120,0
68,45,9720,941,1
69,49,9840,120,0
81,13,9757,120,3
78,46,10005,120,2
68,48,10200,120,0
73,11,10390,120,2
74,51,10440,340,2
75,54,10560,426,1
73,51,10894,925,2
75,53,10800,120,0
73,51,10920,120,0
83,52,11116,558,3
73,54,11160,447,1
76,37,11280,492,2
80,91,11400,788,2
60,55,11640,120,1
73,55,11760,120,0
75,58,11880,725,1
87,39,12000,120,2
93,64,12212,781,3
82,106,12240,553,3
87,70,12360,120,0
90,74,12182,120,2
107,45,12600,611,3
101,97,12720,980,3
77,39,12506,120,3
88,69,12960,120,0
82,30,12649,120,3
100,67,12745,720,3
96,66,13320,120,1
84,68,13440,785,1
93,88,13560,120,2
81,39,13680,120,1
94,63,13572,881,3
87,24,13920,370,3
79,79,14414,338,4
65,29,13879,536,4
82,90,13911,120,3
78,53,14225,391,2
73,48,14520,120,0
67,48,14640,1102,2
75,47,14760,120,0
69,45,14880,120,0
68,42,15000,120,0
71,67,15120,120,1
55,4,15240,240,2
68,37,15480,120,0
70,41,15600,120,1
68,11,15720,254,2
65,0,15840,803,3
62,40,15960,346,2
73,8,16171,1028,3
76,43,16200,120,0
75,45,16320,120,0
73,43,16440,120,0
73,75,16560,120,2
73,13,16680,301,2
74,44,16800,120,1
73,46,17291,893,2
76,17,17323,634,3
80,47,17160,120,0
68,67,17844,702,3
76,49,17520,809,2
56,45,17156,708,3
67,46,17760,120,0
68,48,17880,120,0
73,50,18000,120,0
90,82,18048,120,3
75,81,17878,973,3
71,51,17865,361,3
75,73,18575,722,3
75,28,19002,986,4
75,52,19074,120,2
78,54,19221,498,3
76,57,18960,120,0
72,75,19210,120,3
75,64,19200,120,0
