note,velocity,position,duration,anomalies
65,12,960,820,3
65,8,1440,546,3
75,11,1932,504,4
88,15,1920,402,3
68,48,2777,476,2
91,73,2880,1567,3
78,43,3840,955,2
74,42,4320,80,0
76,43,4400,80,0
68,22,3992,80,3
77,45,4560,941,2
74,16,4800,292,2
75,10,5040,240,1
76,70,5348,881,3
57,89,5520,769,3
86,80,5471,960,3
72,74,6720,593,2
74,40,7200,160,2
70,82,7360,160,2
83,85,7520,469,3
75,29,7680,1196,3
69,37,7959,841,3
61,42,8640,366,3
84,100,9120,1088,3
83,76,10021,1112,3
67,99,10198,1092,3
64,76,10739,240,1
71,35,10800,240,1
63,73,11040,480,0
57,43,11520,1290,3
76,70,12480,791,2
77,46,12960,360,0
76,45,13320,120,0
74,45,13440,480,0
77,48,13920,474,0
77,47,13952,960,1
87,76,15151,1476,4
74,42,15840,80,0
87,43,15498,80,2
61,44,16000,80,1
73,45,16080,240,0
65,20,15992,240,3
84,10,16298,240,3
77,83,16660,240,3
71,42,17040,290,1
71,71,16846,120,2
74,51,17075,1367,2
65,82,18304,1298,4
69,17,18720,160,1
60,43,18880,160,1
59,43,19040,160,1
75,47,19200,480,1
59,51,20137,1452,3
68,53,20160,1151,2
74,54,20910,1344,2
79,48,21989,930,3
68,44,21960,120,0
50,71,22477,694,4
64,48,22080,480,0
57,45,22644,480,2
69,38,22560,1320,2
60,39,23040,480,0
71,81,23040,1776,3
86,73,24073,576,4
87,46,24298,705,3
76,45,24840,120,0
86,45,24960,966,2
77,48,25440,480,0
77,47,25920,960,0
76,43,26880,480,0
74,70,27360,80,1
63,12,26945,363,4
74,71,27676,374,3
66,85,27600,987,3
74,47,27840,1038,1
75,45,27597,240,1
76,73,28320,240,1
71,48,28560,240,0
74,58,28800,960,0
78,84,29760,480,2
57,27,30240,160,2
71,92,30682,160,2
69,57,30560,160,0
68,63,30720,1029,1
69,67,31303,240,1
81,94,31680,240,2
76,72,32160,960,0
71,76,33120,240,0
67,73,33799,1058,2
64,76,33600,240,0
69,34,33562,240,3
70,33,33806,1351,4
64,76,34560,1940,1
76,45,35520,480,0
77,46,36000,360,0
76,45,36836,120,1
70,45,36581,480,2
77,48,37209,480,1
75,68,37440,960,2
79,43,38642,999,3
78,71,38880,80,2
76,8,38766,80,2
74,12,38810,898,3
76,45,39120,240,1
74,47,39360,240,0
75,45,39600,240,0
76,47,39840,240,0
71,71,40517,114,2
71,42,40200,120,0
78,46,40018,1115,3
72,45,41280,1003,1
69,46,41760,160,0
70,20,41436,160,2
69,43,42080,160,0
67,47,42240,480,0
69,77,42720,1203,2
81,62,43200,536,2
74,59,43680,480,0
69,18,44383,360,2
68,4,45158,227,3
64,16,45240,480,3
66,78,45120,480,2
68,45,45600,480,0
62,38,45600,480,0
60,39,46080,480,0
69,46,46024,960,1
71,51,47040,1159,1
64,75,47395,240,3
74,22,47760,867,2
70,81,47731,475,3
75,60,48644,932,2
77,86,48616,817,3
75,62,48960,960,0
74,54,50178,480,1
72,52,50587,751,2
74,54,50640,240,0
75,97,51058,476,2
75,66,51360,299,1
77,95,51720,1112,2
75,76,51840,960,0
74,99,52499,1411,3
84,64,53696,960,3
