note,velocity,position,duration,anomalies
59,45,120,30,0
64,45,200,607,3
63,45,99,0,3
62,81,360,692,2
50,8,699,745,4
64,44,686,784,3
60,44,380,211,2
82,14,720,120,2
65,11,355,330,3
59,45,616,120,1
57,45,840,90,0
59,48,960,45,0
76,43,1443,24,3
69,43,1200,90,0
62,75,805,90,3
59,86,1711,1019,3
54,8,1062,120,3
64,16,1188,240,3
69,19,1680,240,1
58,18,1680,864,3
72,70,1400,714,4
66,70,1920,1005,2
66,45,2040,40,0
67,44,1747,40,1
53,44,2120,116,2
54,9,1973,218,4
72,42,2160,240,0
77,11,1696,240,3
75,69,2280,624,3
60,48,2400,744,1
51,44,2520,100,1
72,44,2734,442,2
69,44,2640,220,0
64,82,2778,591,3
64,48,2880,120,0
66,85,3000,1022,2
64,45,3513,60,2
54,69,3120,312,3
69,79,3240,60,1
66,48,3360,100,0
77,69,3608,60,3
68,51,3336,60,1
66,55,3481,120,1
62,48,3205,120,1
60,43,3720,90,0
64,50,4063,307,2
66,55,3742,120,1
57,48,3671,877,3
62,28,4426,120,2
66,57,3582,120,1
69,81,4505,120,2
78,49,4320,636,2
51,49,4320,1097,2
66,21,4633,120,2
69,11,4440,750,2
64,70,4560,340,1
68,49,4560,340,0
66,77,4920,120,1
70,48,4535,120,2
68,51,5040,340,0
71,51,5040,340,0
66,50,5604,120,2
72,50,5673,120,1
64,45,5520,240,0
68,45,5520,893,1
76,45,5760,120,0
93,45,5760,1042,2
74,12,5880,60,1
77,43,6267,60,1
76,43,5940,549,1
79,43,5940,60,0
84,12,5634,817,4
72,84,6259,341,4
72,42,6120,120,0
76,42,6249,120,1
74,70,6327,459,3
80,45,6240,120,1
69,5,6360,120,1
82,43,6360,120,1
70,44,6480,360,0
67,17,6480,285,3
69,42,6840,625,1
72,8,6840,799,2
64,5,6697,60,3
74,42,6900,60,0
60,44,6960,120,1
69,44,6960,120,0
70,42,7080,896,1
57,71,7251,120,3
65,44,7200,120,0
65,44,7200,673,2
71,43,7768,364,3
67,5,7200,120,2
72,64,7440,220,2
69,76,7557,662,3
69,81,7792,1404,3
63,51,7872,457,3
79,27,7680,63,2
83,9,8267,60,3
77,88,7469,60,2
84,49,7860,60,1
77,75,8283,60,3
77,84,7920,263,3
77,51,7605,120,1
81,8,8388,765,4
66,81,8040,120,2
65,39,7779,480,1
70,51,8160,120,0
74,51,8160,120,0
59,26,8280,1005,3
79,49,8604,181,3
70,80,7996,460,3
72,12,8822,360,3
64,78,8794,1213,3
69,17,8760,1053,2
65,46,9030,60,2
56,19,8820,331,3
84,25,8961,60,3
72,49,8880,120,0
67,49,8880,715,2
70,45,9380,120,1
67,45,9000,120,0
67,84,9468,120,3
69,46,9573,120,1
64,5,9240,1118,2
67,45,9240,407,1
65,85,9360,1509,2
69,25,9360,678,2
81,16,9278,120,3
80,70,9840,360,2
63,69,9960,765,3
62,46,10080,1440,0
67,74,10565,713,3
77,49,10633,360,2
61,88,10680,26,3
80,89,11022,67,4
79,52,10920,907,2
69,22,11250,553,3
84,24,11160,431,3
64,75,11114,880,3
67,74,11221,815,3
62,27,11520,1798,2
73,28,11301,120,3
54,26,11640,170,3
57,52,11760,360,1
84,54,11905,733,3
68,85,12240,120,2
71,52,12360,387,1
69,55,12480,120,0
71,26,12600,120,1
78,24,12720,576,3
65,48,12840,120,0
66,78,12703,1955,4
59,39,13194,885,2
50,44,13095,45,2
59,44,13680,45,0
60,64,13800,45,1
62,82,13920,539,2
73,12,14115,575,4
66,68,14160,143,2
68,42,14280,45,0
62,40,14400,1005,0
64,40,14787,1386,2
59,40,15000,1032,2
59,40,15515,1040,2
60,40,15316,806,2
64,18,15360,45,2
64,12,15248,45,2
78,37,15796,45,2
73,34,15720,376,2
53,44,15840,30,1
54,42,15960,30,1
