note,velocity,position,duration,anomalies
57,25,120,120,1
72,26,599,668,3
62,24,360,120,0
64,29,480,120,0
69,27,188,120,2
60,27,720,120,0
78,26,742,120,2
62,56,960,120,1
53,29,1080,892,1
52,64,1200,794,3
62,27,1320,1093,1
65,34,1440,120,0
58,67,1408,525,4
59,32,1680,120,0
65,30,1692,120,1
64,37,1920,120,0
54,63,2228,120,3
60,34,2160,120,0
64,32,2280,120,0
81,57,2188,120,3
59,34,2069,586,2
63,67,2640,724,3
56,32,2760,120,1
65,38,2880,120,0
57,35,3000,120,0
60,35,3120,120,0
65,6,3240,807,2
69,38,3360,120,0
59,35,3480,120,0
65,35,3600,120,0
69,32,3720,839,1
69,42,3461,120,2
60,36,3900,961,2
64,36,4080,120,0
67,30,4200,120,0
72,50,4320,180,0
64,78,4781,120,2
80,38,4447,31,3
75,32,4238,120,2
74,32,4800,180,1
64,42,4920,120,0
81,42,5040,1008,2
66,11,5605,120,3
72,52,5280,180,0
57,41,5236,120,2
67,41,5520,120,0
72,65,5961,120,2
84,47,5971,180,2
64,75,5880,120,1
67,38,6000,1061,1
71,27,6120,433,1
69,47,6240,180,0
64,35,6741,721,2
67,35,6480,120,0
69,27,6600,120,0
67,45,6720,180,0
60,35,6840,120,0
64,35,6960,120,0
67,4,6982,596,3
65,46,7200,180,0
60,35,7320,120,0
73,35,7440,482,2
65,27,7560,120,0
68,79,7680,350,2
59,32,7800,120,0
63,67,7559,34,4
64,5,7779,181,3
62,35,8160,350,0
57,32,8280,120,0
60,57,8400,518,2
62,55,8520,869,2
66,41,8222,1167,3
59,32,8760,120,0
64,32,8880,120,0
67,33,9000,120,0
69,47,9120,350,0
64,57,9240,120,2
64,32,9310,120,1
69,27,9480,120,0
64,40,9600,350,0
54,6,9538,505,4
60,32,9840,120,0
64,27,10336,120,1
50,39,10131,350,2
57,32,10200,120,0
60,68,9853,120,2
64,66,10330,52,4
60,11,10560,350,1
55,32,10680,120,0
57,32,10800,120,0
60,27,10920,120,0
49,35,10555,350,2
53,12,11587,120,2
42,61,11330,310,4
59,27,11400,120,0
52,52,19440,120,1
56,0,19560,467,2
56,31,19920,120,0
47,5,19626,120,3
67,43,20853,120,2
64,9,20151,120,2
64,47,20880,120,0
68,47,21000,120,0
69,0,23160,120,1
65,32,23280,120,0
62,27,23400,120,0
65,68,23270,120,2
62,32,23760,120,0
65,27,23538,198,3
69,32,24120,120,0
78,32,24028,498,3
48,27,24360,458,2
65,34,24600,120,0
62,38,24407,120,1
59,38,24840,120,0
84,20,25080,445,3
56,4,24779,120,3
65,30,25320,120,0
69,62,25560,120,1
55,32,25680,662,2
76,27,25988,1110,3
54,58,25842,547,4
62,32,26160,120,0
59,0,26280,120,1
50,30,26520,891,2
69,69,26640,1085,3
55,56,26856,120,2
69,32,27000,120,0
65,32,26663,120,1
57,27,26966,1105,3
65,32,27480,120,0
62,32,27187,889,2
59,27,27720,120,0
69,32,27960,120,0
65,32,28454,262,2
62,27,28200,120,0
57,0,28440,855,3
51,37,28560,1087,2
59,38,28680,120,0
72,43,28920,120,0
77,40,28984,247,3
65,30,29160,946,1
69,40,29400,120,0
65,9,29520,120,1
62,27,29640,120,0
70,0,30168,120,3
71,32,30000,120,1
59,52,29698,120,2
62,30,30360,120,0
59,7,30480,120,1
55,25,30600,120,0
50,32,30619,120,2
56,32,30960,120,0
39,0,31080,770,3
61,6,31320,1067,2
70,32,31186,754,3
54,27,31560,120,0
59,32,31800,120,0
56,32,31920,629,1
52,27,31801,767,2
61,39,32280,120,0
47,64,32400,719,3
54,27,32520,120,0
59,32,32760,120,0
56,32,32880,120,0
52,27,33462,120,1
59,32,33240,120,0
56,32,33360,120,0
52,55,33100,660,3
59,32,34178,120,1
46,32,33840,120,1
59,0,34060,120,3
59,30,34200,120,0
56,32,34074,653,2
52,27,34440,120,0
57,32,34680,234,1
53,32,34800,120,0
58,27,34920,452,2
60,39,35343,120,1
56,32,35280,120,0
53,60,35897,120,2
71,32,35640,120,1
53,32,35760,120,0
56,27,35880,315,2
