note,velocity,position,duration,anomalies
36,78,7680,563,0
43,88,7432,1378,2
56,76,7680,534,2
60,127,7680,843,2
52,86,8160,75,0
55,85,8520,28,0
60,77,8520,963,1
67,84,8520,28,0
43,75,8640,440,1
29,74,8467,1333,3
38,40,8640,262,2
52,58,8640,122,2
71,111,8920,178,3
67,86,8521,141,1
55,72,9000,75,0
70,46,9000,28,2
64,81,9000,103,0
52,78,9120,85,0
49,85,9187,66,2
60,87,9120,93,0
64,103,9120,122,1
55,111,9718,28,2
60,72,9480,28,0
62,78,9480,38,0
41,79,9600,1637,0
48,48,9839,736,3
55,85,9600,787,0
52,110,9893,612,4
62,86,9504,656,1
48,30,10532,731,3
48,69,10560,140,0
55,84,10560,385,0
60,88,10877,394,1
48,117,10560,1062,3
59,76,11297,159,2
55,65,10779,223,3
60,90,11040,178,0
62,91,11533,1002,2
48,70,11160,94,0
46,31,11994,1647,3
50,49,11520,957,2
55,85,11520,1256,1
73,89,11520,901,2
55,87,11520,1306,2
50,51,11550,178,2
63,49,12149,56,3
59,75,12360,48,0
64,68,12360,37,0
50,47,12145,215,2
55,95,12480,186,0
49,55,12480,138,3
64,96,12480,215,0
55,100,13283,645,3
59,73,12840,996,1
56,64,12510,28,2
50,74,13276,527,2
55,70,12960,253,0
59,84,12960,272,0
50,30,13320,37,2
69,54,13320,47,1
41,52,13440,2457,2
48,69,13440,973,1
43,83,13514,840,4
54,81,13440,922,2
48,93,13920,122,1
55,54,14280,28,0
43,80,14436,4,3
48,76,13926,157,2
55,94,14773,1210,2
60,118,14400,371,2
42,49,14917,825,3
57,109,14760,56,1
38,82,15343,131,2
55,91,14880,66,0
60,98,14880,66,0
55,91,15000,84,0
60,85,15000,122,0
36,70,14871,608,1
43,70,15360,752,1
55,98,15360,318,0
46,77,15468,249,4
52,83,15840,112,0
55,115,15829,48,2
52,92,16200,528,2
67,97,16200,66,0
46,100,15927,422,4
43,74,16320,533,0
41,117,16320,207,2
55,64,15920,103,2
64,100,16761,1107,3
