note,velocity,position,duration,anomalies
62,82,0,480,0
64,78,480,120,0
62,96,876,120,2
74,58,1149,275,4
72,73,1051,708,3
56,81,1111,120,2
67,110,1920,674,2
59,47,2000,120,3
69,108,3006,833,4
66,71,3300,60,0
64,75,3360,120,0
69,107,3600,120,2
61,100,3840,1017,2
62,71,4080,120,0
66,80,4320,659,2
67,74,4800,120,0
73,73,4974,120,2
50,80,5760,480,1
64,73,6045,240,1
66,74,6480,240,0
56,77,6720,554,2
72,38,7251,336,3
76,79,7200,1226,1
79,78,7680,480,0
78,78,8160,480,0
76,60,8284,1295,3
66,29,8733,1196,3
67,79,8640,806,2
79,72,9120,240,0
73,57,9120,922,2
53,30,9130,628,4
68,101,9360,786,3
76,71,9600,240,0
55,56,9600,513,2
62,56,9840,240,0
74,34,9390,240,2
67,70,10080,420,0
68,77,10080,553,2
74,64,10500,60,0
73,73,10560,240,0
58,100,10800,240,2
71,72,11040,240,0
73,107,11280,240,1
66,74,11520,480,0
74,74,11520,480,0
77,112,11936,819,4
49,75,12240,120,1
61,79,12480,120,0
62,73,12720,120,0
52,81,12960,930,2
76,74,13440,552,2
66,73,13920,120,0
62,102,14400,1368,2
79,71,14820,535,2
51,75,15032,651,3
62,73,15120,120,0
62,77,15028,120,2
62,71,15600,1062,1
64,80,15840,744,1
67,74,16320,120,0
72,73,16800,912,2
62,80,17280,480,0
64,73,18240,166,2
66,74,18000,240,0
55,77,17838,764,3
72,40,18600,240,2
76,110,18867,480,2
79,78,19200,480,0
78,78,19495,480,1
62,38,20160,480,1
70,44,20160,480,2
66,60,20160,480,0
67,57,20640,240,0
79,72,20640,240,0
66,57,20880,240,0
78,72,21356,240,1
76,71,21120,240,0
56,76,21120,1027,3
62,56,21360,240,0
82,71,21042,844,3
73,39,21413,420,2
67,70,21600,420,0
64,64,22464,927,3
73,73,21692,493,2
64,27,22320,240,2
71,72,22560,1066,1
73,69,22800,240,0
68,74,23040,420,1
74,108,22791,420,2
66,108,23021,141,4
76,102,23520,120,2
60,75,24260,120,2
68,79,24000,61,2
62,74,24480,120,0
69,101,24960,120,1
66,75,25200,120,0
62,79,25440,120,0
76,64,25860,60,0
94,38,25742,222,4
74,55,25920,120,0
73,50,26160,120,0
93,60,26541,492,3
98,100,26486,120,3
70,53,26400,120,1
67,12,26880,388,3
86,62,26880,120,0
73,49,27120,120,0
85,59,27603,187,2
74,52,27360,120,0
86,62,27360,682,1
83,83,27548,639,3
79,56,28080,240,0
74,59,28320,360,0
60,59,28800,240,1
73,59,28568,534,3
77,63,29280,360,0
77,87,29640,392,3
77,49,29700,60,0
76,39,30105,240,2
61,36,30104,528,4
72,58,30240,120,0
81,63,30720,240,0
72,83,30590,1018,4
72,59,31200,797,1
70,59,31583,1113,2
79,93,32160,240,1
62,57,32400,240,1
74,89,32874,120,3
69,59,33120,1440,0
74,44,34934,420,3
74,74,34560,420,0
64,73,34980,60,0
58,104,34545,709,4
61,75,35280,120,0
74,79,35520,522,2
62,74,36000,261,1
69,78,36480,120,0
66,75,36720,120,0
66,79,36960,120,1
74,37,37380,60,2
86,64,37440,120,0
74,55,37440,392,1
76,50,37605,120,2
85,60,37680,120,0
64,53,37920,120,1
87,93,37920,508,3
76,84,38400,120,2
74,52,38400,120,0
73,49,38640,1052,1
85,59,38640,120,0
86,62,38880,120,0
81,52,38733,213,3
83,59,39360,240,0
79,56,39600,240,0
77,35,39840,422,3
74,59,40320,240,0
76,59,40840,883,2
75,95,41120,360,3
70,80,41245,60,3
84,49,41418,869,3
75,59,40894,715,3
74,59,41182,336,2
72,58,41760,193,1
81,63,42070,240,1
78,57,42938,883,2
72,59,42809,120,1
70,59,43200,120,0
79,63,43680,240,0
74,57,43920,240,0
70,93,44049,738,3
77,26,44640,1440,2
57,59,51933,960,3
66,49,52260,60,0
75,55,52608,240,2
62,31,52560,240,1
61,56,52800,240,0
62,51,53040,240,0
62,58,53170,775,3
42,27,54255,120,3
59,77,53760,120,1
60,26,53509,120,3
67,53,53760,120,0
54,42,54240,120,0
61,42,54437,978,2
64,5,53824,120,2
66,51,53936,120,1
48,22,54927,120,3
54,46,54717,120,1
