note,velocity,position,duration,anomalies
65,25,0,360,2
68,48,360,120,0
69,51,480,120,0
70,52,600,120,0
71,53,720,120,0
75,31,1117,48,4
73,94,960,120,1
74,57,1080,120,0
75,58,1016,1081,2
76,59,1320,120,0
81,69,1440,120,0
76,60,1560,120,0
73,62,1680,120,0
69,60,1800,120,0
71,99,1920,360,2
76,49,2280,120,0
68,69,2400,360,0
76,49,2760,120,0
67,70,2880,360,0
76,47,3240,120,0
71,101,3360,360,2
77,49,3720,120,0
78,67,3840,360,0
68,54,4200,120,0
69,53,4320,120,0
70,54,4440,668,1
71,55,4560,120,0
72,57,4680,120,0
73,58,4800,120,0
74,60,4920,120,0
75,61,5040,120,0
87,34,5160,120,2
75,69,4824,304,3
76,60,5400,120,0
73,62,5520,120,0
69,60,5265,120,1
85,76,5760,360,0
75,60,6120,120,0
76,59,6240,120,0
77,61,6360,120,0
78,63,6480,120,0
79,66,6600,120,0
80,67,6720,120,0
81,70,6840,120,0
82,102,7173,888,3
83,75,7080,120,0
88,83,7200,120,0
83,73,7320,120,0
80,76,7440,120,0
76,74,7560,120,0
71,78,7680,360,0
80,55,8040,120,0
68,77,8160,360,0
76,50,8520,120,0
69,105,8221,360,3
73,43,9000,120,0
61,61,9120,360,0
56,19,9480,686,3
68,53,9600,797,2
69,36,9960,120,0
57,50,10080,360,0
66,32,10440,1095,1
56,47,10560,360,0
64,37,10920,120,0
78,53,11520,360,0
72,23,11880,454,3
69,52,12000,120,0
70,53,12120,120,0
71,54,12240,120,0
72,55,12360,120,0
73,56,12480,120,0
74,58,12600,120,0
75,59,12720,120,0
76,60,12840,120,0
81,69,12960,120,0
76,60,13080,120,0
73,62,13200,120,0
69,60,13320,120,0
75,93,13274,1249,4
76,49,13800,120,0
71,103,13920,360,2
76,50,14280,120,0
67,45,14400,1310,2
76,49,14760,120,0
68,69,14880,360,0
77,45,15240,120,0
78,67,15360,360,0
68,54,15720,120,0
69,53,15840,120,0
70,54,15960,120,0
71,55,16080,120,0
86,57,16510,120,2
73,58,16320,120,0
78,60,16440,120,1
75,61,16560,120,0
76,63,16680,120,0
81,69,16800,120,0
76,90,16676,953,3
73,62,17040,120,0
73,60,17160,361,2
85,76,17280,360,0
75,60,17640,120,0
76,59,17760,120,0
77,61,17880,120,0
90,39,18000,120,2
79,66,18120,120,0
80,67,18240,120,0
81,70,18360,120,0
82,72,18480,120,0
83,75,18600,580,1
88,83,18720,120,0
83,73,18840,120,0
80,76,18960,120,0
76,74,19080,120,0
71,78,19200,360,0
80,55,19560,120,0
68,77,19680,360,0
76,49,20040,120,0
64,68,20160,360,0
73,42,20520,120,0
61,60,20640,360,0
70,37,21000,120,0
54,53,21217,553,3
69,34,21480,120,0
52,19,21600,360,2
54,30,22256,120,2
56,46,22080,360,0
64,36,22440,120,0
65,96,23040,717,3
71,54,23400,120,0
74,58,23520,120,0
73,16,23323,120,3
73,60,23760,120,0
74,57,23880,120,0
79,57,23880,120,0
71,63,23503,27,2
74,60,24120,120,0
79,60,24120,120,0
69,33,24240,696,2
71,63,24360,120,0
74,63,24360,120,0
67,69,24480,120,0
71,60,24600,120,0
74,60,24600,120,0
66,69,25127,854,2
71,60,24840,120,0
74,60,24840,120,0
65,49,25285,360,2
68,45,25320,120,0
73,33,25320,699,2
66,69,25440,360,0
69,45,25800,120,0
73,53,25800,120,0
63,70,25920,360,0
77,81,26183,612,4
73,50,26280,120,0
65,69,26400,360,0
55,41,26760,120,1
73,49,26760,120,0
61,66,26574,360,1
66,26,27240,120,0
69,26,27240,120,0
73,42,27240,120,0
62,61,27666,641,2
72,26,27328,120,2
69,26,27480,120,0
73,42,27480,120,0
64,62,27600,120,0
66,27,27720,120,0
69,27,27720,120,0
73,43,27720,120,0
61,63,27937,1005,2
69,23,28200,120,0
65,23,28200,120,0
73,38,28200,120,0
61,62,28320,360,0
65,26,28680,120,0
69,26,28680,120,0
73,42,28680,120,0
61,62,28800,1077,0
66,43,29280,120,0
68,45,29400,120,0
67,20,29634,926,4
80,48,29640,602,2
78,46,30240,120,0
80,48,30360,120,0
81,50,30480,120,0
79,52,30880,120,2
72,60,30720,360,0
76,54,31080,120,0
79,58,30969,593,2
84,54,31320,120,0
78,60,31268,120,1
79,57,31560,120,0
84,57,31560,120,0
76,63,31680,120,0
79,60,31800,120,0
84,60,31800,120,0
74,65,31920,120,0
76,32,32460,120,2
79,63,32040,120,0
72,69,32160,120,0
76,60,32280,484,1
79,60,32280,120,0
71,69,32873,120,1
76,60,32520,120,0
79,60,32520,120,0
56,73,32640,360,1
73,45,33000,120,0
78,54,33000,120,0
71,69,33120,360,0
74,42,33480,120,0
78,50,33480,120,0
68,70,33600,360,0
71,41,33960,120,0
78,49,33960,120,0
70,69,34080,360,0
73,39,34440,120,0
78,47,34440,120,0
66,66,34560,360,0
71,25,34920,120,0
74,0,34920,345,2
78,41,34920,120,0
67,59,35040,120,0
71,24,35160,120,0
74,24,35160,120,0
78,40,35160,120,0
69,58,35280,120,0
71,65,35400,1015,2
74,25,35400,120,0
78,39,35400,120,0
66,58,35520,360,0
74,21,35880,120,0
70,21,35880,120,0
78,34,35880,120,0
66,55,36000,360,0
70,22,36360,120,0
74,22,36360,120,0
78,36,35931,1018,2
66,44,36480,360,0
71,20,36840,120,0
75,20,37142,120,1
78,33,36840,120,0
68,39,36960,120,0
71,19,37080,120,0
75,19,37080,120,0
78,56,37080,120,1
70,39,37200,120,0
71,20,37320,120,0
75,20,37320,120,0
78,7,37320,120,1
66,39,37440,360,0
75,17,37800,120,0
70,17,37800,120,0
78,28,37800,120,0
66,38,37920,360,0
70,17,38280,120,0
75,17,38280,120,0
78,29,38280,120,0
66,44,38400,960,0
71,30,38880,120,0
73,0,38710,120,2
65,33,39120,120,1
78,34,39240,120,0
66,44,39360,960,0
71,37,39840,120,0
73,39,39960,120,0
68,17,40479,120,3
74,44,40504,317,3
78,49,40320,960,0
74,43,40800,120,0
73,41,40920,120,0
71,40,41040,120,0
66,39,41160,120,0
78,49,41718,1487,2
74,43,41760,120,0
73,41,41880,120,0
71,40,42000,120,0
67,39,42120,120,0
78,52,42240,360,0
68,44,42600,120,0
69,46,42720,120,0
70,48,42840,120,0
68,49,42960,850,2
72,51,43080,120,0
73,53,42896,549,2
74,55,43320,120,0
75,57,43440,120,0
76,92,43560,120,1
81,65,43680,120,0
76,58,43800,120,0
73,62,43920,120,0
69,58,44040,120,0
67,68,44160,360,0
71,53,44520,578,2
68,69,44640,360,0
76,52,45000,120,0
67,70,45120,360,0
76,50,45480,120,0
68,69,45600,360,0
77,46,45960,120,0
78,67,46080,360,0
68,54,46440,120,0
69,53,46560,120,0
70,54,46680,120,0
71,55,46800,120,0
72,86,46920,783,2
73,58,47040,120,0
74,60,47160,21,1
75,101,46959,738,3
76,63,47400,120,0
81,69,47520,120,0
76,60,47640,120,0
73,62,47760,120,0
69,60,47880,120,0
85,76,48000,360,0
75,60,48360,120,0
76,28,48835,120,2
77,59,48600,120,0
82,83,48720,120,2
79,62,48840,120,0
80,64,48960,120,0
81,66,49080,120,0
82,67,49200,120,0
83,69,49320,120,0
99,103,49440,120,2
83,89,49173,475,3
80,72,49680,120,0
76,65,49800,120,0
90,90,49920,360,0
80,66,50280,120,0
81,66,50400,120,0
82,67,50520,120,0
87,103,50640,773,3
90,70,50494,530,3
85,72,50880,120,0
86,74,51000,120,0
87,75,51120,120,0
98,77,51240,120,1
93,87,51360,120,0
88,73,51480,120,0
85,76,51600,120,0
81,74,51720,120,0
76,83,52174,360,1
85,56,52200,120,0
73,75,52320,360,0
81,50,52680,120,0
69,67,52800,360,0
78,45,53160,120,0
66,60,53280,360,0
75,38,53640,120,0
65,52,53760,360,0
74,38,54120,120,0
62,49,54240,360,0
79,68,54600,120,2
61,46,54720,360,0
69,36,55080,120,0
67,60,55680,360,0
71,54,56040,120,0
74,58,56160,120,0
79,54,56280,120,0
73,60,56400,120,0
74,57,56520,120,0
79,57,56520,120,0
71,63,56640,120,0
74,60,56760,120,0
79,60,56760,120,0
69,65,56880,120,0
71,63,57000,120,0
74,63,57000,120,0
67,69,57120,120,0
71,60,57240,120,0
74,34,57135,120,2
66,69,57360,443,1
71,60,57480,120,0
74,60,57480,120,0
65,73,57600,360,0
68,49,57960,120,0
73,58,57960,120,0
66,69,58080,360,0
69,48,58440,120,0
73,57,58440,120,0
62,95,58560,360,2
66,47,58920,120,0
73,56,58920,120,0
65,69,59040,360,0
68,44,59400,120,0
73,52,59400,120,0
61,66,59520,360,0
66,26,59880,120,0
69,26,59880,120,0
73,42,59880,120,0
62,51,60000,120,0
66,26,60120,120,0
69,0,60449,335,3
62,4,60314,1012,4
64,62,60240,120,0
66,27,60360,120,0
69,27,60360,120,0
73,43,60360,120,0
61,63,60480,360,0
69,23,60840,120,0
65,23,60840,120,0
82,38,60840,24,2
61,62,60960,360,0
65,26,61320,120,0
69,26,61320,120,0
73,42,61320,120,0
61,28,61333,1077,2
66,43,61920,120,0
68,45,62040,120,0
69,46,62160,120,0
73,48,62280,120,0
78,46,62880,120,0
80,21,63000,882,2
81,50,63120,120,0
85,17,63301,120,2
72,60,63360,360,0
76,54,63720,120,0
79,58,63840,120,0
84,54,63960,120,0
