note,velocity,position,duration,anomalies
72,68,960,240,1
74,37,1200,240,0
65,34,1440,720,0
76,78,1440,240,1
72,38,1680,240,0
76,38,1920,360,0
79,57,2160,1623,3
74,0,2413,60,2
76,34,2340,60,0
69,43,2827,240,2
71,38,2640,240,0
54,58,2880,720,2
74,40,2880,120,0
74,49,3360,480,0
65,34,3600,1644,1
72,40,3840,240,0
69,37,4080,240,0
62,34,4405,720,1
72,76,4320,240,1
69,78,4402,240,2
72,38,4404,1002,2
71,45,5040,240,0
56,34,5040,1056,2
55,43,5280,622,2
71,38,5520,977,1
59,34,5760,720,0
79,40,5760,120,1
63,67,6240,480,2
60,34,6480,720,0
56,4,6332,402,4
64,37,6960,240,0
49,6,7200,1462,3
58,45,7200,240,1
62,38,7440,240,0
67,38,7680,360,0
46,70,8168,1016,4
64,34,8040,60,0
66,34,8100,60,0
78,9,8160,240,2
54,38,8400,555,2
70,54,8810,720,3
67,79,8640,240,1
52,33,8430,240,2
69,32,9120,360,1
57,28,9360,720,0
64,27,9480,60,0
66,57,9067,119,3
64,34,9600,240,0
62,29,9840,240,0
59,25,10080,120,0
57,30,10138,120,2
59,24,10560,960,0
67,29,10560,960,0
64,65,12533,240,3
74,37,12720,240,0
65,34,12960,720,0
84,13,12960,240,2
72,38,13200,240,0
76,63,13326,360,2
67,3,13214,1483,3
69,12,13800,1029,3
76,34,13860,60,0
72,15,13920,240,2
71,38,14160,240,0
64,34,14400,720,0
74,40,14400,120,0
74,49,14880,480,0
65,72,15120,720,1
72,40,15360,240,0
69,37,15600,240,0
62,34,15840,720,0
72,45,15840,240,0
69,11,15888,240,2
79,38,16253,240,2
71,45,16982,240,1
64,34,16383,1717,3
67,43,16800,240,0
71,38,17040,240,0
59,34,17280,720,0
69,40,17280,120,0
69,46,17760,480,0
60,34,18000,720,0
67,68,18122,1103,3
64,37,18480,240,0
59,4,18386,1136,3
67,68,18307,635,3
74,38,18960,1076,2
68,63,19010,1144,4
57,9,19906,720,2
55,34,19926,369,3
66,34,19620,60,0
64,43,19680,240,0
57,10,19830,240,3
67,52,20160,1127,3
67,4,20160,240,1
53,56,20172,424,4
53,58,20300,667,4
71,28,21010,1438,3
53,57,21000,60,2
66,66,21060,818,2
64,34,21120,240,0
72,2,21360,984,3
59,25,21481,120,1
67,30,21600,120,0
59,24,22017,2189,2
67,29,22080,2347,1
69,53,23520,543,3
70,0,23520,1306,3
68,73,24480,720,0
71,75,24944,1345,2
65,62,25200,720,1
72,103,25553,1082,3
68,72,26342,120,1
71,75,25920,120,0
68,86,26595,480,2
71,75,26400,480,0
71,40,26880,240,0
85,37,27120,422,2
64,34,27360,1358,1
75,45,26977,1184,2
64,7,28058,240,3
75,38,27840,360,0
63,34,28080,720,0
65,34,28553,330,3
75,34,27924,1057,2
78,76,28256,240,3
69,38,28560,240,0
61,27,28800,197,2
68,27,28800,120,0
77,66,28800,942,3
77,33,28916,1323,3
68,33,29280,480,0
71,41,29280,480,0
77,73,30490,720,2
74,75,30240,720,0
72,62,30960,720,0
75,75,30960,720,0
71,72,31680,120,0
74,75,31680,120,0
62,48,32566,1090,3
74,75,31870,793,2
74,40,32980,837,2
76,14,32880,240,1
67,34,33120,720,0
78,45,33120,240,0
74,66,33701,240,2
78,38,34056,555,2
66,34,33840,1208,1
68,12,33960,60,2
78,11,34020,799,2
76,43,34520,240,1
72,38,34320,240,0
67,27,34560,120,0
71,27,34560,120,0
79,64,34691,120,3
67,33,35283,480,1
85,33,34934,1208,3
74,41,35040,480,0
74,43,35520,120,0
64,43,35640,49,2
69,30,35760,240,0
72,30,35760,240,0
82,38,35486,823,3
67,58,35767,120,2
58,27,36014,120,1
74,34,36014,120,0
75,33,36480,480,1
71,33,36686,878,2
76,41,36480,580,2
74,79,36960,120,1
76,43,37080,120,0
69,30,37200,240,0
72,67,37200,240,1
68,77,37200,240,2
74,43,37680,120,0
76,43,37800,120,0
69,30,37920,120,0
72,30,37920,120,0
78,38,37637,120,1
74,43,38400,120,0
76,43,38520,120,0
69,30,38640,766,1
72,30,38640,120,0
77,38,38640,120,0
74,43,39591,120,1
76,11,39075,120,2
69,0,39739,30,3
72,30,39092,945,2
78,67,39536,756,3
74,43,39840,120,0
71,43,39960,120,1
69,30,40080,120,0
72,30,40080,120,0
77,38,40080,120,0
77,43,40560,372,1
76,68,40680,959,3
72,30,40800,538,1
76,9,40800,554,3
81,38,40800,120,0
77,43,41097,120,1
79,43,41400,120,0
71,30,41520,120,0
74,0,41412,384,3
76,77,41982,616,4
82,43,42317,120,2
77,43,42120,120,0
71,8,42240,120,1
72,30,42240,120,0
79,38,42240,120,0
76,43,42720,120,0
77,43,42840,120,0
71,29,42960,120,0
72,29,42960,120,0
79,37,42960,120,0
76,78,43440,120,1
64,41,43560,120,1
69,28,43680,973,1
72,0,43680,692,2
79,69,43680,120,1
67,39,44393,667,3
77,12,44280,120,1
69,27,44400,120,0
72,27,44400,120,0
75,34,44400,120,1
74,37,44880,120,0
83,37,45000,120,1
69,26,45308,120,1
71,26,45120,120,0
77,33,44691,120,1
74,74,45600,120,1
76,36,45720,120,0
69,24,45711,851,2
77,0,45840,260,3
77,31,45840,120,0
74,34,46320,120,0
76,34,46440,120,0
67,23,46560,120,0
71,23,46560,120,0
77,30,46560,120,0
74,32,47040,120,0
76,32,47160,120,0
67,2,47280,740,2
71,22,47280,120,0
77,28,46889,597,2
72,30,47760,120,0
74,30,47880,120,0
58,41,47683,454,4
69,21,48000,120,0
76,26,48000,120,0
72,29,48090,505,2
74,29,48600,120,0
67,20,48720,120,0
69,41,48720,30,2
76,25,48720,120,0
72,0,48950,120,2
74,27,49320,120,0
65,19,49440,120,0
69,19,49440,120,0
76,0,49351,272,3
71,27,52080,120,0
72,27,52200,120,0
65,0,52602,120,2
75,19,52320,120,1
88,46,52456,847,4
54,14,56298,1194,3
61,16,56160,727,2
84,32,57120,240,0
86,29,57360,240,0
88,36,57600,240,0
84,30,57840,240,0
