note,velocity,position,duration,anomalies
74,0,480,456,2
85,22,480,456,0
82,15,480,456,0
73,0,1398,456,3
85,62,1062,1063,3
78,15,960,590,2
78,0,1440,861,2
79,1,1440,620,3
82,16,1440,456,0
78,15,1425,1285,2
85,22,2273,456,1
82,15,1920,456,0
78,15,2400,456,0
85,0,2767,1173,3
82,37,2348,456,2
78,15,3360,456,0
85,22,3360,456,0
82,0,2970,456,2
67,37,3627,456,3
85,22,3840,456,0
82,15,3840,456,0
64,39,4320,395,3
85,24,4320,456,0
81,0,4320,389,3
78,14,4800,456,0
85,21,4800,456,0
82,14,4800,456,0
85,34,5611,456,3
87,21,5526,456,2
82,43,5280,1336,2
78,15,6240,456,0
85,22,6240,456,0
82,15,6240,456,0
78,0,6720,788,2
77,0,6317,1373,4
79,15,6720,456,1
78,16,7251,456,1
95,62,7557,683,4
82,16,7200,456,0
78,14,7680,456,0
85,21,7680,456,0
73,14,7543,456,2
78,14,8160,456,0
87,21,8160,456,0
69,14,8046,939,3
78,16,9120,456,0
82,16,9120,1226,1
82,0,8993,456,3
79,38,9600,594,3
82,16,9600,456,0
87,24,9600,456,0
88,16,10560,456,1
95,39,10331,456,3
85,6,10099,456,2
73,16,10772,456,1
90,26,11218,1011,3
76,41,11040,1140,3
71,19,12000,456,0
75,19,12000,456,0
78,28,12000,456,0
71,19,12480,456,0
75,0,12827,456,2
78,28,12209,456,1
71,18,13440,456,0
75,18,13440,456,0
86,28,13314,1125,3
71,18,13920,456,0
77,18,13920,456,1
80,27,13920,456,0
67,36,14424,1217,4
78,16,14880,513,1
88,24,14880,456,1
73,16,15360,456,0
78,16,15360,456,0
82,24,15360,456,0
74,18,16172,815,3
78,18,15840,456,0
82,27,16254,915,2
78,16,16320,1079,2
86,16,16320,456,1
82,24,16320,456,0
73,16,16800,456,0
78,0,17256,456,2
82,24,16800,456,0
78,53,17657,456,2
85,30,18127,1418,2
82,20,17760,456,0
91,0,17781,456,3
89,49,18240,654,3
85,30,18240,456,0
71,0,19009,1357,4
82,23,18720,456,0
89,34,18720,456,0
87,32,19200,456,0
82,21,19200,456,0
78,21,19200,456,0
78,0,20119,1383,3
82,21,19680,456,0
85,32,19680,456,0
70,23,20640,456,1
87,35,20640,456,0
82,23,20640,1354,1
78,21,21120,456,0
82,0,21254,1422,3
76,33,21615,363,3
73,23,22080,456,0
76,34,22080,456,1
78,0,21693,1440,3
70,21,22560,456,0
70,49,22560,456,2
78,32,22560,456,0
81,54,23867,807,4
75,0,23115,937,3
78,30,23520,456,0
57,53,23791,627,4
75,20,24000,456,0
78,0,24348,1249,3
71,0,24556,850,3
75,23,24332,456,1
82,35,24480,456,0
85,0,25016,1135,4
75,57,24527,942,3
77,0,24960,456,2
71,20,25543,1374,2
71,20,25440,986,2
65,69,25279,456,3
61,40,26093,618,4
78,20,26400,456,0
95,61,26400,694,3
64,20,26429,456,2
78,20,26880,456,0
70,55,26817,456,3
73,53,27556,456,2
78,21,27360,456,0
75,33,27360,993,2
73,20,27840,456,0
65,20,27840,897,2
80,30,27681,456,2
59,20,28063,456,2
78,20,28320,456,0
82,30,28165,456,1
74,27,29280,456,0
73,27,29546,456,2
82,0,28820,456,2
74,27,29760,456,0
78,27,29760,456,0
95,63,29760,456,2
74,30,30720,456,0
80,0,31007,1019,4
82,36,30720,456,0
74,70,30719,456,2
78,33,31200,456,0
82,39,31200,456,0
82,32,32572,456,2
69,72,32474,981,4
82,38,32160,456,0
78,70,32266,1389,4
70,32,32640,456,1
82,38,32640,456,0
66,27,33600,456,0
70,27,33600,456,0
75,33,33600,1305,1
66,27,34080,456,0
70,27,34080,456,0
75,33,34080,456,0
74,27,35040,1168,1
78,27,35040,456,0
82,32,35040,456,0
76,27,35520,456,1
78,27,35520,456,0
82,32,35520,456,0
74,30,35988,772,2
78,30,36480,456,0
83,36,36480,456,0
87,33,36960,1254,2
78,33,36960,1016,1
85,39,36960,456,0
75,35,37920,456,0
78,35,37920,456,0
85,42,37534,456,2
62,67,38400,399,3
78,36,38400,456,0
80,43,38641,456,2
75,37,38880,456,0
78,37,38705,1388,2
82,45,38880,456,0
75,39,39360,456,0
78,39,39360,456,0
82,46,39360,456,0
65,16,40092,456,3
78,40,39840,456,0
82,48,39840,456,0
74,33,40800,456,0
78,33,40800,456,0
74,40,40800,1386,2
74,33,41016,722,2
86,59,41701,456,3
82,40,41280,858,1
75,65,41760,456,2
78,33,41760,456,0
76,40,42023,366,3
74,34,42240,456,0
76,34,42717,456,2
82,41,42240,456,0
74,34,42720,456,0
78,0,42720,456,1
81,81,42265,456,2
61,1,43201,456,3
77,33,43680,456,0
81,39,43680,509,1
73,32,44160,456,0
77,32,44160,456,0
81,38,44160,456,0
73,31,45120,456,0
77,31,45120,456,0
80,37,45120,456,0
73,71,45442,456,2
77,31,45600,456,0
80,37,45600,456,0
72,63,46560,456,1
62,33,47005,456,2
69,39,46560,1008,2
72,33,47040,456,0
76,33,47040,456,0
80,39,47098,1387,2
72,33,48000,238,0
76,63,48000,456,1
82,64,48365,682,3
81,66,48480,1413,3
84,41,48480,456,0
60,34,49218,854,3
81,58,49555,456,3
80,41,49440,799,1
73,34,49920,456,0
91,34,49671,1299,3
72,41,50376,1308,3
89,92,50006,456,2
77,39,50880,456,0
80,39,50880,456,0
85,47,50880,456,0
77,39,51360,456,0
80,14,51143,1163,3
84,47,51782,372,2
73,16,52381,456,2
77,38,52585,456,1
83,45,52320,456,0
73,38,52800,456,0
77,38,52800,456,0
83,45,52591,1220,2
73,69,53041,456,2
77,69,53280,456,1
76,47,53280,456,1
