note,velocity,position,duration,anomalies
64,50,2880,480,0
66,49,3360,120,0
68,49,3600,60,0
69,53,3840,240,0
69,56,4320,480,0
71,58,5236,510,2
68,50,5040,60,0
66,48,5280,120,0
69,39,5700,60,0
66,50,5760,582,1
75,47,5744,1979,3
64,43,8880,120,0
66,46,9120,60,0
68,49,9360,60,0
68,54,9600,240,0
69,51,9840,240,0
69,51,10320,60,0
71,56,10560,60,0
68,50,10800,60,0
76,11,11463,853,4
66,50,11280,120,0
69,39,11460,60,0
66,50,11520,120,0
75,47,12155,1440,2
67,37,14400,241,0
73,5,14825,241,3
76,48,14880,241,0
68,40,14880,241,0
69,44,15360,241,0
76,52,15360,241,0
71,45,15840,1440,0
81,27,15840,160,2
74,44,16000,160,0
72,44,16160,160,0
74,48,16320,960,0
72,44,17280,760,1
64,37,17280,242,0
72,48,17760,242,0
65,40,17760,242,0
66,44,18240,242,0
72,52,18240,242,0
67,45,18720,1440,0
72,54,18720,160,0
71,44,18880,874,1
69,44,19040,160,0
71,48,19200,960,0
65,45,20160,1440,0
71,54,20160,160,0
69,44,20801,725,2
67,44,20480,160,0
69,69,20544,960,2
65,59,21600,1125,1
67,43,21600,1440,0
64,84,22235,828,3
53,48,21918,160,1
64,52,22080,960,0
60,51,23040,480,0
65,61,23040,480,0
67,61,23520,120,0
60,51,23520,120,0
69,57,23760,120,0
60,48,23760,120,0
65,66,24000,180,0
71,56,23690,180,2
62,48,24480,180,0
59,69,24396,337,3
64,41,24960,960,0
59,34,24960,960,0
64,50,28800,480,0
66,48,29280,120,0
68,46,29520,60,0
69,53,29760,240,0
69,54,30240,480,0
71,58,30720,120,0
68,53,30960,60,0
58,19,31200,152,3
69,39,31620,60,0
66,50,31680,120,0
64,47,32160,1440,0
64,79,34673,0,3
66,48,35040,60,0
68,44,35280,60,0
68,76,35520,240,1
69,50,35760,240,0
69,52,36240,60,0
71,56,36480,60,0
68,50,36720,167,1
68,48,36960,240,0
66,28,37048,120,2
69,76,37380,60,1
78,29,37140,120,3
64,47,38095,1440,1
67,37,40320,242,0
66,84,40320,242,2
68,40,40800,242,0
76,48,40800,242,0
69,44,41280,242,0
76,52,41280,242,0
76,54,41760,160,0
71,45,41760,1440,0
74,44,41920,160,0
72,44,42080,160,0
74,48,42240,960,0
64,37,43200,242,0
72,44,43200,242,0
72,48,43680,242,0
65,40,43680,242,0
85,89,44160,242,2
77,44,44160,242,1
66,54,44640,160,1
67,45,44640,1440,0
71,44,44800,160,0
69,44,44960,160,0
71,48,45120,960,0
65,6,46362,2084,3
71,54,46080,160,0
69,44,46240,160,0
67,44,46400,160,0
69,48,46560,960,0
65,59,47520,160,0
67,44,47520,1440,0
64,48,47683,160,0
62,48,47838,160,0
64,52,48000,960,0
60,51,48674,480,1
78,61,48960,480,1
60,51,49379,120,1
58,30,49440,558,3
60,48,49680,120,0
69,27,50149,250,3
60,56,49920,180,0
75,66,50045,1015,3
62,48,50400,180,0
59,40,50400,180,0
59,34,50880,960,0
64,41,50552,1739,2
73,39,52320,480,0
76,47,52320,480,0
73,39,52800,480,0
76,47,52800,480,0
76,47,53760,480,0
76,39,53760,836,2
74,39,53760,480,0
73,39,54240,1286,2
74,39,54240,480,0
76,47,54240,480,0
73,39,55200,480,0
76,47,55200,480,0
65,39,55960,926,3
87,17,55680,480,2
74,35,56640,480,0
68,35,56640,480,0
76,42,56640,480,0
68,35,57120,480,0
74,35,57120,480,0
85,68,57120,480,2
73,39,58080,480,0
76,47,58080,480,0
71,14,58560,480,2
66,62,58560,480,2
73,39,59520,480,0
76,47,59520,480,0
73,39,60000,480,0
76,47,60000,480,0
73,40,60960,480,0
76,49,60960,480,0
73,40,61440,480,0
76,49,61440,480,0
76,42,62400,480,0
76,0,62400,395,3
73,35,62880,480,0
76,42,62880,480,0
73,39,63840,480,0
76,47,63840,480,0
73,39,64320,730,1
76,47,64320,480,0
76,47,65280,480,0
68,39,65280,480,0
74,39,65280,480,0
68,39,65760,480,0
74,39,65760,480,0
76,47,65760,480,0
73,39,66720,480,0
76,47,66720,480,0
73,39,66930,630,2
76,47,67200,480,0
74,35,68160,480,0
68,35,68160,480,0
76,42,68160,480,0
68,35,68640,480,0
74,35,68640,480,0
76,42,68640,480,0
73,39,69600,480,0
76,47,69600,480,0
76,47,70080,480,0
73,39,70080,480,0
73,16,70762,480,2
76,51,71040,480,0
73,42,71520,480,0
76,51,71520,480,0
73,46,72480,480,0
76,56,72822,1412,2
73,46,72960,480,0
76,20,72808,863,3
76,23,74023,804,3
73,86,73471,480,2
73,50,74400,480,0
76,61,74400,480,0
64,45,77760,480,0
66,65,77868,120,2
68,19,78830,110,3
69,47,78720,240,0
69,49,79200,480,0
71,52,79680,120,0
68,45,79920,60,0
62,5,80378,240,3
77,35,80499,886,3
52,45,80928,120,2
64,4,80700,1440,2
66,6,83556,60,3
66,43,84000,60,0
68,39,84240,60,0
68,45,84480,240,0
69,45,84720,240,0
69,46,85200,60,0
71,51,85440,60,0
68,45,85680,60,0
68,43,85920,240,0
66,45,86160,120,0
69,35,86340,60,0
66,45,86400,120,0
64,42,86880,1440,0
67,37,89280,242,0
76,44,89280,242,0
68,40,89760,242,0
76,48,89760,242,0
76,52,90240,242,0
69,9,90707,566,3
71,10,90604,1388,3
76,91,90222,932,3
74,44,90880,160,0
72,44,91040,160,0
74,48,91200,960,0
72,44,92160,242,0
64,37,92160,242,0
72,48,92640,242,0
65,60,92640,242,1
72,52,93120,242,0
66,44,93120,242,0
67,45,93600,1440,0
72,54,93600,160,0
71,44,93760,160,0
69,44,93920,160,0
71,48,94080,960,0
71,54,95040,160,0
65,45,95040,1440,0
69,44,95200,160,0
67,44,95360,160,0
69,48,95520,960,0
67,49,96480,1440,0
61,92,96067,160,3
64,48,96643,160,0
62,48,96798,160,0
64,52,96960,960,0
60,51,97920,480,0
65,61,97920,480,0
49,77,98400,564,3
67,61,98400,120,0
60,48,98640,120,0
69,57,98640,120,0
56,56,98880,180,1
65,66,98880,180,0
59,40,99360,180,0
69,48,99599,980,3
64,70,99840,1314,2
59,34,99840,960,0
69,46,101177,1451,2
61,36,100800,1440,0
71,48,101760,240,0
68,45,102000,180,0
69,35,102180,60,0
62,36,102240,1440,0
66,45,102240,240,0
64,45,102480,120,0
64,75,102720,1482,2
62,66,103680,395,3
61,36,103680,1440,0
71,48,104160,240,0
73,48,104400,240,0
69,48,104640,240,0
66,45,104880,180,0
68,35,105060,60,0
55,76,105120,1380,2
66,45,105120,240,0
64,45,105360,120,0
64,62,105600,900,1
78,35,106317,325,3
61,36,106560,1920,0
66,45,106560,120,0
64,42,107040,1440,0
69,31,109380,60,0
60,32,109440,2880,0
65,40,109440,120,0
64,37,109920,2400,0
56,10,0,998,3
60,28,480,480,0
52,24,480,480,0
52,24,960,480,0
49,29,1062,480,2
45,36,1440,480,0
52,24,1920,480,0
60,28,1920,480,0
60,29,2400,480,0
52,24,2400,480,0
45,14,2880,480,1
52,24,3360,480,0
60,29,3360,480,0
60,29,3840,480,0
52,24,3840,480,0
45,36,4320,480,0
62,28,4800,480,0
52,3,4800,480,1
62,29,5280,480,0
52,24,5280,480,0
45,36,5760,480,0
60,26,6240,480,0
55,53,6659,480,3
60,26,6720,480,0
52,21,6720,480,0
45,36,7200,480,0
52,21,7680,480,0
60,25,7680,480,0
60,26,8160,480,0
52,21,8160,480,0
45,36,8640,480,0
60,0,9120,480,1
52,24,9120,480,0
52,24,9600,480,0
60,29,9600,480,0
45,36,10080,480,0
52,24,10560,480,0
62,28,10560,480,0
62,29,11040,480,0
52,24,11040,480,0
45,36,11520,480,0
60,26,12000,480,0
52,21,12000,480,0
60,26,12480,480,0
52,21,12480,844,1
45,36,12960,480,0
60,25,13440,480,0
52,0,13063,480,2
52,21,13920,480,0
60,26,13920,480,0
60,28,14400,241,0
58,33,14400,986,2
65,36,14880,241,0
52,4,14880,364,3
60,33,15360,241,0
66,39,15360,241,0
62,38,15840,1440,0
67,45,15840,1440,0
55,38,15840,1440,0
60,33,17280,242,0
57,0,17623,242,2
57,30,17760,242,0
62,36,17760,242,0
69,39,18240,242,1
57,33,18240,242,0
59,38,18720,1440,0
64,45,18720,1509,1
52,38,18720,1440,0
60,45,20160,1440,0
53,38,20160,1440,0
55,41,22020,1440,1
60,49,21600,1440,0
48,41,21607,1440,0
57,52,23040,480,0
50,44,23040,480,0
52,15,23338,120,2
57,50,23520,120,0
57,48,23760,120,0
53,40,23760,120,0
50,48,24000,180,0
57,57,24000,180,0
57,74,24480,180,1
53,35,24480,180,0
52,35,24960,960,0
56,42,24960,960,0
45,36,25920,480,0
60,28,26400,480,0
52,24,26400,480,0
60,29,26880,480,0
52,24,26880,480,0
45,36,27360,480,0
52,24,27840,480,0
60,28,27840,480,0
52,57,27970,746,3
60,29,28320,480,0
45,36,28800,480,0
52,24,29280,480,0
60,29,29280,480,0
52,24,29760,480,0
60,29,29760,1113,1
45,36,30240,480,0
52,24,30720,480,0
62,28,30720,480,0
52,24,31200,480,0
62,29,31200,480,0
45,36,31680,480,0
60,26,32160,480,0
52,21,32160,570,1
52,21,32640,480,0
60,26,32640,480,0
52,0,33120,1135,3
60,25,33600,480,0
52,21,33600,480,0
60,26,34080,480,0
52,21,34080,480,0
45,36,34560,480,0
52,0,35128,1046,3
60,29,35040,480,0
52,64,35520,480,1
60,29,35520,480,0
45,36,36000,480,0
52,54,36480,480,1
62,28,36127,1114,2
52,24,36960,480,0
62,29,36960,480,0
45,36,37440,480,0
