note,velocity,position,duration,anomalies
69,50,960,360,0
66,45,1320,120,0
74,50,1440,120,0
74,47,1920,120,0
84,47,2400,240,1
73,27,2365,60,2
74,47,2700,60,0
76,47,2760,60,0
74,47,2820,60,0
73,51,2880,360,0
76,52,3240,120,0
79,56,3360,840,0
69,51,4091,1040,3
78,58,4320,360,0
74,86,4941,120,2
81,58,4800,360,0
78,54,5160,120,0
76,59,5280,1355,2
79,48,5640,120,0
78,23,6255,480,2
76,16,5845,360,2
69,50,6720,796,1
66,45,7423,33,2
74,50,7200,120,0
86,47,7217,120,2
74,47,8160,240,0
73,47,8400,60,0
74,47,8460,60,0
64,47,8578,313,3
74,47,8580,60,0
64,28,8640,360,2
76,53,9000,120,0
79,58,9120,360,0
76,28,9480,120,1
78,59,9600,360,0
74,48,9960,120,0
71,58,10080,120,0
76,56,10560,120,0
73,45,11040,240,0
67,45,11040,480,0
74,55,11280,60,0
73,48,11340,60,0
71,48,11400,60,0
73,48,11460,60,0
82,58,11520,753,2
69,49,11520,480,1
69,50,12480,360,0
66,45,12840,120,0
74,23,12960,120,1
60,47,13280,519,3
83,69,13920,1219,3
73,47,14160,60,0
74,47,14220,293,1
76,47,14280,60,0
74,47,14340,60,0
73,30,14544,360,2
76,52,14760,268,1
84,32,15151,1284,4
76,51,15720,120,0
67,58,15372,608,3
74,89,16200,120,1
81,58,16320,360,0
78,88,16680,348,2
79,93,16930,360,3
83,23,16832,57,4
80,87,17493,1344,4
76,16,17317,360,2
69,50,18240,360,0
66,45,18600,120,0
74,50,18264,191,2
74,47,19200,120,0
74,47,19680,240,0
73,47,19920,60,0
74,47,19980,60,0
76,10,20364,60,2
74,7,20425,60,2
73,58,20160,360,0
76,53,20854,280,2
77,58,20840,437,3
76,54,21000,120,0
78,59,21120,360,0
74,48,21480,120,0
71,58,21600,120,0
76,56,22080,120,0
73,45,22560,240,0
67,45,22560,480,0
74,30,22734,60,2
73,48,22860,60,0
71,48,22920,60,0
73,48,22980,60,0
74,58,23040,480,0
66,49,23040,480,0
81,58,24000,360,0
78,53,24360,120,0
86,58,24756,1324,2
81,53,24840,120,0
83,58,24960,360,0
80,54,25320,120,0
89,59,25440,360,1
76,48,25800,120,0
85,35,25920,944,3
74,54,26280,120,0
78,59,26400,360,0
73,57,26760,120,0
76,63,26880,360,0
63,32,27169,120,3
85,36,27360,646,3
69,61,27720,120,0
79,50,27840,480,1
92,66,27840,360,1
79,34,28200,216,3
74,56,28320,480,0
78,65,28320,360,0
81,27,28680,1082,2
74,25,28800,480,1
82,30,28800,480,2
79,42,29477,240,2
76,26,29280,240,1
81,58,29760,360,0
78,53,30309,640,2
86,58,30240,360,0
81,53,30600,932,1
70,58,30720,360,1
73,94,31080,951,3
81,93,31200,360,1
76,73,31560,120,1
79,58,31680,360,0
74,54,32040,120,0
78,84,32160,508,2
73,57,32520,120,0
76,63,32640,360,0
71,53,33000,120,0
74,66,33120,528,1
69,54,33480,120,0
78,66,33600,480,0
76,47,34080,60,0
78,73,34140,969,2
66,47,33995,60,2
78,10,33955,0,3
76,47,34320,60,0
78,43,34380,418,1
64,43,34440,463,2
74,43,34480,40,0
82,43,34521,40,1
74,66,34560,480,0
81,58,35520,360,0
78,73,35880,594,2
86,58,36000,360,0
81,53,36023,120,1
83,58,36480,360,0
74,54,36604,120,2
78,27,37140,545,4
76,48,37320,120,0
79,58,37440,360,0
74,54,37800,120,0
78,59,38068,445,2
73,77,37886,120,2
86,63,38400,852,2
71,52,38760,120,0
74,30,38880,1232,2
69,61,39240,120,0
73,50,39360,480,0
65,93,39360,552,3
82,31,39906,120,3
74,56,39840,480,0
78,65,39840,360,0
71,57,40432,223,3
74,47,39913,480,1
68,32,40320,1299,3
74,42,40860,1072,3
76,50,40800,240,0
81,20,41280,1076,2
78,92,41640,789,2
75,18,41760,360,2
81,53,42120,120,0
83,58,42240,360,0
90,54,42600,657,2
82,59,42720,842,2
77,48,43080,282,2
86,21,42888,483,4
74,54,43560,120,0
78,60,43680,360,0
73,57,44040,120,0
76,63,44160,360,0
69,53,44309,779,3
74,66,44640,360,0
69,54,45000,120,0
71,29,45120,480,2
76,47,45600,60,0
78,44,45660,60,0
76,47,45720,60,0
78,45,45780,60,0
76,47,45569,374,2
78,43,45900,60,0
69,64,46137,40,3
74,7,46000,402,2
76,43,46041,40,0
63,31,46349,399,4
67,32,46718,120,2
65,95,46793,120,2
64,61,47280,120,0
62,40,47400,334,2
81,45,47763,840,3
69,59,48360,120,0
85,65,48744,617,3
69,56,48840,110,0
69,24,49049,360,2
68,54,49320,120,0
67,64,49440,840,0
64,56,50280,120,0
65,65,50400,360,0
62,61,50760,120,0
69,66,50880,360,0
65,58,51240,120,0
70,65,51360,360,0
72,49,51955,973,3
62,50,51840,480,0
61,45,52320,240,0
