note,velocity,position,duration,anomalies
68,51,989,90,1
71,73,1606,569,3
76,46,1320,90,0
73,88,1508,508,4
56,47,1680,559,2
64,47,1800,90,0
66,51,2040,90,0
75,47,2160,696,2
81,43,2436,911,3
69,73,2833,652,4
52,48,2784,90,2
63,43,2820,211,2
58,16,3060,833,4
69,75,3120,90,2
90,42,3240,1075,2
71,29,3480,1029,2
76,21,3600,938,3
64,47,4142,90,1
73,15,3960,90,2
75,18,4304,90,2
86,68,3976,90,3
69,51,4331,90,2
55,73,4560,703,3
59,9,5178,90,2
71,45,4920,90,1
71,72,5040,774,2
67,61,5160,90,2
75,45,5400,90,1
68,44,5993,279,2
64,5,5640,576,2
72,45,5880,90,1
71,45,6000,90,0
78,65,6120,338,2
71,45,6484,204,2
66,69,6669,90,2
63,40,6600,90,0
67,45,6840,300,2
60,65,6478,90,3
67,78,7080,993,3
71,6,7320,90,1
67,42,7148,954,3
76,39,7560,560,2
66,45,7800,90,0
75,45,7920,90,0
83,42,8328,90,1
62,9,8280,687,3
68,6,8059,474,4
49,33,8520,585,2
64,46,8420,1077,2
71,47,8937,0,2
85,41,9000,90,1
71,48,9240,90,0
64,69,9130,90,2
68,39,9884,385,3
54,49,9434,90,2
87,27,9908,943,4
81,10,10375,90,2
66,80,10680,90,1
78,47,10800,90,1
82,77,11350,288,3
73,77,10805,90,2
63,43,11280,188,2
58,66,11847,327,3
66,49,11640,90,0
75,49,11760,90,0
83,48,11880,678,1
62,23,12900,272,4
70,20,12344,90,3
87,70,13247,223,3
85,56,12960,90,1
78,80,12730,612,3
79,9,12763,90,3
63,69,12873,90,2
84,81,13202,479,4
89,54,13680,90,1
97,89,13800,90,2
88,59,13920,90,0
92,55,14282,90,2
71,81,14464,382,3
65,25,14280,290,3
75,18,14124,90,2
83,57,14761,90,1
90,18,14760,90,1
94,64,14880,864,2
83,58,14617,220,2
84,54,15120,322,2
66,27,14890,90,2
69,85,15087,316,4
83,83,16063,90,2
93,58,15249,686,3
92,100,15840,90,1
83,41,15800,729,3
76,57,16080,90,0
68,32,16200,90,1
90,25,16816,90,3
85,64,16560,574,1
93,61,16680,90,0
93,73,16800,90,0
80,66,16920,90,1
86,62,17040,90,1
68,55,17160,90,1
79,47,17035,90,2
81,68,17946,90,2
94,87,17640,0,3
97,45,17760,733,2
88,68,18348,714,2
79,63,18213,90,1
64,19,17863,960,4
82,68,17999,613,2
105,68,18368,244,3
100,66,18600,666,1
86,35,18557,402,4
77,39,18840,90,2
82,97,18778,90,2
73,62,19080,90,0
79,90,18942,372,3
101,91,19440,1077,3
99,101,19560,90,2
99,48,20129,90,3
88,65,19800,90,0
73,96,20144,559,4
70,59,20140,763,2
68,62,20280,782,2
85,61,20400,90,0
94,82,20314,90,2
94,26,20285,807,3
85,32,20760,379,2
88,16,21101,791,4
71,42,21195,804,3
77,80,21240,702,3
82,57,21360,90,0
91,56,21480,330,1
102,22,22054,90,3
82,54,22064,90,1
67,77,21840,90,2
64,40,21960,90,0
70,53,22200,90,0
72,51,22644,90,2
82,51,22440,740,2
88,20,22281,90,2
73,49,22680,639,2
70,77,22948,90,2
53,76,22791,263,4
66,47,23160,305,1
72,72,23280,90,2
83,46,23725,90,1
73,82,24120,90,2
71,42,24240,90,0
80,40,24664,342,3
71,20,24178,1004,3
63,4,24720,90,1
48,14,24371,90,3
60,22,24605,90,3
79,45,25479,1048,3
84,45,24929,1081,3
63,45,26324,1030,2
71,25,26067,90,2
78,39,26280,90,0
68,85,26520,375,3
58,40,26640,639,2
57,38,26760,90,0
61,45,27000,90,1
71,43,26881,274,2
77,71,27240,90,2
67,29,31800,90,1
57,51,31920,854,2
67,43,32040,90,1
71,51,32280,289,1
67,48,32400,90,0
56,19,33000,90,3
66,51,32760,90,0
68,51,32880,90,1
68,45,33000,492,2
70,51,33240,90,1
62,48,33196,90,2
63,69,33738,787,3
67,51,33720,90,0
71,51,33840,90,0
84,46,33960,820,2
71,80,34665,90,2
67,47,34320,90,0
64,42,34440,90,0
66,73,34542,90,2
86,48,34800,90,1
83,51,35143,90,1
75,51,35313,470,2
66,46,35280,90,0
59,66,35610,90,2
67,45,35344,90,1
71,45,35760,487,1
62,78,35997,90,3
77,70,36120,90,2
61,43,36356,909,3
57,0,36360,544,3
75,45,36600,90,1
71,45,36720,90,0
69,41,36840,90,1
81,14,37080,90,2
65,42,37200,90,1
63,38,37820,90,1
67,76,37560,90,1
71,45,37280,392,2
64,41,37654,622,3
58,25,38040,420,3
70,79,38160,90,2
64,72,38280,748,2
