note,velocity,position,duration,anomalies
84,90,1440,120,0
75,76,1440,120,0
72,76,1440,120,0
79,84,1800,120,0
75,71,1800,120,0
72,71,1369,864,2
67,71,1800,120,0
67,76,1539,550,2
72,76,1920,120,0
74,76,2006,120,2
79,90,1920,120,0
63,70,2520,120,0
67,70,2520,120,0
75,82,2520,120,0
63,74,2640,120,0
67,74,2640,120,0
75,90,2640,120,0
63,65,3240,120,0
67,65,3240,800,1
72,78,3240,120,0
63,72,3360,792,1
67,72,3360,120,0
72,85,3360,120,0
54,67,3375,210,3
67,67,3600,120,0
71,80,3600,120,0
63,72,3840,120,0
67,72,3840,120,0
72,85,3840,120,0
74,51,6199,120,3
76,76,5326,1060,3
74,76,5760,120,0
80,84,6120,120,0
74,71,6120,120,0
63,71,6388,120,2
68,76,6240,120,0
77,56,5925,356,4
80,66,6579,120,2
65,109,6345,120,2
68,70,6840,120,0
77,82,6840,120,0
65,74,6960,120,0
68,74,6960,120,0
67,112,6960,120,2
59,65,8059,120,2
68,65,7560,120,0
74,78,7560,120,0
62,72,7680,120,0
68,72,7680,120,0
68,85,7680,120,1
61,67,7920,120,0
68,67,7920,120,0
73,80,7920,120,0
62,72,8000,1056,2
68,72,8160,120,0
65,85,8160,699,2
63,45,8880,120,0
67,45,8880,120,0
86,26,8880,1056,3
69,40,9120,538,2
62,41,9180,60,0
63,44,9240,60,0
65,45,9300,60,0
67,47,9360,120,0
65,47,9992,90,1
72,47,9600,90,0
91,57,9600,665,2
84,59,9840,90,0
72,49,9840,90,0
75,49,9616,90,1
74,51,10080,120,0
72,51,10080,120,0
84,60,9737,404,2
65,42,10320,60,0
63,43,10380,60,0
62,45,10440,60,0
60,46,10500,60,0
58,49,10560,120,0
70,54,10988,947,2
74,54,10800,90,0
82,64,10800,90,0
78,41,11523,90,3
74,55,11040,90,0
82,55,11040,90,0
80,57,11280,120,0
72,57,11280,120,0
87,68,11280,120,0
56,47,11520,60,0
58,48,11580,60,0
48,78,11640,60,2
62,19,11700,807,2
63,56,11760,120,0
80,61,12000,90,0
79,61,12000,90,1
84,61,12000,90,0
86,72,12000,90,0
92,96,12240,626,2
80,63,12240,90,0
84,63,12240,90,0
95,27,12480,120,2
80,30,11986,120,2
92,77,12480,120,0
62,51,12720,60,0
72,52,12597,910,3
59,54,13068,622,2
56,56,12900,60,0
55,25,13383,321,3
79,65,13200,90,0
82,65,13200,90,0
85,65,13200,90,0
85,108,13200,90,2
95,105,13259,90,3
84,58,13440,90,2
86,67,13440,90,1
91,67,13440,90,0
92,70,13680,120,0
84,70,13680,120,0
96,83,13680,120,0
59,52,13920,60,0
60,54,13980,60,0
62,56,14040,60,0
64,59,14100,60,0
65,63,14160,120,0
92,72,14400,120,0
89,100,14400,120,1
101,85,14400,120,0
61,50,14640,60,0
63,51,14700,60,0
65,54,14760,60,0
59,55,14503,210,3
68,67,14880,120,0
73,54,15120,60,0
75,55,15180,60,0
77,58,15240,60,0
78,60,15300,285,1
80,71,15360,120,0
85,58,15600,60,0
87,59,15660,60,0
89,62,15720,60,0
90,63,15780,60,0
92,75,15840,120,0
85,77,16200,120,0
89,77,16200,120,0
97,90,16200,120,0
97,86,16320,120,0
89,72,16320,120,0
85,97,16052,884,3
67,78,16560,120,1
85,78,16560,120,0
92,91,16560,120,0
77,69,16920,120,0
80,69,16920,120,0
81,82,16920,120,1
77,69,17040,120,0
80,69,17040,120,0
89,82,17040,120,0
73,68,17640,120,0
77,28,17640,242,2
80,68,17640,120,0
85,81,17640,120,0
73,75,17760,120,0
77,75,17760,120,0
80,109,18072,120,2
85,89,17760,120,0
60,102,18000,120,2
83,70,18247,120,2
80,70,17674,847,2
71,83,18000,120,1
73,75,18240,120,0
77,75,18240,120,0
80,103,18089,528,3
85,89,18240,120,0
77,70,18720,120,0
80,70,18720,120,0
86,70,18720,120,0
89,79,18720,598,1
73,47,19332,120,2
85,87,19080,120,0
86,82,19200,120,0
74,70,19200,120,0
75,43,19440,745,2
78,74,19440,120,0
81,74,19440,120,0
87,88,19440,120,0
71,66,19800,120,0
83,79,19937,202,2
72,66,19920,120,0
84,79,19920,120,0
79,75,20160,120,0
94,49,20160,120,2
91,94,20160,120,0
87,79,21600,120,0
78,66,21600,120,0
75,66,21600,120,0
75,109,21960,1056,3
75,62,21960,120,0
80,62,22230,120,2
72,66,22080,120,0
89,66,22018,120,2
84,79,22080,120,0
69,61,22680,120,0
72,61,22680,120,0
81,72,22680,120,0
69,64,22800,120,0
72,64,22800,120,0
87,51,22339,1001,4
66,99,23471,0,3
91,32,23366,706,4
63,57,23400,60,0
75,68,23400,60,0
56,80,23729,303,4
74,68,23520,60,0
60,85,23640,60,1
72,68,23640,60,0
67,64,23760,120,0
71,64,23760,120,0
79,76,23760,120,0
87,42,25585,228,3
78,66,25200,120,0
75,66,25200,120,0
84,73,25560,120,0
75,62,25560,120,0
72,62,25560,120,0
72,66,25680,120,0
87,66,25680,57,2
84,79,25680,120,0
69,61,26280,120,0
72,61,26280,390,1
68,72,25845,120,2
69,64,26400,120,0
72,26,26323,385,3
72,79,26784,862,3
66,61,26880,60,0
78,72,26880,60,0
63,29,26645,60,2
75,35,27195,130,3
62,57,27120,60,0
74,68,27120,60,0
72,57,27644,60,2
72,68,27240,60,0
67,64,27360,120,0
71,64,27360,120,0
79,76,27360,120,0
62,55,27720,120,0
60,22,27960,227,2
59,58,28200,120,0
57,59,28440,120,0
55,61,28680,120,0
68,62,28920,120,0
66,63,29160,120,0
78,36,29740,657,4
53,66,29547,1080,3
61,68,30216,276,2
80,68,30000,120,0
77,68,30000,120,0
85,68,30000,120,0
89,81,30000,120,0
86,70,30240,120,0
83,70,30240,120,0
79,70,30240,120,0
91,82,30240,120,0
62,61,30600,120,0
60,62,30840,120,0
53,93,31015,120,3
44,103,31478,773,4
55,66,31560,120,0
68,67,31800,120,0
66,70,32040,120,0
65,94,32411,490,3
56,44,32254,43,4
61,74,32760,120,0
80,57,32880,120,0
77,57,32880,120,0
85,57,32880,120,0
89,68,32880,120,0
91,66,33120,720,0
86,66,33120,720,0
83,66,33120,720,0
81,80,32886,720,2
84,67,33840,720,0
91,67,33840,1597,2
92,67,33840,720,0
96,59,33410,928,3
85,72,34494,1705,2
89,72,34560,720,0
92,38,35047,1682,3
97,121,34904,720,2
86,77,35280,720,0
79,106,35342,720,3
92,51,35280,888,2
98,91,35280,720,0
109,86,36000,1082,2
98,86,36000,360,0
96,72,36000,360,0
89,45,36000,722,2
89,72,36360,360,0
102,45,36095,360,3
101,86,36360,1344,2
101,86,36360,360,0
89,72,36720,360,0
96,72,36720,360,0
98,86,36720,360,0
100,86,36454,360,2
89,72,37080,360,0
96,72,37080,360,0
98,86,37080,360,0
102,86,37080,360,1
50,72,37440,120,0
53,72,37440,120,0
59,110,37440,431,2
92,74,37680,54,0
91,36,37417,1021,3
90,72,37787,54,0
89,71,37840,54,0
88,70,37894,53,0
80,69,37947,54,1
