note,velocity,position,duration,anomalies
48,53,1800,899,3
51,60,1920,1093,2
55,77,2760,120,0
49,113,2880,454,3
49,105,3360,120,2
61,89,3937,1109,3
76,84,4574,723,3
91,70,4997,883,3
79,70,4800,120,0
65,49,5039,304,4
46,77,5640,808,1
37,89,5760,1728,2
50,37,6600,120,2
49,44,6618,120,3
60,81,7140,786,2
74,55,8021,1358,4
91,59,8640,120,1
85,43,8640,593,3
84,70,8888,811,3
65,70,8640,120,1
48,77,9480,120,0
49,89,9600,766,2
63,98,10440,444,3
47,72,10560,320,1
61,75,11068,320,1
56,41,11432,794,4
63,126,11520,960,1
95,84,12871,666,3
87,36,12480,504,2
98,108,12480,652,3
80,70,12840,120,1
48,77,13320,533,1
46,112,13265,1704,4
56,70,14280,120,0
60,68,14400,240,0
70,96,14640,708,3
68,36,14880,305,3
65,109,15120,240,1
56,122,15258,1883,4
102,84,16320,1023,2
90,70,16431,120,1
70,99,16405,120,3
67,70,15840,120,2
61,36,17651,273,3
63,36,17440,48,1
65,36,17234,48,1
71,36,17358,195,2
67,61,17760,512,3
78,40,17760,479,2
74,68,17920,910,3
74,37,17781,847,2
72,61,18080,48,2
75,75,18080,905,2
71,41,18240,48,0
77,63,18240,48,1
72,16,18400,48,1
78,37,18296,48,1
74,68,18104,589,3
68,67,18423,48,3
75,42,18510,0,2
81,42,18720,48,0
68,19,18679,630,4
83,68,18880,0,2
79,40,19173,1037,3
84,40,19040,48,0
81,13,19200,48,2
82,6,19269,469,4
82,65,19360,833,3
101,21,19360,48,2
83,45,19520,48,0
89,20,19520,48,1
72,69,19415,526,4
90,46,19757,48,1
86,8,20126,48,2
92,47,19840,48,0
87,48,19627,751,2
101,48,20000,0,2
78,20,20040,48,3
95,51,20160,418,1
104,53,20320,48,1
88,53,20320,48,1
97,33,20562,48,3
97,22,20588,159,3
92,58,20640,36,0
98,58,20640,36,0
93,61,20760,36,0
113,39,20760,672,3
86,62,20880,36,1
100,62,21266,36,1
92,64,20865,249,3
101,64,21154,0,2
96,67,21463,729,3
96,42,21387,474,3
77,10,22800,1204,3
69,16,23040,960,1
72,46,23400,60,1
84,47,23181,407,3
76,15,23633,603,4
72,18,23760,150,1
72,30,23732,270,1
77,25,23901,240,2
69,37,24240,240,0
58,67,24589,471,4
84,78,24951,840,3
64,40,25608,960,1
72,46,26595,60,1
66,47,26460,347,3
68,81,26400,785,2
67,77,26861,431,3
62,53,26850,270,2
72,47,26880,537,1
64,67,27120,240,1
65,4,26958,240,2
65,50,27861,1071,2
71,79,28893,1064,4
67,46,29485,755,2
65,47,29220,60,0
50,72,29704,240,3
65,8,29520,150,1
56,5,29937,540,3
75,41,29387,270,2
70,45,30260,1045,2
64,13,30174,240,3
60,37,30493,240,2
58,36,30660,540,0
67,35,30488,270,2
71,22,30720,580,2
62,9,30960,240,1
50,3,31200,314,3
63,31,31247,682,2
53,37,31890,1061,2
56,63,31936,1279,3
63,61,31680,240,1
59,31,32124,240,1
72,75,32160,240,2
64,31,32511,240,2
63,39,32640,982,1
61,69,32960,1132,2
63,33,33280,320,0
62,35,33113,166,2
55,28,33840,327,2
62,28,33900,60,0
61,28,33960,872,1
62,28,34020,60,0
58,67,34080,725,2
62,11,34300,330,2
77,7,34140,300,2
66,57,34440,880,3
73,7,34440,769,3
44,60,38226,120,2
63,38,38170,840,2
67,36,39484,750,3
81,57,39360,330,2
69,66,39840,608,1
70,71,40029,1029,2
78,93,41280,735,3
67,21,41760,360,1
81,63,41760,360,1
79,46,42615,60,2
66,59,42120,60,1
67,47,41712,60,1
70,94,42180,367,2
65,94,42240,240,1
69,69,42389,240,2
79,28,42960,240,2
64,50,42960,240,0
75,104,42886,60,3
56,51,42751,60,2
67,50,43969,60,1
70,64,43995,60,1
67,68,44281,960,1
63,54,44160,1572,1
58,30,45280,160,1
62,50,44977,274,3
52,30,45600,870,3
61,55,45942,160,1
66,96,45920,333,3
53,105,46080,840,2
70,27,46920,120,2
55,28,47040,970,3
69,66,47520,60,0
69,86,47669,470,3
70,44,47493,40,1
72,16,47960,628,2
70,16,48000,48,1
72,49,47563,48,1
78,78,48039,1025,4
80,47,47828,619,3
70,50,48192,48,0
72,69,48240,460,2
70,50,48288,837,1
58,47,48336,206,2
70,50,48064,636,2
72,6,48882,48,2
71,50,48480,728,2
69,46,48528,603,2
70,50,48299,807,2
78,5,48624,48,2
70,23,49133,48,2
61,22,48549,0,4
70,53,48780,519,1
69,27,48840,60,1
70,90,48900,0,2
79,68,48960,591,1
75,25,48960,60,1
73,23,49872,120,3
66,36,49258,1093,4
65,46,49940,325,2
68,59,49800,60,0
67,47,49860,60,0
70,34,49860,920,2
65,54,50057,1039,2
68,69,49512,240,1
64,90,50640,240,1
67,86,51132,793,3
68,94,50880,1036,2
68,14,50880,60,2
