note,velocity,position,duration,anomalies
59,19,480,589,2
73,40,805,884,3
72,65,411,946,4
71,40,840,120,0
71,82,1373,516,3
81,40,1825,120,2
80,40,1680,120,0
80,73,1800,666,3
59,45,1920,582,1
71,64,2040,977,3
62,40,2160,120,1
76,40,2280,410,1
80,47,2400,300,1
83,41,2161,120,1
88,14,2640,241,2
103,45,2760,408,2
87,47,2880,240,1
63,38,3360,240,0
59,0,2993,240,2
53,62,3360,989,3
54,34,3840,240,1
66,72,3981,240,3
65,10,4040,240,3
79,29,4984,480,3
59,43,4800,480,0
64,23,5089,893,3
61,47,5338,1326,3
51,74,5927,110,3
64,42,5760,1405,1
71,71,5760,506,2
69,3,6000,1450,2
68,40,6969,794,2
80,43,6720,1176,2
58,36,6720,1265,1
64,1,6960,674,2
63,10,7200,216,1
63,40,7795,809,3
68,12,7453,480,2
59,0,7734,1104,3
66,38,7869,1132,2
57,60,9086,480,2
55,50,8640,480,1
70,50,8450,480,2
54,71,9120,360,1
61,24,9120,740,2
59,24,9480,120,1
65,84,9223,120,2
70,30,8994,120,3
43,78,9600,1102,3
66,21,9600,720,1
82,68,9600,1365,2
66,42,10255,376,2
49,45,10242,485,3
57,38,10637,1722,2
73,11,10389,696,4
68,22,11040,1360,2
66,41,11707,120,1
64,14,11520,748,2
56,34,11520,480,0
68,51,12297,480,1
59,43,12480,480,0
64,43,12480,480,0
66,47,12960,360,0
67,78,13687,110,3
73,50,13496,1440,2
83,91,13440,1654,3
75,55,14160,216,0
73,58,14400,216,0
71,55,14230,841,2
79,21,14880,960,2
69,77,14564,806,3
68,95,15120,160,2
69,62,15360,480,1
71,38,15840,1196,2
80,48,16429,480,2
50,40,16320,480,1
62,65,15931,480,3
70,56,16708,1292,3
47,80,16453,360,3
62,44,17160,120,1
69,44,17436,120,2
72,53,17160,120,1
57,45,17280,720,0
64,80,17280,1490,3
56,34,17205,720,3
70,64,17660,1112,4
61,45,18240,240,0
57,5,18240,960,1
65,59,18480,796,3
56,45,18720,360,1
71,21,19080,120,2
61,19,18708,720,3
64,69,18965,720,3
59,60,20160,480,0
68,85,20160,480,2
54,31,20220,987,3
54,71,20640,360,1
65,56,20586,1261,3
60,56,21000,120,0
63,67,20752,424,2
64,73,21120,720,0
70,62,21008,720,2
56,62,21120,720,0
78,83,21896,216,3
78,52,22265,216,2
61,13,21840,216,1
66,59,22080,216,0
64,91,22080,216,1
47,59,22397,216,2
70,44,22320,216,1
64,54,22320,216,0
55,54,22320,853,2
73,73,22560,1169,1
67,62,22560,342,1
61,62,22560,342,0
62,55,22920,108,1
58,55,22920,904,2
85,43,22920,1105,3
61,60,23297,644,2
71,43,22644,480,2
64,60,23207,715,2
78,68,23137,1066,3
71,79,24000,480,0
74,79,23926,834,3
68,45,24000,1342,2
70,88,24020,360,2
75,77,24480,360,0
57,65,23983,360,2
76,42,25008,993,4
64,73,25152,343,3
63,65,24960,480,0
66,36,24960,480,1
71,117,25454,1262,3
56,89,25440,360,2
68,34,25440,988,3
69,52,25440,1051,2
59,44,25800,439,1
63,23,25800,120,1
68,52,25800,120,0
58,58,26017,994,2
73,58,25634,240,2
66,34,26071,240,2
54,48,26605,1217,3
63,57,26648,952,3
69,77,26400,1093,3
64,56,26400,321,1
67,89,26400,634,3
51,56,26951,1194,3
53,25,26555,240,3
71,18,27218,802,4
61,64,27320,448,3
58,39,27120,626,2
59,0,26753,240,2
66,78,27495,974,3
61,39,27265,922,2
70,67,27850,240,3
69,39,27703,419,3
56,8,27828,216,2
74,47,27600,216,1
54,79,27840,480,1
48,62,27925,876,4
76,71,27980,588,4
77,76,28080,216,2
47,60,27971,1056,4
58,17,28320,480,1
50,77,27933,763,4
50,42,28680,120,1
54,43,28800,216,0
67,49,28931,216,2
63,75,29337,793,3
50,39,29040,240,1
76,47,29040,785,2
62,39,29280,1098,2
47,39,29280,240,1
56,39,29593,891,3
56,71,29520,695,2
74,47,29780,216,2
44,39,30247,480,2
59,39,30183,954,2
57,51,29882,1078,3
67,47,30000,216,1
54,39,30240,1249,1
58,62,30590,480,2
71,23,30240,940,3
61,42,30600,120,0
59,49,30455,216,1
62,55,30960,1153,2
55,46,30960,240,1
66,46,31079,240,1
