note,velocity,position,duration,anomalies
68,62,647,830,2
73,62,960,480,0
86,34,1012,960,3
68,65,1441,960,0
67,58,2400,480,0
62,25,2642,651,4
68,54,2880,90,0
75,54,2880,90,0
65,53,3840,90,0
73,53,3840,90,0
68,53,4320,90,0
72,53,4320,90,0
67,52,5280,90,0
70,52,5280,90,0
68,51,5760,90,0
76,65,6720,670,2
78,65,6720,480,0
85,65,6943,1322,3
77,65,7200,960,0
72,61,8439,537,2
75,85,8160,480,1
73,56,8640,90,0
80,56,8640,90,0
70,55,9600,90,0
85,22,9600,90,2
73,55,10080,90,0
77,55,10026,162,2
72,53,11040,90,0
75,53,11040,90,0
73,50,11520,90,0
61,65,12480,960,0
86,65,12792,1590,3
60,65,13440,480,0
71,26,13232,480,3
58,65,13920,480,0
70,65,13920,960,0
63,65,14400,480,0
75,65,14880,120,0
73,62,15360,960,0
65,62,15360,480,0
68,62,15840,480,0
72,62,16320,480,0
67,58,16800,480,0
81,20,16667,1795,4
68,56,17760,240,0
66,66,18240,960,0
78,66,18604,1124,2
65,65,19200,480,0
77,65,19200,480,0
63,65,19680,480,0
75,65,19680,960,0
68,73,20160,480,0
80,73,20640,120,0
70,62,20709,480,1
78,62,21120,960,0
73,62,21600,480,0
77,62,22080,480,0
75,62,22560,960,0
72,62,22560,480,0
73,59,23520,240,0
73,53,24000,480,0
65,53,24000,480,0
73,58,24480,960,0
65,58,24877,1263,2
65,57,25440,480,0
69,92,25216,1459,4
63,34,25565,960,2
73,57,25920,480,0
72,58,26400,240,0
63,58,26880,480,0
71,58,26880,480,0
63,58,27360,960,0
61,58,27112,960,2
63,56,28320,480,0
71,56,28320,480,0
63,56,28800,960,0
71,56,28800,480,0
70,56,29280,240,0
61,65,29760,480,0
70,65,30043,480,1
66,75,30240,960,0
60,96,30240,1509,3
65,78,31200,480,0
73,78,31200,480,0
66,90,31680,960,0
75,90,31680,960,0
63,77,32640,960,0
66,77,32640,960,0
61,65,33600,480,0
65,65,33600,1296,1
70,65,34080,240,0
58,65,34080,480,0
66,65,34320,240,0
53,71,34560,480,1
65,71,34645,930,2
60,65,35040,240,0
63,65,35040,240,0
61,65,35520,480,0
73,65,35520,480,0
60,66,36000,960,0
72,66,36404,1201,2
70,61,36960,480,0
58,61,36960,480,0
63,59,37440,90,0
75,59,37440,90,0
65,64,38400,480,0
86,98,38400,960,2
68,64,38880,480,0
72,64,39064,480,1
67,60,39840,480,0
70,60,39840,960,0
68,60,40800,240,0
66,64,41280,480,0
78,64,41280,480,0
65,65,41760,960,0
77,65,41760,960,0
63,64,42720,480,0
75,64,42720,480,0
82,62,42976,90,2
80,62,43200,90,0
66,64,44160,960,0
78,29,43897,1118,3
65,64,45120,480,0
77,41,45187,1010,3
76,87,45600,240,2
75,64,45600,240,0
68,65,46080,90,0
80,65,46080,90,0
66,74,47040,960,0
85,74,47349,1518,3
53,60,48000,480,2
77,117,48000,766,2
70,97,48174,960,1
82,97,48480,960,0
68,77,49440,480,0
80,77,49440,480,0
46,64,50179,1440,2
60,64,50400,960,0
49,36,51425,240,3
61,61,51600,240,0
45,54,51482,425,3
61,58,51840,480,0
73,30,52800,480,1
72,64,52559,480,2
73,95,53672,1064,3
65,64,53280,960,0
65,36,54240,480,1
73,64,54240,480,0
63,64,54720,960,0
73,64,54720,480,0
72,64,55200,240,0
63,29,55628,480,2
71,61,55680,480,0
63,61,56160,960,0
75,61,56160,960,1
63,23,57120,1384,2
71,58,57245,989,2
74,98,57600,1418,3
71,58,57600,759,1
70,58,58080,240,0
61,64,58560,480,0
70,64,58560,480,0
66,74,59040,960,0
86,46,59152,1866,4
65,77,60000,480,0
73,77,60000,480,0
