note,velocity,position,duration,anomalies
70,59,1,1045,3
69,124,480,500,2
71,89,960,400,2
72,91,1440,476,1
77,81,1844,520,2
75,86,1920,746,2
75,55,2271,312,4
77,117,2156,1116,3
86,109,3009,1004,4
70,86,3031,1177,2
72,115,3895,500,2
67,112,4131,500,2
65,81,5106,450,1
58,69,5408,480,1
58,82,5280,480,1
62,69,5280,480,0
60,68,5760,480,0
71,38,5760,771,3
74,111,6014,480,3
65,68,6240,480,1
58,68,6240,480,0
70,80,6459,480,1
60,40,6720,480,1
72,82,6720,240,0
83,69,6720,480,1
77,78,6960,1238,1
63,68,7200,669,2
74,81,7200,776,1
51,30,7200,480,2
60,68,7680,722,1
83,68,7680,860,2
72,101,7680,240,1
77,48,7920,240,1
70,37,8160,450,1
51,49,8160,623,3
74,84,8160,450,0
67,66,8640,480,0
62,42,8640,1134,2
63,98,8640,1421,3
71,33,9120,705,3
65,65,8841,915,3
72,77,9185,480,1
60,59,9338,480,1
67,90,9659,1199,3
55,87,9852,599,3
71,100,10423,1245,4
57,95,10138,1264,3
60,56,9830,612,2
65,92,10560,500,0
67,122,11040,500,1
76,114,11437,1491,4
65,86,12000,984,1
69,74,12630,528,3
60,49,12555,500,2
67,85,12960,627,1
69,77,13200,260,0
65,83,13440,658,1
77,84,14153,1247,2
65,51,13920,948,2
75,49,14856,480,3
69,82,14792,480,2
65,68,15347,480,1
72,47,14880,240,1
70,74,15120,240,0
65,79,15360,450,0
61,52,15840,910,3
78,88,16320,500,1
62,85,16377,500,1
65,54,17280,773,2
67,114,17744,260,2
52,85,17760,1243,2
70,92,18240,260,0
72,39,18428,931,3
68,78,18720,450,0
66,55,19537,839,4
68,95,18782,480,2
62,103,19467,480,3
86,80,19680,480,1
75,78,20344,384,2
54,29,19705,480,3
73,112,20400,156,2
68,104,20640,450,1
70,48,20750,480,2
56,8,21120,480,1
64,70,20821,1818,4
71,19,21913,480,3
58,41,21600,480,0
56,41,22080,480,0
77,49,22080,480,1
74,72,22162,720,3
59,41,22699,880,3
75,76,22207,1157,4
60,41,22800,751,1
62,76,22457,240,3
75,53,23040,240,0
49,25,23040,240,2
70,14,22966,240,2
58,76,23280,528,2
61,85,23520,672,3
56,12,23520,1370,2
73,73,24000,240,0
64,37,24000,416,3
65,84,24000,240,1
65,62,24000,806,2
72,58,24240,240,0
75,69,24240,240,0
71,58,24057,527,3
63,58,24147,240,1
76,62,24480,551,2
77,73,24357,524,2
83,62,24480,374,2
68,99,24222,240,2
72,75,25215,240,2
61,61,24960,362,2
75,61,25221,240,1
66,61,24960,240,0
88,72,24960,671,2
68,57,24924,1240,2
72,26,24967,612,4
73,25,25687,240,2
85,92,25347,901,4
68,63,25198,240,2
75,114,25682,240,2
68,23,25440,240,1
68,96,25681,240,3
78,69,25680,240,0
66,58,25680,240,0
70,26,26360,240,2
78,69,25920,240,1
73,58,25920,240,0
61,36,26376,240,3
72,57,26160,240,1
73,108,25885,373,3
63,32,26400,960,3
75,64,26870,450,1
83,54,26400,751,2
63,22,26146,450,2
69,21,27244,1939,4
68,80,26880,480,1
47,43,26880,480,1
70,51,27360,480,0
58,43,27360,480,0
56,73,28134,480,2
68,83,27840,480,1
69,11,28320,240,2
69,24,28320,480,2
62,53,27872,240,2
72,55,28560,240,0
60,80,28842,240,2
63,74,29104,240,2
77,96,28486,500,4
58,49,29040,326,1
70,59,29040,240,0
60,74,29072,480,2
72,100,29693,592,3
74,52,29280,1440,1
62,54,30149,404,2
74,84,29348,480,2
60,53,30438,1078,2
72,29,30240,1321,2
62,52,30720,240,0
67,52,30720,480,0
71,62,30720,651,2
77,62,30960,240,0
65,24,30960,240,1
69,91,31200,240,2
67,54,31200,960,0
62,53,31597,634,2
74,83,31184,504,3
86,61,31581,1223,3
60,51,31680,732,1
72,102,32026,828,3
65,67,32160,240,0
55,95,32160,240,2
84,101,31973,725,4
72,61,32400,240,0
79,72,32400,320,1
89,30,32618,673,4
79,61,32400,240,1
69,36,32640,240,1
81,82,32640,240,0
72,40,32936,240,2
77,32,32640,1135,2
72,30,32743,585,3
84,94,33355,1102,3
74,68,33120,240,0
65,32,32842,979,4
72,68,33120,951,2
91,114,33120,240,2
68,31,33360,240,2
81,75,33360,240,0
86,92,33360,240,2
77,31,33484,240,2
