note,velocity,position,duration,anomalies
69,60,0,480,0
80,73,0,480,1
66,60,0,866,2
79,43,1015,132,2
78,55,1080,132,0
72,78,1200,132,2
72,87,1320,347,3
89,65,1440,498,2
79,55,1393,511,2
78,55,1680,132,0
70,76,2212,132,3
81,27,2342,480,2
81,50,2880,60,0
83,45,3586,60,1
85,45,3360,60,0
86,45,3600,60,0
69,54,3840,647,2
78,45,4154,480,1
81,50,4800,120,0
79,44,4920,120,0
78,72,5373,686,3
79,44,5160,120,0
81,49,5280,60,0
79,46,5520,60,0
75,28,5959,987,4
78,45,6182,810,2
79,66,6514,1127,2
74,35,7269,601,4
90,54,6960,132,1
78,54,7080,132,0
81,65,7200,944,1
79,55,7320,132,0
78,55,7440,132,0
71,55,7997,132,2
81,62,7680,480,0
81,50,8640,60,0
90,71,8613,60,3
86,9,9120,517,3
86,45,9848,196,2
72,54,9600,480,1
78,45,10080,480,0
81,50,10560,120,0
79,44,10680,596,1
78,44,10800,120,0
76,75,10920,890,3
83,71,10662,120,3
79,44,11160,120,0
78,44,11280,120,0
76,12,11400,120,1
81,23,11520,120,2
82,80,12000,504,3
78,47,12356,359,2
79,43,13037,828,2
78,79,12387,1028,3
79,7,12720,997,2
88,48,12885,88,2
66,76,13097,889,4
78,48,12959,88,0
79,5,13039,88,1
78,44,13119,88,0
76,48,13200,270,1
71,71,13581,132,3
73,50,13440,120,0
69,42,13920,120,0
87,50,14400,120,1
76,50,15360,120,0
76,42,16121,120,2
79,47,16320,88,0
81,43,16400,88,0
66,48,16480,851,2
81,43,16560,88,0
79,48,16895,88,1
67,12,16719,613,3
79,48,16799,88,0
84,44,16879,88,1
79,44,16959,88,0
78,48,17040,258,1
76,44,17616,132,1
74,50,17280,120,0
69,42,17760,120,0
83,10,18240,368,3
65,54,19200,120,1
66,18,19416,132,3
74,79,19292,68,4
78,49,19560,132,0
79,50,19680,132,0
88,51,19725,132,2
83,26,19920,844,2
75,53,20256,132,2
88,85,20160,738,3
88,56,20280,132,1
83,90,20400,132,1
81,56,20520,132,0
79,20,20511,792,3
78,55,20760,132,0
87,50,20769,237,3
66,49,21000,1124,2
76,51,21120,132,0
65,17,21240,132,2
76,45,21360,132,0
86,43,21480,132,1
77,5,21600,132,2
78,47,22052,670,2
79,49,21840,132,0
81,51,22225,132,1
82,28,22308,132,3
86,54,21729,132,2
76,78,22583,132,3
74,51,22201,132,2
83,77,22560,347,3
74,25,22680,132,1
73,46,22800,132,0
71,44,22920,132,0
77,50,22785,406,3
74,42,23160,1012,1
73,42,23280,502,1
55,77,23400,422,3
74,27,23093,901,3
79,55,24000,132,0
81,46,24120,132,0
79,12,24105,132,2
76,19,24360,1128,2
89,79,24480,1120,3
78,47,24600,132,0
90,68,24720,661,3
74,48,24840,132,0
73,83,24960,132,1
75,44,25164,132,2
60,23,25200,132,2
70,44,25642,132,2
79,91,25440,120,2
79,35,25542,722,3
81,85,26040,132,1
79,54,26043,132,1
87,56,26280,132,1
79,69,26400,132,0
78,33,26520,132,1
65,78,26640,132,2
74,59,26760,132,0
70,79,26571,120,2
76,63,27000,120,0
71,63,27120,180,2
69,63,27240,120,0
78,74,27360,120,0
79,64,27480,638,2
78,64,27600,120,0
74,64,27386,120,1
73,77,27840,120,0
76,64,27960,120,0
73,64,28080,120,0
69,64,28614,120,1
69,44,28008,813,4
69,31,28440,979,3
78,86,28502,120,2
74,64,28680,120,0
83,34,28436,90,3
76,52,29190,90,2
81,114,29040,90,1
73,60,29040,90,0
76,93,29040,415,2
71,60,29280,90,1
73,91,29489,836,3
81,36,29362,922,3
77,26,29692,90,3
73,39,29520,90,1
81,74,29165,90,1
70,60,29760,420,1
81,74,29760,420,0
76,88,29606,420,2
74,41,30180,917,1
70,42,29948,1028,3
78,40,30531,120,2
77,1,30011,120,3
74,40,30547,120,1
75,45,30720,240,0
76,42,30960,240,0
76,40,31440,240,0
81,75,31974,240,2
74,2,31920,240,2
71,44,32160,240,1
76,42,32270,240,1
73,48,32421,1180,2
74,42,32880,240,0
74,40,33360,240,0
76,45,33600,240,0
74,42,33840,240,0
69,45,34269,920,3
62,20,34320,240,2
82,79,34670,240,3
69,44,34800,240,0
71,45,35180,1219,2
72,20,35188,240,2
81,13,35760,240,2
76,42,36180,60,0
74,47,36240,240,0
59,51,36480,720,1
74,72,37691,447,3
73,42,37320,120,0
71,47,37440,240,0
73,42,37680,120,0
74,44,37920,120,0
75,47,38160,120,0
