note,velocity,position,duration,anomalies
42,79,0,1459,3
55,54,0,1987,2
54,71,0,1320,3
53,8,1320,120,2
60,10,1018,480,3
55,63,1926,360,2
45,42,1736,360,2
54,86,1440,428,3
55,39,1800,361,1
46,80,2017,108,3
63,84,1956,897,3
44,42,1920,960,1
60,15,1920,1617,2
64,73,1611,1022,4
59,0,2880,480,1
53,13,3043,480,3
61,51,3978,1320,3
62,66,3840,1320,1
65,104,4259,1717,2
62,81,5160,108,1
59,19,5479,108,2
54,50,5160,108,1
59,44,4910,1265,2
62,44,5429,1087,2
67,53,5280,360,0
62,49,5640,934,1
68,74,6039,377,3
58,41,5640,108,1
56,16,5973,1787,4
59,14,5760,960,1
62,53,5523,960,1
60,31,6428,1081,2
71,38,7002,480,2
52,61,6720,1195,3
64,88,7202,1320,2
69,88,7219,1814,2
69,102,7680,2119,2
57,49,9000,108,1
52,84,9000,1108,3
72,34,9393,525,3
66,54,9120,360,0
69,54,9120,862,1
60,64,9120,653,2
59,45,9480,108,2
66,67,9480,108,1
66,57,9153,960,2
61,74,9423,1165,3
66,27,9283,1576,3
69,62,9944,1698,2
62,35,10560,120,0
65,2,10560,230,3
67,35,10376,120,1
75,51,11091,421,3
73,87,10489,387,4
72,39,10920,277,2
74,56,11378,360,2
69,17,11040,360,1
74,67,11040,360,0
69,70,11400,108,0
78,70,11754,338,3
60,59,11400,953,2
81,55,11520,960,2
66,65,11520,1865,1
69,102,11520,1917,2
67,47,12480,480,0
78,55,12480,930,2
67,53,12960,1296,1
81,21,12960,1357,3
85,63,12598,1418,3
73,58,13633,240,2
60,80,13824,240,3
66,70,13855,461,3
84,119,13920,701,3
79,90,14520,492,2
76,25,14757,980,4
82,87,15021,722,3
80,67,14700,723,1
65,67,14760,1050,2
77,67,15107,314,2
76,39,14734,971,4
78,89,14940,60,2
62,43,15000,255,3
84,67,15060,535,2
80,93,15120,27,2
67,39,14817,991,3
65,30,15174,27,1
56,96,14988,368,4
62,58,15228,27,0
79,57,14907,27,2
75,95,14965,27,3
72,27,15309,932,3
58,53,14892,528,3
58,15,15360,1079,3
71,21,15840,1471,3
75,55,16115,840,1
65,25,16680,676,3
75,55,16277,120,1
68,48,17173,360,2
78,82,16964,360,3
53,49,16829,114,2
83,59,17350,862,3
67,16,17409,480,2
79,59,17599,1362,2
58,68,17760,240,2
77,50,17760,240,0
65,90,17808,120,1
42,81,17921,360,2
59,81,18240,1144,2
59,81,18240,360,0
54,96,18240,360,1
62,110,18161,114,3
55,49,18384,389,4
47,74,18600,114,1
65,89,18600,114,0
56,79,18720,360,1
56,79,18720,1068,1
73,79,18720,1060,2
65,93,18720,1118,1
66,79,19080,114,1
68,56,19080,114,2
49,116,19080,845,3
65,93,19080,114,0
56,79,19200,480,1
51,110,19348,480,3
62,42,19200,480,1
65,118,19602,1480,3
65,46,19680,840,0
77,55,19680,840,0
65,24,20520,207,2
79,84,20644,193,4
57,9,20942,805,4
71,57,20640,360,1
68,12,21330,114,2
80,79,20719,931,3
55,49,21120,997,2
80,59,21120,480,0
58,15,21546,240,3
79,93,21600,240,1
69,105,21960,952,3
61,75,21643,410,2
75,37,21960,641,3
53,90,21868,553,3
49,81,22489,1032,3
65,81,22080,360,1
62,119,22080,589,3
82,96,22378,360,2
52,48,22196,996,4
55,74,22440,1076,2
63,52,22440,114,1
69,89,22440,114,0
58,110,22560,360,1
61,79,22310,360,1
77,114,22240,446,4
70,93,22560,360,0
58,79,22920,34,1
57,79,22920,114,1
72,107,22920,114,2
70,127,22920,114,1
57,41,23097,1397,3
76,79,23040,480,1
57,106,22905,646,4
63,93,23040,480,1
69,10,23738,1473,3
81,76,23466,840,2
80,24,24632,120,3
81,55,24360,120,0
79,48,24949,569,3
81,18,24480,1235,3
72,49,24840,337,1
83,59,24840,812,2
72,69,24960,480,1
84,59,25316,1337,2
71,78,25440,240,1
83,87,25246,240,2
63,97,26107,360,3
91,104,26453,825,4
75,62,26760,184,2
84,44,26647,120,2
72,43,26539,480,3
96,109,26880,480,2
74,85,27113,480,1
81,85,27360,480,1
78,90,28320,1159,2
98,91,28010,465,3
75,80,29092,786,2
96,49,28680,174,3
75,108,28348,754,4
88,88,28800,480,0
74,88,29280,1152,2
95,66,28830,950,3
64,96,30403,535,3
79,59,30240,470,2
77,96,30720,1572,1
84,61,30720,800,3
81,90,31320,726,3
90,62,31380,60,1
89,28,31440,60,1
74,38,31500,60,2
79,62,31560,60,1
84,62,31206,60,1
83,62,31847,120,1
83,52,31920,120,0
77,39,32160,182,1
78,47,32505,830,3
77,40,32400,120,0
75,48,32400,566,2
72,40,32640,872,2
84,13,32310,480,2
84,104,34560,600,1
83,26,35515,60,2
84,63,35220,60,0
86,36,35280,40,1
96,65,35750,360,3
75,64,35360,40,1
69,63,35751,40,2
71,61,35440,40,1
94,60,35027,97,3
80,25,35520,120,1
80,49,35760,120,0
80,47,36000,120,0
94,48,36240,120,1
84,17,36480,1089,3
93,65,36658,558,3
86,52,36735,1032,2
90,89,37040,575,3
84,52,37190,40,1
80,52,37120,40,1
89,53,37160,398,2
88,76,37200,169,3
80,53,37513,34,1
79,53,37268,988,1
78,54,37065,34,1
66,84,37161,34,3
76,54,37370,34,0
75,90,37515,36,2
81,91,37386,60,3
64,55,37824,374,3
72,21,37560,301,2
71,91,37550,60,2
70,56,37680,60,0
61,19,37643,60,3
58,57,37975,60,2
67,57,37569,480,2
68,57,38055,784,3
65,90,37685,224,3
64,57,38040,157,1
63,57,38100,60,0
72,82,38160,60,2
57,42,38141,60,3
60,68,37855,60,1
65,53,38685,60,3
57,82,38255,757,3
64,68,39186,120,2
60,50,39324,974,2
58,52,39600,643,1
64,52,39542,894,2
55,54,40226,90,2
70,82,39840,90,2
64,56,40080,90,0
67,56,40080,90,0
78,57,40137,838,3
55,94,40171,602,4
62,59,40560,90,0
71,39,40560,90,1
53,83,40954,314,4
72,39,40800,519,2
64,85,41040,964,2
72,87,41040,480,1
79,51,41520,90,1
71,51,41520,90,1
80,80,41760,90,2
77,53,41760,90,0
79,55,42000,90,1
86,55,41878,549,3
74,57,42240,90,1
70,57,42240,90,1
66,31,42116,371,4
78,59,42234,586,3
72,19,42720,480,1
79,61,42720,480,0
75,84,42720,423,2
84,37,42884,480,2
63,22,42980,480,3
71,92,43200,1134,2
89,63,43200,382,2
79,63,43581,480,1
80,56,43305,678,3
72,56,43680,480,0
85,67,43680,669,2
65,20,43830,949,3
58,99,43789,480,3
63,94,44435,652,4
63,62,45031,1440,1
67,74,44640,480,0
72,114,44640,1700,2
76,74,45120,480,1
64,77,45600,480,1
49,89,46080,1270,3
65,62,45883,1228,2
69,74,45892,480,2
60,107,46349,90,2
64,67,46560,90,1
72,111,46560,1065,2
62,88,46867,480,3
52,52,47428,90,2
72,92,47074,384,4
69,54,47520,625,2
65,94,47520,921,2
64,55,47760,90,0
79,55,47760,90,1
65,84,48172,921,3
76,85,47687,90,3
62,59,48240,90,0
71,59,48240,90,0
63,86,48190,90,2
81,61,48480,617,2
51,89,48634,393,4
65,55,48468,965,3
76,51,49400,977,3
76,51,49122,989,2
62,79,49440,141,3
68,25,49696,90,3
76,55,49680,90,0
79,55,49680,90,0
80,78,49677,90,3
86,57,49920,90,1
74,82,50160,1075,2
79,96,49740,735,4
72,51,50400,744,1
79,61,50400,480,0
86,88,50013,480,3
79,82,50400,480,2
59,20,50880,962,3
60,20,50794,1021,4
66,63,51081,480,2
84,94,51204,981,4
71,56,51222,480,2
59,56,51125,1459,3
75,106,51360,480,1
65,27,51840,480,1
68,82,51584,480,2
74,71,51840,1020,1
63,32,52320,1920,1
67,106,51838,1124,3
76,95,52241,1920,3
66,108,52800,480,1
71,77,53280,1180,2
68,55,54240,240,1
81,55,54576,240,2
59,55,54240,240,1
67,80,54720,720,0
79,80,54720,936,1
71,42,55801,1389,4
65,50,55313,600,3
68,70,56280,120,1
74,69,56251,120,1
58,106,56520,770,3
67,68,56640,455,1
68,67,56497,120,2
55,66,57101,237,3
59,65,56726,899,2
60,65,57240,588,2
63,98,57615,120,2
60,65,57360,181,1
44,65,57480,805,2
51,64,57373,1058,3
60,64,57523,120,1
56,63,58109,120,1
54,65,57960,120,0
46,35,58080,240,2
67,80,58560,1572,1
91,80,58560,1033,2
79,117,59765,697,4
69,80,59267,600,2
72,96,59751,120,3
74,71,60240,120,0
74,101,60360,201,3
56,98,60480,898,3
75,68,60600,120,1
62,67,60720,273,1
59,66,60840,842,1
67,65,60624,120,2
75,31,60825,38,4
60,99,61200,120,1
55,97,61509,120,2
59,66,61440,287,2
54,64,61560,120,1
56,62,62067,120,1
54,60,61800,120,0
55,67,61984,1185,2
66,67,62160,90,0
77,39,62400,90,2
56,34,62640,90,2
75,71,62640,90,1
69,43,62880,1045,3
85,73,62880,210,2
80,55,62952,90,3
78,75,63120,90,0
71,108,63213,90,2
82,43,63360,90,2
84,115,63600,1075,2
78,79,63274,18,2
79,81,63495,660,3
77,81,63840,35,2
58,81,64800,1903,1
61,81,64800,1869,1
56,54,64332,2143,4
60,30,65991,240,2
73,31,66000,467,2
73,108,66317,254,4
73,71,66146,90,1
87,71,66480,90,1
82,107,66418,771,4
90,73,67184,90,2
79,54,67176,90,2
85,75,67104,668,2
88,77,67025,90,2
72,77,67654,90,2
85,115,67440,90,1
75,79,67440,90,1
84,115,67680,767,2
80,58,67924,704,3
58,116,68640,960,2
63,81,68640,960,0
66,52,68541,960,2
56,67,69809,240,2
66,44,69600,240,2
69,62,70161,967,2
75,42,69622,90,2
66,65,70435,90,2
74,69,70080,90,0
81,36,70320,590,3
81,48,70548,973,3
74,73,70785,90,1
82,73,70560,878,1
83,75,70606,90,2
87,75,71265,1034,2
72,97,71040,29,3
79,50,71360,90,3
87,79,71713,807,2
82,79,71718,508,3
81,81,71635,905,3
85,81,71520,220,2
79,49,72233,1013,4
81,52,71880,480,2
83,45,72480,240,2
82,42,72480,1139,2
71,81,72960,753,2
78,48,72960,480,2
58,81,73440,1015,2
74,81,73725,240,1
63,54,73783,480,2
69,81,73920,480,0
62,81,74400,322,1
70,81,74400,506,1
45,60,74880,1164,3
57,113,74880,480,2
58,81,75774,534,2
59,42,75360,1055,3
57,26,75600,240,1
58,96,75892,1028,3
69,56,76080,338,2
58,30,76495,240,2
65,21,76560,1223,3
58,84,77157,174,3
44,51,77040,240,1
32,80,77520,120,2
52,80,77344,868,4
48,61,77846,321,3
53,64,78240,67,2
80,62,78480,120,1
75,64,78720,120,0
63,66,78960,120,1
65,65,79447,689,3
78,102,79200,720,1
79,98,79920,1114,3
70,36,79632,60,2
78,51,79728,1421,3
75,58,81177,240,1
74,91,81120,185,2
33,80,81796,120,3
53,36,81510,120,2
54,103,81840,120,1
70,100,81621,120,3
73,59,82714,715,3
91,34,82468,240,3
78,65,82800,506,1
78,97,83040,60,1
80,60,82706,60,1
84,67,83160,35,2
77,60,83739,431,2
65,89,83914,1009,4
78,60,83580,60,0
77,98,83907,120,2
75,23,83760,240,1
88,60,83519,365,3
77,60,84060,60,0
75,96,84120,120,1
82,26,84347,569,4
76,86,84652,642,4
63,80,84720,120,2
73,92,84960,240,2
46,23,85325,120,2
51,58,85440,1086,1
53,61,85680,120,0
58,95,85920,120,2
70,62,86160,120,0
75,64,86577,320,2
77,66,86252,120,1
70,65,86720,348,2
72,75,86880,720,1
75,99,87600,240,1
70,60,87724,599,2
92,71,87840,627,2
82,58,88560,371,2
72,60,88800,345,1
44,57,89040,197,1
51,60,89280,120,0
53,63,89520,120,0
54,94,89760,1022,2
68,96,90189,240,2
79,89,90133,240,3
77,65,90480,1045,1
77,60,90720,60,0
78,60,90780,60,0
89,67,90434,587,3
75,60,91400,949,2
88,39,90812,60,3
73,22,91260,60,2
75,67,91320,337,1
73,94,91667,240,2
73,60,91680,394,1
75,60,91740,760,1
83,66,91800,120,1
72,26,91920,1214,2
70,26,92160,300,2
72,60,92400,64,1
73,98,92807,918,3
44,55,92599,609,2
49,58,92681,120,1
51,24,93360,706,2
54,100,93914,120,3
68,94,93840,1047,2
83,64,93824,608,3
75,33,94320,1117,2
68,65,94500,60,0
77,75,94560,934,1
66,97,95280,1214,3
76,90,95060,60,3
77,103,95520,720,1
73,58,95974,240,1
72,38,96671,240,2
48,97,96720,1115,3
51,60,96776,872,2
53,63,97200,120,0
42,93,97645,120,3
60,59,97338,240,2
87,62,97920,574,2
77,65,98160,240,0
69,38,98024,0,4
78,60,98460,60,0
76,31,98520,120,2
75,60,98640,240,0
78,98,98713,519,4
88,36,98940,60,2
63,37,98501,627,4
67,60,99120,1070,2
68,96,99360,60,2
61,60,99125,286,3
73,66,99480,120,0
72,60,99600,1149,1
70,60,99920,606,2
72,87,100080,612,2
73,29,100207,869,3
49,73,100560,240,0
42,77,100367,240,2
50,106,101040,226,3
54,77,101280,707,2
79,59,101520,850,2
94,100,101760,240,2
78,99,102253,240,2
91,60,102240,954,2
68,39,102300,60,2
78,67,101950,120,1
88,60,102356,240,2
77,60,102720,993,1
78,81,102964,165,3
88,67,103079,526,3
84,60,102491,240,2
75,29,103200,60,1
63,60,103260,60,1
75,66,103320,120,0
74,38,103875,240,2
65,60,103795,120,2
74,57,103920,120,0
75,98,104160,628,2
43,73,104400,803,2
58,42,104640,444,2
37,73,104880,754,2
61,77,105320,120,2
72,59,105360,240,0
82,62,105600,1236,1
90,65,105840,1140,2
80,23,105788,117,3
82,60,106628,60,1
80,95,106367,120,2
88,60,106320,1224,2
89,60,106700,60,2
80,60,106546,60,1
67,46,106680,340,3
77,60,106800,954,1
86,93,107040,60,2
88,60,107100,526,2
74,66,107160,1046,2
64,60,106800,823,3
