note,velocity,position,duration,anomalies
85,54,0,240,1
81,47,240,682,1
82,47,480,240,0
79,71,293,240,2
81,73,522,120,2
82,47,1080,527,1
84,89,1357,120,2
76,13,1320,120,2
82,26,1440,449,2
76,54,1680,120,1
82,47,1430,120,1
81,72,1920,607,2
79,47,2040,120,0
77,56,2160,60,0
77,51,2082,670,2
83,12,2640,723,3
78,39,2649,240,2
90,57,3485,1048,2
90,57,3360,60,0
91,65,3600,240,0
79,51,4047,240,1
79,51,4080,60,0
81,32,4320,60,1
94,13,4530,798,2
102,22,4560,313,3
91,51,4680,120,0
93,16,4800,240,1
97,88,5040,914,3
84,45,5250,30,0
90,20,4983,768,4
75,23,5749,120,3
94,83,5853,1054,4
58,1,5502,293,4
66,40,5760,120,1
77,35,5880,120,0
77,67,6000,462,3
74,41,6000,120,0
77,34,6120,120,0
74,41,6240,120,0
70,34,6240,120,0
77,55,6850,891,3
70,35,6480,878,1
74,42,6480,120,0
79,35,6600,120,0
70,34,6353,120,1
74,18,6720,120,1
79,34,6840,120,0
70,34,6960,279,1
74,41,6960,120,0
86,64,7133,712,4
70,37,7200,120,0
74,44,7200,120,0
77,0,7320,651,2
70,69,7330,576,3
61,4,7440,120,2
90,34,7560,282,2
62,41,7476,120,2
70,34,7680,120,0
81,34,7800,120,1
75,47,7920,873,1
69,39,8304,120,1
67,13,8040,120,2
72,21,8160,120,2
82,0,8231,820,4
77,37,8280,120,0
75,41,7949,754,2
69,34,8400,120,0
77,35,8520,120,0
72,38,8640,120,1
75,45,8640,120,0
81,35,8760,120,0
76,34,8880,120,1
75,41,8880,120,0
81,35,9000,120,0
69,34,9025,120,1
75,41,8720,120,1
81,35,9240,120,0
75,18,9360,120,1
81,37,9133,120,2
82,35,9480,120,0
68,0,9919,120,3
75,41,9600,1075,1
77,35,9720,50,2
70,34,10039,759,2
75,41,9840,120,0
79,15,9960,209,2
68,34,10080,120,0
74,41,10080,120,0
77,35,10200,277,1
68,13,10320,120,1
74,41,10320,120,0
79,35,10440,991,2
87,76,10560,120,2
65,34,10984,120,2
64,35,10782,545,3
75,41,11193,120,1
55,3,10463,909,4
74,4,11178,120,3
75,21,11137,295,3
67,54,11040,120,1
79,8,11313,120,2
75,41,11280,120,0
67,54,11482,828,3
82,56,11520,470,1
80,50,11700,60,0
79,86,11760,633,2
77,52,11880,120,0
79,90,12000,240,1
82,56,12379,60,1
79,49,12420,60,0
77,36,12590,120,2
82,25,12701,120,3
77,35,12720,240,1
84,97,12960,240,1
82,20,13618,675,3
80,19,13059,524,3
69,58,13032,234,3
74,58,13560,377,2
74,26,13680,1195,3
72,56,13920,837,1
72,94,13932,1038,3
68,37,14400,620,1
69,44,14400,120,1
64,76,14644,60,4
66,38,14640,120,1
72,45,14640,120,0
75,77,14760,199,2
82,38,15154,120,2
75,45,14880,120,1
71,39,15000,32,2
62,37,15120,120,1
77,15,15362,761,3
87,78,15505,120,3
