note,velocity,position,duration,anomalies
86,68,334,1499,3
81,78,0,960,0
78,78,0,960,0
87,78,0,1780,2
57,56,960,120,0
62,66,630,120,1
57,51,1200,120,0
62,61,1200,120,0
49,56,1735,120,2
62,66,1440,120,0
57,51,1680,120,0
62,60,1680,120,0
57,100,1463,480,2
62,103,1920,1194,2
59,53,2400,240,0
51,63,2576,240,2
60,56,2880,120,0
68,56,2880,120,1
66,66,2880,120,0
60,51,3120,404,1
62,51,3120,120,0
66,61,3120,120,0
60,56,3360,120,0
62,56,3360,120,0
64,42,3360,793,3
60,51,3600,120,0
62,51,3600,120,0
66,60,3600,120,0
60,62,3840,480,0
52,62,3840,1054,2
66,73,3840,480,0
59,53,4320,240,0
67,63,4320,240,0
64,57,4560,240,0
63,43,4800,160,2
66,57,4960,160,0
64,57,5120,160,0
70,98,5280,160,1
69,58,5440,160,0
67,58,5600,448,1
69,63,5760,240,0
78,56,6240,160,0
76,46,6400,160,0
74,46,6560,160,0
81,57,6720,160,0
67,47,6880,1042,2
78,47,7040,160,0
76,58,7200,160,0
74,50,7360,160,0
78,50,7520,160,1
86,92,7680,960,0
81,46,7680,960,1
77,78,7680,960,0
80,78,8066,960,2
57,56,8780,418,2
62,66,8640,120,0
57,87,9273,120,2
62,61,8880,120,0
57,56,9120,120,0
62,66,9120,120,0
57,51,9360,120,0
62,60,9360,120,0
57,62,9600,480,0
62,105,9126,857,3
58,93,10080,311,2
64,63,10080,240,0
60,56,10560,120,0
62,56,10613,502,2
66,104,10304,44,3
63,11,11195,120,3
62,51,10800,120,0
66,61,10800,120,0
60,56,11040,120,0
62,56,11040,120,0
66,66,11040,120,0
68,51,11280,583,2
62,51,11280,120,0
66,60,11280,120,0
60,62,11520,480,0
62,62,11693,1720,2
66,73,11520,480,0
58,53,12000,240,0
58,41,12392,1181,4
65,56,12480,120,0
62,56,12480,120,0
68,66,12480,120,0
65,51,12720,120,0
62,51,12720,120,0
68,61,12720,120,0
65,56,12960,120,0
62,86,12564,120,2
68,66,12960,120,0
65,51,13200,120,0
67,15,13015,120,3
68,60,13200,120,0
60,62,13440,480,0
65,62,13440,480,0
69,73,13440,480,0
74,22,13422,160,3
70,46,14080,160,0
58,46,14298,160,2
67,57,14400,160,0
71,14,14914,160,3
64,47,14720,225,1
62,55,14880,160,0
60,47,15040,160,0
58,47,15200,160,0
57,80,14961,566,3
58,46,15520,160,0
60,46,15680,160,0
72,56,15840,160,0
70,46,16000,160,0
69,46,16160,160,0
59,57,16209,160,2
65,47,16480,160,0
64,47,16640,160,0
62,55,16800,160,0
60,47,16960,160,0
59,47,17120,364,2
63,53,17280,160,1
58,46,17440,160,0
60,40,17600,160,0
57,45,17760,308,1
58,39,17920,160,0
60,36,18080,160,0
57,47,18240,176,0
50,6,18076,176,3
60,43,18560,160,0
63,50,18720,851,2
58,45,18880,176,0
60,70,19040,160,1
57,54,18930,686,2
58,47,19360,176,0
60,43,19520,160,0
57,56,19680,176,0
58,50,19840,176,0
60,46,20000,160,0
57,59,20281,239,2
58,52,20098,176,1
51,86,20480,160,2
57,63,20640,176,0
58,55,20800,176,0
74,23,20960,593,3
53,54,21120,960,0
56,54,21120,960,0
61,70,21120,960,0
56,37,22080,120,0
73,37,22574,120,2
65,44,22080,120,0
56,33,22320,120,0
58,33,21982,120,2
73,77,22136,852,4
56,33,22560,120,0
61,33,23059,120,1
54,61,22612,120,3
44,70,22800,696,3
61,33,22800,120,0
65,39,22800,120,0
61,38,23040,960,0
65,2,23040,960,1
68,45,23040,960,0
68,46,24000,120,0
66,44,23847,486,3
74,52,24360,120,2
65,39,24240,120,0
68,39,24240,120,0
73,46,24240,120,0
65,39,24480,465,1
68,39,24480,120,0
