note,velocity,position,duration,anomalies
82,48,960,480,0
79,48,1440,160,0
82,44,1600,160,0
80,40,1760,160,0
79,48,1920,160,0
77,45,2080,160,0
75,40,2240,160,0
74,48,2088,160,1
76,45,2560,160,1
71,21,2413,160,3
68,48,2880,160,0
67,73,3040,160,1
65,45,3200,160,0
54,11,3360,1054,3
62,43,3520,160,0
68,21,3565,160,3
58,17,3756,1190,3
52,22,3817,160,3
53,41,3811,212,3
63,48,4320,160,0
62,44,4480,160,0
74,44,5078,471,3
71,74,4399,160,3
63,50,4960,996,1
64,49,5120,160,0
65,55,5280,160,0
64,49,5440,160,0
65,50,5600,160,0
66,83,6022,226,3
65,18,5920,160,1
66,53,6080,160,0
62,90,6064,160,3
66,51,6400,160,0
67,50,6269,1011,2
81,17,7213,1008,4
67,9,6880,160,1
68,48,7040,160,0
67,48,6834,160,1
70,51,7360,160,0
68,51,7520,160,0
65,50,7680,160,1
68,47,7840,160,0
70,47,8000,160,0
76,49,8396,1029,3
74,46,8320,160,0
75,46,8480,160,0
77,48,8640,160,0
75,49,8800,160,1
82,49,8960,160,0
80,48,9120,160,0
67,45,9280,160,1
77,67,9779,160,2
75,48,9600,160,0
74,45,9994,1094,2
72,43,9920,160,0
70,47,10080,160,0
77,48,10240,160,0
75,45,10400,160,0
74,48,10560,160,0
72,45,10720,160,0
70,43,10880,160,0
68,48,11040,160,0
67,43,11200,160,0
67,6,11360,160,2
63,48,11520,160,0
65,45,11680,160,0
56,43,11840,347,2
68,52,12000,160,0
70,51,12160,160,0
72,55,12320,160,0
74,59,12480,160,0
75,55,12640,160,0
77,58,12398,160,1
79,65,12960,160,0
82,61,13606,160,1
80,58,13280,160,0
79,63,13440,160,0
77,57,13600,160,0
75,54,13760,160,0
83,64,13920,160,1
77,19,14080,661,3
70,58,14240,160,0
68,63,14400,160,0
67,59,14560,160,0
65,54,14720,160,0
63,88,14880,540,2
62,53,15040,160,0
60,51,15200,160,0
58,63,15360,480,0
60,54,15520,160,0
63,29,15859,160,3
63,63,15840,160,0
62,55,16000,160,0
63,51,16246,160,1
64,63,16320,160,0
63,56,16480,160,0
64,19,16640,881,2
54,63,16800,160,1
52,59,17224,160,2
65,89,17120,160,1
66,68,17280,160,0
65,61,17440,160,0
66,59,17600,160,0
67,64,17760,160,0
66,61,17920,160,0
66,82,17900,105,4
68,63,18240,160,0
67,60,18400,160,0
68,17,18560,975,2
67,63,18720,160,0
70,60,18880,160,0
68,58,19040,160,0
67,63,19200,160,0
68,60,19360,160,0
63,60,19570,316,3
72,63,19680,160,0
74,58,19840,160,0
74,92,19768,160,3
77,63,20160,160,0
84,64,20320,160,0
82,58,20480,160,0
80,64,20640,228,1
79,61,20800,160,0
77,57,20960,160,0
68,63,21120,160,1
74,80,21280,160,1
72,57,21440,160,0
70,62,21600,160,0
77,63,21760,160,0
75,58,21920,160,0
74,63,22080,160,0
76,59,22240,713,2
77,59,22400,253,1
79,63,22560,160,0
80,59,22720,160,0
82,59,22880,160,0
75,63,23040,160,0
77,59,23200,160,0
79,59,23360,160,0
80,63,23520,160,0
82,58,23680,160,0
84,58,23840,160,0
86,63,24000,160,0
87,58,24160,160,0
89,58,24320,160,0
91,67,24480,160,0
94,63,24640,160,0
92,61,24800,160,0
91,67,24960,160,0
89,63,25120,160,0
87,59,25280,160,0
86,64,25440,160,0
84,59,25600,160,0
82,56,25760,160,0
92,63,25590,160,2
79,59,26080,160,0
77,57,26240,160,0
75,63,26400,160,0
74,59,26560,160,0
58,17,26274,160,3
70,63,26880,160,0
72,59,26564,160,1
65,59,27200,160,1
75,66,27360,160,0
74,61,27520,160,0
75,61,27680,160,0
76,66,27840,160,0
75,63,28000,160,0
76,61,28160,160,0
77,70,28320,160,0
76,66,28480,160,0
80,99,28640,160,2
78,52,28800,468,2
73,67,28960,328,2
87,65,29597,1041,3
84,47,29280,1085,3
78,65,29440,160,0
79,63,29600,160,0
80,64,29760,160,0
79,61,29920,160,0
80,61,30080,160,0
79,63,30240,160,0
82,59,30400,160,0
80,59,30560,160,0
79,63,30720,160,0
78,59,30880,160,1
82,59,31040,160,0
84,63,30881,101,2
86,60,31360,160,0
87,60,31520,587,1
89,64,31680,160,0
96,62,31840,160,0
94,59,32000,160,0
92,62,32160,160,0
92,16,31936,160,3
89,56,32480,160,0
84,59,32247,569,3
86,58,32800,160,0
84,53,32960,160,0
81,53,33552,611,3
99,93,33280,160,2
87,51,33440,160,0
86,54,33600,160,0
80,53,34150,96,3
82,48,33561,160,1
80,51,34080,160,0
79,19,34240,776,2
77,49,34400,160,0
75,48,34560,160,0
79,47,34720,160,0
77,46,34880,160,0
68,83,35488,160,3
74,45,35200,160,0
72,44,35360,160,0
70,43,35520,160,0
68,42,35680,160,0
65,41,35840,160,0
73,66,36309,160,3
70,38,36160,565,1
68,39,36320,160,0
66,41,36480,160,0
65,37,36640,160,0
63,32,36800,160,0
61,41,36960,160,0
49,37,37120,294,2
72,3,37280,160,2
59,72,37440,226,2
63,39,37600,160,0
68,39,37760,160,0
59,68,38204,960,3
63,37,38080,160,0
68,30,38575,160,1
66,37,38400,160,0
63,35,38560,160,0
66,32,38720,160,0
