note,velocity,position,duration,anomalies
73,33,960,774,3
69,45,960,480,0
70,48,1440,480,0
82,59,1440,480,0
76,51,1920,1428,1
88,63,1920,480,0
79,29,2751,480,2
91,67,2400,480,0
91,69,2880,960,0
79,56,2880,960,0
68,51,3840,480,0
80,63,3840,480,0
81,69,4320,480,0
69,56,4320,480,0
72,84,4800,1302,2
84,63,4800,480,0
89,68,5280,480,0
77,55,5280,480,0
77,85,5760,1934,2
89,68,5760,960,0
78,56,6720,480,0
66,45,6720,480,0
67,48,7200,480,0
79,59,7200,480,0
70,51,7680,480,0
82,63,7680,480,0
74,54,8160,480,0
86,67,8160,480,0
86,69,8640,960,0
74,56,8640,960,0
64,51,9600,480,0
76,63,9600,480,0
77,69,10080,480,0
65,56,10080,480,0
69,47,10560,480,0
81,58,10560,480,0
81,98,11040,1475,3
75,47,11040,773,2
72,44,11520,960,0
84,54,11520,960,0
69,38,12420,480,0
87,45,12480,1217,2
70,40,12900,480,0
82,48,12960,480,0
76,43,13380,480,0
88,51,13440,480,0
79,45,13860,480,0
91,54,13920,480,0
79,47,14340,1020,0
91,56,14400,960,0
68,43,15360,480,0
80,51,15360,480,0
81,53,15840,480,0
69,44,15840,480,0
72,43,16320,480,0
84,51,16320,480,0
89,88,16800,480,1
77,46,16800,480,0
77,46,17280,960,0
89,55,17280,960,0
78,45,18240,480,0
66,38,18240,480,0
67,40,18720,480,0
79,48,18720,480,0
70,43,19200,480,0
82,51,19200,480,0
74,45,19680,480,0
86,54,19680,480,0
86,56,20160,960,0
74,47,20160,960,0
64,43,21120,480,0
76,51,21120,480,0
77,56,21600,480,0
65,47,21600,480,0
69,39,22080,480,0
81,47,22080,480,0
84,47,22560,480,0
72,39,22560,480,0
72,37,23040,960,0
84,44,23040,960,0
79,76,24000,480,1
91,66,24000,480,0
91,72,24480,480,0
79,58,24480,480,0
76,53,24960,480,0
88,66,24960,480,0
82,68,25440,480,0
70,55,25440,480,0
59,18,25920,960,2
81,69,25920,960,0
81,55,26880,480,0
95,69,26880,480,1
93,75,27360,480,0
81,60,27360,480,0
77,55,27840,480,0
88,69,27930,480,2
93,109,28320,480,2
74,59,28320,480,0
76,57,28800,960,1
84,72,28800,960,0
84,57,29760,480,0
96,72,29760,480,0
96,79,30240,480,0
84,64,30240,480,0
81,60,30720,480,0
93,75,30720,480,0
89,77,31200,480,0
77,63,31200,480,0
74,67,31680,960,0
86,83,31680,960,0
86,55,32640,480,0
112,68,32640,480,1
98,73,33120,480,0
80,59,32983,818,3
82,52,33600,480,0
94,65,33600,480,0
91,69,34080,480,0
79,55,34080,480,0
77,52,34560,960,0
89,65,34560,960,0
79,44,35460,480,0
91,49,35520,480,0
79,43,35940,480,0
91,54,36000,480,0
76,39,36420,480,0
88,49,36480,480,0
70,43,36900,480,0
82,53,36960,600,1
69,68,37380,1020,1
81,53,37440,960,0
81,44,38400,480,0
93,55,38400,480,0
93,60,38880,480,0
81,48,38880,480,0
77,83,39524,480,2
89,56,38878,480,1
86,61,39840,480,0
88,84,39840,426,3
72,50,40026,1775,2
84,62,40320,960,0
84,50,41280,480,0
96,62,41280,480,0
96,69,41760,480,0
84,95,41365,970,3
81,52,42240,480,0
93,66,42240,480,0
89,67,42720,480,0
77,55,42720,480,0
74,60,43200,960,0
86,74,43200,960,0
97,81,44160,480,2
98,60,44160,480,0
98,64,44640,480,0
85,30,44504,857,4
82,43,45120,480,0
94,54,45120,480,0
91,54,45600,480,0
79,43,45600,480,0
67,40,46080,947,2
89,50,46080,480,0
57,28,46620,420,0
60,7,46650,1309,2
65,34,46680,360,0
57,69,48720,240,0
51,58,48720,240,0
48,58,48720,240,0
48,64,48960,240,0
52,64,48960,240,0
58,75,48960,240,0
60,59,49200,240,0
69,71,49200,240,0
63,59,49200,240,0
64,64,49440,240,0
60,102,49440,610,2
70,76,49440,240,0
75,60,49680,240,0
72,86,49988,537,3
81,72,49680,240,0
76,65,49920,240,0
82,77,49920,240,0
72,65,49752,428,2
93,74,50160,240,0
84,63,50160,240,0
87,63,50160,240,0
84,66,50400,120,0
94,73,50520,120,0
91,64,50640,120,0
96,75,50640,240,0
88,73,50760,120,0
84,75,50880,120,0
82,74,51000,120,0
79,72,51120,120,0
76,71,51240,120,0
72,69,51360,240,0
50,58,51600,240,0
53,58,51600,880,1
59,69,51600,240,0
48,64,51840,240,0
60,75,51840,240,0
53,64,51840,240,0
65,59,52080,240,0
62,97,52013,498,3
71,71,52080,240,0
65,64,52320,240,0
60,64,52320,240,0
72,76,52320,240,0
77,60,52560,240,0
83,72,52560,240,0
74,60,52560,240,0
84,77,52800,240,0
72,65,52800,240,0
77,65,52800,240,0
95,74,53319,322,2
86,63,53040,240,0
89,63,53040,240,0
84,66,53280,120,0
88,77,53400,120,1
96,75,53520,240,0
93,73,53640,120,0
89,76,53969,585,2
84,73,53880,120,0
81,71,54000,120,0
64,69,54042,1106,3
78,67,54240,120,0
81,63,54360,360,0
84,57,54480,120,0
100,54,54600,240,1
91,20,54318,1159,4
98,76,54902,120,3
85,48,54960,120,0
86,48,55080,120,0
91,54,55200,220,0
80,47,55320,140,0
91,54,55440,220,0
81,47,55440,140,0
82,47,55560,140,0
83,47,55680,140,0
91,54,55680,220,0
84,48,55800,140,0
85,49,55920,140,0
91,56,55920,220,0
86,50,56040,140,0
89,49,56160,140,0
91,56,56160,220,0
88,49,56280,140,0
91,56,55979,220,1
87,50,56400,140,0
88,49,56520,140,0
90,86,56586,882,4
96,56,56640,220,0
85,51,56760,140,0
96,56,56880,220,0
86,50,56986,866,2
87,51,57000,140,0
96,58,57120,220,0
88,51,57120,140,0
89,53,57240,140,0
90,53,57360,140,0
96,60,57360,220,0
104,21,57883,140,3
94,54,57600,140,0
96,61,57600,220,0
93,56,57720,140,0
92,56,57840,140,0
96,65,57840,220,0
93,57,57960,140,0
97,26,58564,220,3
89,56,58080,140,0
90,56,58200,140,0
91,57,58320,140,0
94,67,58213,545,3
92,57,58440,140,0
101,34,58560,334,2
93,57,58560,140,0
94,58,58680,140,0
101,69,58800,220,0
95,59,58800,140,0
98,60,58920,140,0
100,69,59040,240,0
96,69,59040,240,0
