note,velocity,position,duration,anomalies
53,40,730,120,2
57,32,600,601,1
48,54,638,120,3
50,34,840,393,1
70,1,960,889,3
50,40,1166,647,2
55,40,1320,90,0
47,46,1220,90,2
34,86,1631,90,3
61,43,1920,120,1
62,37,2040,423,1
60,37,2160,120,0
56,12,2280,195,3
69,49,2400,120,0
50,44,2760,90,0
60,73,2760,90,1
55,72,2880,711,3
50,48,2880,90,0
55,62,3360,120,1
51,34,3480,120,1
55,34,3600,120,0
50,34,3720,120,0
67,50,3840,90,0
55,68,4459,166,3
65,44,4200,90,0
63,47,4320,90,0
57,85,4320,598,3
55,40,4845,90,1
62,40,4680,90,0
73,44,4800,232,2
55,64,4800,90,1
68,30,5160,880,3
49,22,5280,882,3
64,69,5280,90,2
55,40,5640,90,0
54,50,5760,90,0
62,50,5760,90,0
74,72,6240,840,0
62,61,6720,960,0
72,20,7080,120,1
70,65,7200,90,0
66,80,7743,869,4
67,64,7680,90,0
80,64,7787,480,2
65,56,8040,686,1
61,100,8160,218,3
62,56,8797,90,1
58,96,8640,90,2
67,68,9120,1172,2
65,61,9600,960,0
75,58,9960,120,0
74,65,9923,396,2
72,55,10440,90,0
68,44,10786,609,4
72,85,10289,480,3
76,88,10920,90,2
67,64,10674,0,2
52,78,10987,1042,4
64,64,12014,485,2
81,70,12000,840,0
79,28,12709,960,3
79,88,12840,843,2
91,36,12960,308,3
75,55,13417,234,2
74,64,13676,842,2
78,64,13440,480,0
72,56,13800,90,0
79,64,14074,164,2
70,64,13920,90,0
69,56,14280,389,1
67,64,14293,90,1
60,71,14880,480,1
69,52,15360,360,0
73,62,15360,480,0
67,58,15869,507,2
67,56,15840,90,1
72,61,15367,232,3
63,88,16370,90,2
66,59,16320,480,0
62,59,16320,90,0
60,50,16680,120,0
67,57,16800,90,0
58,57,16800,90,0
64,19,17517,90,3
55,57,17280,90,0
58,61,18211,480,1
66,55,18334,1471,3
57,55,18292,90,1
56,47,18600,36,2
59,14,19093,240,3
62,25,18720,603,2
55,40,19601,120,1
44,32,19698,1075,3
55,34,19440,120,0
50,1,19560,120,1
56,73,19680,90,2
55,18,20040,495,2
50,40,20040,90,0
35,46,19734,837,3
54,22,20271,199,3
65,43,20987,120,2
59,37,20566,23,3
59,37,20880,120,1
57,37,21000,120,0
69,49,21120,348,1
60,44,21480,90,0
38,84,21158,90,3
54,11,21347,412,4
58,26,21193,90,2
55,65,22080,426,2
57,34,22200,120,0
55,0,22754,61,3
44,34,22574,120,2
79,25,22314,668,4
65,5,22775,90,2
55,44,22920,90,0
63,47,23040,90,0
55,47,23040,90,0
55,40,23400,90,0
62,40,23400,90,0
58,44,23520,90,1
73,83,23520,327,3
58,50,23880,90,0
55,46,24000,90,1
61,46,24000,90,0
57,68,24360,90,2
54,50,24480,120,0
73,10,24480,120,2
87,72,24960,840,1
62,61,25440,960,0
72,58,25800,120,0
70,65,25920,90,0
69,55,26280,90,0
67,64,26400,90,0
70,64,26400,480,0
65,56,26760,90,0
63,42,26880,810,2
62,27,27515,90,2
60,64,27360,90,0
77,68,27840,840,0
70,61,28037,1542,3
75,58,28680,120,0
74,65,28800,90,0
72,55,29160,90,0
70,64,29280,90,0
88,64,29523,1247,3
69,77,29640,90,1
67,64,29760,90,0
65,89,30120,456,2
64,95,30473,90,2
81,70,30950,1076,2
69,61,31400,960,1
79,85,31716,120,2
78,65,31680,90,0
75,55,32040,846,1
74,25,32160,90,1
91,26,32579,1200,4
72,56,32520,90,0
67,92,32640,90,2
83,40,32932,90,3
69,56,33000,90,0
67,64,33120,90,0
70,71,33600,1196,1
69,52,34080,360,0
73,62,34477,756,2
67,58,34440,120,0
74,61,34560,90,0
66,56,34560,90,0
63,51,35221,90,1
53,59,35040,90,1
66,80,35040,1144,2
60,83,35129,455,3
67,57,35520,90,0
56,95,35038,942,4
64,76,35880,769,3
55,57,36000,90,0
70,97,36884,1329,4
57,55,36960,90,0
61,55,36960,480,0
68,47,37320,32,2
51,32,37440,1084,3
57,54,37048,774,3
70,94,37920,840,1
47,40,38400,1708,2
66,50,38760,120,0
67,56,38880,360,0
69,51,39002,474,2
70,57,39360,840,0
58,40,39840,960,0
66,54,40200,120,0
67,61,40320,360,0
83,17,40680,120,2
70,19,40638,240,2
58,47,41040,240,0
74,44,41280,240,1
72,57,41520,240,0
66,86,41760,923,3
75,63,42000,1101,2
70,59,42240,160,0
67,51,42400,160,0
62,71,42560,160,2
62,57,42720,360,0
57,36,42720,480,0
60,47,43080,210,1
58,54,43200,363,1
77,58,43987,1703,2
65,40,43678,1701,2
85,27,44257,1019,4
74,56,44640,360,0
75,51,45000,120,0
77,18,45204,840,2
65,40,45600,960,0
73,54,45960,120,0
77,85,46283,970,4
75,52,46440,120,0
77,57,46560,240,0
54,12,46800,753,3
81,64,47040,240,0
79,57,47280,240,0
81,41,47804,240,2
79,63,47760,240,0
77,59,48000,160,0
74,51,48604,160,1
70,51,48320,160,0
64,36,48480,480,0
69,34,48972,360,2
67,47,48840,120,0
65,54,48960,240,0
82,18,49610,840,2
70,40,49920,960,0
63,50,50280,929,2
78,60,50400,360,0
80,57,50760,120,0
88,85,50880,1432,3
70,18,51360,877,2
88,89,51720,120,2
76,63,51840,275,2
80,55,52200,120,0
82,60,52320,240,0
73,50,52560,240,0
98,30,52800,383,3
87,60,53040,240,0
89,66,53640,240,1
87,63,53985,1047,2
92,28,53458,160,3
82,57,53920,160,0
78,51,54080,160,0
72,36,54240,480,0
77,82,54010,441,3
75,13,55057,923,3
73,88,54720,240,1
91,58,55200,840,1
78,69,55680,1076,3
75,50,56040,536,1
87,24,55848,360,3
78,51,56520,120,0
80,57,56640,840,0
75,4,57120,960,2
