note,velocity,position,duration,anomalies
66,71,1345,240,2
71,49,960,240,0
67,86,1200,240,2
66,11,1165,1103,3
81,76,1440,818,3
64,45,1920,240,0
70,49,2405,1088,2
62,45,2400,240,0
73,22,2400,240,2
61,45,2872,376,2
67,17,2660,480,2
62,70,3278,480,2
61,81,3530,862,3
66,22,3789,240,2
63,81,3940,240,3
71,49,3840,802,2
51,26,4405,240,3
69,14,4320,620,3
66,49,4320,480,0
64,46,4800,240,0
59,83,4800,240,1
64,89,5482,743,3
58,16,5280,503,2
58,47,5760,240,0
62,52,5760,240,0
58,45,6240,240,0
62,83,6240,240,2
59,47,6480,240,0
62,19,7440,301,2
74,78,7342,432,3
71,87,7440,120,1
74,13,7500,991,3
71,49,7680,120,0
64,24,7680,120,1
74,46,8015,120,1
71,78,8053,739,3
78,46,7532,120,2
69,45,8880,120,1
66,11,8880,478,2
59,45,9330,120,1
58,82,9120,392,3
58,46,9120,1066,1
74,46,9523,950,3
73,46,9111,120,2
62,46,9360,120,0
74,47,10320,120,0
69,47,9987,326,3
70,47,10320,425,2
74,49,10560,120,0
55,18,10560,331,3
71,49,10560,120,0
65,10,10421,120,2
64,45,10800,120,1
74,45,10800,120,0
66,47,11760,598,1
59,47,11760,120,0
45,14,11760,702,3
64,8,12178,120,2
70,19,11721,725,4
63,82,11670,480,4
56,84,12240,820,3
62,46,12240,120,0
76,45,12251,240,2
71,22,12480,915,2
65,75,13201,1083,3
66,45,12960,480,0
77,75,12887,804,4
63,49,13440,304,2
64,80,13440,504,2
55,9,13920,642,3
64,28,13920,240,2
61,69,14160,240,1
62,19,14400,1339,2
58,86,14400,480,2
61,44,14880,240,0
66,47,14880,1203,1
66,49,15360,240,0
60,45,15457,240,1
73,13,15600,360,3
66,49,15840,480,0
60,45,15840,480,0
59,43,16320,240,0
64,46,16320,240,0
58,45,16800,240,0
52,49,17091,240,2
54,74,17280,910,3
62,52,17280,240,0
61,50,17760,240,0
58,45,18047,960,2
59,47,18000,240,0
60,71,19326,120,3
71,47,19154,120,1
79,74,19014,174,4
74,49,19200,120,0
58,9,19200,120,2
76,85,19113,120,3
79,46,19550,120,2
73,46,19440,120,1
55,82,19440,120,2
66,45,20400,120,0
59,21,20214,721,3
56,25,20400,1009,2
62,68,20432,120,3
61,44,20363,239,2
53,44,20483,237,3
59,46,20880,120,0
62,46,21206,120,1
71,50,21840,771,1
62,50,21574,120,1
61,50,21840,177,2
64,15,22080,1077,2
71,53,22360,239,2
84,53,22497,120,2
65,97,21878,480,2
72,97,21890,480,3
74,35,22501,480,2
69,62,22800,480,1
71,62,22800,480,0
73,62,22800,480,0
83,97,23280,480,2
65,68,23376,835,3
77,88,23764,480,2
70,45,23403,180,3
81,95,23664,180,3
70,69,23760,180,0
83,49,24216,667,2
78,80,24000,240,1
90,46,24240,393,2
74,82,24480,480,2
70,76,24874,480,3
81,45,24545,240,2
82,49,24960,427,1
66,14,25032,142,4
79,78,25903,240,2
73,45,25680,240,0
74,45,25920,480,0
79,49,25920,480,0
73,44,26400,240,0
78,47,26400,240,0
72,62,26880,1131,1
76,69,27132,343,3
71,64,27120,240,0
71,42,27459,1214,4
78,69,27360,240,0
67,67,27600,240,1
66,67,27459,240,1
65,60,27840,240,0
66,64,28080,240,0
72,64,28175,240,1
60,67,28394,240,1
66,89,28613,240,3
59,103,28560,240,1
74,91,28800,843,3
64,64,28800,240,0
63,66,29280,120,0
54,66,29280,120,0
57,27,28971,512,3
64,108,29520,605,2
59,70,29520,120,0
55,70,29371,120,1
83,71,29760,1134,2
91,55,29575,240,2
82,83,30000,559,2
83,50,30240,480,0
88,55,30240,979,1
87,55,30720,240,0
81,50,31168,297,2
79,76,31200,1167,2
94,55,31200,458,2
74,72,31440,1135,3
79,50,31680,1328,1
76,82,31680,480,2
77,11,32277,240,3
91,76,31850,240,3
63,62,32456,172,3
83,48,32640,240,1
70,89,33274,240,3
84,62,33308,240,2
83,43,33120,641,2
71,45,33154,953,3
77,67,33360,240,0
70,60,33124,240,1
71,64,33380,343,2
77,64,33840,896,1
69,44,34080,240,1
65,67,34080,655,1
64,67,34320,141,1
65,64,34560,240,0
69,64,34560,240,0
78,81,34786,1128,4
62,58,35214,297,2
59,91,34909,414,3
69,58,35280,240,0
52,52,35280,240,1
83,20,35039,1213,4
64,16,35442,480,3
50,49,36000,1156,2
60,29,36206,480,3
62,30,36000,913,3
72,57,36480,240,0
72,82,36480,562,3
64,83,36835,703,3
83,57,36960,817,2
60,79,36960,1352,2
61,55,37440,1267,2
60,89,37440,904,3
46,15,37440,1038,3
73,55,37920,240,1
73,55,37493,240,2
46,49,37920,1053,2
64,72,38656,1089,3
72,58,38400,480,0
74,98,38442,480,2
77,28,39213,480,3
65,54,38880,480,0
64,32,38941,932,3
72,63,39360,240,0
76,98,39360,240,1
64,53,40175,891,2
65,59,39840,480,1
75,51,40687,720,3
58,57,40446,818,3
65,29,40320,480,1
72,79,40396,856,3
77,91,40421,240,3
70,87,40800,453,3
75,91,41002,480,3
76,62,41280,480,0
69,54,41760,480,0
61,55,41760,480,1
78,61,41557,1302,2
76,100,42673,946,4
67,54,42240,240,0
76,61,41762,240,1
74,32,43059,480,3
79,34,43050,480,2
71,33,43539,480,3
81,24,43271,480,2
87,57,43200,480,1
58,85,43680,240,2
79,84,43551,358,3
83,97,44035,240,2
83,69,44160,480,0
64,83,44160,968,3
72,106,44640,1335,3
82,60,44640,892,1
76,34,44640,480,1
74,105,45212,240,2
83,37,45061,376,3
86,105,45120,832,2
78,74,45600,1438,1
93,83,45700,480,2
85,49,45884,662,3
89,79,46080,700,2
79,98,46080,480,1
90,115,46839,481,3
86,81,46560,693,1
78,72,46560,240,0
78,74,47040,480,0
86,122,47040,480,1
90,56,47040,480,1
86,80,47520,480,0
78,105,47871,480,2
78,80,47520,1363,2
82,113,47769,921,4
94,81,48210,760,3
78,72,48000,480,0
88,82,48480,480,0
90,82,48480,480,0
68,73,48628,480,2
90,115,48661,1217,3
76,78,48960,587,2
72,45,48960,402,3
78,70,49440,480,0
88,79,49440,480,0
86,112,49440,480,2
87,79,49920,480,1
79,92,50384,480,3
92,101,50400,480,3
76,79,50400,480,0
65,101,50104,1077,4
77,114,50400,403,3
70,97,51250,1365,3
76,77,50880,480,0
78,77,51034,480,1
64,70,51360,480,0
66,70,51360,480,0
67,90,51360,1174,3
62,70,51840,480,1
64,70,51840,480,0
58,63,51840,480,0
64,69,52320,420,0
56,69,52320,488,2
58,62,52320,420,0
66,45,52800,240,0
61,49,52800,240,1
65,46,53040,240,0
66,22,53280,480,1
71,77,53280,1368,2
70,49,53760,748,1
64,65,53760,240,1
62,76,54240,560,2
71,49,53770,240,2
50,12,54531,1154,4
74,45,54310,480,2
57,49,54720,1334,2
61,44,55523,358,2
75,47,55106,953,3
60,45,55680,240,0
66,21,55875,420,3
46,46,55920,635,2
70,71,56651,480,3
57,78,56160,769,3
59,20,56416,240,2
64,46,56640,240,0
70,45,57120,240,1
64,49,57064,660,2
58,47,57600,240,0
50,25,57600,621,3
72,50,58080,675,2
58,45,58080,240,0
48,47,58075,360,3
62,47,59280,120,0
80,47,58783,805,3
87,47,59280,120,1
74,49,59520,557,1
71,49,59520,120,0
64,49,59167,629,2
86,7,59488,120,3
72,46,60150,120,2
65,46,59760,120,0
66,45,60645,943,2
59,9,60859,328,3
61,81,60406,120,3
64,46,60960,120,0
61,46,61011,246,2
49,75,61317,390,4
59,46,60930,529,2
68,80,61121,120,3
71,83,62160,996,2
55,47,61764,120,2
86,47,62160,120,1
56,16,62808,823,4
68,11,62400,120,2
76,71,62400,120,2
65,65,62640,120,1
71,45,62640,120,0
74,45,62640,120,0
79,47,63600,120,1
59,47,63600,120,0
69,47,63307,333,3
58,17,64029,120,2
61,77,63655,330,3
64,46,63840,120,0
59,46,64080,120,0
62,46,64080,120,0
55,71,64931,739,4
83,47,65040,758,2
68,47,65040,120,1
53,86,65196,616,4
64,12,65218,341,3
66,25,65004,120,3
66,47,65520,120,0
62,79,65520,120,1
57,47,65520,1060,1
61,28,66267,222,3
81,55,66480,120,1
68,31,66256,120,2
68,16,66284,120,2
75,75,66720,120,2
71,55,67173,120,1
61,55,66960,120,0
66,91,67268,120,2
70,55,66960,120,0
73,31,67434,480,2
78,44,67200,701,2
76,66,67812,240,1
76,64,67577,574,3
78,64,67921,970,3
86,72,67920,409,2
75,102,67507,644,4
83,31,68258,240,3
77,31,68400,511,3
74,70,68400,240,0
73,77,68640,1405,1
78,114,68640,1240,2
76,78,68737,856,2
74,117,68833,240,3
74,80,69120,240,0
68,46,69360,120,2
71,115,69108,470,4
60,48,69600,120,2
74,118,69888,120,2
78,127,69840,961,3
71,74,69840,720,0
70,112,69952,786,4
79,88,69781,720,1
57,44,71040,612,3
67,97,71370,830,3
70,98,71280,120,2
71,37,71400,120,2
71,59,71520,919,1
67,58,71640,120,0
64,56,71760,120,0
49,58,72360,120,0
47,91,72217,120,2
43,58,72600,120,0
59,56,73200,120,0
55,56,72840,406,2
64,56,73287,963,2
65,63,73920,120,1
71,63,74040,120,0
79,61,74160,120,0
76,93,74280,356,2
71,82,74400,743,3
71,21,74520,120,1
67,90,74845,120,2
59,78,74925,975,4
49,58,75092,882,2
47,92,75739,1114,3
64,90,76080,120,1
63,62,76080,286,2
72,25,75611,1073,4
49,62,75955,120,2
59,99,76800,763,2
62,73,76920,120,0
66,75,77040,120,0
71,78,77160,120,0
62,112,77212,120,2
60,79,77280,643,2
66,109,77400,197,2
80,116,77400,120,2
72,118,77520,120,2
83,45,77923,963,3
86,86,77640,120,0
74,62,77640,120,1
96,90,77760,240,1
78,81,77760,466,1
72,72,77909,1087,3
91,127,78110,63,3
79,85,78000,120,0
82,43,78499,120,3
61,68,78240,120,0
76,67,78240,120,2
76,81,78240,120,0
73,76,77874,1095,2
90,95,78480,120,0
69,80,78480,344,2
62,72,78480,120,0
78,85,78032,120,1
74,81,78337,912,2
71,50,78258,988,3
59,68,78720,120,0
84,124,78720,898,3
65,80,78960,783,2
76,85,78960,120,0
88,95,78960,120,0
61,80,78960,120,0
76,118,79561,120,3
94,90,78918,889,3
59,68,78912,120,2
70,99,79284,488,3
86,94,79440,1039,1
74,84,79763,120,1
71,39,79440,120,1
48,71,79819,120,2
57,102,79389,120,3
66,73,79680,120,0
54,94,79265,120,2
82,86,79680,120,0
71,105,79920,120,1
86,71,79793,120,3
78,85,80160,120,0
75,45,80160,547,3
79,90,80400,120,0
67,81,80400,665,1
64,75,80640,120,0
76,84,80640,120,0
66,81,80560,120,1
78,67,80880,488,2
62,74,81120,120,0
74,106,81120,120,1
74,112,81360,120,2
71,81,81360,120,1
60,111,81600,120,2
58,73,81535,120,2
62,81,82063,120,1
74,90,81840,120,0
58,75,82080,282,1
70,84,82080,120,0
59,81,82320,120,0
57,91,82320,120,1
66,82,82560,120,0
54,73,82560,120,0
55,48,82544,1298,3
64,89,82800,480,1
61,72,83280,240,0
53,110,83280,240,2
70,80,83280,240,0
62,103,83383,240,2
66,77,83520,240,0
71,86,83520,240,0
74,56,84103,120,1
72,56,84480,120,1
61,35,84869,744,3
62,53,84720,120,0
73,53,84626,547,2
83,53,84720,221,2
65,84,85365,746,4
85,72,84594,779,4
51,14,84960,24,3
66,53,85920,120,0
56,53,85920,120,0
59,31,85920,523,2
57,52,86160,120,1
61,22,86305,1006,3
57,79,86653,732,4
62,81,86400,120,1
59,52,86400,120,0
66,52,86400,120,0
63,54,87360,120,1
79,14,87050,120,3
61,54,87360,246,1
87,55,87519,120,2
73,89,87760,494,3
62,17,87600,120,1
74,51,87840,120,0
73,30,87840,120,1
74,76,87840,192,3
56,85,89095,916,3
75,35,88560,513,4
59,79,88800,404,2
65,26,88873,819,4
70,81,89040,120,2
44,89,89040,120,2
66,52,89280,120,0
57,27,89280,120,2
59,52,89280,120,0
62,60,89520,120,0
71,66,89910,332,2
59,82,89520,120,2
70,62,89760,120,0
66,57,89488,282,2
65,93,89760,120,2
62,60,90000,120,0
75,60,90136,697,3
71,86,90000,1006,2
74,67,90240,120,0
71,61,90240,120,0
66,81,90240,341,2
73,98,90480,783,2
66,58,90480,617,1
68,26,90602,120,3
62,63,90720,120,1
71,63,90720,120,0
60,91,90720,120,2
78,69,90960,561,1
74,63,90960,120,0
71,63,90960,648,1
77,94,91134,120,2
74,61,91200,120,0
71,61,91200,120,0
84,100,91250,309,4
65,66,91440,1099,2
68,93,91440,120,2
83,50,91680,963,2
78,67,92086,120,1
74,95,92179,310,3
73,63,92346,896,3
82,69,91920,120,0
78,63,92171,120,1
83,74,92160,120,0
78,68,92160,120,0
74,68,92160,120,0
86,75,92400,120,0
83,69,92400,120,0
78,69,92400,120,0
78,63,92640,120,0
85,99,92640,1052,2
77,63,92640,120,1
83,40,92880,120,1
73,70,92880,120,1
88,77,92880,743,2
83,71,93120,120,0
73,71,93120,120,1
90,40,93120,120,1
79,93,93678,120,3
87,100,93360,120,2
89,72,93360,120,0
86,73,94001,120,1
87,73,93130,485,3
101,80,93600,361,2
86,73,93840,120,0
76,38,93840,684,3
95,80,93840,120,0
80,70,94259,802,3
103,96,94080,382,3
94,76,94080,120,0
95,86,94724,955,2
90,43,94320,120,1
76,46,94712,23,4
86,82,94560,120,0
90,82,94560,120,0
95,51,94439,757,3
97,85,94800,41,2
78,113,94558,758,4
86,77,94800,120,0
95,93,95040,120,0
86,85,94966,331,2
80,85,95128,120,2
81,59,95760,120,2
78,81,95760,923,1
83,89,95760,120,0
84,89,96745,703,3
66,81,96480,120,0
62,81,96697,506,2
66,42,97920,2880,0
74,55,98131,644,2
70,15,98705,1141,4
71,52,99414,1454,2
69,47,99840,1093,1
69,71,100356,720,2
64,6,100800,2070,2
82,55,100800,931,2
69,20,101520,720,1
63,42,101756,1440,1
56,55,102673,1167,3
61,51,102720,240,1
65,28,102508,1644,4
69,55,103680,720,0
62,16,103680,1646,2
57,81,104400,1037,3
55,4,105120,1440,2
66,55,105120,480,0
64,51,105600,178,1
64,12,105534,720,2
65,77,106560,720,2
59,12,106686,720,2
67,83,107280,1459,3
58,40,108000,1440,0
70,21,107860,631,4
48,49,108480,852,2
61,22,108720,1518,2
57,15,109440,1440,1
60,24,109440,1440,2
51,79,109440,1440,2
56,12,110880,1918,3
67,13,111139,1440,3
64,28,112571,1668,3
85,84,112320,1440,2
84,49,112320,1622,2
66,52,113760,1440,1
77,76,113760,2211,3
64,74,114705,1440,2
76,52,115200,1440,0
63,50,116640,1440,0
69,84,117121,1440,2
69,56,118204,720,1
76,56,118080,1595,1
81,56,118080,720,0
69,56,118506,720,1
73,77,118800,720,1
68,53,119520,1018,1
70,45,119520,765,3
71,60,120301,177,2
69,27,120740,1021,3
58,47,120507,1440,2
78,55,120884,1554,3
69,51,121680,720,0
65,70,122400,1440,2
59,16,122400,480,2
69,83,122415,674,3
65,12,123120,720,2
71,47,123840,1440,0
64,17,123616,1690,4
58,26,125082,825,4
67,47,125280,720,0
82,36,126000,1227,2
73,12,126277,1003,4
71,49,126720,1440,0
80,31,126428,1493,3
73,53,127194,1040,2
74,84,128337,480,2
65,9,128658,1440,3
81,76,128217,240,3
61,77,128569,13,3
79,19,129600,1962,3
72,49,129600,1440,0
73,9,131040,654,2
68,70,131040,720,2
71,22,131673,1488,3
74,45,131760,720,0
87,33,132275,1440,3
83,62,132480,1151,1
80,30,133200,773,3
75,65,133920,480,0
83,56,133920,1440,1
63,63,134400,240,1
66,84,134640,720,2
76,54,135360,1440,0
85,30,135501,1631,3
78,63,136013,720,1
68,71,136800,643,2
74,29,136800,1720,2
78,69,137280,986,1
84,94,137720,720,3
68,58,138240,2880,0
77,96,138014,3777,4
67,57,141120,720,0
68,94,140856,1695,4
68,57,141655,1095,3
67,94,142714,1440,2
62,82,142702,1351,4
70,51,143040,1196,2
73,53,143280,720,0
66,80,144000,3048,2
74,80,144000,1505,2
73,89,144840,720,2
82,18,145316,480,3
69,47,145920,240,0
69,12,146160,720,1
64,42,147024,1440,1
71,55,146880,720,0
69,51,147264,720,1
55,42,148320,1440,1
67,55,148320,480,0
66,51,149044,240,1
52,26,148931,1677,4
69,55,149760,720,0
62,42,149760,1700,1
50,28,150367,1704,4
73,42,150843,1440,2
66,25,151200,480,1
72,76,151584,240,3
64,51,151920,720,0
75,55,152266,1150,3
59,13,152938,720,2
59,77,153360,720,1
48,79,154080,1618,3
54,29,153651,480,3
47,70,154786,240,3
56,85,154800,720,2
57,47,155650,1892,2
69,83,155520,1440,1
73,15,155212,1440,3
50,26,156960,1440,2
62,46,156960,1440,1
59,46,156960,1440,1
62,49,158400,1440,0
77,16,157909,1440,3
76,49,157999,1440,2
68,48,159565,1440,2
59,48,159840,1440,0
65,48,159840,1440,0
56,51,161457,1440,2
69,78,161200,2413,3
75,51,161280,1440,1
59,50,162720,1440,0
64,50,162720,1928,1
55,45,164092,1816,2
61,45,164160,1440,0
54,40,165600,1440,0
62,4,165680,1648,3
66,39,166912,2253,2
60,83,167040,720,2
70,51,167760,720,0
61,36,168480,1440,0
67,55,168480,480,0
66,51,168960,240,0
66,51,169200,720,0
64,35,169920,1440,0
66,37,169920,1367,1
85,49,170214,720,2
67,84,170640,720,2
55,68,171360,822,3
66,81,171710,1335,3
71,87,171360,720,1
73,44,172289,1518,3
69,83,172080,720,2
78,59,172800,1694,2
83,29,173268,720,2
82,51,173520,720,0
77,3,174240,1662,3
69,55,174240,1220,2
78,51,174720,240,0
78,51,174960,720,0
76,9,175553,1440,2
78,39,176091,1440,1
86,49,175787,1334,2
85,45,176400,720,0
61,44,177047,1402,3
78,18,177314,1573,3
83,47,177120,720,0
78,44,177840,720,0
90,64,177840,720,2
80,31,178560,1440,1
83,44,178560,480,0
80,15,179040,1020,3
82,40,179280,720,0
64,31,181734,1367,2
71,10,181735,480,2
83,40,181920,240,1
60,65,182160,1570,3
67,45,186720,240,1
71,49,186720,240,0
56,82,186960,240,2
63,45,187200,614,2
65,86,186962,647,4
62,70,187680,1081,3
81,17,187680,1134,3
54,45,188160,590,2
67,49,188160,240,0
61,45,188400,240,0
62,45,188640,480,0
67,49,188724,988,2
