note,velocity,position,duration,anomalies
62,53,3120,240,0
64,54,3360,240,0
66,21,3600,616,2
61,57,3840,978,2
69,59,4080,240,0
70,61,4320,240,0
72,63,4560,240,0
74,105,5089,395,3
79,68,5040,240,0
78,66,5280,240,0
79,58,5520,240,0
74,53,5760,960,0
85,29,6558,638,4
63,31,7200,480,0
69,59,7200,240,0
67,31,7363,1022,2
72,51,7440,240,0
50,21,7680,370,3
67,45,7335,329,2
70,53,7680,240,0
70,53,8774,240,1
60,46,9120,480,0
66,57,9120,240,0
69,49,9360,1098,1
58,47,9600,960,0
67,53,9600,960,0
49,85,10800,240,2
64,54,11040,240,0
74,48,11040,619,2
66,55,11280,240,0
67,57,11520,240,0
58,51,11520,240,0
69,59,11760,240,0
70,61,12000,240,0
72,63,12240,240,0
87,34,12684,574,4
79,63,12720,240,0
75,40,12960,480,0
77,61,12960,240,0
72,36,12960,480,0
65,33,12960,480,0
79,59,13200,240,0
70,46,13440,960,0
74,55,13440,960,0
65,46,13440,958,0
77,60,14640,240,0
70,50,14880,480,0
65,86,14673,891,4
61,87,14880,394,3
82,63,14576,556,3
77,97,15120,441,2
72,60,15360,960,0
74,84,15779,1680,4
69,50,15360,960,0
75,55,16560,240,0
72,38,16800,480,0
74,56,16800,240,0
69,37,16800,480,0
62,0,16800,480,1
75,50,17040,240,0
67,44,17280,480,0
62,72,17659,480,2
58,17,17108,480,3
74,54,18480,240,0
63,35,18720,480,0
69,35,18720,480,0
72,56,18720,240,0
74,52,18960,240,0
72,55,19200,240,0
62,35,19200,478,0
67,35,19200,480,0
70,47,19440,240,0
58,32,19680,480,0
69,50,19680,240,0
67,49,19920,240,0
64,35,20160,480,0
70,52,20160,720,0
63,29,20640,480,0
66,32,20640,480,0
69,39,20880,240,0
62,40,21120,480,0
67,48,21120,480,0
67,67,22320,240,0
69,69,22560,240,0
70,66,22800,240,0
72,69,23040,240,0
74,70,23280,240,0
75,72,23520,240,0
77,74,23760,240,0
75,98,24403,850,4
81,72,24240,240,0
82,79,24480,240,0
84,77,24367,240,1
77,75,24960,960,0
77,73,26160,240,0
79,75,26400,240,0
82,73,26640,240,0
75,70,26880,960,0
71,67,28080,188,2
85,106,28429,240,3
81,67,28560,240,0
74,60,28800,960,0
67,47,30000,240,1
59,69,30533,240,2
56,97,30578,567,4
72,69,30720,240,0
74,70,30960,240,0
75,72,31200,240,0
77,74,31440,240,0
79,75,31680,240,0
81,72,31920,240,0
82,79,32160,240,0
84,77,32400,240,0
74,75,32640,960,0
74,73,33840,240,0
76,75,34080,240,0
78,72,34320,240,0
79,77,34560,960,0
74,67,35760,240,0
72,70,36000,240,0
70,67,36240,240,0
91,63,36480,960,1
72,61,37680,240,0
70,63,37920,240,0
69,61,38160,240,0
79,68,38400,240,0
74,61,38640,120,0
75,45,38760,60,0
74,47,38820,662,1
68,103,38880,505,3
74,60,39120,240,0
75,63,38948,240,1
74,60,39600,240,0
70,63,39840,240,0
67,60,40399,407,2
74,63,40320,240,0
74,68,40800,720,0
62,53,41520,240,0
64,54,41760,240,0
66,56,42000,240,0
67,57,42240,240,0
69,59,42480,240,0
70,61,42720,240,0
72,63,42960,240,0
74,65,43200,240,0
