note,velocity,position,duration,anomalies
62,67,0,840,0
74,55,0,840,1
74,73,840,120,0
62,65,840,120,0
62,34,1025,840,2
74,75,960,840,0
74,71,1800,120,0
62,63,2266,363,2
62,45,1920,840,1
62,53,1698,840,3
56,91,3203,120,3
82,74,2760,120,1
74,78,2649,1263,2
62,70,2880,840,0
62,67,3720,120,0
74,75,3720,120,0
53,98,3526,1014,4
74,78,3840,480,0
74,78,4320,960,0
62,70,4320,960,0
62,70,5280,960,0
74,100,5372,960,2
62,110,6240,997,2
68,78,6240,1065,2
74,75,6960,480,0
67,95,7196,1438,4
74,76,7440,120,0
62,68,7440,120,0
84,83,8160,960,1
67,83,8160,960,0
67,70,9120,720,0
83,78,8967,720,2
67,70,9840,480,0
79,78,9840,480,0
79,76,10320,120,0
67,68,10747,120,1
86,97,10560,120,0
65,50,10560,182,3
78,53,10560,708,2
93,56,10800,120,2
75,79,11139,399,3
92,79,10800,447,2
86,94,11040,240,0
74,112,10846,854,3
78,84,10833,928,2
59,33,11520,640,1
67,112,11960,640,2
70,98,12599,120,3
62,75,11923,53,3
64,75,11914,836,3
59,35,12320,590,2
67,81,12773,640,1
69,72,12480,1379,2
78,106,13120,120,2
59,67,13120,120,0
59,66,13110,120,1
67,74,13280,120,0
59,72,13440,720,0
67,80,13440,720,0
67,66,14160,120,0
64,74,14160,120,1
62,37,14840,342,4
73,116,14400,971,3
67,66,14640,120,0
71,74,14640,120,0
74,72,14880,120,1
72,51,14880,961,2
62,98,15296,120,2
69,79,15278,416,2
86,80,15483,1263,3
85,72,15071,640,2
71,75,16000,751,2
67,34,16000,708,3
60,67,16160,980,2
74,75,16160,120,0
71,72,16320,640,0
67,45,16148,640,3
74,75,16960,120,0
71,97,16960,1054,2
71,66,16843,120,1
74,74,17120,120,0
72,72,17280,46,1
76,80,17280,120,0
71,69,17520,120,0
80,105,17520,553,3
69,42,18031,120,2
73,77,17760,714,2
68,75,18000,120,0
55,34,18000,181,3
70,101,17787,44,4
75,82,18240,120,1
64,73,18240,120,0
64,69,18480,120,0
68,41,18480,120,1
84,77,18628,777,3
64,67,18720,120,0
73,73,18418,561,3
72,82,18720,120,0
74,29,19114,120,2
78,72,19200,120,0
76,66,19440,120,0
80,95,19440,120,2
77,41,19680,120,2
64,63,19426,120,2
81,88,19653,259,4
68,30,19994,229,4
65,83,20129,730,4
66,88,19861,120,2
71,69,20160,120,0
66,20,20400,120,1
65,89,20400,563,3
73,64,20400,120,0
62,60,20334,120,2
71,28,20640,261,2
61,67,20640,120,1
68,27,21047,120,3
76,72,21120,120,1
78,66,21360,120,0
84,83,21010,984,4
73,25,21251,120,2
76,71,21600,120,0
68,60,21840,120,0
72,67,21840,120,0
75,67,21840,120,0
61,62,22080,120,1
59,41,22469,120,3
72,64,22320,120,0
68,57,22320,908,1
75,64,22320,120,0
82,67,22902,760,3
64,67,23022,120,2
68,60,22560,120,0
88,54,23040,240,1
81,88,23040,240,1
76,49,23280,240,0
79,55,23280,240,0
78,60,23520,240,0
87,84,23520,240,2
69,50,23760,240,0
79,56,23760,240,1
78,54,24000,240,0
81,61,24000,240,0
91,55,23854,240,2
76,49,24240,240,0
74,85,24480,240,1
92,60,24060,599,3
61,17,24614,466,4
76,58,24720,240,0
81,62,24960,240,0
78,55,24960,240,0
76,51,24925,240,1
79,57,25200,240,0
74,81,25440,240,1
78,93,25440,240,1
82,26,25680,240,2
69,53,25680,240,0
78,56,25435,1013,2
81,93,25920,879,2
79,59,26160,240,0
76,53,26160,240,0
74,56,26400,240,0
78,63,26582,995,2
69,54,26640,240,0
76,61,26640,240,0
97,69,27053,651,3
83,62,26880,240,0
81,56,27120,415,1
84,63,27120,240,0
79,23,27360,240,1
78,68,27360,240,1
95,91,27988,953,4
79,56,27365,240,2
83,63,27840,240,0
86,71,27840,240,0
81,57,28080,240,0
83,64,28080,1081,2
83,69,28320,240,0
70,62,28431,994,3
