note,velocity,position,duration,anomalies
48,41,240,180,0
48,41,420,60,0
57,47,480,240,0
57,40,960,180,0
57,40,1140,60,0
63,46,1200,240,0
56,36,1680,228,0
64,36,1680,228,0
59,30,1920,228,0
56,25,1920,228,0
64,30,1920,228,0
50,24,2160,480,1
59,28,2313,1221,2
64,28,2160,480,0
59,41,3120,180,0
59,41,3300,60,0
67,47,3360,240,0
61,40,3840,180,0
61,40,4020,60,0
70,46,4080,240,0
66,32,4560,228,0
59,36,4560,228,0
71,36,4560,228,0
66,32,4800,228,0
59,27,4800,228,0
71,32,4800,228,0
59,24,4615,480,1
66,28,5040,480,0
71,28,5040,480,0
65,46,6000,180,0
65,54,6180,60,0
71,83,6669,771,3
71,60,6720,180,0
71,60,6900,60,0
77,70,6960,480,0
76,65,7440,240,0
79,108,7680,240,1
72,32,7920,480,1
70,39,7920,480,0
65,35,8880,228,0
69,42,8880,228,0
69,40,9120,228,0
77,48,9120,228,0
65,30,9360,480,0
69,36,9360,480,0
58,36,10320,240,0
62,36,10320,240,0
67,43,10320,240,0
55,34,11040,240,0
58,34,11040,240,0
64,40,11040,240,0
57,27,11760,228,0
60,27,11760,228,0
65,33,11760,228,0
57,27,12000,228,0
60,27,12000,228,0
69,33,12000,228,0
57,27,12240,480,0
60,27,12240,480,0
65,33,12240,480,0
48,53,12793,180,1
48,53,12900,30,0
48,53,12930,28,0
57,61,12960,360,0
55,58,13320,110,0
57,61,13440,110,0
58,64,13560,110,0
59,68,13680,120,0
60,73,13800,240,0
62,71,14040,240,0
58,80,14054,310,3
57,43,14340,60,0
55,45,14400,120,0
66,48,14520,110,0
67,48,14640,110,0
69,28,14455,110,2
70,53,14880,110,0
78,54,15000,110,0
79,88,15120,110,1
86,89,15240,110,2
82,57,15360,110,0
48,57,15600,180,0
48,57,15780,30,0
48,53,15810,30,0
70,69,15840,360,1
45,99,15868,856,4
58,66,15985,110,1
60,68,16440,110,0
61,71,16560,120,0
62,69,16680,240,0
70,54,17198,544,4
62,55,17160,924,1
58,50,17220,60,0
53,44,17280,120,0
52,10,17280,392,3
68,48,17400,110,0
69,48,17520,110,0
71,49,17640,110,0
72,49,17760,110,0
80,54,17880,110,0
81,55,18000,110,0
83,56,18120,110,0
75,57,17796,110,2
72,61,18480,180,0
72,61,18660,60,0
60,68,18720,480,1
77,68,18960,180,0
64,59,19050,639,3
67,27,19200,1095,2
76,69,19200,240,0
79,66,19440,240,0
64,53,19680,240,0
70,63,19680,172,0
70,59,19860,25,0
70,56,19890,25,0
65,43,19920,240,0
69,52,19920,60,0
68,51,19980,60,0
69,51,20040,60,0
72,47,20100,60,0
65,52,20160,480,0
67,62,20124,509,3
77,54,20580,60,0
67,58,20640,480,0
76,69,20640,240,0
79,60,20880,240,0
64,49,21120,240,0
70,58,21120,180,0
70,49,21300,60,0
65,49,21360,240,0
69,58,21360,240,0
58,40,21840,240,0
62,40,21840,240,0
67,48,21840,240,0
55,38,22560,240,0
58,38,22560,240,0
64,45,22560,240,0
48,41,23280,180,0
48,41,23460,60,0
57,47,23520,240,0
57,40,24000,180,0
57,40,24180,60,0
63,50,24240,240,0
64,47,24480,228,0
59,36,24720,228,0
56,36,24720,228,0
64,36,24720,228,0
59,30,24960,165,1
56,25,24960,228,0
64,30,24960,228,0
56,24,25200,228,0
59,28,25200,228,0
64,28,25200,228,0
55,58,25440,228,0
55,63,25680,228,0
55,46,25920,720,0
59,41,26160,180,0
59,41,26340,60,0
67,47,26400,240,0
61,40,26880,180,0
61,40,27060,60,0
76,46,26909,240,2
71,47,27360,228,0
66,32,27600,228,0
59,36,27600,228,0
71,36,27600,228,0
66,0,27840,228,1
59,27,27840,228,0
71,32,27840,228,0
59,0,28029,710,3
66,32,28080,228,0
57,32,28493,1030,3
50,45,28320,228,0
53,55,28320,228,0
50,49,28560,228,0
60,80,28560,228,2
53,37,28800,480,0
65,46,29040,180,0
65,48,29220,60,0
71,54,29280,480,0
71,50,29760,180,0
71,54,29940,60,0
77,58,30000,480,0
77,51,30480,180,0
77,53,30660,60,0
80,66,30720,480,0
77,61,31200,180,0
77,61,31380,60,0
86,75,31440,480,0
77,70,31920,180,0
77,70,32100,60,0
89,82,32160,480,0
77,73,32640,180,0
77,66,32820,60,0
89,88,32880,480,0
77,72,33360,180,0
77,74,33540,60,0
89,90,33600,420,0
86,40,34386,60,3
89,93,34080,60,0
74,74,34260,60,0
86,89,34320,60,0
71,64,34500,60,0
83,75,34560,60,0
65,63,34740,60,0
77,72,34800,60,0
62,52,34980,60,0
62,30,35040,60,2
59,47,35220,60,0
71,55,35280,60,0
53,42,35460,60,0
65,48,35520,60,0
50,38,35700,60,0
62,42,35760,60,0
47,32,35940,60,0
59,40,35657,228,1
47,25,36240,228,0
50,25,36240,228,0
53,30,36240,228,0
47,23,36480,228,0
50,23,36480,228,0
53,28,36480,228,0
47,23,36720,480,0
50,23,36720,480,0
53,28,36720,480,0
77,40,37200,240,0
76,40,37831,630,2
74,74,38640,826,3
74,40,38880,240,0
74,40,39360,240,0
79,40,39600,240,0
79,71,40080,240,0
29,29,0,720,0
41,35,0,720,1
29,29,720,720,0
41,35,720,720,0
40,26,1680,228,0
52,31,1680,228,0
40,21,1920,228,0
52,25,1920,228,0
40,20,2160,480,0
52,24,2160,480,0
40,9,2880,720,1
52,38,2880,1606,1
40,31,3600,720,0
52,38,3600,720,0
38,0,4475,228,3
39,26,4560,228,0
51,31,4560,228,0
47,23,4800,228,0
39,23,4800,228,0
51,27,4800,228,0
47,20,5040,480,0
39,20,5040,480,0
51,24,5040,480,0
38,38,5760,720,0
50,45,5760,720,0
37,42,6480,720,0
49,50,6480,720,0
36,44,7200,228,0
48,52,7200,228,0
36,44,7440,228,0
48,52,7440,228,0
36,44,7680,228,0
35,92,7680,296,3
36,31,7920,480,0
48,36,7920,480,0
38,28,8880,228,0
40,62,8969,444,4
38,35,9120,228,0
50,42,9120,1052,1
38,0,9360,480,1
50,29,9360,480,0
34,38,10080,240,0
46,45,10080,240,0
36,35,10800,240,0
48,42,10800,240,0
29,32,11520,228,0
38,38,11520,1046,2
29,23,11760,228,0
41,27,11760,228,0
29,23,12000,228,0
41,27,12000,228,0
29,23,12240,480,0
41,27,12240,480,0
41,41,12960,360,0
48,49,12960,360,0
40,39,13320,110,0
48,48,13320,110,0
41,42,13440,110,0
48,50,13440,110,0
43,45,13560,110,0
48,53,13560,110,0
44,48,13680,120,0
48,58,13680,120,0
45,50,13800,240,0
48,60,13800,240,0
46,50,14040,240,0
48,61,14040,240,0
43,40,14280,60,0
48,40,14280,120,0
41,35,14340,60,0
40,40,14400,360,0
48,40,14400,360,0
54,35,14760,110,0
60,29,14760,110,0
55,38,14880,110,0
60,32,14880,110,0
57,40,15000,110,0
60,2,15000,110,1
58,51,15120,110,0
60,51,15120,110,0
42,51,15240,110,0
43,55,15360,110,0
45,51,15480,110,0
46,57,15600,110,0
43,50,15720,110,0
40,41,15840,120,0
43,40,15960,240,0
48,46,15960,240,0
42,42,16200,110,0
48,52,16200,110,0
43,84,16320,1015,2
60,18,16320,555,3
45,49,16440,110,0
48,58,16440,110,0
46,52,16560,120,0
48,63,16560,360,0
46,55,16680,240,0
43,25,16920,240,2
48,50,16920,240,0
55,61,16920,240,0
24,6,16681,1074,4
48,26,17160,120,0
52,37,17160,120,0
41,0,17280,360,1
48,38,17280,360,0
56,35,17640,110,0
57,38,17760,110,0
59,40,17880,110,0
60,47,18000,110,0
44,41,18120,110,0
45,50,18240,110,0
47,51,18360,110,0
48,56,18480,110,0
46,51,18600,110,0
45,56,18720,240,0
60,54,18960,240,0
57,45,18960,240,0
60,60,19200,480,0
55,51,18762,240,2
51,71,19810,240,3
48,46,19680,240,0
55,55,19680,240,0
53,45,19920,240,0
57,53,19920,240,0
62,54,20152,1042,3
55,45,20588,308,3
60,60,20640,480,0
58,51,20640,240,0
52,46,20880,240,0
48,46,21120,240,0
55,55,21429,836,2
50,45,21360,240,0
53,53,21360,240,0
34,38,21600,240,0
46,45,21600,240,0
36,35,22320,240,0
60,6,22320,1203,3
29,0,23040,1073,2
41,35,23040,720,0
29,31,23760,480,0
41,38,23760,540,0
45,39,24300,60,0
48,44,24360,60,0
45,38,24420,60,0
40,41,24480,228,0
40,26,24720,228,0
52,31,24720,228,0
52,21,25410,151,3
52,25,24960,228,0
40,20,25200,480,0
52,23,25200,480,0
40,27,25920,720,0
52,34,25920,720,0
40,31,26640,720,0
52,38,26640,540,0
52,38,27180,60,0
55,42,27240,60,0
52,38,27300,60,0
51,46,27360,228,0
47,26,27600,228,0
39,26,27600,228,0
51,31,27600,228,0
47,23,27840,228,0
