note,velocity,position,duration
79,62,1682,223
58,54,1842,1998
62,54,1882,1958
65,68,1922,1918
74,59,1922,492
81,73,1922,492
79,63,2414,475
74,65,2889,476
79,63,3365,475
60,59,3762,1047
64,59,3802,1007
67,73,3842,967
72,59,3842,370
81,73,3842,370
79,62,4212,358
74,54,4570,952
82,68,4570,952
70,65,4809,951
81,62,5522,223
60,54,5682,1998
64,54,5722,1958
69,68,5762,1918
79,67,5762,253
79,62,6015,225
77,63,6254,236
77,62,6490,225
76,65,6730,475
72,63,7205,475
53,67,7682,239
69,67,7682,1192
60,44,7936,224
65,45,8174,222
69,62,8411,463
74,62,8889,236
74,63,9125,223
76,62,9362,223
58,59,9602,370
70,51,9602,370
77,73,9602,370
65,54,9972,358
76,62,9972,358
70,46,10330,478
70,54,10330,478
77,68,10330,478
76,62,10808,223
77,63,11046,222
81,62,11282,223
60,57,11522,239
72,59,11522,492
79,73,11522,492
67,52,11776,713
76,63,12014,475
67,55,12489,225
74,65,12489,476
60,52,12729,711
72,63,12965,475
46,44,13242,1158
53,44,13282,1118
58,58,13322,1078
65,50,13362,1047
70,50,13402,1007
74,64,13442,967
58,57,14409,951
65,71,14409,951
81,65,14409,713
79,62,15122,109
77,62,15239,114
48,67,15362,239
72,59,15362,728
76,73,15362,728
55,62,15616,224
60,63,15854,222
64,62,16090,1190
84,62,16090,478
82,62,16568,223
81,63,16806,222
79,62,17042,223
47,58,17282,239
74,59,17282,239
81,73,17282,253
54,53,17535,225
86,54,17535,239
98,68,17535,239
59,54,17774,222
86,55,17774,475
98,69,17774,475
62,53,18011,224
59,56,18249,225
81,57,18249,239
93,71,18249,239
54,53,18488,223
81,54,18488,474
93,68,18488,474
47,54,18726,222
54,53,18962,223
78,54,18962,238
90,68,18962,238
59,58,19202,239
78,59,19202,492
90,73,19202,492
62,53,19456,224
59,54,19694,222
74,55,19694,236
86,69,19694,236
54,53,19930,225
74,54,19930,1431
86,64,19930,1445
47,56,20170,224
54,53,20409,222
59,54,20646,222
54,53,20882,223
40,55,21122,239
47,70,21122,253
52,53,21375,225
86,54,21375,239
92,54,21375,239
98,68,21375,239
56,54,21614,222
86,55,21614,475
92,55,21614,475
98,69,21614,475
59,53,21851,224
64,56,22089,225
83,57,22089,239
95,71,22089,239
68,53,22328,223
83,54,22328,474
95,68,22328,474
64,54,22566,222
59,53,22802,223
79,54,22802,238
91,68,22802,238
43,58,23042,239
79,59,23042,492
91,73,23042,492
50,53,23296,224
55,54,23534,222
76,55,23534,236
88,69,23534,236
59,53,23770,225
76,54,23770,1431
88,64,23770,1445
55,56,24010,224
50,53,24249,222
43,54,24486,222
50,53,24722,223
37,59,24974,222
49,53,25211,224
85,54,25215,239
97,68,25215,239
56,56,25450,224
85,55,25454,475
97,69,25454,475
61,53,25689,222
56,54,25926,222
81,57,25929,239
93,71,25929,239
49,53,26162,223
81,54,26168,474
93,68,26168,474
56,54,26400,222
49,53,26637,223
78,54,26642,238
90,68,26642,238
45,59,26882,239
78,59,26882,492
90,73,26882,492
52,55,27136,224
57,56,27374,222
76,55,27374,236
88,69,27374,236
61,55,27610,225
76,54,27610,1920
88,64,27610,1920
57,58,27850,224
52,55,28089,222
45,56,28326,474
38,61,28802,239
45,57,29056,224
50,58,29294,475
57,65,29530,239
38,59,29769,225
57,61,29769,239
62,61,29769,239
66,71,29769,239
45,57,30008,223
57,58,30008,237
62,58,30008,237
66,68,30008,237
50,58,30245,475
57,59,30245,237
62,59,30245,223
66,73,30245,237
57,58,30482,493
64,72,30482,493
43,67,30722,239
50,62,30975,225
57,58,30975,239
64,68,30975,239
55,63,31214,222
57,59,31214,236
64,73,31214,236
50,62,31450,225
57,58,31450,239
62,72,31450,239
43,65,31689,225
57,61,31689,239
64,75,31689,239
50,62,31928,223
57,58,31928,474
62,58,31928,474
66,72,31928,474
55,63,32166,222
50,62,32402,223
57,58,32402,479
64,72,32402,493
47,67,32642,239
54,68,32895,953
62,68,32895,239
57,61,33134,951
62,75,33134,951
54,68,33848,223
50,63,34085,223
59,69,34085,223
47,62,34322,223
61,68,34322,223
55,65,34482,572
59,65,34522,532
40,66,34562,728
62,79,34562,492
59,69,35054,236
43,62,35290,952
55,65,35290,478
59,65,35290,478
62,79,35290,478
66,68,35768,223
57,67,36006,1204
61,67,36006,1204
64,77,36006,1204
38,73,36482,239
45,62,36736,224
50,63,36974,222
54,62,37210,225
69,64,37210,239
50,65,37449,225
69,59,37449,239
78,69,37449,239
54,62,37688,223
69,56,37688,237
78,66,37688,237
57,63,37925,475
69,57,37925,237
78,71,37925,237
69,56,38162,493
76,70,38162,493
43,67,38402,239
50,62,38655,225
69,56,38655,239
76,66,38655,239
55,63,38894,222
69,57,38894,236
76,71,38894,236
50,62,39130,225
69,56,39130,239
74,70,39130,239
43,65,39369,225
69,59,39369,239
76,73,39369,239
50,62,39608,223
69,56,39608,474
78,70,39608,474
55,63,39846,222
50,62,40082,223
69,56,40082,479
76,70,40082,493
47,67,40322,239
54,62,40575,953
74,64,40575,239
69,57,40814,951
74,71,40814,951
54,62,41528,223
50,63,41765,223
67,57,41765,223
71,71,41765,237
47,62,42002,223
73,64,42002,223
43,67,42242,239
67,61,42242,728
71,61,42242,728
74,75,42242,728
50,62,42496,224
55,63,42734,475
81,64,42970,225
45,65,43209,476
69,59,43209,951
73,59,43209,951
76,73,43209,951
57,63,43685,475
40,66,44162,239
64,66,44162,239
71,80,44162,253
47,62,44415,225
73,69,44415,225
52,63,44654,222
74,70,44654,236
42,62,44890,225
66,61,44890,478
74,75,44890,478
49,65,45130,224
54,62,45368,712
76,69,45368,223
78,70,45606,236
71,61,45842,479
78,71,45842,493
43,67,46082,239
50,62,46335,225
79,69,46335,225
55,63,46574,222
78,70,46574,222
50,62,46811,224
79,69,46811,109
78,69,46927,115
45,65,47050,224
69,64,47050,950
76,78,47050,950
52,62,47289,222
57,63,47526,222
52,62,47762,223
40,66,48002,239
64,66,48002,239
71,80,48002,253
47,62,48255,225
73,69,48255,225
52,63,48494,222
74,70,48494,236
42,62,48730,225
66,61,48730,478
74,75,48730,478
49,65,48970,224
54,62,49208,712
74,69,49208,223
81,70,49446,222
74,69,49682,479
43,67,49922,239
50,62,50176,224
79,69,50176,224
55,63,50414,222
78,70,50414,222
50,62,50651,224
79,69,50651,109
78,69,50767,115
45,65,50890,224
69,64,50890,712
76,78,50890,712
52,62,51129,222
57,63,51366,222
52,62,51602,223
85,69,51602,109
86,69,51719,114
45,67,51842,492
85,74,51842,239
81,69,52096,109
83,69,52213,114
52,63,52334,475
81,70,52334,222
76,69,52571,109
